metric,min_tbf,z_gate,trigger,n_fired,seasons,cond_gain,season_gain,t
fp,40,1.5,search,1393,351,-0.4560788252738919,-0.6625381801268915,-6.029941400210815
k_pct,40,3.0,search,111,57,-0.5671611896686266,-0.6824484604487092,-1.8542576966564563
fp,150,1.5,search,486,215,-0.6036617084414813,-0.7099846486133803,-4.401288835813746
fp,60,1.5,search,1216,335,-0.4702365896375758,-0.7144117997871426,-6.162565200749225
fp,40,1.5,absence,52,21,0.16812207614490676,-0.7531037767311878,-1.1267470959885075
fp,80,1.5,search,1048,315,-0.5351569398647906,-0.8097905277122659,-6.598346264377869
fp,100,1.5,search,881,292,-0.5893997207747798,-0.84656383611982,-6.503094930473316
fp,150,2.0,search,198,103,-0.660675113712641,-0.8827179128559948,-3.2140454180614726
fp,150,2.5,search,59,34,-0.42494307333325876,-0.9564254079132307,-1.6990652699092956
fp,100,2.0,search,363,154,-0.694711160451022,-0.9924195577251098,-4.5084353392511165
fp,40,2.0,search,637,236,-0.6848652293805365,-1.0135384750131966,-6.411046036037583
fp,80,2.0,search,431,182,-0.7512201766914358,-1.0951641271699442,-5.716196107270183
fp,60,2.0,search,515,205,-0.8032930731298223,-1.1638364013591063,-6.668699609504807
fp,80,2.5,search,112,62,-0.9234289496823875,-1.4483227887216694,-3.4122848390519036
fp,100,2.5,search,99,55,-0.8593178371393919,-1.4627039005681886,-3.166356549879763
fp,60,2.5,search,133,70,-1.0089082395407565,-1.4883450029577656,-3.8833393890336456
fp,40,2.5,search,153,84,-1.0206111367097424,-1.5739824781704506,-4.5713346336849865
