owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po,k
FA,Robbie Ray,SD,73.2,10.44,94.0,Stuff+·vol,0.158,,,40.0,25.0,robbie ray
FA,Connor Prielipp,Min,1.7,12.15,103.0,Stuff+·vol,0.136,,,40.0,25.0,connor prielipp
FA,Andrew Painter,Phi,8.7,11.55,103.0,Stuff+·vol,0.139,,,39.0,24.0,andrew painter
FA,Keider Montero,Det,16.6,10.04,94.0,Stuff+·vol,0.159,,,39.0,24.0,keider montero
FA,Robert Gasser,Mil,3.5,12.06,105.0,Stuff+·vol,0.134,,,39.0,24.0,robert gasser
FA,Tyler Mahle,Atl,17.7,9.66,88.0,Stuff+·vol,0.168,,,39.0,25.0,tyler mahle
FA,Bailey Ober,Min,15.6,9.21,92.0,Stuff+·vol,0.176,,,39.0,25.0,bailey ober
FA,Jacob Lopez,Oak,10.0,10.61,97.0,Stuff+·vol,0.152,,,39.0,24.0,jacob lopez
FA,Randy Vasquez,SD,13.1,10.16,97.0,Stuff+·vol,0.155,,,38.0,24.0,randy vasquez
FA,Nestor Cortes,Phi,0.1,10.14,,talent_prior·flat↓,,,,38.0,23.0,nestor cortes
FA,Tyler Wells,TB,2.4,10.41,,talent_prior·flat↓,,,,38.0,24.0,tyler wells
FA,Grant Holmes,Atl,10.7,9.5,87.0,Stuff+·vol,0.162,,,37.0,23.0,grant holmes
FA,Ryan Gusto,Mia,0.4,10.66,96.0,Stuff+·vol,0.142,,,37.0,23.0,ryan gusto
FA,Jake Bennett,Bos,26.0,10.44,92.0,Stuff+·vol,0.145,,,37.0,23.0,jake bennett
FA,Martin Perez,Atl,9.2,9.13,86.0,Stuff+·vol,0.169,,,37.0,23.0,martin perez
FA,Clayton Kershaw,FA,0.1,9.94,,talent_prior·flat↓,,,,37.0,22.0,clayton kershaw
FA,Zebby Matthews,Min,8.4,10.42,95.0,Stuff+·vol,0.141,,,36.0,22.0,zebby matthews
FA,Kumar Rocker,Tex,5.5,10.29,91.0,Stuff+·vol,0.142,,,36.0,22.0,kumar rocker
FA,Hayden Wesneski,Hou,4.8,10.64,94.0,Stuff+·vol,0.141,,,36.0,23.0,hayden wesneski
FA,Cristian Javier,Hou,2.6,10.84,98.0,Stuff+·vol,0.131,,,35.0,22.0,cristian javier
FA,David Peterson,ChC,5.9,9.97,89.0,Stuff+·vol,0.146,,,35.0,22.0,david peterson
FA,Zac Thornton,NYM,9.8,10.81,97.0,Stuff+·vol,0.135,,,35.0,22.0,zac thornton
FA,Ryan Bergert,KC,0.0,9.08,,talent_prior·flat↓,,,,34.0,21.0,ryan bergert
FA,Julio Urias,FA,0.0,9.4,,talent_prior·flat↓,,,,34.0,22.0,julio urias
FA,Wade Miley,FA,0.0,9.16,,talent_prior·flat↓,,,,34.0,21.0,wade miley
FA,Cade Povich,Bal,0.5,11.11,101.0,Stuff+·vol,0.124,,,34.0,21.0,cade povich
FA,Spencer Arrighetti,Tor,11.7,11.26,100.0,Stuff+·vol,0.124,,,34.0,21.0,spencer arrighetti
FA,Chris Bassitt,Bal,2.9,9.99,96.0,Stuff+·vol,0.135,,,33.0,20.0,chris bassitt
FA,Michael McGreevy,StL,17.9,8.02,81.0,Stuff+·vol,0.167,,,33.0,20.0,michael mcgreevy
FA,Blade Tidwell,SF,0.8,9.6,,rp3_dd·vol,0.14,,,33.0,20.0,blade tidwell
FA,George Klassen,LAA,13.9,11.04,98.0,Stuff+·vol,0.118,,,32.0,20.0,george klassen
FA,Ryan Feltner,Col,0.6,9.36,92.0,Stuff+·vol,0.142,,,32.0,20.0,ryan feltner
FA,J.P. France,Hou,0.0,8.81,,talent_prior·flat↓,,,,32.0,20.0,jp france
FA,Kyle Gibson,FA,0.0,8.71,,talent_prior·flat↓,,,,32.0,20.0,kyle gibson
FA,Cody Bradford,Tex,2.3,9.44,,rp3_dd·vol,0.138,,,32.0,20.0,cody bradford
FA,Emmet Sheehan,LAD,39.1,12.27,100.0,Stuff+·vol,0.108,,,32.0,20.0,emmet sheehan
FA,Merrill Kelly,Ari,20.5,8.72,89.0,Stuff+·vol,0.149,,,32.0,20.0,merrill kelly
FA,Yusei Kikuchi,LAA,7.2,11.03,98.0,Stuff+·vol,0.118,,,32.0,20.0,yusei kikuchi
FA,Rhett Lowder,Cin,2.8,8.57,86.0,Stuff+·vol,0.15,,,31.0,19.0,rhett lowder
FA,Randy Dobnak,KC,3.8,8.79,82.0,Stuff+·vol,0.144,,,31.0,19.0,randy dobnak
FA,Brandon Sproat,Mil,1.7,11.63,100.0,Stuff+·vol,0.11,,,31.0,19.0,brandon sproat
FA,Lance Lynn,FA,0.0,7.98,,talent_prior·flat↓,,,,30.0,18.0,lance lynn
FA,Ben Lively,Cle,0.0,8.3,,talent_prior·flat↓,,,,30.0,19.0,ben lively
FA,Tyler Anderson,LAA,0.1,7.79,,talent_prior·flat↓,,,,29.0,18.0,tyler anderson
FA,Jeffrey Springs,Oak,7.9,10.02,97.0,Stuff+·vol,0.12,,,29.0,18.0,jeffrey springs
FA,Andrew Heaney,FA,0.0,7.78,,talent_prior·flat↓,,,,29.0,18.0,andrew heaney
FA,Jordan Montgomery,Tex,0.1,7.78,,talent_prior·flat↓,,,,29.0,18.0,jordan montgomery
FA,Max Scherzer,Tor,2.6,8.96,94.0,Stuff+·vol,0.131,,,29.0,18.0,max scherzer
FA,Tomoyuki Sugano,Col,4.0,7.33,82.0,Stuff+·vol,0.163,,,29.0,18.0,tomoyuki sugano
FA,Gabriel Hughes,Col,0.3,8.51,85.0,Stuff+·vol,0.137,,,28.0,18.0,gabriel hughes
FA,Charlie Morton,FA,0.1,7.53,,talent_prior·flat↓,,,,28.0,18.0,charlie morton
FA,Colin Rea,ChC,2.9,9.92,93.0,Stuff+·vol,0.117,,,28.0,18.0,colin rea
FA,Eric Lauer,LAD,4.5,8.49,89.0,Stuff+·vol,0.137,,,28.0,18.0,eric lauer
FA,Joey Estes,Oak,0.0,7.37,,talent_prior·flat↓,,,,27.0,17.0,joey estes
FA,Marcus Stroman,FA,0.1,7.33,,talent_prior·flat↓,,,,27.0,17.0,marcus stroman
FA,Davis Martin,ChW,33.2,10.02,90.0,Stuff+·vol,0.145,FIFTEEN_DAY_DL,2026-08-30,27.0,17.0,davis martin
FA,Michael Lorenzen,FA,0.4,8.11,87.0,Stuff+·vol,0.14,,,27.0,17.0,michael lorenzen
FA,Andre Pallante,StL,15.0,11.07,97.0,Stuff+·vol,0.152,FIFTEEN_DAY_DL,2026-09-02,27.0,17.0,andre pallante
FA,Kyle Hendricks,FA,0.0,6.9,,talent_prior·flat↓,,,,26.0,16.0,kyle hendricks
FA,Logan Allen,Cle,0.2,6.92,,talent_prior·flat↓,,,,26.0,16.0,logan allen
FA,Cole Irvin,LAD,0.0,7.08,,talent_prior·flat↓,,,,26.0,16.0,cole irvin
FA,Robert Stock,NYM,0.3,9.51,,rp3_dd·vol,0.112,,,26.0,16.0,robert stock
