rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
168,"Taillon, Jameson",9.328521474929993,data_driven_full,16,0.5,4,4.880573736764972,-5.8,5.3,0.5,2.5375,2026-08-05,-2.0375,592791,16.0,14.850000000000001,19.1,6.25,0.0,31.25,7.454562361399897,4.5,10.0,5.0,-0.639464096917988,-0.6964664501239697,-0.6679652735209789
191,"Lopez, Jacob",8.865653656558917,data_driven_full,15,13.975,4,2.617091260668352,10.3,16.5,13.975,6.825000000000001,2026-08-05,7.149999999999999,682052,15.0,14.56,16.5,0.0,0.0,33.33333333333333,7.9827015357912385,4.133333333333334,9.0,4.4222133333333336,-0.7152033254879164,-0.6964664501239697,-0.7058348878059431
298,"Littell, Zack",7.337628893925149,data_driven_full,15,4.3,4,7.61008103329612,-5.2,10.5,6.925000000000001,5.8125,2026-08-04,-1.5125000000000002,641793,14.0,14.290000000000001,14.5,0.0,0.0,42.857142857142854,9.16293597076808,2.9285714285714284,6.0,4.785721428571429,-0.7857191589840564,-0.6964664501239697,-0.741092804554013
229,"Gusto, Ryan",8.428718897821657,data_driven_full,9,5.800000000000001,4,9.92874614440313,-3.5,17.8,8.225000000000001,6.8875,2026-08-04,-1.0874999999999997,687473,9.0,14.200000000000001,17.8,11.11111111111111,0.0,44.44444444444444,8.658537854498169,3.3333333333333335,6.0,3.962955555555556,-0.8092244368161031,-0.6964664501239697,-0.7528454434700365
204,"Civale, Aaron",8.705421321120632,data_driven_full,15,1.0000000000000002,4,8.295782060782456,-11.1,7.2,5.525,2.2125,2026-08-06,-1.2124999999999997,650644,15.0,14.1,17.7,6.666666666666667,0.0,33.33333333333333,8.570953161418984,3.6,6.0,4.822226666666666,-0.8353414121850442,-0.6964664501239697,-0.765903931154507
190,"Alvarez, Andrew",8.893037032172133,data_driven_full,8,6.050000000000001,4,6.321128591214284,1.3,14.9,5.525,8.025,2026-08-03,-1.975,674841,8.0,13.85,14.9,0.0,0.0,37.5,5.595342450901208,4.375,6.0,4.6666625,-0.9006338506073962,-0.6964664501239697,-0.7985501503656829
253,"Ritchie, JR",8.040452840226953,data_driven_full,9,3.35,4,3.2295510523910287,-0.8,6.5,5.9750000000000005,6.7375,2026-08-02,-3.3875,702275,8.0,13.64,19.1,12.5,0.0,37.5,6.344162108359375,4.5,7.0,4.958325,-0.9554794988821715,-0.6964664501239697,-0.8259729745030706
317,"Aldegheri, Sam",6.909236831370784,data_driven_thin,6,2.0,4,9.778547949465707,-11.1,12.5,2.0,3.95,2026-07-04,-1.95,691951,6.0,12.5,12.5,0.0,0.0,66.66666666666666,8.66873693221798,2.3333333333333335,4.0,4.277783333333333,-1.2532130180880967,-0.6964664501239697,-0.9748397341060332
267,"Lorenzen, Michael",7.851305627424552,data_driven_full,23,-2.325,4,8.979374514222394,-14.1,7.5,-2.325,1.7625000000000002,2026-08-03,-4.0875,547179,23.0,12.360000000000001,17.5,8.695652173913043,0.0,52.17391304347826,9.831071176342297,3.4782608695652173,7.0,4.637682608695653,-1.2897767836046135,-0.6964664501239697,-0.9931216168642916
222,"Houser, Adrian",8.479699312205643,data_driven_full,14,2.75,4,6.460908088909277,-2.9,9.3,5.9,7.3375,2026-08-04,-4.5875,605288,14.0,12.360000000000001,16.8,0.0,0.0,42.857142857142854,7.522420699935175,3.4285714285714284,6.0,4.7142928571428575,-1.2897767836046135,-0.6964664501239697,-0.9931216168642916
92,"Perkins, Jack",10.73679538932541,data_driven_full,9,5.475,4,7.857215367630782,-4.9,13.7,7.175000000000001,6.95,2026-08-01,-1.4750000000000003,678022,9.0,11.94,13.7,0.0,0.0,44.44444444444444,5.741684808873128,6.0,9.0,4.740744444444444,-1.399468080154165,-0.6964664501239697,-1.0479672651390675
302,"Paddack, Chris",7.275355857350716,data_driven_full,9,-0.4249999999999998,4,9.349999999999998,-13.2,7.5,2.35,3.6375000000000006,2026-06-29,-4.0625,663978,9.0,10.680000000000001,11.8,0.0,0.0,44.44444444444444,8.080136825024136,3.4444444444444446,7.0,4.555566666666667,-1.7285419698028184,-0.6964664501239697,-1.212504209963394
340,"Woods Richardson, Simeon",6.233561204306972,data_driven_full,10,-4.9,4,5.1788029504896205,-12.1,-0.7,5.45,-3.0125,2026-06-25,-1.8874999999999995,680573,10.0,9.349999999999998,17.0,10.0,0.0,70.0,8.223165111101956,2.4,4.0,4.46667,-2.0758977422097318,-0.6964664501239697,-1.3861820961668507
312,"Palmquist, Carson",7.052372992119851,data_driven_thin,5,-1.275,4,6.907182252312926,-6.5,8.9,0.3750000000000001,-0.4666666666666668,2026-08-04,-0.8083333333333331,687223,6.0,8.95,9.0,0.0,0.0,66.66666666666666,7.40558347915049,2.1666666666666665,4.0,1.7777666666666667,-2.1803656436854943,-0.6964664501239697,-1.438416046904732
256,"Gibson, Trey",8.009912072414027,data_driven_thin,7,0.4500000000000002,4,11.123698425733531,-15.2,9.2,0.4500000000000002,2.6142857142857143,2026-06-30,-2.164285714285714,694346,7.0,8.3,9.2,0.0,0.0,42.857142857142854,8.408215936695205,4.0,8.0,4.428585714285714,-2.350125983583609,-0.6964664501239697,-1.5232962168537894
338,"Mikolas, Miles",6.273035885857086,data_driven_full,12,-0.675,4,5.389727884287543,-7.5,4.8,0.1499999999999999,3.525,2026-08-06,-4.2,571945,11.0,6.2,13.6,0.0,0.0,63.63636363636363,7.797213954647226,2.727272727272727,4.0,4.818172727272727,-2.8985824663313657,-0.6964664501239697,-1.7975244582276677
178,"Bello, Brayan",9.152516602243155,data_driven_full,9,-8.225,4,6.3379150094227885,-17.0,-1.9,10.825,-2.7875,2026-08-06,-5.4375,678394,8.0,4.439999999999999,12.0,0.0,0.0,87.5,8.352491074096227,2.75,5.0,4.4583375,-3.358241232824724,-0.6964664501239697,-2.027353841474347
