pitcher,year,sos_opp_bat_fp_per_pa,n_bf_with_sos
112526,2018,0.5426714533645535,522
279571,2018,0.5482451294870276,134
282332,2018,0.5356358062953152,544
407822,2018,0.545026466762834,186
407845,2018,0.5423262020261155,232
408314,2018,0.535986664975723,9
424144,2018,0.49315278444493005,90
425492,2018,0.5472756349764111,179
425772,2018,0.47456886851089336,4
425794,2018,0.5532197834063404,147
425844,2018,0.5537155075999578,697
429719,2018,0.5589016083320496,285
429722,2018,0.5339625025484858,75
430641,2018,0.5269566297621336,84
430935,2018,0.5374099962837694,664
433586,2018,0.5426783389923636,107
433587,2018,0.5312190509841597,543
433589,2018,0.5437660131030349,288
434378,2018,0.5465228275120202,649
434538,2018,0.5238656693144503,455
434628,2018,0.5430722473057155,466
434671,2018,0.5485406252421858,438
434778,2018,0.589714166168577,4
435043,2018,0.5285846266703825,182
435221,2018,0.5580873141050935,264
444468,2018,0.5442044572672617,196
445197,2018,0.5392792515904054,72
445213,2018,0.5347282201866277,206
445276,2018,0.547951362153657,233
445926,2018,0.5436378620191697,318
446099,2018,0.5454930761338087,188
446321,2018,0.6146044464017635,18
446372,2018,0.5215547750568625,640
446386,2018,0.530511811023622,1
446399,2018,0.5512013155692673,131
446899,2018,0.5327532498214005,247
448167,2018,0.5116064052891611,30
448178,2018,0.5445737540266682,68
448179,2018,0.5403504960326194,443
448281,2018,0.5452276106692108,128
448306,2018,0.5440694023052645,667
448609,2018,0.5289345601856215,106
448614,2018,0.507811679855241,29
448802,2018,0.5377389068233616,293
448855,2018,0.5547705518003387,454
450203,2018,0.5426486401785132,577
450212,2018,0.5134335902518284,74
450306,2018,0.5498007137055697,297
450665,2018,0.6302485832678488,20
450729,2018,0.5717738466394641,255
451584,2018,0.530485160405786,221
451596,2018,0.5445376809454855,316
451661,2018,0.5274472424039091,125
452657,2018,0.5358785852431228,589
453172,2018,0.5379654149400886,241
453178,2018,0.5401613570350324,423
453192,2018,0.5204800089632147,108
453214,2018,0.5285799142120242,189
453265,2018,0.5485878282734772,209
453281,2018,0.5506516508606207,549
453284,2018,0.5338956626089159,241
453286,2018,0.5312721162381665,665
453329,2018,0.5239887194240446,290
453343,2018,0.5398637461705978,146
453344,2018,0.5453910554082101,97
453385,2018,0.5499841611305287,554
453562,2018,0.5433420834121999,566
455119,2018,0.5475247053366391,146
456034,2018,0.53621836912366,550
456068,2018,0.5330571622926128,61
456124,2018,0.5362271480977988,10
456501,2018,0.5665963486523136,165
456696,2018,0.5425432596793481,201
456701,2018,0.564178301495668,379
456713,2018,0.5695997074396443,94
457429,2018,0.5467110778067049,46
457754,2018,0.5087693254894786,21
457915,2018,0.5470260175756135,121
457918,2018,0.5333025136185917,558
458006,2018,0.523393387220295,126
458584,2018,0.5540717897033731,98
458677,2018,0.5349815941288836,179
458681,2018,0.5227043054336059,559
458690,2018,0.5542897786072648,176
458708,2018,0.5479650043326343,239
458924,2018,0.5487409954391911,114
459429,2018,0.5400933889736972,187
460060,2018,0.6050290944578117,4
460077,2018,0.5127468748492231,6
460269,2018,0.5457683038196551,9
460283,2018,0.5657357604103687,163
460576,2018,0.45178751796221384,4
461325,2018,0.547223459693095,221
461829,2018,0.5461291919476761,520
461833,2018,0.5071609983203855,122
461865,2018,0.6148750340167467,16
461872,2018,0.5420779761681489,91
462136,2018,0.561017003348298,505
462382,2018,0.5388429108536285,230
462480,2018,0.5721661446272537,10
462515,2018,0.5291610745432612,21
465657,2018,0.544584034956055,212
465753,2018,0.556452714096309,6
467008,2018,0.532621721477793,198
467055,2018,0.4588951315656409,3
467100,2018,0.5442513754835799,510
468396,2018,0.6070450637749685,6
468504,2018,0.5484706404993688,626
471911,2018,0.5210735264442674,594
472610,2018,0.5262167541763391,158
473879,2018,0.5388139791315547,221
474463,2018,0.5677580101203477,247
475054,2018,0.559920512199051,171
475115,2018,0.5485428144431582,519
475857,2018,0.5354413871384955,54
476451,2018,0.5368470373246982,281
476454,2018,0.5553619343006564,227
476589,2018,0.5430899326850612,174
476594,2018,0.5382548121520918,137
477132,2018,0.5395093774351332,516
477569,2018,0.5293968134640158,139
487675,2018,0.5550889228637886,26
488671,2018,0.48903294163280614,3
488748,2018,0.5365525405878885,124
488768,2018,0.5410790688445001,550
488786,2018,0.5108100399778123,167
488818,2018,0.4541459158867457,2
488846,2018,0.5247506875657357,142
488984,2018,0.5496112081715357,222
489119,2018,0.552507607278537,249
489265,2018,0.5513560524406036,219
489334,2018,0.5454325929430219,276
489446,2018,0.5390500819253059,202
489448,2018,0.576168214519974,8
491646,2018,0.5307143443754591,83
491696,2018,0.49306893796331364,4
493200,2018,0.5400126284560586,210
493247,2018,0.5362619748326872,94
493603,2018,0.5463223051728422,267
500724,2018,0.5652985175864332,29
500779,2018,0.5409655051398845,554
500872,2018,0.5156851178097513,37
501593,2018,0.5489810233119179,158
501625,2018,0.5442724595867011,226
501697,2018,0.5428894123621341,31
501789,2018,0.5338527569589295,171
501817,2018,0.5520444680786469,84
501822,2018,0.5524871518181321,125
501925,2018,0.5448709344963975,149
501957,2018,0.5636219233656207,117
501985,2018,0.5536618321048417,526
502004,2018,0.5353832709392468,95
502026,2018,0.5397861568073968,223
502028,2018,0.5440181871389935,43
