batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional
Israfell Bautista,,,,,,820984,2,4,0.023856827628107286,0.2660171920584892,,0.2660171920584892,58.9,217.1,,144.3,0.5,0.299,0.783,0.5,0.0,,2,,,0.01,,,,,,,,
Andrés Chaparro,1B,1B,1B,False,1.0,665953,19,67,0.07843826427287971,0.025130550071311753,0.23894275042795193,0.2640733004992637,112.3,112.7,148.6,143.9,0.493,0.287,0.788,0.209,0.104,0.598,19,0.239,0.598,0.087,1B|DH,74.55931803385417,0.2,0.25,0.4,105.4,10.0,125.6
James Nelson,,,,,,663445,1,3,-0.10747867904976142,0.2594035473351766,,0.2594035473351766,-69.5,214.3,,142.9,0.333,0.296,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Matthew Wood,,,,,,687783,1,3,0.02147920857133283,0.2567892703294075,,0.2567892703294075,56.6,213.1,,142.4,0.333,0.296,0.78,0.333,0.0,,1,,,0.005,,,,,,,,
Yordan Álvarez,DH,OF|DH,"OF, DH",True,2.0,670541,180,695,0.04786786649253412,0.0407427611548455,0.2151312701763735,0.255874031331219,82.4,119.5,143.9,142.2,0.435,0.301,0.811,0.184,0.078,0.567,180,0.215,0.567,0.474,DH|LF,75.48191198838495,0.18584071,0.23076923,0.27433628,117.8,158.0,130.1
Duncan Pastore,,,,,,804603,1,2,0.07976069151354036,0.2532679726979702,,0.2532679726979702,113.6,211.6,,141.7,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,
Paul McIntosh,,,,,,682192,1,4,0.03569672012317676,0.2532487711101714,,0.2532487711101714,70.5,211.6,,141.7,0.25,0.294,0.78,0.25,0.0,,1,,,0.005,,,,,,,,
Kevin Newman,,,,,,621028,3,13,-0.05199588269576018,0.2523949644394504,,0.2523949644394504,-15.2,211.2,,141.5,0.077,0.283,0.781,0.077,0.0,,3,,,0.015,,,,,,,,
Freddy Zamora,,,,,,668965,4,9,0.11963152771177693,0.2515881196174134,,0.2515881196174134,152.6,210.9,,141.3,0.444,0.288,0.786,0.444,0.0,,4,,,0.02,,,,,,,,
Shawn Ross,,,,,,676566,2,8,0.06061655974764267,0.2503803771436098,,0.2503803771436098,94.9,210.4,,141.1,0.25,0.288,0.782,0.25,0.0,,2,,,0.01,,,,,,,,
