batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional
Kai Murphy,,,,,,687625,3,10,0.12001967657595822,0.06873929452443903,,0.06873929452443903,153.0,131.6,,103.0,0.5,0.289,0.785,0.3,0.1,,3,,,0.015,,,,,,,,
Ralphy Velazquez,,,,,,806252,3,9,0.11134760110832101,0.06801530132549896,,0.06801530132549896,144.5,131.3,,102.9,0.778,0.314,0.774,0.333,0.222,,3,,,0.015,,,,,,,,
P. J. Higgins,C,C,C,False,1.0,664731,20,81,0.03419443668592237,0.018931049085258864,0.04927127067596097,0.06820231976121983,69.1,110.0,111.2,102.9,0.333,0.246,0.795,0.16,0.062,0.415,20,0.049,0.415,0.091,C,68.35753522600446,0.0,0.0,0.28571429,92.7,12.0,110.8
Will Robertson,,,,,,683770,2,8,0.08774852087523823,0.06767943464259142,,0.06767943464259142,121.4,131.1,,102.8,0.5,0.296,0.785,0.25,0.0,,2,,,0.01,,,,,,,,
Brandon Marsh,OF,OF,OF,False,1.0,669016,152,526,0.05240094500638274,0.024521999200873387,0.043049842266888814,0.0675718414677622,86.9,112.4,110.0,102.8,0.51,0.331,0.797,0.217,0.097,0.412,152,0.043,0.412,0.432,CF|LF|RF,71.18122972165301,0.1420765,0.17218543,0.28415301,110.1,114.0,108.2
Sammy Siani,,,,,,686445,5,22,0.03825345847571253,0.06768387763012401,,0.06768387763012401,73.0,131.1,,102.8,0.409,0.297,0.776,0.182,0.091,,5,,,0.024,,,,,,,,
Noah Cardenas,,,,,,681433,1,4,0.1382635317322587,0.06690987266991465,,0.06690987266991465,170.9,130.8,,102.7,0.5,0.296,0.783,0.25,0.0,,1,,,0.005,,,,,,,,
Heliot Ramos,OF,OF,OF,False,1.0,671218,161,654,0.07755915833563193,-0.028339969535378304,0.09566495401510372,0.06732498447972542,111.5,89.5,120.3,102.7,0.543,0.345,0.743,0.165,0.139,0.461,161,0.096,0.461,0.446,DH|LF|RF,71.79007781498017,0.10714286,0.14516129,0.21428571,111.5,130.0,108.1
Jac Caglianone,OF,1B|OF,"1B, OF",True,2.0,695506,141,529,0.05023946025619261,0.004528698117304925,0.06270396952562739,0.06723266764293231,84.8,103.8,113.8,102.7,0.465,0.3,0.736,0.159,0.134,0.433,141,0.063,0.433,0.413,1B|DH|RF,76.34735357273392,0.1754386,0.25210084,0.23391813,116.1,110.0,108.1
Bryant Betancourt,,,,,,700164,2,4,0.1768340728025124,0.06638304741072433,,0.06638304741072433,208.6,130.6,,102.5,0.75,0.299,0.785,0.5,0.0,,2,,,0.01,,,,,,,,
Ildemaro Vargas,1B,1B|2B,"1B, 2B",True,2.0,545121,145,483,0.04066752574755641,0.0665943893750914,-0.0005641794644814419,0.06603020991060997,75.4,130.7,101.4,102.5,0.518,0.357,0.838,0.255,0.066,0.366,145,-0.001,0.366,0.42,1B|2B|DH|SS,70.73486689814816,0.17777778,0.21238938,0.39259259,109.0,108.0,103.6
Ketel Marte,2B,2B|DH,"2B, DH",True,2.0,606466,167,621,0.055429617687149525,0.024013165703916057,0.04147088610575585,0.0654840518096719,89.8,112.2,109.6,102.4,0.49,0.314,0.784,0.2,0.106,0.404,167,0.041,0.404,0.455,2B|DH,74.36950860507247,0.16425121,0.22222222,0.23671498,116.9,136.0,109.1
Andy Pages,OF,OF,OF,False,1.0,681624,168,699,0.06454744339075581,-0.00911260797389369,0.07426223589275321,0.06514962791885953,98.7,97.9,116.1,102.3,0.504,0.309,0.786,0.172,0.112,0.44,168,0.074,0.44,0.457,CF|DH,73.28763580322266,0.140625,0.18,0.23828125,109.2,135.0,107.9
Victor Figueroa,,,,,,809372,2,10,0.11976955315006052,0.06509759156752912,,0.06509759156752912,152.8,130.0,,102.3,0.2,0.281,0.766,0.1,0.1,,2,,,0.01,,,,,,,,
Sam Antonacci,OF,OF,OF,False,1.0,803011,89,359,0.0461440496913009,0.0354481972062417,0.029359869649624455,0.06480806685586615,80.7,117.2,107.3,102.2,0.396,0.269,0.833,0.175,0.061,0.397,89,0.029,0.397,0.308,2B|LF,70.20774536132812,0.1125,0.13235294,0.3875,108.4,61.0,107.8
Paul Dejong,,,,,,657557,10,36,0.07501861722496074,0.06439603438207993,,0.06439603438207993,109.0,129.7,,102.1,0.5,0.282,0.779,0.25,0.083,,10,,,0.048,,,,,,,,
Eric Rataczak,,,,,,827388,2,10,0.022570471400436602,0.06316571946410404,,0.06316571946410404,57.7,129.2,,101.9,0.4,0.29,0.774,0.2,0.1,,2,,,0.01,,,,,,,,
Andrew Vaughn,1B,1B,1B,False,1.0,683734,31,105,0.051180731623358275,0.047515745035424876,0.015237302933886834,0.0627530479693117,85.7,122.4,104.5,101.8,0.41,0.282,0.813,0.21,0.076,0.382,31,0.015,0.382,0.134,1B|DH,,,,,,,103.2
Jonathan Aranda,1B,1B,1B,False,1.0,666018,172,701,0.055740859813711935,0.003242097863189889,0.05908413463903677,0.06232623250222666,90.1,103.2,113.1,101.7,0.449,0.308,0.805,0.155,0.087,0.407,172,0.059,0.407,0.462,1B|DH,70.36056143777412,0.09649123,0.12290503,0.26315789,107.0,142.0,103.2
José Herrera,,,,,,645444,3,10,-0.015345756429226812,0.06238922992235532,,0.06238922992235532,20.6,128.9,,101.7,0.4,0.293,0.784,0.2,0.1,,3,,,0.015,,,,,,,,
Diego Mosquera,,,,,,699305,1,4,0.04496303127861342,0.06146542675405692,,0.06146542675405692,79.6,128.5,,101.5,0.5,0.296,0.776,0.25,0.25,,1,,,0.005,,,,,,,,
Brandon Nimmo,OF,OF,OF,False,1.0,607043,176,690,0.07427918102280506,-0.0014052992221987943,0.0616105226615164,0.060205223439317605,108.3,101.2,113.6,101.3,0.493,0.277,0.818,0.175,0.087,0.432,176,0.062,0.432,0.468,DH|RF,72.29881977831197,0.13247863,0.1741573,0.29059829,109.0,147.0,107.4
Seiya Suzuki,OF,OF|DH,"OF, DH",True,2.0,673548,113,478,0.058032987476293506,0.00017301572772084785,0.059590535880306716,0.059763551608027564,92.4,101.9,113.2,101.2,0.4,0.239,0.757,0.144,0.103,0.435,113,0.06,0.435,0.361,DH|RF,73.05561342592593,0.11111111,0.14563107,0.22222222,110.0,92.0,107.3
Jacob Hurtubise,,,,,,674441,4,16,-0.005083707882713126,0.05988437646523145,,0.05988437646523145,30.6,127.8,,101.2,0.375,0.299,0.786,0.188,0.062,,4,,,0.02,,,,,,,,
Joe Vetrano,,,,,,694838,2,6,0.11178403437603407,0.06012831257487921,,0.06012831257487921,145.0,127.9,,101.2,0.333,0.298,0.77,0.167,0.167,,2,,,0.01,,,,,,,,
Daniel Schneemann,OF,2B|3B|OF,"2B, 3B, OF",True,3.0,682177,124,522,0.04751634450544533,-0.020967118510394945,0.08102177647866708,0.06005465796827214,82.1,92.7,117.4,101.2,0.458,0.331,0.703,0.134,0.151,0.453,124,0.081,0.453,0.383,2B|3B|CF|SS,71.48583688446969,0.09090909,0.13157895,0.21212121,107.1,93.0,107.3
Corbin Carroll,OF,OF,OF,False,1.0,682998,163,649,0.043888814388822396,-0.008691989746519515,0.06800583429780216,0.05931384455128264,78.5,98.0,114.9,101.1,0.448,0.341,0.704,0.149,0.14,0.412,163,0.068,0.412,0.449,DH|RF,74.96019613056282,0.09947644,0.14728682,0.19371728,109.5,129.0,107.3
Joey Meneses,1B,1B,1B,False,1.0,608841,4,7,0.15644251942441706,0.059683135573733684,,0.059683135573733684,188.6,127.7,,101.1,1.0,0.306,0.782,0.571,0.143,,4,,,0.02,1B|DH|LF,,,,,,,102.9
Wilyer Abreu,OF,OF,OF,False,1.0,677800,176,688,0.06904573789646888,-0.0023806664393782816,0.061269928535810196,0.058889262096431916,103.1,100.8,113.5,101.0,0.462,0.277,0.802,0.174,0.087,0.414,176,0.061,0.414,0.468,DH|RF,73.93047743055556,0.13333333,0.16393443,0.26222222,113.1,140.0,107.2
Myles Straw,OF,OF,OF,False,1.0,664702,76,275,0.05366782218994518,0.07436562509587301,-0.01534783463735208,0.05901779045852093,88.1,134.0,98.4,101.0,0.396,0.295,0.827,0.218,0.04,0.369,76,-0.015,0.369,0.275,CF|LF|RF,69.43897213152985,0.11940299,0.13793103,0.3880597,107.2,59.0,107.2
Trey Mancini,1B,1B,1B,False,1.0,641820,7,23,0.06362627119588592,0.05829792646740399,,0.05829792646740399,97.8,127.1,,100.9,0.435,0.292,0.776,0.174,0.13,,7,,,0.034,1B,,,,,,,102.8
Ryan O'Hearn,OF,1B|OF|DH,"1B, OF, DH",True,3.0,656811,168,679,0.04159036879141125,0.028094392463007697,0.029678816234613402,0.0577732086976211,76.3,114.0,107.3,100.7,0.432,0.283,0.802,0.175,0.088,0.397,168,0.03,0.397,0.457,1B|DH|RF,70.73947875424209,0.11764706,0.14444444,0.28506787,108.1,140.0,107.1
Brandon Lowe,2B,2B,2B,False,1.0,664040,160,678,0.06915716965209742,-0.014623695989173433,0.07215197763046627,0.05752828164129284,103.3,95.5,115.7,100.7,0.482,0.315,0.704,0.155,0.158,0.436,160,0.072,0.436,0.444,2B|DH,73.09833453190376,0.11297071,0.16167665,0.22175732,110.0,135.0,108.3
Gabriel Moreno,C,C,C,False,1.0,672515,77,328,0.03655218609161678,0.009648653465649405,0.04691303539547281,0.056561688861122214,71.4,106.0,110.7,100.5,0.466,0.336,0.786,0.162,0.098,0.399,77,0.047,0.399,0.278,C|DH,71.750380859375,0.13,0.16455696,0.25,110.2,54.0,109.3
Ryan Ward,OF,OF,OF,False,1.0,669899,6,18,0.06594518251498986,0.0801307751701968,-0.02407023367112293,0.05606054149907387,100.1,136.5,96.7,100.4,0.444,0.284,0.798,0.278,0.0,0.359,6,-0.024,0.359,0.029,1B|DH|LF,,,,,,,106.9
Caden Connor,,,,,,804645,1,3,0.021220190122986798,0.05599122454762523,,0.05599122454762523,56.4,126.1,,100.4,0.667,0.305,0.781,0.333,0.0,,1,,,0.005,,,,,,,,
Ramon Mendoza,,,,,,680636,6,28,0.016558282433829084,0.0560007431246079,,0.0560007431246079,51.8,126.1,,100.4,0.25,0.302,0.76,0.107,0.107,,6,,,0.029,,,,,,,,
Freddie Freeman,1B,1B,1B,False,1.0,518692,172,658,0.08208410821620982,0.01367468998922283,0.0418103286545715,0.055485018643794334,115.9,107.7,109.7,100.3,0.526,0.311,0.824,0.204,0.091,0.408,172,0.042,0.408,0.462,1B,70.62666173135081,0.14516129,0.17307692,0.33064516,110.3,141.0,102.4
Willy Vasquez,,,,,,691938,2,8,0.06449077333313034,0.055279818474075613,,0.055279818474075613,98.7,125.8,,100.2,0.625,0.312,0.753,0.25,0.375,,2,,,0.01,,,,,,,,
Liam Hicks,C,C|1B|DH,"C, 1B, DH",True,3.0,689414,144,532,0.062097596904968584,0.0634391358416627,-0.00885823255161286,0.054580903290049845,96.4,129.3,99.7,100.1,0.44,0.253,0.871,0.222,0.03,0.365,144,-0.009,0.365,0.419,1B|C|DH,67.96294007120254,0.13924051,0.15277778,0.37974684,106.5,112.0,109.1
Seaver King,,,,,,814409,3,13,0.016418435376190248,0.05369064173999396,,0.05369064173999396,51.7,125.1,,99.9,0.385,0.29,0.781,0.154,0.077,,3,,,0.015,,,,,,,,
Kodey Shojinaga,,,,,,809975,1,5,0.07510903051635812,0.05359087745121775,,0.05359087745121775,109.1,125.0,,99.9,0.4,0.302,0.771,0.2,0.2,,1,,,0.005,,,,,,,,
Maikel García,3B,3B,3B,False,1.0,672580,180,672,0.04739638214088237,0.06990869318682669,-0.015976425139474934,0.05393226804735175,82.0,132.1,98.3,99.9,0.378,0.242,0.826,0.198,0.057,0.371,180,-0.016,0.371,0.474,3B|DH|SS,72.11587456597222,0.16666667,0.19354839,0.32777778,110.2,141.0,103.8
Will Wilson,3B,3B,3B,False,1.0,669717,8,34,0.07388364947191,-0.03415654873275829,0.08798893614261474,0.05383238740985645,107.9,87.0,118.8,99.9,0.529,0.305,0.754,0.118,0.206,0.502,8,0.088,0.502,0.038,3B,,,,,,,103.8
Jorge Mateo,SS,SS,SS,False,1.0,622761,69,271,0.06402342203199725,-0.020531923685008405,0.07416669655036111,0.0536347728653527,98.2,92.9,116.1,99.9,0.531,0.356,0.747,0.162,0.159,0.438,69,0.074,0.438,0.257,DH|SS,73.73583409926471,0.10588235,0.15517241,0.17647059,112.2,44.0,107.7
Julio Rodríguez,OF,OF,OF,False,1.0,677594,184,732,0.0658289097212277,-0.008459519117941811,0.06237679249404128,0.05391727337609947,100.0,98.1,113.8,99.9,0.519,0.346,0.721,0.171,0.138,0.411,184,0.062,0.411,0.479,CF|DH,76.23309659090908,0.11272727,0.15346535,0.17454545,111.3,152.0,106.6
Matt Halbach,,,,,,801561,1,4,0.12575633965627778,0.05304385638716079,,0.05304385638716079,158.6,124.8,,99.8,0.5,0.293,0.776,0.25,0.25,,1,,,0.005,,,,,,,,
Carlos Correa,SS,3B|SS,"3B, SS",True,2.0,621043,143,601,0.05526488461919251,0.007642669918422423,0.043960581145710796,0.051603251064133215,89.7,105.1,110.1,99.5,0.451,0.301,0.78,0.165,0.097,0.403,143,0.044,0.403,0.417,3B|SS,73.36045138888889,0.13333333,0.16853933,0.22222222,113.1,137.0,107.5
Hunter Goodman,C,C|DH,"C, DH",True,2.0,696100,168,610,0.06359255395004448,-0.030810390170068168,0.082136369309374,0.05132597913930583,97.8,88.4,117.7,99.4,0.557,0.359,0.706,0.154,0.185,0.454,168,0.082,0.454,0.457,C|DH,75.37664337830397,0.11013216,0.17241379,0.17621145,111.7,134.0,108.7
Mark Vientos,1B,1B,1B,False,1.0,668901,123,463,0.07742109699290001,-0.006511063636020538,0.05744132912675138,0.05093026549073084,111.3,99.0,112.8,99.3,0.527,0.321,0.735,0.19,0.149,0.426,123,0.057,0.426,0.381,1B|3B|DH,73.0374785632622,0.12195122,0.17699115,0.23780488,110.2,91.0,101.9
Ed Howard,,,,,,690992,2,9,0.1502274493246729,0.05102968209103308,,0.05102968209103308,182.6,123.9,,99.3,0.556,0.295,0.777,0.222,0.111,,2,,,0.01,,,,,,,,
Roman Anthony,OF,OF|DH,"OF, DH",True,2.0,701350,140,574,0.03591233788891528,0.004395368800063044,0.04580658041872655,0.05020194921878959,70.7,103.7,110.5,99.2,0.364,0.242,0.724,0.143,0.098,0.416,140,0.046,0.416,0.412,DH|LF|RF,75.66021798670977,0.14942529,0.20634921,0.26436782,112.3,129.0,106.3
Carlos Pérez,,,,,,542208,4,13,0.004485618165210896,0.04986175378844818,,0.04986175378844818,40.0,123.4,,99.1,0.538,0.318,0.779,0.231,0.077,,4,,,0.02,,,,,,,,
Ryan Jeffers,C,C,C,False,1.0,680777,131,551,0.057792394508819046,0.03305719247760368,0.016877784786734823,0.0499349772643385,92.1,116.1,104.8,99.1,0.394,0.281,0.805,0.163,0.06,0.395,131,0.017,0.395,0.396,C|DH,73.37407136694786,0.12269939,0.14814815,0.25153374,112.0,104.0,108.5
Cam Smith,OF,OF,OF,False,1.0,701358,163,675,0.05799199402516484,-0.020488762797298308,0.06978439036436004,0.04929562756706174,92.3,92.9,115.2,99.0,0.465,0.329,0.722,0.145,0.135,0.442,163,0.07,0.442,0.449,RF,77.5598604210251,0.11297071,0.16167665,0.17573222,112.3,137.0,106.2
Michael Helman,OF,OF,OF,False,1.0,680737,6,21,0.0685252177772386,0.049358591800099175,,0.049358591800099175,102.6,123.2,,99.0,0.619,0.332,0.783,0.238,0.143,,6,,,0.029,CF|SS,,,,,,,106.2
Dyan Jorge,,,,,,694170,1,6,0.06511279305481822,0.0487635171741279,,0.0487635171741279,99.3,122.9,,98.9,0.333,0.289,0.781,0.167,0.0,,1,,,0.005,,,,,,,,
Chase Delauter,OF,OF|DH,"OF, DH",True,2.0,800050,158,601,0.06291432306325033,0.05129621033373578,-0.0029558677118797123,0.04834034262185606,97.2,124.0,100.9,98.8,0.404,0.23,0.82,0.201,0.052,0.368,158,-0.003,0.368,0.441,DH|RF,71.51748433086158,0.14124294,0.16556291,0.32768362,111.2,130.0,106.1
Brady House,3B,3B,3B,False,1.0,691781,155,569,0.06690509045417811,-0.00815879201145256,0.05562376357894071,0.04746497156748815,101.1,98.3,112.4,98.6,0.515,0.323,0.734,0.176,0.158,0.416,155,0.056,0.416,0.437,3B|DH,73.13325971086448,0.08878505,0.1292517,0.19626168,113.4,128.0,103.4
Nic Kent,,,,,,684715,3,12,0.09260576408392303,0.04770037842458816,,0.04770037842458816,126.2,122.5,,98.6,0.5,0.287,0.768,0.25,0.167,,3,,,0.015,,,,,,,,
Nathan Church,OF,OF,OF,False,1.0,701675,128,448,0.04897078214185952,0.01949404376733597,0.027228900965755726,0.0467229447330917,83.5,110.3,106.8,98.4,0.558,0.39,0.782,0.21,0.112,0.372,128,0.027,0.372,0.39,CF|LF|RF,70.73947924236919,0.0872093,0.11363636,0.21511628,110.1,104.0,105.8
Michael Stefanic,2B,2B,2B,False,1.0,683021,9,44,0.017093461315015705,0.04667832196398562,,0.04667832196398562,52.3,122.0,,98.4,0.364,0.304,0.808,0.159,0.0,,9,,,0.043,2B,,,,,,,107.1
Corey Seager,SS,SS,SS,False,1.0,608369,174,662,0.07952100906652249,-0.02386015975417677,0.07026557408929819,0.04640541433512142,113.4,91.5,115.3,98.4,0.502,0.287,0.709,0.157,0.16,0.429,174,0.07,0.429,0.465,SS,71.84707346270162,0.10887097,0.1626506,0.22983871,110.3,143.0,106.9
Trent Farquhar,,,,,,802531,2,8,0.06363752646827656,0.04626329092819492,,0.04626329092819492,97.9,121.9,,98.3,0.25,0.289,0.767,0.125,0.125,,2,,,0.01,,,,,,,,
Pete Alonso,1B,1B,1B,False,1.0,624413,188,765,0.06416719154122275,-0.009750409273391684,0.056024625178110965,0.04627421590471928,98.4,97.6,112.5,98.3,0.437,0.274,0.753,0.157,0.114,0.422,188,0.056,0.422,0.485,1B|DH,73.96912202380952,0.16883117,0.22674419,0.26839827,114.6,146.0,101.4
Carlos Cortes,OF,OF|DH,"OF, DH",True,2.0,666126,108,437,0.07661773051442772,0.027567918360640535,0.018733388981717836,0.04630130734235837,110.6,113.8,105.2,98.3,0.455,0.254,0.831,0.206,0.08,0.405,108,0.019,0.405,0.351,DH|LF|RF,70.45951573988971,0.18382353,0.22123894,0.31617647,110.4,84.0,105.8
Luis Campusano,C,C,C,False,1.0,669134,65,256,0.06491384510459602,-0.007001406428614597,0.0530391871770837,0.046037780748469107,99.1,98.8,111.9,98.3,0.492,0.311,0.761,0.156,0.133,0.418,65,0.053,0.418,0.245,C,72.51756026105183,0.08536585,0.11864407,0.19512195,110.0,54.0,108.0
Kevin Kilpatrick Jr.,,,,,,687201,6,20,0.07809556116500047,0.045626427293399864,,0.045626427293399864,112.0,121.6,,98.2,0.5,0.282,0.797,0.3,0.0,,6,,,0.029,,,,,,,,
Darell Morel,,,,,,829716,1,5,0.05951041958131775,0.04513879579252256,,0.04513879579252256,93.8,121.4,,98.1,0.4,0.292,0.782,0.2,0.0,,1,,,0.005,,,,,,,,
John Peck,,,,,,807726,4,12,0.011412592930858396,0.04510802265958783,,0.04510802265958783,46.8,121.4,,98.1,0.583,0.304,0.777,0.25,0.25,,4,,,0.02,,,,,,,,
Nico Hoerner,2B,2B,2B,False,1.0,663538,190,680,0.042468550379521595,0.08592586132883197,-0.04063270179209095,0.04529315953674102,77.2,139.1,93.5,98.1,0.425,0.302,0.867,0.229,0.04,0.326,190,-0.041,0.326,0.487,2B|SS,68.24228753810975,0.06341463,0.06878307,0.36585366,105.8,152.0,106.9
Braden Shewmake,SS,SS,SS,False,1.0,669699,21,65,0.03722048043653561,0.05074773964583447,-0.006664712982971735,0.044083026662862734,72.0,123.8,100.2,97.9,0.646,0.349,0.781,0.277,0.123,0.334,21,-0.007,0.334,0.095,2B|3B|SS,67.81537420099431,0.04545455,0.06666667,0.22727273,103.6,11.0,106.6
Simon Juan,,,,,,703159,2,8,0.09971950069472384,0.04349817176180065,,0.04349817176180065,133.2,120.7,,97.8,0.625,0.316,0.761,0.25,0.25,,2,,,0.01,,,,,,,,
Drew Romo,C,C,C,False,1.0,691011,35,134,0.08256824446925823,-0.01615407160276562,0.059736686339634075,0.043582614736868454,116.4,94.8,113.2,97.8,0.448,0.285,0.758,0.149,0.112,0.44,35,0.06,0.44,0.149,C,69.82435490534856,0.11538462,0.15,0.19230769,106.0,16.0,107.7
Charles Mcadoo,2B,2B,2B,False,1.0,807727,1,6,0.1384041852681271,0.043782246393267124,,0.043782246393267124,171.0,120.8,,97.8,0.333,0.291,0.781,0.167,0.0,,1,,,0.005,1B|2B,,,,,,,106.7
Adley Rutschman,C,C|DH,"C, DH",True,2.0,668939,107,432,0.04843224918644086,0.04274323829908253,0.0008852071605120759,0.04362844545959461,83.0,120.3,101.6,97.8,0.424,0.262,0.835,0.19,0.058,0.379,107,0.001,0.379,0.349,C|DH,71.18668202457265,0.14529915,0.16666667,0.34188034,106.8,76.0,107.7
Colt Keith,3B,3B|DH,"3B, DH",True,2.0,690993,129,481,0.048950872352856986,0.04699760033718232,-0.0037127116752023966,0.04328488866197992,83.5,122.2,100.7,97.7,0.41,0.221,0.756,0.195,0.096,0.387,129,-0.004,0.387,0.392,1B|3B|DH,72.38229305186171,0.21276596,0.26785714,0.41843972,109.6,104.0,103.1
Zavier Warren,,,,,,680518,1,3,0.11217375982870055,0.041843714592709566,,0.041843714592709566,145.3,119.9,,97.4,0.667,0.296,0.775,0.333,0.333,,1,,,0.005,,,,,,,,
César Salazar,C,C,C,False,1.0,663967,9,35,0.06897540675214782,0.0831416026485115,-0.041619820866821505,0.04152178178169,103.1,137.8,93.3,97.3,0.429,0.27,0.794,0.229,0.029,0.325,9,-0.042,0.325,0.043,C,,,,,,,107.4
Mike Sirota,,,,,,701527,2,6,-0.07944547971149366,0.04087204855771357,,0.04087204855771357,-42.1,119.5,,97.2,0.333,0.295,0.782,0.167,0.0,,2,,,0.01,,,,,,,,
Javier Báez,SS,SS,SS,False,1.0,595879,91,305,0.04766412675177458,0.03578604022545739,0.005088385752067885,0.040874425977525275,82.2,117.3,102.5,97.2,0.597,0.391,0.722,0.226,0.161,0.35,91,0.005,0.35,0.313,2B|CF|SS,72.50180338541666,0.08666667,0.11818182,0.20666667,104.0,82.0,106.2
Kyle West,,,,,,823918,2,9,0.0797045192678886,0.04061447484553103,,0.04061447484553103,113.6,119.4,,97.2,0.444,0.287,0.783,0.222,0.0,,2,,,0.01,,,,,,,,
Konnor Griffin,SS,SS,SS,False,1.0,804606,139,534,0.04669664905561614,-0.01244081174862658,0.052691348984506586,0.040250537235880006,81.3,96.4,111.9,97.1,0.496,0.354,0.714,0.157,0.165,0.423,139,0.053,0.423,0.41,DH|SS,75.2109375,0.0952381,0.13740458,0.1957672,113.2,114.0,106.2
Fernando Tatís,OF,2B|OF,"2B, OF",True,2.0,665487,168,631,0.07929287959455712,-0.015541555894573894,0.05603891523687395,0.04049735934230006,113.2,95.1,112.5,97.1,0.482,0.275,0.743,0.165,0.138,0.416,168,0.056,0.416,0.457,2B|RF,74.45438821517413,0.1840796,0.25517241,0.26865672,113.5,139.0,105.2
Antonio Anderson,,,,,,702995,2,9,0.012874398058426655,0.039983334238105545,,0.039983334238105545,48.2,119.1,,97.0,0.444,0.29,0.787,0.222,0.0,,2,,,0.01,,,,,,,,
AJ Salgado,,,,,,814514,3,13,0.135521380337966,0.03916955339750215,,0.03916955339750215,168.2,118.8,,96.9,0.538,0.291,0.786,0.231,0.077,,3,,,0.015,,,,,,,,
Kade Snell,,,,,,820835,5,18,0.08450038719631618,0.03916179076609183,,0.03916179076609183,118.3,118.8,,96.9,0.389,0.281,0.792,0.167,0.0,,5,,,0.024,,,,,,,,
Lenyn Sosa,2B,2B,2B,False,1.0,672820,92,338,0.03742805902540834,0.02754758008412503,0.012024522620071636,0.039572102704196664,72.2,113.7,103.8,96.9,0.571,0.418,0.793,0.213,0.115,0.351,92,0.012,0.351,0.315,1B|2B|DH,72.40363011853448,0.12413793,0.16363636,0.24827586,107.7,77.0,106.3
Yandy Díaz,DH,DH,DH,False,1.0,650490,169,597,0.0686367533359353,0.03995389009333624,-0.002109940992753713,0.03784394910058253,102.7,119.1,101.1,96.6,0.472,0.259,0.859,0.223,0.052,0.356,169,-0.002,0.356,0.458,DH,72.79347511574075,0.16402116,0.18562874,0.29100529,112.8,135.0,103.7
Everson Pereira,OF,OF,OF,False,1.0,677592,74,247,0.0889453324653443,-0.03062998726364677,0.06826099437472953,0.03763100711108276,122.6,88.5,114.9,96.5,0.599,0.357,0.741,0.19,0.186,0.429,74,0.068,0.429,0.27,CF|DH|RF,74.6188228546627,0.11904762,0.17647059,0.1984127,108.4,71.0,104.8
Ronald Acuña,OF,OF,OF,False,1.0,660670,159,633,0.0863277532054561,-0.02383773417024629,0.06050097490132185,0.03666324073107556,120.1,91.5,113.4,96.3,0.46,0.276,0.724,0.161,0.122,0.427,159,0.061,0.427,0.443,DH|RF,75.49322102864583,0.125,0.16666667,0.225,112.3,152.0,104.7
Leonel Espinoza,,,,,,696083,2,5,0.16914388707649275,0.036538915821662514,,0.036538915821662514,201.1,117.6,,96.3,0.8,0.298,0.787,0.4,0.0,,2,,,0.01,,,,,,,,
Richie Martin,,,,,,621006,2,6,0.005502867549451736,0.03624690161744404,,0.03624690161744404,41.0,117.5,,96.2,0.667,0.32,0.753,0.167,0.5,,2,,,0.01,,,,,,,,
Kevin Mcgonigle,SS,3B|SS,"3B, SS",True,2.0,805808,182,750,0.07678028795833391,0.013768639976235689,0.02206844673606521,0.0358370867123009,110.7,107.8,105.8,96.2,0.424,0.262,0.846,0.177,0.051,0.392,182,0.022,0.392,0.476,3B|DH|SS,71.44860372340426,0.11489362,0.12796209,0.31914894,109.5,150.0,105.7
Troy Johnston,OF,1B|OF|DH,"1B, OF, DH",True,3.0,687859,143,504,0.0433112614528685,0.015776722144858726,0.019952487080498207,0.03572920922535693,78.0,108.6,105.4,96.1,0.496,0.342,0.778,0.198,0.111,0.372,143,0.02,0.372,0.417,1B|DH|LF|RF,69.9665077252095,0.12290503,0.15602837,0.30726257,106.3,118.0,104.6
Xavier Edwards,2B,2B,2B,False,1.0,669364,174,670,0.05241041628829735,0.06480707688574272,-0.02941556457965421,0.03539151230608851,86.9,129.9,95.7,96.1,0.401,0.245,0.841,0.201,0.06,0.361,174,-0.029,0.361,0.465,2B|DH,67.39676339285714,0.08994709,0.10429448,0.40740741,105.7,145.0,105.9
Mickey Moniak,OF,OF|DH,"OF, DH",True,2.0,666160,137,503,0.06270916375701377,-0.006298746145722358,0.041419052974721336,0.03512030682899898,97.0,99.1,109.6,96.0,0.575,0.372,0.753,0.175,0.157,0.412,137,0.041,0.412,0.407,CF|DH|LF|RF,73.88176618303571,0.10204082,0.13513514,0.25,109.1,107.0,104.6
Gabriel Arias,SS,3B|SS,"3B, SS",True,2.0,672356,43,172,0.07385308243116123,-0.028325377992162008,0.0635609863192849,0.0352356083271229,107.9,89.5,114.0,96.0,0.448,0.264,0.726,0.14,0.169,0.451,43,0.064,0.451,0.177,3B|SS,76.28647161989795,0.14285714,0.24137931,0.16326531,111.6,32.0,105.6
Will Banfield,,,,,,677943,4,12,0.05916465635979983,0.034419566939858794,,0.034419566939858794,93.5,116.7,,95.9,0.5,0.291,0.783,0.25,0.083,,4,,,0.02,,,,,,,,
