run_date,signal,n,raw_r,incr_r,ci_lo,ci_hi,p,fdr_pass
2026-07-18,fp_g_season,493,0.29152098437238316,,,,,False
2026-07-18,woba_actual_season,493,0.24598275254258908,0.00599173620907055,-0.09835283601283644,0.09728139016089975,0.932,False
2026-07-18,rh3_proj,162,0.2317138675362346,0.031620100566320995,-0.12810927260181848,0.18430257750368897,0.7,False
2026-07-18,fp_g_l21,493,0.1652099597693236,-0.039809745525746495,-0.1324112620207145,0.061468258362412154,0.3,False
2026-07-18,hardhit_pct_season,493,0.1578840167319904,0.08122738874069312,-0.014456190794199004,0.16181251296321789,0.1,False
2026-07-18,ev90_season,493,0.15406436488289932,0.08259008451048964,-0.007480343775977055,0.1779604754328988,0.068,False
2026-07-18,xwobacon_season,493,0.14388795437726729,0.037814168651132754,-0.05760194077108316,0.12144210177888604,0.384,False
2026-07-18,xwobacon_l21,493,0.1293722667294786,0.05703022666657086,-0.029182975680443018,0.14152429525389518,0.208,False
2026-07-18,k_pct_season,493,-0.1278175907210625,-0.022175414007027237,-0.10679889104982991,0.07257720963302604,0.66,False
2026-07-18,whiff_pct_l21,493,-0.11817221640011244,-0.05979722059470552,-0.15323749167101972,0.03228192887203272,0.204,False
2026-07-18,ev90_l21,493,0.11717144834249466,0.05973110845934813,-0.034495651128646845,0.14498492563102847,0.2,False
2026-07-18,k_pct_l21,493,-0.1160071268338449,-0.026975415510442968,-0.11465873947693277,0.06413795437193184,0.616,False
2026-07-18,hardhit_pct_l21,493,0.10788980693510376,0.061514929860387,-0.035206626563662656,0.15611052481439855,0.204,False
2026-07-18,whiff_pct_season,493,-0.10723195380163358,-0.043940475355731395,-0.1286242870273588,0.040603230391692786,0.336,False
2026-07-18,woba_actual_l21,493,0.10687205321759724,-0.03121169088801679,-0.1270872946710985,0.060094594692500454,0.5,False
2026-07-18,barrel_pct_season,493,0.09895409595755074,0.007658952782434045,-0.0995359741709522,0.10137863426088844,0.916,False
2026-07-18,bat_speed_l21,493,0.09042697432117675,0.03797247759508638,-0.04841750729987307,0.12538246098511635,0.368,False
2026-07-18,bat_speed_season,493,0.0852208383231143,0.03934520981373279,-0.05678284122594599,0.12961778875054525,0.38,False
2026-07-18,fast_swing_pct_season,493,0.08113317766655603,0.038329595355082305,-0.0528613077874036,0.12072910433172239,0.448,False
2026-07-18,fast_swing_pct_l21,493,0.0648196557784853,0.01992513514663889,-0.0818891436366969,0.10400036837410283,0.684,False
2026-07-18,bb_pct_season,493,0.047530515750616883,-0.027538563135106747,-0.11054871574576383,0.048356821243758424,0.492,False
2026-07-18,barrel_pct_l21,493,0.047113597692388716,-0.01367210016333037,-0.10505876204832214,0.08456099760833424,0.792,False
2026-07-18,chase_pct_season,493,-0.01800252563867118,0.0071903619163664065,-0.07724786622628048,0.0938791400307927,0.92,False
2026-07-18,decision_gap_l21,493,-0.015153904766439096,-0.02845749261781885,-0.13178684189207376,0.06828514894098758,0.524,False
2026-07-18,chase_pct_l21,493,-0.01514932926931574,0.017649925835338597,-0.07816472433300768,0.10240493557261639,0.716,False
2026-07-18,decision_gap_season,493,-0.005519460606727623,-0.018319696519509827,-0.10837318483798886,0.06910183247407337,0.712,False
2026-07-18,bb_pct_l21,493,0.004413262598290973,-0.057168124670616355,-0.14032065037155353,0.03312060857785658,0.228,False
2026-07-18,COMPOSITE::season_fp alone,493,0.28521677825590347,,,,,
2026-07-18,COMPOSITE::season_fp + top-3 FDR,493,0.28521677825590347,,,,,
2026-07-18,COMPOSITE::kitchen sink (all),493,0.23457472222085976,,,,,
