rank,batter,player_name,team,pa_to,split_day,prior_fp_per_pa,xfp_rh2_per_pa,iso_to_sh,k_pct_to_sh,hr_per_pa_to_sh,hard_hit_pct_to_sh,contact_pct_to_sh,whiff_pct_to_sh,swstr_pct_to_sh,bb_pct_to_sh,chase_pct_to_sh,in_play_pct_to_sh,sb_per_pa_to_sh,xwoba_per_pa_to_sh,barrel_pct_to_sh,prior_fp_per_pa,prior_pa_eff,pa_to,split_day
1,670541,Yordan Alvarez,HOU,125,30,0.7224165864832832,0.7681308579914572,0.253073855365211,0.13196047917491627,0.05508532291692277,0.4535787489923196,0.7906716241688304,0.2093283758311696,0.09224991793831776,0.11978911828134994,0.2645845386747941,0.18269929347436292,0.0,0.394316296185645,0.1548131466457714,0.7224165864832832,418.5833333333333,125,30
2,608070,José Ramírez,CLE,122,30,0.7799643594551983,0.6905374862413516,0.1891542899276737,0.16160817938109617,0.03852798034415141,0.4294719290949219,0.8054170952449746,0.19458290475502546,0.09141759379171616,0.1254063387559121,0.2824116016087798,0.16664625156968918,0.0,0.35181311424699635,0.10281960899779069,0.7799643594551983,680.5,122,30
3,592450,Aaron Judge,NYY,114,30,0.8615519372128695,0.6807755584060429,0.22046993635337503,0.24949821061700866,0.05017665584680357,0.45900162818669094,0.6876829968327348,0.31231700316726524,0.13364273372645297,0.13396723922619969,0.26395293091219024,0.14023309895733707,0.0,0.35860597557427226,0.1694952394973173,0.8615519372128695,632.0833333333334,114,30
4,660271,Shohei Ohtani,LAD,125,30,0.8306761795322842,0.6405047994522338,0.1694236652511426,0.24006858728302438,0.03474633986607532,0.45416542915499497,0.7318975691392652,0.2681024308607348,0.11811736178001596,0.11978911828134994,0.2825351702442732,0.156359877268605,0.0,0.34789717853858626,0.1556021870795044,0.8306761795322842,688.5,125,30
5,518692,Freddie Freeman,LAD,110,30,0.6844488116247129,0.6361595952998378,0.16753239985019427,0.14948640380799705,0.029464893787472177,0.4522332054848506,0.795047473361478,0.2049525266385221,0.10511121394359596,0.08412319121274231,0.28849227258909804,0.19438244459261078,0.0,0.34810988019243694,0.12306860017173578,0.6844488116247129,654.3333333333334,110,30
6,700250,Ben Rice,NYY,102,30,0.5739225767317601,0.6286931548706738,0.24921162123889098,0.2556338805392562,0.05239033184004489,0.5181731653038989,0.7401503520685823,0.25984964793141785,0.10652227670671921,0.1276951981032916,0.24839449755005313,0.14305706615657188,0.0,0.36038275424236255,0.16174730308285273,0.5739225767317601,280.5833333333333,102,30
7,701398,Sal Stewart,CIN,119,30,0.5840445534738538,0.6166292347531929,0.21968864107271185,0.19224965724781845,0.04930854761415991,0.4458639874573235,0.7541394078619682,0.24586059213803182,0.11782437131364916,0.11442817564406163,0.27827142406567285,0.17092393138802614,0.0,0.3560890759158084,0.16781272384503462,0.5840445534738538,24.166666666666668,119,30
8,571970,Max Muncy,LAD,104,30,0.6456853004033417,0.6125531726296574,0.22223369584420202,0.24641883321560673,0.0520079206587307,0.4726387819195521,0.7154271126358753,0.2845728873641247,0.12829710704970276,0.10869791954879793,0.2718172445946262,0.15752358762143961,0.0,0.35158935500640714,0.1414466090592879,0.6456853004033417,397.0,104,30
9,666126,Carlos Cortes,ATH,63,30,0.5700458002909183,0.6104093015545955,0.1961217694057627,0.14156657436877643,0.039700301547176874,0.4505648772515474,0.8037110588339885,0.19628894116601153,0.09656227154996894,0.08933515835481275,0.2678851416160385,0.18877871194124304,0.0,0.3476925777344596,0.11634433809417027,0.5700458002909183,41.25,63,30
10,686948,Drake Baldwin,ATL,130,30,0.6568649511120116,0.609180711248008,0.18318269551105257,0.20743520340715532,0.04083390086830737,0.4457727311207813,0.7732004114351756,0.22679958856482443,0.11139601148056168,0.08939333591572293,0.3062388739479769,0.17636444485269526,0.0,0.3451861648346492,0.12845333445499665,0.6568649511120116,185.83333333333334,130,30
