rank,pitcher,name,team_abbr,role,fp,xfp_rps1_total
223,676130,José Buttó,,middle,142.1,115.7
224,543056,Danny Coulombe,,middle,140.9,115.5
225,683409,Angel Chivilli,,middle,41.6,115.4
226,643338,Chad Green,,middle,78.1,114.9
227,664192,Joey Lucchesi,,middle,88.5,114.9
228,663767,Chase Shugart,,middle,104.5,114.2
229,518489,Ryan Brasier,,long_low,55.8,113.7
230,607481,Aaron Bummer,,middle,109.3,113.4
231,656186,Dan Altavilla,,long_low,76.7,113.2
232,676092,Collin Snider,,long_low,46.9,112.4
233,543859,Michael Tonkin,,long_low,43.2,111.6
234,656457,Tyler Gilbert,,middle,122.3,111.1
235,669084,DL Hall,,long_low,85.6,110.9
236,657612,Tim Hill,,setup,168.1,110.7
237,593576,Héctor Neris,,middle,51.0,109.6
238,519151,Ryan Pressly,,middle,98.4,108.8
239,547184,Michael Kelly,,middle,103.9,108.7
240,571948,Hoby Milner,,setup,175.1,108.5
241,605347,Jorge López,,long_low,42.4,108.4
242,663455,Konnor Pilkington,,middle,68.5,107.9
243,676571,PJ Poulin,,long_low,65.4,107.9
244,806188,Cade Gibson,,middle,130.4,107.5
245,670059,Colin Holderman,,long_low,19.7,106.4
246,669684,Chris Murphy,,long_low,78.4,104.2
247,685107,Anthony Veneziano,,long_low,48.5,104.0
248,681006,Josh Simpson,,middle,32.2,103.3
249,678226,Daysbel Hernández,,middle,88.1,103.2
250,680880,Grant Holman,,long_low,36.9,103.0
251,623167,Chris Flexen,,long_low,91.1,102.7
252,605177,Andrew Chafin,,middle,89.1,102.6
253,682825,Luis Mey,,long_low,47.3,102.3
254,687377,Orlando Ribalta,,long_low,23.3,102.1
255,682120,Tim Herrin,,setup,96.8,102.0
256,664139,Ian Gibaut,,long_low,44.6,100.9
257,829272,Shinnosuke Ogasawara,,long_low,36.6,100.1
258,667463,John King,,middle,64.5,99.4
259,622786,Jesus Tinoco,,long_low,54.8,99.4
260,657424,Matt Gage,,middle,62.3,98.2
261,674285,Eduardo Salazar,,middle,4.7,97.3
262,688642,Zach Agnos,,middle,54.4,95.4
263,694350,Zach Brzykcy,,long_low,11.9,94.0
264,621199,Matt Bowman,,long_low,26.4,93.5
265,657240,Julian Merryweather,,long_low,34.6,93.3
266,680689,Lyon Richardson,,middle,62.3,92.8
267,657514,Brennan Bernardino,,middle,118.5,89.7
268,689225,Beau Brieske,,long_low,35.6,89.0
269,669674,Sam Long,,middle,48.1,88.5
270,663765,Jake Woodford,,long_low,48.9,87.9
271,688297,Chris Roycroft,,long_low,12.2,85.7
272,689690,Alek Jacob,,long_low,45.0,85.0
273,605463,Tayler Scott,,long_low,19.2,84.5
274,669062,Erik Miller,,middle,84.0,84.2
275,669020,Ryan Rolison,,middle,23.7,79.0
276,519008,T.J. McFarland,,long_low,18.7,75.9
277,669060,Bryse Wilson,,long_low,26.2,56.9
278,518397,Scott Alexander,,long_low,15.3,52.8
279,678821,Luis Peralta,,long_low,-5.3,44.4
