rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_sigma_raw,xfp_rh3_sigma_global,xfp_rh3_sigma_hetero,batter_sigma_factor,sigma_calibration_method,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior
73,669364,Xavier Edwards,MIA,2B,480,71.0,0.5241781339089061,-0.0187,0.551519982213195,1.93,0.0931970861250964,0.1075864795068277,0.1075864795068277,0.0931970861250964,0.8662527722099311,hetero_v1,0.4886585476218174,0.6143814168045726,105.0,57.9,0.5178999715490752,0.0336,hold,99.5,201.0,49.3,0.2611,-0.0027,48.0,3.0,False
74,689414,Liam Hicks,TB,C,420,77.0,0.497815436332252,0.0034,0.5504562230451332,1.93,0.0961553244487583,0.1075864795068277,0.1075864795068277,0.0961553244487583,0.8937491484945942,hetero_v1,0.4855994567044456,0.6153129893858207,92.0,50.6,0.5266768880291347,0.0238,hold,98.9,88.0,64.8,0.34,0.1597,51.0,0.0,True
75,691016,Tyler Soderstrom,ATH,OF,424,76.0,0.5087758916073343,-0.0216,0.5501089051705196,1.93,0.1102722061387,0.1075864795068277,0.1075864795068277,0.1102722061387,1.024963421465072,hetero_v1,0.4757303021299664,0.6244875082110728,92.0,50.6,0.5071578343016413,0.043,hold,54.3,125.0,98.4,0.3251,0.1457,59.0,12.0,False
76,808982,Jung Hoo Lee,SF,OF,426,75.0,0.5423235492667,0.0053,0.5500015068621691,1.93,0.088234403514269,0.1075864795068277,0.1075864795068277,0.088234403514269,0.8201253904647884,hetero_v1,0.4904874016917946,0.6095156120325436,93.0,51.2,0.5071578343016413,0.0428,hold,45.4,69.0,97.1,0.3433,0.0452,56.0,-2.0,True
77,575929,Willson Contreras,BOS,1B,431,66.0,0.5391573402693299,-0.0216,0.5488060523543739,1.92,0.1225663449476938,0.1075864795068277,0.1075864795068277,0.1225663449476938,1.139235575971379,hetero_v1,0.4661350526871543,0.6314770520215933,94.0,51.6,0.5728714641460441,-0.0241,hold,52.5,543.0,72.6,0.2822,0.0535,61.0,-0.5,False
78,669257,Will Smith,LAD,C,201,0.0,0.6152302621488643,-0.0274,0.5484679454270237,1.92,0.103261547468654,0.1075864795068277,0.1075864795068277,0.103261547468654,0.9598004130444732,hetero_v1,0.4788180316594166,0.6181178591946308,44.0,24.1,0.5266768880291347,0.0218,hold,18.9,130.0,95.4,0.3507,0.1439,65.0,1.5,False
79,670623,Isaac Paredes,HOU,3B,463,79.0,0.5895708814476686,0.0112,0.54837942873778,1.92,0.1040813150009469,0.1075864795068277,0.1075864795068277,0.1040813150009469,0.9674200278515634,hetero_v1,0.4781765817696413,0.6185822757059187,101.0,55.4,0.5235834022778508,0.0248,hold,44.1,233.0,88.8,0.35,0.0873,57.0,-0.0,False
80,668715,Spencer Steer,CIN,1B,384,26.0,0.5389393121957076,-0.0205,0.5483293840865252,1.92,0.1079105240558333,0.1075864795068277,0.1075864795068277,0.1079105240558333,1.0030119449069346,hetero_v1,0.4755437356108656,0.6211150325621848,84.0,46.1,0.5728714641460441,-0.0245,hold,36.0,163.0,90.8,0.297,0.1055,48.0,-4.0,False
81,807799,Masataka Yoshida,BOS,DH,262,61.0,0.5758765769926255,0.0023,0.547760182191059,1.92,0.0955145432166403,0.1075864795068277,0.1075864795068277,0.0955145432166403,0.8877931841851813,hetero_v1,0.4833356227914351,0.6121847415906829,57.0,31.2,0.4780723282736954,0.0697,add,57.7,164.0,80.0,0.33,0.0954,55.0,-1.0,True
82,663757,Trent Grisham,NYY,OF,379,76.0,0.506733441895859,-0.0285,0.5441240386775028,1.9,0.1055656138274152,0.1075864795068277,0.1075864795068277,0.1055656138274152,0.981216360190648,hetero_v1,0.4729200321509112,0.6153280452040943,83.0,45.2,0.5071578343016413,0.037,hold,70.9,503.0,70.0,0.205,0.0544,64.0,9.0,False
83,665052,Griffin Conine,MIA,OF,151,60.0,0.454646391965177,-0.0097,0.5437270963607204,1.9,0.1278337331230163,0.1075864795068277,0.1075864795068277,0.1278337331230163,1.18819514969726,hetero_v1,0.4575032433692458,0.6299509493521949,33.0,17.9,0.5071578343016413,0.0366,hold,,,,,,,0.0,False
84,592518,Manny Machado,SD,3B,476,85.0,0.60416799073676,0.0046,0.5428840344921309,1.9,0.1155376741128546,0.1075864795068277,0.1075864795068277,0.1155376741128546,1.073905147212502,hetero_v1,0.4649538733030104,0.6208141956812513,104.0,56.5,0.5235834022778508,0.0193,hold,20.9,329.0,92.4,0.3695,0.1568,62.0,0.5,False
85,666182,Bo Bichette,NYM,3B,492,79.0,0.5593235956447278,-0.0189,0.5421985079329203,1.9,0.1030472724007392,0.1075864795068277,0.1075864795068277,0.1030472724007392,0.9578087588059756,hetero_v1,0.4726931226986217,0.611703893167219,107.0,58.0,0.5235834022778508,0.0186,hold,5.7,41.0,100.0,0.2956,0.1618,63.0,0.5,False
86,666126,Carlos Cortes,ATH,OF,263,32.0,0.5687501330613878,-0.0227,0.5405868516813458,1.89,0.1039317234919108,0.1075864795068277,0.1075864795068277,0.1039317234919108,0.9660295974766522,hetero_v1,0.4704849041860519,0.6106887991766397,57.0,30.8,0.5071578343016413,0.0334,hold,100.0,13.0,100.0,0.5122,0.0396,,0.0,False
87,665833,Oneil Cruz,PIT,OF,283,0.0,0.4527873223976065,-0.0206,0.5404642796807287,1.89,0.126313182951142,0.1075864795068277,0.1075864795068277,0.126313182951142,1.1740618666040272,hetero_v1,0.4552660377801834,0.6256625215812741,62.0,33.5,0.5071578343016413,0.0333,hold,52.5,181.0,79.6,0.1634,0.0579,51.0,1.07,False
88,646240,Rafael Devers,SF,1B,488,81.0,0.6064701083761583,-0.0006,0.5402513481428689,1.89,0.1178135810978157,0.1075864795068277,0.1075864795068277,0.1178135810978157,1.0950593572525904,hetero_v1,0.4607860876923921,0.6197166085933457,106.0,57.3,0.5728714641460441,-0.0326,hold,0.6,7.0,100.0,0.4483,0.468,64.0,-2.0,False
89,543807,George Springer,TOR,DH,368,75.0,0.6106458863755945,0.0064,0.5394927962940093,1.89,0.1086880313427493,0.1075864795068277,0.1075864795068277,0.1086880313427493,1.0102387571465403,hetero_v1,0.4661827191533248,0.6128028734346938,80.0,43.2,0.4780723282736954,0.0614,hold,20.9,281.0,95.7,0.3202,0.1791,74.0,9.0,False
90,662139,Daulton Varsho,HOU,OF,380,71.0,0.5116283313065094,0.0032,0.5392106167834757,1.89,0.1040640168585937,0.1075864795068277,0.1075864795068277,0.1040640168585937,0.9672592442435072,hetero_v1,0.4690194374123542,0.6094017961545972,83.0,44.8,0.5071578343016413,0.0321,hold,79.3,470.0,60.4,0.2574,0.0283,61.0,6.5,False
91,802139,JJ Wetherholt,STL,2B,494,86.0,0.5014067123883225,-0.0115,0.5388027440551387,1.89,0.1025378354061798,0.1075864795068277,0.1075864795068277,0.1025378354061798,0.9530736192522457,hetero_v1,0.4696409740736704,0.607964514036607,108.0,58.2,0.5178999715490752,0.0209,hold,,0.0,,,,,0.0,False
92,592626,Joc Pederson,TEX,DH,349,54.0,0.5305730769584804,-0.0143,0.5374293270828673,1.88,0.1183265718061005,0.1075864795068277,0.1075864795068277,0.1183265718061005,1.0998275280360967,hetero_v1,0.4576180543996525,0.6172405997660821,76.0,40.8,0.4780723282736954,0.0594,hold,10.9,142.0,97.2,0.2675,0.1718,51.0,-5.0,False
93,701398,Sal Stewart,CIN,1B,491,76.0,0.5822068213829888,-0.0193,0.5374146070575461,1.88,0.1137507732797192,0.1075864795068277,0.1075864795068277,0.1137507732797192,1.0572961751434609,hetero_v1,0.4606897104803754,0.6141395036347167,107.0,57.5,0.5728714641460441,-0.0355,hold,,0.0,,,,,0.0,False
94,666160,Mickey Moniak,COL,OF,289,62.0,0.4988887179319207,-0.0062,0.5367587985110847,1.88,0.1192535189258883,0.1075864795068277,0.1075864795068277,0.1192535189258883,1.1084433608436846,hetero_v1,0.456322299995573,0.6171952970265964,63.0,33.8,0.5071578343016413,0.0296,hold,96.5,356.0,69.1,0.2344,0.0919,61.0,7.0,False
95,664983,Jake McCarthy,COL,OF,385,78.0,0.4994756186427947,-0.0075,0.5363513526434172,1.88,0.0998220888465989,0.1075864795068277,0.1075864795068277,0.0998220888465989,0.92783116711486,hetero_v1,0.4690213537163862,0.6036813515704481,84.0,45.1,0.5071578343016413,0.0292,hold,68.9,261.0,88.5,0.2461,0.074,46.0,2.0,False
96,669477,Casey Schmitt,SF,OF,409,39.0,0.4211235936945902,-0.0241,0.5357670358484944,1.88,0.1068064665019384,0.1075864795068277,0.1075864795068277,0.1068064665019384,0.9927498974920934,hetero_v1,0.4637260741929369,0.6078079975040519,89.0,47.7,0.5071578343016413,0.0286,hold,100.0,190.0,62.6,0.2338,0.0428,54.0,5.5,False
97,805808,Kevin McGonigle,DET,SS,498,83.0,0.5014067123883225,-0.0293,0.5346502136385342,1.87,0.0986438016423297,0.1075864795068277,0.1075864795068277,0.0986438016423297,0.916879166364669,hetero_v1,0.4681149694307827,0.6011854578462856,109.0,58.3,0.5522482949622523,-0.0176,hold,,0.0,,,,,0.0,False
98,664761,Alec Bohm,PHI,3B,453,76.0,0.5704870192551066,0.0139,0.5331410435816173,1.87,0.1002041252025354,0.1075864795068277,0.1075864795068277,0.1002041252025354,0.9313821370665464,hetero_v1,0.4655533611325071,0.6007287260307275,99.0,52.8,0.5235834022778508,0.0096,hold,11.8,81.0,100.0,0.2587,0.2216,57.0,-2.0,False
99,645277,Ozzie Albies,ATL,2B,492,82.0,0.5784255351428897,-0.0047,0.5328032685446645,1.86,0.1039554205978779,0.1075864795068277,0.1075864795068277,0.1039554205978779,0.9662498584804114,hetero_v1,0.4626853373513958,0.6029211997379332,107.0,57.0,0.5178999715490752,0.0149,hold,96.4,955.0,55.4,0.3267,0.0132,51.0,-6.0,False
100,671056,Iván Herrera,STL,DH,507,84.0,0.5926518121364756,-0.0281,0.5327464413030464,1.86,0.1063800949246084,0.1075864795068277,0.1075864795068277,0.1063800949246084,0.9887868383857404,hetero_v1,0.460993067276398,0.6044998153296948,111.0,59.1,0.4780723282736954,0.0547,hold,74.4,122.0,91.8,0.4,0.1513,66.0,8.0,False
101,668709,JJ Bleday,CIN,OF,357,73.0,0.4798966979433551,-0.0211,0.5318641888893532,1.86,0.115886179802526,0.1075864795068277,0.1075864795068277,0.115886179802526,1.077144454709772,hetero_v1,0.4536989606125494,0.610029417166157,78.0,41.5,0.5071578343016413,0.0247,hold,,,,,,43.0,-0.5,False
102,681715,Heriberto Hernández,MIA,OF,300,72.0,0.5210007990938479,-0.0207,0.5313055192108376,1.86,0.1174170026875706,0.1075864795068277,0.1075864795068277,0.1174170026875706,1.0913732211129654,hetero_v1,0.4521077508980712,0.6105032875236039,65.0,34.5,0.5071578343016413,0.0241,hold,20.0,13.0,100.0,0.2333,0.1528,52.0,0.0,True
103,805300,Jakob Marsee,MIA,OF,440,49.0,0.6242929507136237,-0.0003,0.5292828808364126,1.85,0.1008679905376211,0.1075864795068277,0.1075864795068277,0.1008679905376211,0.9375526646098667,hetero_v1,0.4612474212187871,0.5973183404540381,96.0,50.8,0.5071578343016413,0.0221,hold,0.0,0.0,,,,59.0,0.0,True
104,609280,Miguel Andujar,SD,DH,254,14.0,0.5503568074406446,0.0061,0.5284003524904708,1.85,0.1000106744422185,0.1075864795068277,0.1075864795068277,0.1000106744422185,0.9295840416069344,hetero_v1,0.4609431525791944,0.5958575524017472,55.0,29.1,0.4780723282736954,0.0503,hold,65.0,286.0,78.9,0.3,0.066,55.0,3.5,False
105,665862,Jazz Chisholm Jr.,NYY,2B,425,64.0,0.5623603978551325,0.0056,0.5277291386661875,1.85,0.1150425774980455,0.1075864795068277,0.1075864795068277,0.1150425774980455,1.069303299312295,hetero_v1,0.4501329201437558,0.6053253571886192,93.0,49.1,0.5178999715490752,0.0098,hold,6.4,35.0,100.0,0.235,0.1334,59.0,6.0,False
106,545121,Ildemaro Vargas,AZ,1B,354,54.0,0.4987132672933095,0.0089,0.5270802681483766,1.84,0.0922329301855647,0.1075864795068277,0.1075864795068277,0.0922329301855647,0.8572910890695279,hetero_v1,0.4648691567382131,0.58929137955854,77.0,40.6,0.5728714641460441,-0.0458,hold,100.0,405.0,54.1,0.3,0.0157,49.0,-2.5,False
107,640902,Jhonny Pereda,SEA,C,69,0.0,0.3627283584213621,-0.0062,0.5266768880291347,1.84,0.1075864795068277,0.1075864795068277,0.1075864795068277,0.1075864795068277,1.0,hetero_v1,0.4541098076017794,0.59924396845649,15.0,7.9,0.5266768880291347,0.0,hold,,,,,,,0.0,False
108,545341,Randal Grichuk,CWS,DH,172,28.0,0.5421208821724243,-0.0231,0.5242893811129975,1.84,0.113131293232922,0.1075864795068277,0.1075864795068277,0.113131293232922,1.0515382021189985,hetero_v1,0.4479823238273915,0.6005964383986034,38.0,19.9,0.4780723282736954,0.0462,hold,,,,,,57.0,1.0,False
109,686217,Sal Frelick,MIL,OF,313,1.0,0.5302917173509123,0.0115,0.523927002423071,1.83,0.0878071997432619,0.1075864795068277,0.1075864795068277,0.0878071997432619,0.8161545962444977,hetero_v1,0.4647010461962408,0.5831529586499011,68.0,35.6,0.5071578343016413,0.0168,hold,55.6,173.0,81.5,0.285,0.0457,51.0,2.5,False
110,680977,Brendan Donovan,SEA,3B,108,7.0,0.5646460811918366,-0.0134,0.5235834022778508,1.83,0.1028389979240316,0.1075864795068277,0.1075864795068277,0.1028389979240316,0.9558728791521166,hetero_v1,0.4542184981780915,0.5929483063776102,24.0,12.6,0.5235834022778508,0.0,hold,86.1,403.0,56.3,0.3433,0.0129,61.0,-0.0,False
111,545361,Mike Trout,LAA,OF,427,71.0,0.5043162431764487,-0.0548,0.5229549947860994,1.83,0.1178049437242797,0.1075864795068277,0.1075864795068277,0.1178049437242797,1.094979074176356,hetero_v1,0.4434955602440727,0.602414429328126,93.0,48.6,0.5071578343016413,0.0158,hold,45.9,514.0,73.2,0.395,0.0662,62.0,-3.0,False
112,676391,Ernie Clement,TOR,2B,453,79.0,0.5670613915512666,0.0044,0.522412136495138,1.83,0.0894667533979555,0.1075864795068277,0.1075864795068277,0.0894667533979555,0.8315798956157663,hetero_v1,0.4620668113282169,0.582757461662059,99.0,51.7,0.5178999715490752,0.0045,hold,76.9,280.0,71.4,0.345,0.0562,52.0,3.36,False
113,802415,Chandler Simpson,TB,OF,429,73.0,0.546894529096742,0.0135,0.5208954331636158,1.82,0.0759561910827897,0.1075864795068277,0.1075864795068277,0.0759561910827897,0.7060012692205376,hetero_v1,0.4696629822782741,0.5721278840489574,94.0,49.0,0.5071578343016413,0.0137,hold,38.7,29.0,100.0,0.2857,0.0486,47.0,0.0,True
114,660688,Keibert Ruiz,WSH,C,258,45.0,0.4941448057503709,0.0041,0.5208944273253922,1.82,0.0986220835149264,0.1075864795068277,0.1075864795068277,0.0986220835149264,0.9166772996663364,hetero_v1,0.4543738319945742,0.58741502265621,56.0,29.2,0.5266768880291347,-0.0058,hold,13.5,61.0,92.2,0.315,0.1521,48.0,-6.0,False
115,665923,Esteury Ruiz,MIA,OF,149,31.0,0.50193815606236,-0.005,0.5202847595427056,1.82,0.1168925229190424,0.1075864795068277,0.1075864795068277,0.1168925229190424,1.086498261258043,hetero_v1,0.4414407528338115,0.5991287662515997,32.0,16.6,0.5071578343016413,0.0131,hold,,,,,,,0.0,False
116,686527,Dominic Canzone,SEA,DH,328,74.0,0.4823360332316794,-0.0107,0.5201892765243012,1.82,0.1172789486281786,0.1075864795068277,0.1075864795068277,0.1172789486281786,1.0900900295816058,hetero_v1,0.4410846256745947,0.5992939273740078,72.0,37.5,0.4780723282736954,0.0421,hold,69.0,120.0,78.8,0.2655,0.0812,64.0,4.5,False
117,665019,Kody Clemens,MIN,1B,403,71.0,0.4804968460083816,-0.0231,0.5193481058869527,1.82,0.1120416236283434,0.1075864795068277,0.1075864795068277,0.1120416236283434,1.0414098885095775,hetero_v1,0.443776030749635,0.5949201810242704,88.0,45.7,0.5728714641460441,-0.0535,hold,29.2,66.0,100.0,0.2203,0.1629,59.0,10.5,False
118,514888,Jose Altuve,HOU,2B,392,74.0,0.6020292441439268,-0.0033,0.5178999715490752,1.81,0.1029865739847998,0.1075864795068277,0.1075864795068277,0.1029865739847998,0.9572445762412374,hetero_v1,0.4484355273963276,0.5873644157018227,85.0,44.0,0.5178999715490752,0.0,hold,14.3,205.0,97.1,0.3431,0.113,51.0,-3.0,False
119,683737,Michael Busch,CHC,1B,514,89.0,0.5463740199251842,-0.0212,0.5147897194163824,1.8,0.1089183150868811,0.1075864795068277,0.1075864795068277,0.1089183150868811,1.012379209601043,hetero_v1,0.4413243158902811,0.5882551229424837,112.0,57.7,0.5728714641460441,-0.0581,hold,28.8,85.0,95.3,0.255,0.1472,70.0,17.0,False
120,593428,Xander Bogaerts,SD,SS,436,72.0,0.5185108671784643,0.0032,0.5147037933020228,1.8,0.1022764401202513,0.1075864795068277,0.1075864795068277,0.1022764401202513,0.9506439897381403,hetero_v1,0.4457183344409132,0.5836892521631323,95.0,48.9,0.5522482949622523,-0.0375,hold,46.2,677.0,77.8,0.32,0.073,54.0,0.5,False
121,807713,Matt Shaw,CHC,OF,147,0.0,0.5161114466855713,0.0042,0.5146983892751716,1.8,0.0988856043240606,0.1075864795068277,0.1075864795068277,0.0988856043240606,0.9191266855960756,hetero_v1,0.4480000491585927,0.5813967293917506,32.0,16.5,0.5071578343016413,0.0075,hold,64.5,60.0,89.3,0.29,0.1022,51.0,0.0,True
122,608369,Corey Seager,TEX,SS,239,20.0,0.6817974602559066,-0.0052,0.5146670900823749,1.8,0.1262446746099916,0.1075864795068277,0.1075864795068277,0.1262446746099916,1.1734250919696632,hetero_v1,0.4295150570579355,0.5998191231068142,52.0,26.8,0.5522482949622523,-0.0376,hold,5.7,63.0,100.0,0.355,0.1705,72.0,-3.0,False
123,663993,Nathaniel Lowe,CLE,DH,286,60.0,0.4680636005299798,-0.0145,0.5125517747841282,1.79,0.1111194058684204,0.1075864795068277,0.1075864795068277,0.1111194058684204,1.0328380143842193,hetero_v1,0.4376017355258785,0.5875018140423778,62.0,31.8,0.4780723282736954,0.0345,hold,96.6,788.0,52.6,0.2338,0.0077,48.0,-3.0,False
124,643446,Jeff McNeil,ATH,2B,346,52.0,0.5462442987192785,0.0104,0.5125068667143293,1.79,0.0931926142484061,0.1075864795068277,0.1075864795068277,0.0931926142484061,0.8662112067947341,hetero_v1,0.4496484484037794,0.5753652850248793,75.0,38.4,0.5178999715490752,-0.0054,hold,45.2,398.0,70.6,0.3465,0.0533,60.0,3.0,False
125,663616,Trevor Larnach,MIN,OF,346,53.0,0.4940817710858132,-0.0122,0.5124860099333017,1.79,0.1096757888732213,0.1075864795068277,0.1075864795068277,0.1096757888732213,1.0194198134930232,hetero_v1,0.438509690338314,0.5864623295282895,75.0,38.4,0.5071578343016413,0.0053,hold,96.4,400.0,59.4,0.2426,0.0178,51.0,0.5,False
126,683734,Andrew Vaughn,MIL,1B,224,52.0,0.473352261197348,0.003,0.5122210823579952,1.79,0.1010052845145875,0.1075864795068277,0.1075864795068277,0.1010052845145875,0.9388287912904288,hetero_v1,0.4440930179529059,0.5803491467630846,49.0,25.1,0.5728714641460441,-0.0607,hold,,,,,,61.0,3.5,False
127,668804,Bryan Reynolds,PIT,OF,505,83.0,0.4898604244272695,-0.0385,0.511113145519871,1.79,0.1151645815617888,0.1075864795068277,0.1075864795068277,0.1151645815617888,1.0704373085698025,hetero_v1,0.4334346352564444,0.5887916557832975,110.0,56.2,0.5071578343016413,0.004,hold,42.6,389.0,79.7,0.2562,0.0733,54.0,-3.5,False
128,693307,Dillon Dingler,DET,C,442,81.0,0.4272882479218993,-0.0147,0.5111123226479048,1.79,0.1087740388089956,0.1075864795068277,0.1075864795068277,0.1087740388089956,1.0110381834930529,hetero_v1,0.4377442334712372,0.5844804118245724,96.0,49.1,0.5266768880291347,-0.0156,hold,100.0,121.0,76.0,0.2637,0.0599,58.0,0.0,True
129,672580,Maikel Garcia,KC,3B,294,0.0,0.5427287649621976,0.001,0.5110264067841616,1.79,0.0954186572444047,0.1075864795068277,0.1075864795068277,0.0954186572444047,0.8869019386246314,hetero_v1,0.4466665224728106,0.5753862910955125,64.0,32.7,0.5235834022778508,-0.0126,hold,67.9,281.0,59.1,0.2178,0.029,60.0,5.5,False
130,691023,Jordan Walker,STL,OF,475,80.0,0.3672274367110228,-0.0433,0.5110088971106685,1.79,0.1188075522488039,0.1075864795068277,0.1075864795068277,0.1188075522488039,1.1042981682588104,hetero_v1,0.4308732031188503,0.5911445911024867,104.0,53.1,0.5071578343016413,0.0039,hold,95.8,228.0,51.8,0.1443,0.0068,37.0,-8.5,False
131,669242,Tommy Edman,LAD,2B,145,67.0,0.5413097004201524,-0.0163,0.5107686564783566,1.79,0.1033258062416361,0.1075864795068277,0.1075864795068277,0.1033258062416361,0.9603976885876144,hetero_v1,0.441075400168373,0.5804619127883401,32.0,16.3,0.5178999715490752,-0.0071,hold,,,,,,55.0,0.5,False
132,686555,Isaac Collins,KC,OF,379,63.0,0.5582080259243422,-0.0109,0.5105463223611159,1.79,0.1053612385445488,0.1075864795068277,0.1075864795068277,0.1053612385445488,0.979316722951812,hetero_v1,0.4394801669628176,0.581612477759414,83.0,42.4,0.5071578343016413,0.0034,hold,16.5,18.0,100.0,0.2921,0.1665,51.0,0.0,True
133,543760,Marcus Semien,NYM,2B,376,56.0,0.5750132778721019,-0.0102,0.5091174143685441,1.78,0.1039692039616707,0.1075864795068277,0.1075864795068277,0.1039692039616707,0.9663779727551408,hetero_v1,0.4389901862963972,0.579244642440691,82.0,41.7,0.5178999715490752,-0.0088,hold,3.4,52.0,100.0,0.2953,0.2071,54.0,-3.5,False
134,641343,Jake Bauers,MIL,1B,403,57.0,0.422948771735861,-0.0171,0.509032423986814,1.78,0.1185842226555356,0.1075864795068277,0.1075864795068277,0.1185842226555356,1.102222353581241,hetero_v1,0.4290473658056553,0.5890174821679728,88.0,44.8,0.5728714641460441,-0.0638,hold,91.9,523.0,59.7,0.1478,0.0331,58.0,2.5,False
135,666018,Jonathan Aranda,TB,1B,485,78.0,0.5346733466283771,-0.0403,0.5089829895540662,1.78,0.1081661979802989,0.1075864795068277,0.1075864795068277,0.1081661979802989,1.0053883952345,hetero_v1,0.4360248890163545,0.5819410900917779,106.0,54.0,0.5728714641460441,-0.0639,hold,65.4,119.0,96.6,0.2906,0.1131,65.0,15.5,False
136,695657,Colson Montgomery,CWS,SS,451,69.0,0.6081983595541138,-0.0259,0.5087140664443295,1.78,0.1253317835273504,0.1075864795068277,0.1075864795068277,0.1253317835273504,1.1649399078942495,hetero_v1,0.4241777784551316,0.5932503544335274,98.0,49.9,0.5522482949622523,-0.0435,hold,63.2,24.0,75.0,0.3003,0.0672,62.0,0.0,True
137,656811,Ryan O'Hearn,PIT,OF,399,59.0,0.5633568199530848,-0.0258,0.5071578343016413,1.78,0.1058169544847693,0.1075864795068277,0.1075864795068277,0.1058169544847693,0.983552533458016,hetero_v1,0.4357842985016644,0.5785313701016183,87.0,44.1,0.5071578343016413,0.0,hold,77.6,544.0,58.6,0.2624,0.0205,57.0,0.0,False
138,669236,Jeremiah Jackson,BAL,2B,230,18.0,0.4446945266468128,0.0143,0.5051023618614067,1.77,0.1069793503920093,0.1075864795068277,0.1075864795068277,0.1069793503920093,0.9943568270139388,hetero_v1,0.4329447900219964,0.577259933700817,50.0,25.3,0.5178999715490752,-0.0128,hold,15.8,3.0,33.3,0.2205,-0.0139,45.0,0.0,True
139,668904,Royce Lewis,MIN,3B,324,68.0,0.5385640081181221,0.0122,0.5049628992257753,1.77,0.1194168139164185,0.1075864795068277,0.1075864795068277,0.1194168139164185,1.109961162999483,hetero_v1,0.4244162582391509,0.5855095402123996,71.0,35.9,0.5235834022778508,-0.0186,hold,16.1,38.0,100.0,0.2861,0.2065,49.0,-6.0,False
140,643289,Mauricio Dubón,ATL,OF,443,71.0,0.5013539126957354,-0.0092,0.5042287643763954,1.76,0.0951189227326866,0.1075864795068277,0.1075864795068277,0.0951189227326866,0.8841159518250628,hetero_v1,0.4400710509931983,0.5683864777595925,97.0,48.9,0.5071578343016413,-0.0029,hold,69.6,398.0,70.6,0.26,0.0501,50.0,-2.0,False
141,571448,Nolan Arenado,AZ,3B,418,71.0,0.5457782388765575,0.018,0.504154917842147,1.76,0.1091826360053584,0.1075864795068277,0.1075864795068277,0.1091826360053584,1.014836032425705,hetero_v1,0.4305112298565328,0.5777986058277613,91.0,45.9,0.5235834022778508,-0.0194,hold,9.1,138.0,92.8,0.33,0.1069,53.0,-2.5,True
142,808959,Munetaka Murakami,CWS,1B,339,80.0,0.5014067123883225,-0.0148,0.5020625035238881,1.76,0.1334497132065669,0.1075864795068277,0.1075864795068277,0.1334497132065669,1.240394832308811,hetero_v1,0.4120506719660587,0.5920743350817175,74.0,37.2,0.5728714641460441,-0.0708,hold,,0.0,,,,,0.0,False
143,678554,Curtis Mead,BOS,3B,331,33.0,0.32788403705127,-0.0283,0.5013077900065266,1.75,0.1106360556791957,0.1075864795068277,0.1075864795068277,0.1106360556791957,1.0283453477272155,hetero_v1,0.4266837704509091,0.5759318095621441,72.0,36.1,0.5235834022778508,-0.0223,hold,100.0,125.0,67.5,0.175,0.0495,44.0,2.0,False
144,803011,Sam Antonacci,CWS,OF,374,68.0,0.5014067123883225,-0.0309,0.5009289328611664,1.75,0.0961569590304775,0.1075864795068277,0.1075864795068277,0.0961569590304775,0.8937643416836146,hetero_v1,0.4360710639951092,0.5657868017272235,82.0,41.1,0.5071578343016413,-0.0062,hold,,0.0,,,,,0.0,False
145,669016,Brandon Marsh,PHI,OF,430,67.0,0.4675752457602655,-0.0178,0.5006935110352302,1.75,0.1082401964786928,0.1075864795068277,0.1075864795068277,0.1082401964786928,1.0060762000472714,hetero_v1,0.4276854985103518,0.5737015235601085,94.0,47.1,0.5071578343016413,-0.0065,hold,85.9,483.0,61.9,0.1733,0.0335,53.0,2.0,False
146,805811,Bryce Eldridge,SF,DH,293,76.0,0.5014067123883225,-0.027,0.5004105834186393,1.75,0.1139355270597552,0.1075864795068277,0.1075864795068277,0.1139355270597552,1.0590134334911907,hetero_v1,0.4235610704168344,0.5772600964204442,64.0,32.0,0.4780723282736954,0.0223,hold,,,,,,,0.0,False
147,694384,Nolan Schanuel,LAA,1B,391,71.0,0.5117434424581978,-0.0015,0.49854006603896,1.74,0.0953560465227009,0.1075864795068277,0.1075864795068277,0.0953560465227009,0.886319981468019,hetero_v1,0.4342224126593982,0.5628577194185218,85.0,42.4,0.5728714641460441,-0.0743,drop,36.0,99.0,94.9,0.315,0.096,56.0,2.0,False
148,657041,Lane Thomas,ATL,OF,333,64.0,0.4767904855042714,-0.0128,0.4971447915427996,1.74,0.1067839792453349,0.1075864795068277,0.1075864795068277,0.1067839792453349,0.9925408818545656,hetero_v1,0.4251189975418212,0.5691705855437781,73.0,36.3,0.5071578343016413,-0.01,hold,66.3,366.0,75.8,0.2426,0.0865,32.0,-10.0,False
149,682985,Riley Greene,DET,OF,474,73.0,0.5147456649431087,-0.0075,0.4962294293357459,1.74,0.1173193462479913,0.1075864795068277,0.1075864795068277,0.1173193462479913,1.0904655193271375,hetero_v1,0.4170975302914757,0.5753613283800161,103.0,51.1,0.5071578343016413,-0.0109,hold,67.0,303.0,71.3,0.2365,0.052,59.0,1.0,False
