rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_sigma_raw,xfp_rh3_sigma_global,xfp_rh3_sigma_hetero,batter_sigma_factor,sigma_calibration_method,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior
17,650490,Yandy Díaz,TB,DH,480,86.0,0.6082211906116272,-0.0356,0.6290131208470483,2.2,0.1023118647189423,0.1075864795068277,0.1075864795068277,0.1023118647189423,0.9509732560070367,hetero_v1,0.5600037680941217,0.6980224735999749,105.0,66.0,0.4780723282736954,0.1509,add,85.9,746.0,64.2,0.3507,0.0323,65.0,-1.5,False
18,691718,Pete Crow-Armstrong,CHC,OF,506,88.0,0.5591763403600049,-0.0079,0.6272230276939169,2.2,0.1166201163280847,0.1075864795068277,0.1075864795068277,0.1166201163280847,1.083966283334736,hetero_v1,0.5485627592306237,0.7058832961572101,110.0,69.0,0.5071578343016413,0.1201,add,30.9,76.0,98.7,0.2673,0.1962,57.0,11.0,False
19,621439,Byron Buxton,MIN,OF,362,27.0,0.6226206328325757,-0.0166,0.6233799569804092,2.18,0.1206185751612223,0.1075864795068277,0.1075864795068277,0.1206185751612223,1.12113135139409,hetero_v1,0.5420227280341647,0.7047371859266536,79.0,49.2,0.5071578343016413,0.1162,add,70.5,585.0,74.4,0.25,0.0969,64.0,6.0,False
20,671739,Michael Harris II,ATL,OF,437,81.0,0.5098648439059329,-0.0254,0.6201628640217348,2.17,0.1097357730388372,0.1075864795068277,0.1075864795068277,0.1097357730388372,1.0199773572093982,hetero_v1,0.5461460851070391,0.6941796429364305,95.0,58.9,0.5071578343016413,0.113,add,85.0,415.0,59.8,0.3035,0.0403,54.0,-4.0,False
21,678246,Miguel Vargas,CWS,3B,489,80.0,0.4782650392011536,-0.047,0.6197033954385587,2.17,0.1108170703024993,0.1075864795068277,0.1075864795068277,0.1108170703024993,1.0300278511805616,hetero_v1,0.5449572815195229,0.6944495093575944,107.0,66.3,0.5235834022778508,0.0961,add,87.3,240.0,53.8,0.2494,0.0224,56.0,3.5,False
22,672695,Geraldo Perdomo,AZ,SS,481,90.0,0.6360597405834303,-0.0017,0.6185224005753885,2.16,0.0939529964570713,0.1075864795068277,0.1075864795068277,0.0939529964570713,0.8732788440308508,hetero_v1,0.555151104465094,0.6818936966856831,105.0,64.9,0.5522482949622523,0.0663,add,73.8,383.0,62.9,0.2723,0.0454,63.0,10.5,False
23,547180,Bryce Harper,PHI,1B,485,77.0,0.6341615729107222,-0.0249,0.6171589186791531,2.16,0.1179317228593541,0.1075864795068277,0.1075864795068277,0.1179317228593541,1.0961574669972347,hetero_v1,0.5376139716105187,0.6967038657477874,106.0,65.4,0.5728714641460441,0.0443,hold,48.6,678.0,77.4,0.3657,0.0762,65.0,-1.0,False
24,694192,Jackson Chourio,MIL,OF,364,80.0,0.5978098755012247,-0.0048,0.615570593940482,2.15,0.1103767163236566,0.1075864795068277,0.1075864795068277,0.1103767163236566,1.0259348277740774,hetero_v1,0.5411214987801756,0.6900196891007884,79.0,48.6,0.5071578343016413,0.1084,add,,,,,,54.0,-2.0,True
25,660670,Ronald Acuña Jr.,ATL,OF,274,38.0,0.7607474953255492,-0.0205,0.6150705770592765,2.15,0.1174468833403729,0.1075864795068277,0.1075864795068277,0.1174468833403729,1.0916509572461603,hetero_v1,0.535852654246195,0.694288499872358,60.0,36.9,0.5071578343016413,0.1079,add,23.0,180.0,95.6,0.3921,0.1756,70.0,-5.0,False
26,641355,Cody Bellinger,NYY,OF,435,31.0,0.6726648752994977,-0.0172,0.6150652427570733,2.15,0.1027120147763487,0.1075864795068277,0.1075864795068277,0.1027120147763487,0.9546925900650032,hetero_v1,0.5457859887904261,0.6843444967237206,95.0,58.4,0.5071578343016413,0.1079,add,77.3,866.0,56.7,0.3085,0.0183,60.0,0.5,False
27,647304,Josh Naylor,SEA,1B,464,73.0,0.677867072134169,-0.0049,0.6135878281942082,2.15,0.0997071453718028,0.1075864795068277,0.1075864795068277,0.0997071453718028,0.9267627849601228,hetero_v1,0.5463353586409272,0.6808402977474892,101.0,62.0,0.5728714641460441,0.0407,hold,10.7,76.0,98.7,0.2691,0.0833,59.0,-1.5,False
28,682928,CJ Abrams,WSH,SS,481,85.0,0.5620881302985338,0.0015,0.6107994780084183,2.14,0.1136977339792538,0.1075864795068277,0.1075864795068277,0.1136977339792538,1.056803182894727,hetero_v1,0.5341103564394115,0.687488599577425,105.0,64.1,0.5522482949622523,0.0586,hold,98.1,474.0,57.6,0.2847,0.0196,53.0,0.5,False
29,518692,Freddie Freeman,LAD,1B,481,73.0,0.6843369774562424,-0.0221,0.6100952368635097,2.14,0.1063968191209485,0.1075864795068277,0.1075864795068277,0.1063968191209485,0.9889422872527054,hetero_v1,0.5383305823664299,0.6818598913605896,105.0,64.1,0.5728714641460441,0.0372,hold,28.4,430.0,86.0,0.4089,0.125,62.0,-6.5,False
30,669127,Shea Langeliers,ATH,C,417,30.0,0.5377634690430338,-0.0146,0.6087320807418657,2.13,0.1170867456193259,0.1075864795068277,0.1075864795068277,0.1170867456193259,1.0883035317824978,hetero_v1,0.5297570708216304,0.687707090662101,91.0,55.4,0.5266768880291347,0.0821,add,92.7,369.0,63.1,0.2512,0.0399,62.0,6.5,False
31,663538,Nico Hoerner,CHC,2B,499,78.0,0.6094619995642291,0.008,0.6068468158162079,2.12,0.0863479400949194,0.1075864795068277,0.1075864795068277,0.0863479400949194,0.8025909992662189,hetero_v1,0.5486051302221847,0.6650885014102311,109.0,66.1,0.5178999715490752,0.0889,add,95.8,635.0,59.7,0.3317,0.0245,57.0,1.5,False
32,676475,Alec Burleson,STL,1B,482,84.0,0.5716078322276279,-0.0131,0.606480145919137,2.12,0.1086801939085922,0.1075864795068277,0.1075864795068277,0.1086801939085922,1.0101659093854365,hetero_v1,0.5331753551277916,0.6797849367104825,105.0,63.7,0.5728714641460441,0.0336,hold,78.5,299.0,66.6,0.3433,0.038,63.0,1.5,False
33,800050,Chase DeLauter,CLE,OF,409,76.0,0.5014067123883225,-0.0044,0.6040317807021087,2.11,0.102677624119008,0.1075864795068277,0.1075864795068277,0.102677624119008,0.9543729341240488,hetero_v1,0.5347757232338378,0.6732878381703796,89.0,53.8,0.5071578343016413,0.0969,add,,0.0,,,,,0.0,False
34,701538,Jackson Merrill,SD,OF,472,79.0,0.5919262110037562,0.0247,0.6038305533479724,2.11,0.108298049551441,0.1075864795068277,0.1075864795068277,0.108298049551441,1.0066139355788493,hetero_v1,0.5307835189255254,0.6768775877704194,103.0,62.2,0.5071578343016413,0.0967,add,5.5,13.0,100.0,0.325,0.1976,60.0,-9.0,False
35,624413,Pete Alonso,BAL,1B,495,75.0,0.6101146668017547,-0.0193,0.6036649636921337,2.11,0.116040895758288,0.1075864795068277,0.1075864795068277,0.116040895758288,1.0785825160393296,hetero_v1,0.5253953795031685,0.681934547881099,108.0,65.2,0.5728714641460441,0.0308,hold,15.2,148.0,96.6,0.3448,0.1581,72.0,2.0,False
36,700250,Ben Rice,NYY,1B,472,80.0,0.5736701268510414,-0.0262,0.6023702995952915,2.11,0.1180549164751147,0.1075864795068277,0.1075864795068277,0.1180549164751147,1.0973025329602188,hetero_v1,0.5227422584328266,0.6819983407577564,103.0,62.0,0.5728714641460441,0.0295,hold,100.0,152.0,87.5,0.3573,0.09,72.0,16.0,False
37,687462,Spencer Horwitz,PIT,1B,308,13.0,0.5586257844244421,-0.0235,0.5990769544672232,2.1,0.1036077315966221,0.1075864795068277,0.1075864795068277,0.1036077315966221,0.9630181419780252,hetero_v1,0.5291935395053016,0.6689603694291448,67.0,40.1,0.5728714641460441,0.0262,hold,64.9,122.0,76.2,0.315,0.1057,56.0,-3.0,False
38,682829,Elly De La Cruz,CIN,SS,423,82.0,0.5434808923493142,-0.0015,0.5961712440965179,2.09,0.1171209948888594,0.1075864795068277,0.1075864795068277,0.1171209948888594,1.0886218735452409,hetero_v1,0.5171731330439822,0.6751693551490536,92.0,54.8,0.5522482949622523,0.0439,hold,79.5,307.0,66.1,0.2239,0.1025,51.0,3.0,False
39,607043,Brandon Nimmo,TEX,OF,462,78.0,0.5426426009918547,-0.0298,0.5954804384118964,2.08,0.1057845729852882,0.1075864795068277,0.1075864795068277,0.1057845729852882,0.9832515523344626,hetero_v1,0.5241287439333194,0.6668321328904733,101.0,60.1,0.5071578343016413,0.0883,add,61.6,628.0,86.6,0.3069,0.066,56.0,-2.0,False
40,672640,Otto Lopez,MIA,SS,482,71.0,0.5212385626227423,-0.0164,0.5909199169503736,2.07,0.0968849173471899,0.1075864795068277,0.1075864795068277,0.0968849173471899,0.9005306037645869,hetero_v1,0.525571040199694,0.6562687937010532,105.0,62.0,0.5522482949622523,0.0387,hold,74.4,169.0,81.1,0.3064,0.0606,56.0,4.0,False
41,663656,Kyle Tucker,LAD,OF,446,64.0,0.7533417217670549,-0.0031,0.5887604306973167,2.06,0.1054051128045307,0.1075864795068277,0.1075864795068277,0.1054051128045307,0.9797245275401124,hetero_v1,0.5176646821106606,0.6598561792839727,97.0,57.1,0.5071578343016413,0.0816,add,5.5,40.0,100.0,0.3871,0.1971,67.0,-2.0,True
42,661388,William Contreras,MIL,C,454,70.0,0.5806039685026294,-0.0143,0.5866609635101434,2.05,0.1026995660848319,0.1075864795068277,0.1075864795068277,0.1026995660848319,0.9545768813665324,hetero_v1,0.5173901061859243,0.6559318208343625,99.0,58.1,0.5266768880291347,0.06,hold,81.8,464.0,61.0,0.3105,0.0287,54.0,-0.5,False
43,665487,Fernando Tatis Jr.,SD,OF,499,83.0,0.6148524587711508,0.0095,0.5862594941647757,2.05,0.1095927252777066,0.1075864795068277,0.1075864795068277,0.1095927252777066,1.0186477499782085,hetero_v1,0.5123392009649625,0.6601797873645889,109.0,63.9,0.5071578343016413,0.0791,add,1.7,11.0,100.0,0.3054,0.1849,63.0,1.0,False
44,665489,Vladimir Guerrero Jr.,TOR,1B,457,69.0,0.6765806666442571,-0.0191,0.5831261367360387,2.04,0.1045605824041232,0.1075864795068277,0.1075864795068277,0.1045605824041232,0.971874745631839,hetero_v1,0.5126000239044576,0.6536522495676199,100.0,58.3,0.5728714641460441,0.0103,hold,53.0,499.0,83.0,0.3881,0.0689,68.0,0.0,False
45,805779,Jacob Wilson,ATH,SS,312,75.0,0.6097902788867937,0.0053,0.5823996234617177,2.04,0.0900189777192267,0.1075864795068277,0.1075864795068277,0.0900189777192267,0.8367127368780009,hetero_v1,0.5216818229900992,0.6431174239333362,68.0,39.6,0.5522482949622523,0.0302,hold,17.5,21.0,100.0,0.325,0.0517,59.0,12.0,False
46,596019,Francisco Lindor,NYM,SS,251,80.0,0.6686619723447251,-0.0033,0.5819132366797191,2.04,0.1088965442609962,0.1075864795068277,0.1075864795068277,0.1088965442609962,1.0121768530783222,hetero_v1,0.5084625175756771,0.655363955783761,55.0,32.0,0.5522482949622523,0.0297,hold,13.5,204.0,99.5,0.3614,0.152,62.0,0.5,False
47,656941,Kyle Schwarber,PHI,DH,484,69.0,0.6315329998263759,-0.039,0.5804475564552253,2.03,0.1318554890945197,0.1075864795068277,0.1075864795068277,0.1318554890945197,1.2255767611222177,hetero_v1,0.4915110290609717,0.6693840838494789,106.0,61.5,0.4780723282736954,0.1024,add,64.5,811.0,73.2,0.285,0.0642,74.0,7.0,False
48,681082,Bryson Stott,PHI,2B,421,68.0,0.5468403963552568,0.0092,0.5787773796544974,2.03,0.0977970156634118,0.1075864795068277,0.1075864795068277,0.0977970156634118,0.9090084191964414,hetero_v1,0.5128132925895261,0.6447414667194686,92.0,53.2,0.5178999715490752,0.0609,hold,22.7,123.0,100.0,0.2687,0.1262,52.0,-1.0,False
49,691594,Javier Sanoja,MIA,3B,305,61.0,0.5446499175275731,0.0055,0.5781626098895628,2.02,0.0885122248805604,0.1075864795068277,0.1075864795068277,0.0885122248805604,0.8227076979030922,hetero_v1,0.5184611142076248,0.6378641055715009,67.0,38.7,0.5235834022778508,0.0546,hold,52.5,53.0,100.0,0.3458,0.1443,51.0,0.0,True
