batter,seasons_used,h1_pa,h2_pa,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,category
664040,7,1469,1281,0.2253,0.2888,0.0635,28.2,Brandon Lowe,PIT,81.0,1.82,206.6,BACK-LOADED
669016,5,999,1095,0.1351,0.1726,0.0375,27.7,Brandon Marsh,PHI,90.0,1.8,172.7,BACK-LOADED
669289,5,1024,626,0.2422,0.3067,0.0645,26.6,,,,,,BACK-LOADED
543939,5,1189,929,0.2658,0.3358,0.0701,26.4,,,,,,BACK-LOADED
641313,7,1773,1108,0.1782,0.2247,0.0465,26.1,,,,,,BACK-LOADED
543685,6,1316,785,0.3549,0.4471,0.0923,26.0,,,,,,BACK-LOADED
547989,6,1890,1407,0.2624,0.3298,0.0673,25.7,,,,,,BACK-LOADED
571657,6,1179,1040,0.2078,0.2606,0.0528,25.4,,,,,,BACK-LOADED
641933,7,892,1153,0.2007,0.2515,0.0508,25.3,Tyler O'Neill,BAL,238.0,1.5,68.0,BACK-LOADED
608369,7,1732,1509,0.3453,0.4327,0.0875,25.3,Corey Seager,TEX,52.0,1.9,228.6,BACK-LOADED
594807,6,1225,860,0.1584,0.1977,0.0393,24.8,,,,,,BACK-LOADED
624424,6,1655,1546,0.2326,0.2885,0.0559,24.0,,,,,,BACK-LOADED
657656,7,1402,1208,0.2047,0.2533,0.0486,23.7,Ramón Laureano,SD,178.0,1.6,178.7,BACK-LOADED
545341,7,1650,1565,0.2333,0.2882,0.0548,23.5,,,,,,BACK-LOADED
664761,5,1664,1105,0.2506,0.3077,0.0571,22.8,Alec Bohm,PHI,145.0,1.68,186.7,BACK-LOADED
624641,5,757,594,0.2034,0.2492,0.0457,22.5,,,,,,BACK-LOADED
664983,4,595,788,0.2168,0.2627,0.0459,21.2,Jake McCarthy,COL,202.0,1.57,96.2,BACK-LOADED
650859,6,1192,1096,0.2332,0.2819,0.0487,20.9,Luis Rengifo,MIL,153.0,1.66,150.9,BACK-LOADED
593643,4,526,450,0.2966,0.3578,0.0612,20.6,,,,,,BACK-LOADED
660688,5,1067,769,0.2784,0.3355,0.0572,20.5,Keibert Ruiz,WSH,140.0,1.7,94.8,BACK-LOADED
663586,6,1969,1259,0.258,0.3106,0.0526,20.4,Austin Riley,ATL,226.0,1.52,190.2,BACK-LOADED
642133,6,1437,916,0.2276,0.274,0.0465,20.4,,,,,,BACK-LOADED
570482,6,1396,878,0.2521,0.3018,0.0497,19.7,,,,,,BACK-LOADED
670032,5,1140,1014,0.2123,0.2535,0.0412,19.4,,,,,,BACK-LOADED
608324,7,2363,1941,0.3915,0.4647,0.0733,18.7,Alex Bregman,CHC,42.0,1.94,255.6,BACK-LOADED
553993,7,2421,2039,0.2276,0.2702,0.0426,18.7,Eugenio Suárez,CIN,279.0,1.41,118.5,BACK-LOADED
457759,7,1915,1489,0.3238,0.3842,0.0604,18.7,,,,,,BACK-LOADED
666397,3,442,475,0.1335,0.1579,0.0244,18.3,Edouard Julien,COL,300.0,1.34,113.9,BACK-LOADED
592663,7,1990,1734,0.2487,0.2941,0.0454,18.2,J.T. Realmuto,PHI,224.0,1.53,87.6,BACK-LOADED
544369,4,743,737,0.3001,0.3541,0.054,18.0,,,,,,BACK-LOADED
661388,5,1346,1137,0.2704,0.3184,0.048,17.7,William Contreras,MIL,29.0,2.01,233.7,BACK-LOADED
672284,4,779,643,0.1207,0.1415,0.0209,17.3,,,,,,BACK-LOADED
623993,7,1673,1455,0.2636,0.3093,0.0457,17.3,,,,,,BACK-LOADED
681082,4,1188,1049,0.2458,0.2879,0.0421,17.1,Bryson Stott,PHI,87.0,1.8,161.0,BACK-LOADED
686469,4,997,763,0.341,0.3984,0.0574,16.8,Vinnie Pasquantino,KC,46.0,1.93,224.2,BACK-LOADED
643393,5,1042,905,0.2764,0.3227,0.0463,16.7,,,,,,BACK-LOADED
666158,5,1083,830,0.2087,0.2434,0.0347,16.6,,,,,,BACK-LOADED
543309,5,654,653,0.1789,0.2083,0.0294,16.4,Kyle Higashioka,TEX,256.0,1.46,66.4,BACK-LOADED
519203,6,1968,1153,0.344,0.3981,0.0541,15.7,,,,,,BACK-LOADED
664728,4,702,724,0.1738,0.2003,0.0265,15.2,Kyle Isbel,KC,194.0,1.58,126.1,BACK-LOADED
578428,6,1344,1190,0.2671,0.3059,0.0388,14.5,,,,,,BACK-LOADED
516782,7,1956,1279,0.2822,0.3221,0.0399,14.1,,,,,,BACK-LOADED
518735,6,1446,1103,0.2669,0.3037,0.0368,13.8,,,,,,BACK-LOADED
683734,5,1422,1283,0.2419,0.2751,0.0332,13.7,,,,,,BACK-LOADED
650391,5,675,1180,0.2444,0.278,0.0335,13.7,,,,,,BACK-LOADED
527038,7,1616,1279,0.3137,0.3565,0.0428,13.6,,,,,,BACK-LOADED
656896,4,483,554,0.1863,0.2112,0.0249,13.3,,,,,,BACK-LOADED
607208,7,2333,2199,0.3035,0.3433,0.0399,13.1,Trea Turner,PHI,103.0,1.77,221.2,BACK-LOADED
543877,7,1527,954,0.2076,0.2348,0.0272,13.1,Christian Vázquez,HOU,254.0,1.47,74.1,BACK-LOADED
571980,4,728,487,0.2253,0.2546,0.0293,13.0,,,,,,BACK-LOADED
596019,7,2578,2154,0.3324,0.3756,0.0432,13.0,Francisco Lindor,NYM,54.0,1.89,167.5,BACK-LOADED
502671,7,2560,2015,0.2902,0.328,0.0378,13.0,,,,,,BACK-LOADED
665828,4,542,407,0.1697,0.1916,0.0219,12.9,,,,,,BACK-LOADED
663898,6,934,1002,0.2088,0.2355,0.0267,12.8,,,,,,BACK-LOADED
664238,6,946,728,0.1501,0.169,0.0189,12.6,,,,,,BACK-LOADED
621563,5,915,1082,0.2208,0.2486,0.0278,12.6,,,,,,BACK-LOADED
642731,5,1017,596,0.2429,0.2735,0.0306,12.6,,,,,,BACK-LOADED
621439,7,1575,626,0.2781,0.3131,0.035,12.6,Byron Buxton,MIN,34.0,1.98,245.3,BACK-LOADED
676391,4,625,637,0.2832,0.3187,0.0355,12.5,Ernie Clement,TOR,74.0,1.83,214.8,BACK-LOADED
596115,6,1701,1348,0.2493,0.2804,0.0312,12.5,Trevor Story,BOS,275.0,1.42,165.8,BACK-LOADED
645302,5,907,852,0.1929,0.2171,0.0242,12.5,,,,,,BACK-LOADED
608700,4,293,376,0.2082,0.234,0.0259,12.4,,,,,,BACK-LOADED
547180,7,2161,1998,0.3415,0.3834,0.0419,12.3,Bryce Harper,PHI,27.0,2.04,249.1,BACK-LOADED
609280,5,797,719,0.3061,0.3435,0.0374,12.2,Miguel Andujar,SD,79.0,1.82,127.4,BACK-LOADED
544725,4,965,717,0.1554,0.1743,0.0189,12.2,,,,,,BACK-LOADED
643446,7,1617,1795,0.337,0.3777,0.0407,12.1,Jeff McNeil,ATH,85.0,1.8,177.7,BACK-LOADED
656582,4,889,614,0.2452,0.2736,0.0284,11.6,,,,,,BACK-LOADED
660162,6,1411,1493,0.1935,0.2157,0.0222,11.5,Yoán Moncada,LAA,281.0,1.4,123.7,BACK-LOADED
642708,7,1975,1564,0.2294,0.2545,0.0251,10.9,Amed Rosario,NYY,113.0,1.76,99.4,BACK-LOADED
664702,4,1138,913,0.1907,0.2114,0.0207,10.9,Myles Straw,TOR,127.0,1.73,86.1,BACK-LOADED
