pitcher,player_name,pitches,plv,plv_raw,swing_rate,whiff_rate,contact_rate_given_swing,called_strike_rate,e_xwoba_in_play,plv_std,pl_plv,pl_pla,plv_pctile
547973,"Chapman, Aroldis",972,5.78205842603453,-0.027243788185615046,0.5493036918608246,0.40019543437392796,0.5998045656260719,0.5029722103291185,0.33586627498012134,1.3906924224637507,5.42300249635047,1.788073557212301,100.0
623352,"Hader, Josh",876,5.7568806247447135,-0.028157127698158476,0.4924512768543166,0.42292308866150513,0.5770769113384956,0.4579522273388513,0.33208388464321587,1.4576575658024489,5.177152221021701,2.831154510872193,99.9
656730,"Megill, Trevor",841,5.751419612162747,-0.028355229133314886,0.5362849598853723,0.38869469339312485,0.6113053066068752,0.5124310069918272,0.33211400287249754,1.405806284537741,5.410492304638655,1.7888516014505689,99.7
669093,"Estrada, Jeremiah",1290,5.683120066155695,-0.030832835233185887,0.528477071818031,0.4158626507101652,0.5841373492898324,0.47717688036925066,0.3249741088604758,1.3700224002676658,5.2951683670015575,2.2811138655876864,99.6
678495,"Rodríguez, Randy",826,5.678218283679067,-0.031010650268194998,0.48703091738234483,0.38495581919299887,0.615044180807003,0.5120319738048446,0.33779520828635995,1.348736618794318,5.240435232327947,2.433790673630816,99.5
694819,"Misiorowski, Jacob",1348,5.660303937974705,-0.03166050366821231,0.5439127214067071,0.396824209685738,0.6031757903142606,0.5198147228014481,0.3348603993003446,1.4310121044370543,5.354352759836086,1.9669065346608596,99.3
682254,"Montgomery, Mason",876,5.659303661157914,-0.03169678929656193,0.5173118039431964,0.41214560630855956,0.5878543936914412,0.488687133192978,0.329814314319803,1.4515511514650878,5.1659600698522805,2.776052817482972,99.2
640462,"Puk, A.J.",180,5.639652114156026,-0.03240966069278953,0.5519707259983402,0.37699273001475,0.6230072699852501,0.5483170964329125,0.3550232086230436,1.48416636032099,,,99.0
672282,"Detmers, Reid",1082,5.637449861807648,-0.03248954868869585,0.5020561596921143,0.33869630934650624,0.6613036906534938,0.5116181317587462,0.33730806290594045,1.3316304133496082,5.377146701120436,1.9286520417833035,98.9
656945,"Scott, Tanner",914,5.63503133594234,-0.03257728213330701,0.5380153825437779,0.4009244418050116,0.5990755581949884,0.5068516846299771,0.34237306042427396,1.3823991556685378,5.309462944863566,2.192941100793228,98.8
623149,"Sewald, Paul",330,5.617402033985718,-0.03321679540415194,0.5267414755193467,0.36834249318359824,0.6316575068164024,0.5343925890667901,0.35016278731196443,1.2131288696415234,,,98.6
593833,"Suero, Wander",142,5.60247913217997,-0.033758132421793,0.47949107824982395,0.3544471412862685,0.6455528587137312,0.4442870319905815,0.323570452681682,1.2379623742112758,,,98.5
695505,"Burns, Chase",777,5.592720164574272,-0.034112144696864535,0.5287119918663757,0.3901386413095499,0.6098613586904504,0.49059909273303737,0.3277391784901887,1.317615268801721,5.242115444423652,2.4637243338185364,98.4
695243,"Miller, Mason",1027,5.581194900465042,-0.034530230413813756,0.48640782373086777,0.41888311071904794,0.5811168892809511,0.4480987411979978,0.325386896017497,1.5318564929119176,5.033578619724572,3.362061863818493,98.2
642207,"Williams, Devin",1212,5.581085387923274,-0.03453420304551285,0.5031052765905615,0.41033294554343175,0.5896670544565681,0.4417104950017788,0.3257976541281077,1.2889989956849628,5.246625398402445,2.5339308685484294,98.1
642585,"Bautista, Félix",626,5.559851009378125,-0.03530449258455295,0.47199280182016695,0.39353031550940165,0.6064696844905992,0.4449857227258508,0.3142298354526089,1.3880357612661725,5.068326126575734,3.204586707614877,97.9
642547,"Peralta, Freddy",3362,5.541347091959518,-0.035975733044381765,0.47360924401953564,0.4108088912200234,0.5891911087799769,0.4540425876660861,0.3307163572886204,1.3871468562702087,5.120057632692516,2.9860116053858228,97.8
