mlbam,xwoba_window,woba_window,luck_gap,pa_window,pa_current_in_window,pa_prior_in_window,window_from,window_to,xwoba_current,woba_current,pa_current,xwoba_prior,woba_prior,days_since_last_pa,window_full,k,name,pos,tm,own,inj,owner,is_mine,asof_date,window_pa_target,rank_full_window
665742,0.4354058577777778,0.4191111111111111,-0.016294746666666693,225,225,0,2026-05-16,2026-07-24,0.4212122672413793,0.40014367816091956,348,0.4289749940556518,0.4035714285714286,29,True,"('juansoto', 'NYM')",Juan Soto,RF,NYM,,TEN_DAY_DL,Treasure Island Mashers,False,2026-08-22,225,1.0
592450,0.4330425333333333,0.4022222222222222,-0.03082031111111111,225,225,0,2026-04-04,2026-05-31,0.4182041328125,0.39570312500000004,256,0.45961743248252074,0.46666666666666673,83,True,"('aaronjudge', 'NYY')",Aaron Judge,RF,NYY,,SIXTY_DAY_DL,New York Ligers,True,2026-08-22,225,2.0
624413,0.4265148933333333,0.4186666666666667,-0.007848226666666624,225,225,0,2026-06-21,2026-08-22,0.39416799105545614,0.37432915921288007,559,0.3856686700639719,0.37176386913229015,0,True,"('alonsopete', 'BAL')",Pete Alonso,1B,Bal,,ACTIVE,New York Ligers,True,2026-08-22,225,3.0
670541,0.4177854711111111,0.4177777777777778,-7.693333333280705e-06,225,225,0,2026-06-16,2026-08-22,0.45807925842696623,0.43970037453183525,534,0.3928899856489451,0.3448453608247423,0,True,"('alvarezyordan', 'HOU')",Yordan Alvarez,DH,Hou,,ACTIVE,Late Night Bettsing,False,2026-08-22,225,4.0
695578,0.4015513422222222,0.3864444444444445,-0.015106897777777739,225,225,0,2026-06-08,2026-08-03,0.4198336457142857,0.3954285714285714,525,0.3606025261543233,0.3595870206489676,19,True,"('jameswood', 'WSH')",James Wood,LF,Wsh,,TEN_DAY_DL,Team Solomon,False,2026-08-22,225,5.0
669257,0.39971834567346554,0.3417777777777778,-0.057940567895687745,225,201,24,2025-08-25,2026-06-05,0.3861727611940298,0.32562189054726365,201,0.3728454040613276,0.38650234741784034,78,True,"('smithwill', 'LAD')",Will Smith,C,LAD,,SIXTY_DAY_DL,2015 Draft First Round,False,2026-08-22,225,6.0
665487,0.39945312,0.39666666666666667,-0.0027864533333333275,225,225,0,2026-06-24,2026-08-22,0.3722317895683453,0.35674460431654675,556,0.3701129816897429,0.36747430249632895,0,True,"('fernandojrtatis', 'SD')",Fernando Tatis Jr.,RF,SD,,ACTIVE,Treasure Island Mashers,False,2026-08-22,225,7.0
660271,0.3881609733333333,0.3802222222222223,-0.007938751111111031,225,225,0,2026-06-16,2026-08-22,0.4098461073446328,0.4028248587570622,531,0.4235185791413504,0.4218077474892396,0,True,"('ohtanishohei', 'LAD')",Shohei Ohtani,DH,LAD,,ACTIVE,Frendy's Fantastic Team,False,2026-08-22,225,8.0
678246,0.3818330488888888,0.38311111111111107,0.0012780622222222648,225,225,0,2026-06-24,2026-08-22,0.39152842028985513,0.37282608695652175,552,0.3187693942848534,0.3193661971830986,0,True,"('miguelvargas', 'CWS')",Miguel Vargas,3B,ChW,,ACTIVE,Frendy's Fantastic Team,False,2026-08-22,225,9.0
641343,0.3800758355555556,0.38422222222222224,0.004146386666666668,225,225,0,2026-06-13,2026-08-22,0.37324139393939393,0.3829004329004329,462,0.3561049890681513,0.33634259259259264,0,True,"('bauersjake', 'MIL')",Jake Bauers,1B,Mil,,ACTIVE,U Just Lost To Edwin Diaz,False,2026-08-22,225,10.0
701350,0.3780416135623227,0.3628888888888889,-0.01515272467343376,225,128,97,2025-08-10,2026-05-04,0.35359692187499997,0.31289062500000003,128,0.37200824232373797,0.38609271523178806,110,True,"('anthonyroman', 'BOS')",Roman Anthony,RF,Bos,,SIXTY_DAY_DL,Treasure Island Mashers,False,2026-08-22,225,11.0
676475,0.37801417333333337,0.3804444444444445,0.002430271111111104,225,225,0,2026-06-21,2026-08-22,0.38300142830882355,0.36792279411764706,544,0.34609629629994415,0.35619223659889093,0,True,"('alecburleson', 'STL')",Alec Burleson,LF,StL,,ACTIVE,Late Night Bettsing,False,2026-08-22,225,12.0
672515,0.3780078177777778,0.38688888888888895,0.008881071111111138,225,225,0,2026-06-21,2026-08-22,0.37350120238095236,0.37797619047619047,420,0.3456345700346143,0.3465573770491804,0,True,"('gabrielmoreno', 'AZ')",Gabriel Moreno,C,Ari,,ACTIVE,U Just Lost To Edwin Diaz,False,2026-08-22,225,13.0
