pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
669373,"Skubal, Tarik",7,0.9231,50.8,65,65.0,73.8,0.8176,0.127,False
694819,"Misiorowski, Jacob",7,1.0649,100.0,8,5.0,60.0,0.8965,0.0746,False
694973,"Skenes, Paul",7,0.9235,14.3,7,7.0,100.0,1.0316,0.1609,False
693645,"Schlittler, Cam",7,1.1,100.0,8,6.0,100.0,1.0435,0.1896,False
594798,"deGrom, Jacob",6,1.056,65.2,144,140.0,67.9,0.9533,0.0771,False
607192,"Glasnow, Tyler",6,1.0386,72.1,88,85.0,76.5,0.9622,0.12,False
519242,"Sale, Chris",7,0.9968,65.2,144,144.0,75.0,0.9385,0.1217,False
656302,"Cease, Dylan",7,0.8632,59.9,109,106.0,88.7,0.8023,0.1552,False
650911,"Sánchez, Cristopher",7,0.7387,26.6,21,21.0,90.5,0.784,0.0993,False
666200,"Luzardo, Jesús",7,0.7583,52.2,60,60.0,75.0,0.7936,0.1792,False
667755,"Soriano, José",7,1.1079,100.0,45,41.0,63.4,0.6566,0.0303,False
660271,"Ohtani, Shohei",5,1.0778,82.3,79,74.0,68.9,0.9663,0.0673,False
684007,"Imanaga, Shota",7,1.0194,97.9,46,44.0,47.7,0.8229,-0.0127,False
669302,"Gilbert, Logan",7,0.7126,18.6,26,26.0,100.0,0.8504,0.2833,False
592332,"Gausman, Kevin",7,0.8623,74.6,217,217.0,61.8,0.7299,0.0578,False
808967,"Yamamoto, Yoshinobu",6,0.8207,22.0,9,9.0,100.0,0.9907,0.2267,False
695505,"Burns, Chase",7,0.9688524590163934,100.0,2,,,,,False
642547,"Peralta, Freddy",7,0.8565,50.0,78,78.0,85.9,0.8877,0.195,False
668909,"Williams, Gavin",7,0.9425,96.5,55,54.0,70.4,0.7266,0.0753,False
601713,"Pivetta, Nick",4,0.8917,75.2,155,153.0,68.0,0.7111,0.126,False
608331,"Fried, Max",7,0.8794,64.4,114,114.0,73.7,0.8331,0.0922,False
543135,"Eovaldi, Nathan",7,0.5958,24.1,51,51.0,100.0,0.7083,0.2341,False
657746,"Ryan, Joe",8,0.7228,22.4,24,21.0,100.0,0.8443,0.2255,False
690997,"McLean, Nolan",7,1.0224137931034483,100.0,2,,,,,False
666142,"Ragans, Cole",7,0.6532,10.0,6,5.0,100.0,0.9404,0.4279,False
693433,"Woo, Bryan",7,0.5836,1.6,1,1.0,100.0,0.9381,0.4702,False
677952,"Ashcraft, Braxton",7,0.8642276422764227,0.0,0,,,,,True
656876,"Rasmussen, Drew",6,0.9261,65.8,50,46.0,65.2,0.855,0.0909,False
669923,"Kirby, George",7,0.7343,41.5,44,42.0,100.0,0.7897,0.1827,False
676979,"Crochet, Garrett",6,0.4889,1.7,1,1.0,100.0,1.0211,0.6108,False
663460,"Bubic, Kris",7,0.8227,82.4,61,58.0,70.7,0.5437,0.0691,False
605540,"Woodruff, Brandon",6,0.7207,17.2,21,19.0,100.0,0.8668,0.3105,False
686218,"Sheehan, Emmet",6,0.7264,50.0,9,9.0,100.0,0.8641,0.4376,False
683004,"Leiter, Jack",7,0.5911,17.2,5,5.0,100.0,0.7111,0.2112,False
691799,"Taylor, Grant",4,1.3666666666666667,,0,,,,,True
664285,"Valdez, Framber",7,0.695,35.6,57,55.0,98.2,0.7783,0.2049,False
691587,"Pérez, Eury",7,0.6093,15.2,5,5.0,100.0,0.8143,0.2807,False
