pitcher,player_name,xfp_rp3_per_start,playoff_ros,signal,prior_source
669373,"Skubal, Tarik",15.284807173456104,108.5,il,rp3_model
694819,"Misiorowski, Jacob",14.923759151706289,106.0,add,rp3_model
694973,"Skenes, Paul",14.79892908697296,105.1,add,rp3_model
693645,"Schlittler, Cam",14.794942222152656,105.0,add,rp3_model
594798,"deGrom, Jacob",14.6370616227303,103.9,add,rp3_model
607192,"Glasnow, Tyler",14.596899670768275,103.6,add,rp3_model
519242,"Sale, Chris",14.225576246513754,101.0,add,rp3_model
656302,"Cease, Dylan",14.0067552799641,99.4,add,rp3_model
554430,"Wheeler, Zack",13.851569850009716,98.3,hold,rp3_model
650911,"Sánchez, Cristopher",13.851200956764298,98.3,hold,rp3_model
666200,"Luzardo, Jesús",13.721345125657068,97.4,hold,rp3_model
667755,"Soriano, José",13.294917625146516,94.4,hold,rp3_model
660271,"Ohtani, Shohei",13.29095219719458,94.4,hold,rp3_model
686613,"Brown, Hunter",13.220076206916488,93.9,il,rp3_model
684007,"Imanaga, Shota",13.173837131038232,93.5,hold,rp3_model
543037,"Cole, Gerrit",13.11,93.1,il,marcel_il
669302,"Gilbert, Logan",13.092842982824669,93.0,hold,rp3_model
592332,"Gausman, Kevin",13.060496869987167,92.7,hold,rp3_model
808967,"Yamamoto, Yoshinobu",13.03013808966166,92.5,hold,rp3_model
605483,"Snell, Blake",13.02,92.4,il,marcel_il
695505,"Burns, Chase",12.863370020075308,91.3,hold,rp3_model
642547,"Peralta, Freddy",12.795391633404792,90.8,hold,rp3_model
668909,"Williams, Gavin",12.78588918570805,90.8,hold,rp3_model
680885,"Schwellenbach, Spencer",12.75,90.5,il,marcel_il
601713,"Pivetta, Nick",12.732119049109794,90.4,il,rp3_model
608331,"Fried, Max",12.674818133270712,90.0,hold,rp3_model
543135,"Eovaldi, Nathan",12.417807633090428,88.2,hold,rp3_model
657746,"Ryan, Joe",12.341102110406974,87.6,hold,rp3_model
690997,"McLean, Nolan",12.32868854172563,87.5,hold,rp3_model
668881,"Greene, Hunter",12.27,87.1,il,marcel_il
666142,"Ragans, Cole",12.1681352554818,86.4,hold,rp3_model
693433,"Woo, Bryan",12.161653946710196,86.3,hold,rp3_model
669854,"Blanco, Ronel",12.11,86.0,il,marcel_il
677952,"Ashcraft, Braxton",12.099062592238656,85.9,hold,rp3_model
656876,"Rasmussen, Drew",12.079660328780092,85.8,hold,rp3_model
669203,"Burnes, Corbin",12.06,85.6,il,marcel_il
669923,"Kirby, George",12.05581215516079,85.6,hold,rp3_model
801139,Payton Tolle,11.984400059586836,85.1,hold,rp3_model
676979,"Crochet, Garrett",11.965526390900694,85.0,il,rp3_model
663460,"Bubic, Kris",11.84316088735662,84.1,hold,rp3_model
605540,"Woodruff, Brandon",11.689662875337024,83.0,il,rp3_model
686218,"Sheehan, Emmet",11.623916758195838,82.5,hold,rp3_model
683004,"Leiter, Jack",11.566553482991656,82.1,hold,rp3_model
691799,"Taylor, Grant",11.550040072518335,82.0,hold,rp3_model
664285,"Valdez, Framber",11.520812876567405,81.8,hold,rp3_model
691587,"Pérez, Eury",11.495160939811903,81.6,hold,rp3_model
641154,"López, Pablo",11.46,81.4,il,marcel_il
571510,"Boyd, Matthew",11.410238947919268,81.0,hold,rp3_model
800048,"Messick, Parker",11.397319132983334,80.9,hold,rp3_model
657006,"Steele, Justin",11.34,80.5,il,marcel_il
672282,"Detmers, Reid",11.322159096807558,80.4,hold,rp3_model
663556,"McClanahan, Shane",11.315806695985843,80.3,hold,rp3_model
665152,"Kremer, Dean",11.284610121946605,80.1,il,rp3_model
671737,"Bradley, Taj",11.266031880113308,80.0,hold,rp3_model
701542,"Warren, Will",11.258743514279248,79.9,hold,rp3_model
682254,Mason Montgomery,11.23234338448913,79.7,hold,rp3_model
690986,"Harrison, Kyle",11.229107076124595,79.7,hold,rp3_model
650633,"King, Michael",11.178836922864472,79.4,hold,rp3_model
657277,"Webb, Logan",11.1667750233138,79.3,hold,rp3_model
669022,"Gore, MacKenzie",11.157094440581089,79.2,hold,rp3_model
645261,"Alcantara, Sandy",11.146933574004688,79.1,hold,rp3_model
607074,"Rodón, Carlos",11.07,78.6,il,marcel_il
608379,"Wacha, Michael",11.031337196754148,78.3,hold,rp3_model
592662,"Ray, Robbie",11.014538535212798,78.2,hold,rp3_model
676974,"Meyer, Max",10.887604782192897,77.3,hold,rp3_model
676440,"Bibee, Tanner",10.87350909228878,77.2,hold,rp3_model
675911,"Strider, Spencer",10.83,76.9,il,marcel_il
605397,"Musgrove, Joe",10.8,76.7,il,marcel_il
663554,"Mize, Casey",10.78873722763964,76.6,il,rp3_model
665795,"Cabrera, Edward",10.728873208272772,76.2,hold,rp3_model
677960,"Weathers, Ryan",10.646684139359364,75.6,hold,rp3_model
656605,"Keller, Mitch",10.629320856123918,75.5,hold,rp3_model
663567,"Lambert, Peter",10.583507456805616,75.1,hold,rp3_model
669432,"Rogers, Trevor",10.554697234953638,74.9,hold,rp3_model
605400,"Nola, Aaron",10.524615596096307,74.7,hold,rp3_model
701656,Logan Henderson,10.522883265650613,74.7,hold,rp3_model
607625,"Lugo, Seth",10.52134006313227,74.7,hold,rp3_model
676106,"Hancock, Emerson",10.505848734934704,74.6,hold,rp3_model
669330,"Wells, Tyler",10.42,74.0,il,marcel_il
624133,"Suarez, Ranger",10.407073950023769,73.9,hold,rp3_model
579328,"Kikuchi, Yusei",10.39166555040709,73.8,il,rp3_model
666157,"Lodolo, Nick",10.38,73.7,il,marcel_il
683003,"Jones, Jared",10.38,73.7,il,marcel_il
592791,"Taillon, Jameson",10.378032730621449,73.7,hold,rp3_model
694813,"Stone, Gavin",10.36,73.6,il,marcel_il
622491,"Castillo, Luis",10.35062583103126,73.5,hold,rp3_model
680570,"Rodriguez, Grayson",10.33,73.3,il,marcel_il
801403,"Dollander, Chase",10.315288450646896,73.2,hold,rp3_model
669358,"Baz, Shane",10.22163047727376,72.6,hold,rp3_model
663436,"Martin, Davis",10.195149469603438,72.4,hold,rp3_model
622663,"Severino, Luis",10.154135036034749,72.1,hold,rp3_model
641482,"Cortes, Nestor",10.15,72.1,il,marcel_il
694738,"Roupp, Landen",10.104721250740504,71.7,hold,rp3_model
666129,"Garrett, Braxton",10.09,71.6,il,marcel_il
690990,"Horton, Cade",10.0802985506839,71.6,il,rp3_model
690953,"Abel, Mick",10.063490398285031,71.5,il,rp3_model
607067,"Rea, Colin",10.051631908367757,71.4,hold,rp3_model
669456,"Bieber, Shane",10.05,71.4,il,marcel_il
676282,"Cantillo, Joey",10.049207933909678,71.3,hold,rp3_model
605488,"Springs, Jeffrey",10.046809528818304,71.3,hold,rp3_model
680694,"Bradish, Kyle",10.02348779176526,71.2,hold,rp3_model
669194,"Nelson, Ryne",9.971006484571282,70.8,hold,rp3_model
605280,"Holmes, Clay",9.961032920573984,70.7,hold,rp3_model
477132,"Kershaw, Clayton",9.94,70.6,il,marcel_il
693821,"Elder, Bryce",9.929344967281525,70.5,hold,rp3_model
681347,"Burrows, Mike",9.917168393839429,70.4,hold,rp3_model
681190,"Vásquez, Randy",9.901829528656696,70.3,hold,rp3_model
663568,"Kolek, Stephen",9.9,70.3,il,marcel_il
702056,Trey Yesavage,9.898956088119547,70.3,hold,rp3_model
625643,"López, Reynaldo",9.891002407538435,70.2,hold,rp3_model
702273,"Schultz, Noah",9.890534618355902,70.2,hold,rp3_model
656550,"Holmes, Grant",9.867888398744096,70.1,hold,rp3_model
686752,"Pepiot, Ryan",9.85,69.9,il,marcel_il
682243,"Miller, Bryce",9.84,69.9,il,marcel_il
663623,"Irvin, Jake",9.828229110312474,69.8,hold,rp3_model
673540,"Senga, Kodai",9.78547942319367,69.5,il,rp3_model
647336,"Soroka, Michael",9.759245891076151,69.3,hold,rp3_model
668964,"Myers, Tobias",9.74,69.2,il,marcel_il
656557,"Houck, Tanner",9.73,69.1,il,marcel_il
681857,"Olson, Reese",9.72,69.0,il,marcel_il
681035,Christian Scott,9.695061838156237,68.8,hold,rp3_model
687570,"Prielipp, Connor",9.684878499562746,68.8,hold,rp3_model
641816,"Mahle, Tyler",9.675786375959182,68.7,hold,rp3_model
702070,"Cameron, Noah",9.645950810185088,68.5,hold,rp3_model
657376,"Schmidt, Clarke",9.63,68.4,il,marcel_il
676710,"Crawford, Kutter",9.62,68.3,il,marcel_il
641927,"Ober, Bailey",9.618362717078467,68.3,hold,rp3_model
643377,"Jax, Griffin",9.600273541979192,68.2,hold,rp3_model
672456,"Montero, Keider",9.593611758378712,68.1,hold,rp3_model
687792,"Herz, DJ",9.59,68.1,il,marcel_il
621244,"Berríos, José",9.58,68.0,il,marcel_il
700712,"Ureña, Walbert",9.562420928320224,67.9,hold,rp3_model
640455,"Manaea, Sean",9.56,67.9,il,marcel_il
621107,"Eflin, Zach",9.56,67.9,il,marcel_il
681293,"Arrighetti, Spencer",9.487608782495244,67.4,hold,rp3_model
696149,"Chandler, Bubba",9.472640566462996,67.3,hold,rp3_model
682990,"Priester, Quinn",9.46,67.2,il,marcel_il
623474,"Herget, Jimmy",9.436967182604894,67.0,hold,rp3_model
676917,"Cavalli, Cade",9.433073389527715,67.0,hold,rp3_model
628711,"Urías, Julio",9.4,66.7,il,marcel_il
607259,"Martinez, Nick",9.364339360594403,66.5,hold,rp3_model
663542,Bryan Hudson,9.314198760746851,66.1,hold,rp3_model
641540,"Dunning, Dane",9.24,65.6,il,marcel_il
656849,"Peterson, David",9.218776165600207,65.5,hold,rp3_model
656427,"Flaherty, Jack",9.216333377286444,65.4,hold,rp3_model
694297,"Pfaadt, Brandon",9.215814969614051,65.4,hold,rp3_model
837227,,9.184520036740931,65.2,il,rp3_model
605182,"Clevinger, Mike",9.18,65.2,il,marcel_il
608337,"Giolito, Lucas",9.16,65.0,il,marcel_il
489119,"Miley, Wade",9.16,65.0,il,marcel_il
607536,"Freeland, Kyle",9.119319575571184,64.7,drop,rp3_model
694477,"Patrick, Chad",9.10702804748468,64.7,drop,rp3_model
691725,"Painter, Andrew",9.08951932386285,64.5,drop,rp3_model
686701,"Bergert, Ryan",9.08,64.5,il,marcel_il
669372,"Ginn, J.T.",9.020673501108211,64.0,drop,rp3_model
668678,"Gallen, Zac",8.980051649935128,63.8,drop,rp3_model
808963,"Sasaki, Roki",8.976128908980932,63.7,drop,rp3_model
543243,"Gray, Sonny",8.97424241898913,63.7,il,rp3_model
506433,"Darvish, Yu",8.96,63.6,il,marcel_il
502171,"Cobb, Alex",8.94,63.5,il,marcel_il
702275,JR Ritchie,8.930156437456372,63.4,drop,rp3_model
669467,"Pallante, Andre",8.927232251682543,63.4,drop,rp3_model
681343,"Smith, Shane",8.89494724299111,63.2,il,rp3_model
682847,"Ortiz, Luis",8.84,62.8,il,marcel_il
656492,"Griffin, Foster",8.838792512134448,62.8,drop,rp3_model
641585,"France, J.P.",8.81,62.6,il,marcel_il
687075,"Sproat, Brandon",8.78591737184697,62.4,drop,rp3_model
650644,"Civale, Aaron",8.760599257034455,62.2,drop,rp3_model
676083,"Junk, Janson",8.740112135947538,62.1,drop,rp3_model
502043,"Gibson, Kyle",8.71,61.8,il,marcel_il
