player,role,owner,1H_g,1H_fpg,1H_ops,1H_k,2H_g,2H_fpg,2H_ops,2H_k,d_fpg,kind
Josh Bell,DH,FA/EXT,795,2.2955974842767297,0.779,19.15026554201812,539,2.2838589981447126,0.792,17.843866171003718,-0.011738486132017112,H
Heliot Ramos,LF,FA/EXT,229,2.078602620087336,0.789,25.42016806722689,151,1.5231788079470199,0.654,24.59807073954984,-0.5554238121403163,H
Francisco Alvarez,C,FA/EXT,209,1.6650717703349283,0.765,25.52910052910053,166,1.6566265060240963,0.72,26.428571428571427,-0.008445264310831924,H
Nasim Nunez,2B,FA/EXT,133,1.2781954887218046,0.586,23.035230352303522,57,1.5789473684210527,0.764,15.333333333333334,0.3007518796992481,H
Carson Kelly,C,FA/EXT,368,1.9184782608695652,0.768,19.137254901960784,339,1.303834808259587,0.626,20.19927536231884,-0.6146434526099782,H
Cole Young,2B,FA/EXT,132,1.7803030303030303,0.693,19.29824561403509,52,1.5961538461538463,0.623,12.42603550295858,-0.18414918414918402,H
Bryce Eldridge,DH,FA/EXT,54,2.0555555555555554,0.832,24.42396313364055,20,0.95,0.599,35.0,-1.1055555555555554,H
A.J. Ewing,CF,FA/EXT,57,1.9649122807017543,0.789,25.675675675675677,10,1.2,0.624,30.612244897959183,-0.7649122807017543,H
Gavin Sheets,1B,FA/EXT,415,1.7108433734939759,0.721,20.02724795640327,265,1.3962264150943395,0.665,21.502890173410403,-0.3146169583996363,H
Jake Burger,1B,FA/EXT,372,1.6801075268817205,0.715,28.13156053184045,177,2.378531073446328,0.85,24.397163120567377,0.6984235465646074,H
Dominic Canzone,DH,FA/EXT,168,1.7261904761904763,0.812,22.17898832684825,132,1.4924242424242424,0.707,21.770334928229666,-0.23376623376623384,H
Daulton Varsho,CF,FA/EXT,404,1.7054455445544554,0.677,24.144736842105264,302,2.089403973509934,0.786,23.705722070844686,0.3839584289554785,H
Chase Meidroth,2B,FA/EXT,164,1.7317073170731707,0.679,19.622093023255815,61,2.0327868852459017,0.722,15.32258064516129,0.30107956817273096,H
Lawrence Butler,RF,FA/EXT,245,1.5183673469387755,0.691,27.65714285714286,172,1.7848837209302326,0.724,25.117004680187208,0.2665163739914571,H
TJ Friedl,CF,FA/EXT,275,2.0436363636363635,0.711,18.149146451033243,250,2.308,0.751,15.160642570281125,0.26436363636363636,H
Royce Lewis,3B,FA/EXT,167,2.0179640718562872,0.754,21.91358024691358,164,2.274390243902439,0.738,22.22222222222222,0.2564261720461518,H
