name,batter,rank,ros_fp_g,key,chase,zswing,whiff,swstr,k_pct,up,dn,net,asg_fpg,asg_g,pos,own
Lane Thomas,657041,126,1.2818107429838435,lane thomas,,-1.1,,1.9,9.6,0,3,-3,1.3157894736842106,19,CF,1.6
Dane Myers,667472,254,1.0457090141288186,dane myers,12.9,,,5.9,3.2,0,3,-3,0.8888888888888888,18,CF,0.2
Luis Lara,800325,267,0.9151759088818824,luis lara,13.0,,,6.8,10.3,0,3,-3,1.8125,16,CF,2.7
Luis Rengifo,650859,243,1.3743483421581912,luis rengifo,1.3,,2.5,0.6,3.0,0,4,-4,2.7,20,3B,2.9
Vaughn Grissom,687093,311,1.2775515494971694,vaughn grissom,14.4,,7.9,5.3,9.2,0,4,-4,1.75,20,2B,3.8
Braden Montgomery,695731,341,1.1901540839261395,braden montgomery,1.5,,8.4,4.1,1.6,0,4,-4,2.25,20,CF,5.0
Austin Riley,663586,446,1.0512676014322708,austin riley,0.7,,1.8,1.8,10.4,0,4,-4,1.8571428571428572,21,3B,62.6
Bo Bichette,666182,153,1.9047894444728983,bo bichette,5.6,-5.9,2.4,1.3,5.2,0,5,-5,1.0952380952380953,21,SS,71.2
Heriberto Hernández,681715,100,1.6027989186129101,heriberto hernandez,2.4,-1.6,5.8,3.2,12.9,0,5,-5,1.05,20,LF,3.5
Willy Adames,642715,330,1.4261495982502927,willy adames,0.4,-1.2,1.5,0.6,1.5,0,5,-5,1.8571428571428572,21,SS,49.1
