batter,player_name,team,primary_position,xfp_rh3_per_pa,expected_total_fp_remaining,playoff_ros,signal
676609,José Caballero,NYY,SS,0.4286877567785817,151.8,45.5,drop
673548,Seiya Suzuki,CHC,OF,0.5540209158614682,150.7,45.2,hold
682626,Francisco Alvarez,NYM,C,0.4759085122256514,150.4,45.1,hold
656775,Cedric Mullins,TB,OF,0.4482753097727338,149.3,44.8,hold
702222,Justin Crawford,PHI,OF,0.471023414391563,148.8,44.6,hold
686555,Isaac Collins,KC,OF,0.4659143438208721,145.8,43.7,hold
671732,Lawrence Butler,ATH,OF,0.4349606143401589,144.8,43.4,hold
699912,Jose Fernandez,AZ,1B,0.5001601888522832,144.5,43.4,hold
696285,Jacob Young,WSH,OF,0.4108825692492485,144.2,43.3,drop
804606,Konnor Griffin,PIT,SS,0.4225467919739339,143.2,43.0,drop
678662,Ezequiel Tovar,COL,SS,0.3594378050121655,142.0,42.6,drop
678882,Ceddanne Rafaela,BOS,OF,0.4117728347660426,142.1,42.6,drop
630105,Jake Cronenworth,SD,2B,0.4263315249269258,141.1,42.3,drop
669357,Nolan Gorman,STL,3B,0.3748236264065062,140.6,42.2,drop
657757,Gavin Sheets,SD,1B,0.4956418541332793,140.3,42.1,hold
643217,Andrew Benintendi,CWS,OF,0.4324052665872946,139.2,41.8,hold
701675,Nathan Church,STL,OF,0.4510130192532499,138.5,41.6,hold
673237,Yainer Diaz,HOU,C,0.4421767273711086,138.4,41.5,drop
683083,Nasim Nuñez,WSH,2B,0.402429718168823,137.6,41.3,drop
690993,Colt Keith,DET,3B,0.4487125593253085,137.8,41.3,hold
681393,Connor Norby,MIA,1B,0.392947405479632,136.7,41.0,drop
608348,Carson Kelly,CHC,C,0.4778736204393332,135.2,40.6,hold
673357,Luis Robert Jr.,NYM,OF,0.4655973155389948,134.6,40.4,hold
668885,Austin Martin,MIN,OF,0.4743863168489308,132.8,39.8,hold
573262,Mike Yastrzemski,ATL,OF,0.4122528378786203,132.7,39.8,drop
663616,Trevor Larnach,MIN,OF,0.4769250207970269,132.1,39.6,hold
609280,Miguel Andujar,SD,3B,0.5370386832562501,131.6,39.5,hold
605170,Victor Caratini,MIN,C,0.441572756114822,131.6,39.5,drop
669003,Garrett Mitchell,MIL,OF,0.3884978892476585,131.7,39.5,drop
663886,Tyler Stephenson,CIN,C,0.4725255879855322,130.9,39.3,hold
670242,Matt Wallner,MIN,OF,0.3733476999757512,128.8,38.6,drop
664728,Kyle Isbel,KC,OF,0.4594663776019821,128.7,38.6,hold
807713,Matt Shaw,CHC,OF,0.5033805146013882,127.9,38.4,hold
701807,Carson Benge,NYM,OF,0.4083301601938863,127.8,38.3,drop
666152,David Hamilton,MIL,3B,0.4343690652457079,126.8,38.0,drop
660162,Yoán Moncada,LAA,3B,0.4061435094523813,125.9,37.8,drop
669224,Austin Wells,NYY,C,0.4623125103088197,125.7,37.7,hold
596142,Gary Sánchez,MIL,C,0.4815825763799615,125.2,37.6,hold
668939,Adley Rutschman,BAL,C,0.5533825711177693,124.0,37.2,hold
592626,Joc Pederson,TEX,1B,0.4492476819213845,123.1,36.9,drop
669701,Josh Smith,TEX,2B,0.3790832736448544,122.1,36.6,drop
691785,Marcelo Mayer,BOS,2B,0.4256826404921777,121.7,36.5,drop
687637,Dylan Beavers,BAL,OF,0.4313829227440768,120.8,36.2,hold
663647,Ke'Bryan Hayes,CIN,3B,0.4534973658980208,120.6,36.2,hold
691720,Kyle Karros,COL,3B,0.3556578022319807,120.6,36.2,drop
519317,Giancarlo Stanton,NYY,DH,0.4407941827519389,119.9,36.0,hold
666139,Josh Lowe,LAA,OF,0.4211204504490559,119.2,35.8,hold
691781,Brady House,WSH,3B,0.3161155129744504,119.5,35.8,drop
553993,Eugenio Suárez,CIN,3B,0.4047784114265041,119.4,35.8,drop
663743,Nick Fortes,TB,C,0.4529948030209413,119.1,35.7,drop
694671,Wyatt Langford,TEX,OF,0.4751752395033899,117.8,35.3,hold
670042,Luke Raley,SEA,OF,0.416142028767416,117.8,35.3,hold
