mlbam_id,player_name,team,proj_ros_gs_per_teamgame,naive_pace,proj_ros_starts,team_games_remaining_implied,volume_percentile,gs_to,team_games_to,gs_per_teamgame_to,gs_last21,fp_per_start_to,prior1_gs_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
669022,"Gore, MacKenzie",TEX,0.1726,0.2031,5.9,34.0,87.1,26,128.0,0.2031,3.0,11.6154,0.1852,4.0,0.0,170.0,0.0,148
693433,"Woo, Bryan",SEA,0.1712,0.1875,5.8,34.0,86.7,24,128.0,0.1875,3.0,12.9625,0.1852,3.0,0.0,170.0,0.0,148
663554,"Mize, Casey",DET,0.1707,0.1496,6.0,35.0,86.4,19,127.0,0.1496,3.0,13.2579,0.1728,6.0,0.0,65.0,2.0,148
672456,"Montero, Keider",DET,0.1706,0.1654,6.0,35.0,86.0,21,127.0,0.1654,4.0,12.1238,0.0864,2.0,0.0,170.0,0.0,148
677952,"Ashcraft, Braxton",PIT,0.17,0.1938,5.6,33.0,85.7,25,129.0,0.1938,4.0,14.22,0.0,0.0,0.0,170.0,0.0,148
667755,"Soriano, José",LAA,0.1698,0.1953,5.8,34.0,85.3,25,128.0,0.1953,3.0,12.224,0.1914,2.0,0.0,170.0,0.0,148
527048,"Pérez, Martín",ATL,0.1691,0.1562,5.8,34.0,85.0,20,128.0,0.1562,4.0,10.425,0.0617,11.0,0.0,30.0,1.0,148
676917,"Cavalli, Cade",WSH,0.1689,0.2093,5.6,33.0,84.6,27,129.0,0.2093,4.0,11.7778,0.0617,1.0,0.0,170.0,0.0,148
543037,"Cole, Gerrit",NYY,0.1688,0.126,5.9,35.0,84.3,16,127.0,0.126,4.0,14.975,0.0,11.0,0.0,170.0,0.0,148
593958,"Rodriguez, Eduardo",AZ,0.1683,0.1953,5.7,34.0,83.9,25,128.0,0.1953,3.0,12.988,0.179,11.0,0.0,170.0,0.0,148
694738,"Roupp, Landen",SF,0.1681,0.1969,5.9,35.0,83.6,25,127.0,0.1969,4.0,10.628,0.1358,1.0,0.0,170.0,0.0,148
801139,"Tolle, Payton",BOS,0.1673,0.1654,5.9,35.0,83.2,21,127.0,0.1654,4.0,14.581,0.0,0.0,0.0,170.0,0.0,148
519242,"Sale, Chris",ATL,0.1673,0.1719,5.7,34.0,82.9,22,128.0,0.1719,2.0,16.8818,0.1235,11.0,0.0,170.0,0.0,148
700241,"McGreevy, Michael",STL,0.1667,0.1938,5.5,33.0,82.5,25,129.0,0.1938,4.0,11.024,0.0988,1.0,0.0,170.0,0.0,148
605280,"Holmes, Clay",NYM,0.1667,0.0938,5.7,34.0,82.2,12,128.0,0.0938,3.0,13.3667,0.1914,1.0,0.0,13.0,1.0,148
608331,"Fried, Max",NYY,0.1666,0.1181,5.8,35.0,81.8,15,127.0,0.1181,3.0,14.7533,0.1975,7.0,1.0,0.0,2.0,148
641816,"Mahle, Tyler",SF,0.1666,0.1654,5.8,35.0,81.5,21,127.0,0.1654,4.0,10.8286,0.0988,8.0,0.0,58.0,1.0,148
607536,"Freeland, Kyle",COL,0.1663,0.1811,5.8,35.0,81.1,23,127.0,0.1811,4.0,6.8652,0.1852,9.0,0.0,115.0,1.0,148
621111,"Buehler, Walker",SD,0.1662,0.1953,5.7,34.0,80.8,25,128.0,0.1953,4.0,8.048,0.1481,8.0,0.0,170.0,0.0,148
656492,"Griffin, Foster",WSH,0.1662,0.1938,5.5,33.0,80.4,25,129.0,0.1938,4.0,12.924,0.0,0.0,0.0,170.0,0.0,148
701542,"Warren, Will",NYY,0.166,0.189,5.8,35.0,80.1,24,127.0,0.189,4.0,8.9625,0.2037,1.0,0.0,170.0,0.0,148
672282,"Detmers, Reid",LAA,0.1649,0.1953,5.6,34.0,79.7,25,128.0,0.1953,3.0,14.712,0.0,4.0,0.0,170.0,0.0,148
669467,"Pallante, Andre",STL,0.1647,0.186,5.4,33.0,79.4,24,129.0,0.186,3.0,10.8792,0.1914,4.0,0.0,170.0,0.0,148
608372,"Sugano, Tomoyuki",COL,0.1636,0.1732,5.7,35.0,79.0,22,127.0,0.1732,4.0,8.3682,0.1852,1.0,0.0,34.0,1.0,148
642547,"Peralta, Freddy",NYM,0.1632,0.1953,5.5,34.0,78.7,25,128.0,0.1953,3.0,8.396,0.2037,8.0,0.0,170.0,0.0,148
691587,"Pérez, Eury",MIA,0.1629,0.1719,5.5,34.0,78.3,22,128.0,0.1719,3.0,13.1273,0.1173,3.0,0.0,58.0,1.0,148
669461,"Liberatore, Matthew",STL,0.1627,0.1938,5.4,33.0,78.0,25,129.0,0.1938,4.0,8.104,0.179,3.0,0.0,170.0,0.0,148
641927,"Ober, Bailey",MIN,0.1627,0.1484,5.5,34.0,77.6,19,128.0,0.1484,3.0,9.0474,0.1667,5.0,0.0,43.0,1.0,148
656550,"Holmes, Grant",ATL,0.1622,0.1875,5.5,34.0,77.3,24,128.0,0.1875,4.0,9.15,0.1296,1.0,0.0,170.0,0.0,148
663567,"Lambert, Peter",HOU,0.1619,0.1719,5.5,34.0,76.9,22,128.0,0.1719,4.0,12.4182,0.0,7.0,0.0,170.0,0.0,148
669432,"Rogers, Trevor",BAL,0.1618,0.1797,5.5,34.0,76.6,23,128.0,0.1797,3.0,10.4087,0.1111,6.0,0.0,101.0,1.0,148
676106,"Hancock, Emerson",SEA,0.1618,0.1797,5.5,34.0,76.2,23,128.0,0.1797,3.0,12.9478,0.0926,2.0,0.0,170.0,0.0,148
663623,"Irvin, Jake",WSH,0.1616,0.1163,5.3,33.0,75.9,15,129.0,0.1163,3.0,7.6733,0.2037,3.0,0.0,22.0,1.0,148
690986,"Harrison, Kyle",MIL,0.1614,0.1562,5.5,34.0,75.5,20,128.0,0.1562,3.0,13.055,0.0,2.0,0.0,16.0,1.0,148
518876,"Kelly, Merrill",AZ,0.1612,0.1797,5.5,34.0,75.2,23,128.0,0.1797,4.0,6.413,0.1975,7.0,0.0,170.0,0.0,148
700712,"Ureña, Walbert",LAA,0.1607,0.1641,5.5,34.0,74.8,21,128.0,0.1641,4.0,12.3714,0.0,0.0,0.0,170.0,0.0,148
681517,"Leahy, Kyle",STL,0.1588,0.186,5.2,33.0,74.5,24,129.0,0.186,4.0,10.7458,0.0,0.0,0.0,170.0,0.0,148
680694,"Bradish, Kyle",BAL,0.1587,0.1953,5.4,34.0,74.1,25,128.0,0.1953,4.0,10.264,0.0,4.0,0.0,170.0,0.0,148
680732,"Burke, Sean",CWS,0.1584,0.1654,5.5,35.0,73.8,21,127.0,0.1654,3.0,12.919,0.1358,1.0,0.0,170.0,0.0,148
677960,"Weathers, Ryan",NYY,0.1583,0.189,5.5,35.0,73.4,24,127.0,0.189,3.0,12.85,0.0,5.0,0.0,170.0,0.0,148
687064,"Young, Brandon",BAL,0.1581,0.1641,5.4,34.0,73.1,21,128.0,0.1641,4.0,9.8857,0.0741,1.0,0.0,170.0,0.0,148
592662,"Ray, Robbie",SF,0.1579,0.189,5.5,35.0,72.7,24,127.0,0.189,3.0,10.4708,0.1975,11.0,0.0,170.0,0.0,148
571510,"Boyd, Matthew",CHC,0.1576,0.1172,5.4,34.0,72.4,15,128.0,0.1172,3.0,10.4533,0.1914,11.0,0.0,57.0,2.0,148
676083,"Junk, Janson",MIA,0.1573,0.1406,5.3,34.0,72.0,18,128.0,0.1406,4.0,7.9,0.0988,1.0,0.0,43.0,1.0,148
665152,"Kremer, Dean",BAL,0.1567,0.0781,5.3,34.0,71.7,10,128.0,0.0781,3.0,9.15,0.179,5.0,0.0,51.0,1.0,148
701656,"Henderson, Logan",MIL,0.1564,0.0938,5.3,34.0,71.3,12,128.0,0.0938,3.0,15.8917,0.0,0.0,0.0,43.0,1.0,148
669372,"Ginn, J.T.",ATH,0.1563,0.1719,5.3,34.0,71.0,22,128.0,0.1719,3.0,11.8136,0.0988,1.0,0.0,17.0,1.0,148
