batter_name,primary_position,fantasy_positions,fantasy_positions_display,is_multi_position,position_count,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,k_avoidance_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,xwoba_on_contact,blend_weight,all_positions_seen,avg_swing_speed,blast_rate,blast_contact_rate,squared_up_rate,max_ev,swing_count,proc_plus_positional,sb_per_pa_raw,hbp_per_pa_raw,est_bb_rate,est_k_rate,est_tb_rate,est_hbp_rate,est_h_rate,est_r_rate,est_rbi_rate,est_sb_rate,core_fp_per_pa,full_fp_per_pa,fp_per_pa,fp_per_game
J.J. D'Orazio,,,,,,683490,1,1,0.144338839144604,0.2318256012926411,,0.2318256012926411,176.8,202.3,,137.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07610207207299384,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4427,,,
Yunior Amparo,,,,,,825159,1,1,0.1410409770080231,0.2220404835839985,,0.2220404835839985,173.6,198.1,,135.1,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07599688508540094,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4426,,,
Cade Doughty,,,,,,683103,1,1,0.0994061301636644,0.1623096355745924,,0.1623096355745924,132.8,172.2,,122.6,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.0746557509935915,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4412,,,
Andreimi Antunez,,,,,,821782,2,2,0.0839963926392405,0.2812722802139683,,0.2812722802139683,117.8,223.7,,147.5,1.0,0.307,0.782,1.0,0.0,,2,,,0.01,,,,,,,,,,,0.07190374268104692,0.09007281386724321,0.4301429103032248,0.009,,,,0.02,0.441,,,
José Suárez,,,,,,699027,1,1,0.0855809144862689,0.1942017820251936,,0.1942017820251936,119.3,186.0,,129.3,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.07421199338968396,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4408,,,
Justin Johnson,,,,,,813386,1,1,-0.0162554620400339,0.1938371322725354,,0.1938371322725354,19.7,185.8,,129.2,1.0,0.3,0.78,1.0,0.0,,1,,,0.005,,,,,,,,,,,0.070938048400855,0.09257861559213984,0.4301429103032248,0.009,,,,0.02,0.4375,,,
Victor Mederos,P,,,False,0.0,682989,1,3,0.1842271889114475,-0.1076334213950241,0.1277651310335218,0.0201317096384976,215.8,55.1,126.6,92.9,0.667,0.3,0.783,0.333,0.0,0.543,1,0.128,0.543,0.005,,,,,,,,,0.0,0.0,0.07738403848428228,0.09257861559213984,0.3654277776810745,0.009,0.44655,0.1972,0.1197,0.0199,0.3791,0.696,0.696,2.436
Rowdy Tellez,1B,1B,1B,False,1.0,642133,11,52,0.0674707479408923,-0.0132776278237047,0.3408504071890795,0.3275727793653747,101.6,96.0,168.6,157.2,0.442,0.302,0.774,0.135,0.135,0.696,11,0.341,0.696,0.052,DH,,,,,,,127.5,0.0,0.0,0.0729847652050742,0.24573054178992418,0.5180968669525161,0.0086,0.45,0.1967,0.1562,0.0186,0.3726,0.7255,0.7255,2.539
Emaarion Boyd,,,,,,702708,3,4,0.2601642215503028,0.1087777976939773,,0.1087777976939773,290.1,149.0,,111.4,1.0,0.3,0.786,0.75,0.0,,3,,,0.015,,,,,,,,,,,0.07982634885245488,0.09257861559213984,0.3497583577071278,0.009,,,,0.02,0.366,,,
Billy Amick,,,,,,701771,3,4,0.1179233525972691,0.2286300655610887,,0.2286300655610887,151.0,200.9,,136.5,0.75,0.3,0.783,0.75,0.0,,3,,,0.015,,,,,,,,,,,0.07525400198552609,0.09257861559213984,0.3497583577071278,0.009,,,,0.02,0.3614,,,
Jose Torres,,,,,,686958,2,3,0.1174325638613926,0.1763312649971199,,0.1763312649971199,150.5,178.3,,125.6,0.667,0.301,0.781,0.667,0.0,,2,,,0.01,,,,,,,,,,,0.07491486018897144,0.09222064391715461,0.3230706862452237,0.009,,,,0.02,0.3348,,,
Brian Kalmer,,,,,,687260,2,3,0.11463774407804,0.21592120621287,,0.21592120621287,147.7,195.4,,133.8,0.667,0.296,0.781,0.667,0.0,,2,,,0.01,,,,,,,,,,,0.076436353223544,0.09401050229208077,0.3230706862452237,0.009,,,,0.02,0.3345,,,
Tomás Nido,,,,,,621512,4,6,0.085397702349256,0.1898482180885994,,0.1898482180885994,119.1,184.1,,128.4,0.833,0.316,0.79,0.667,0.0,,4,,,0.02,,,,,,,,,,,0.06904211792706712,0.08685106879237611,0.3230706862452237,0.009,,,,0.02,0.3343,,,
Logan Porter,C,C,C,False,1.0,682515,6,28,0.032099469007687,-0.1060019326113638,0.2467901688801246,0.1407882362687608,67.0,55.8,150.1,118.1,0.321,0.29,0.769,0.071,0.071,0.544,6,0.247,0.544,0.029,C,,,,,,,118.3,0.0,0.0,0.0757199068586452,0.1770814341041447,0.40435285366688817,0.0088,0.4474,0.1968,0.129,0.0192,0.331,0.6568,0.6568,2.299
Rafael Lantigua,,,,,,672463,3,5,0.1268329401689129,0.1063614795686896,,0.1063614795686896,159.7,147.9,,110.9,0.8,0.303,0.786,0.6,0.0,,3,,,0.015,,,,,,,,,,,0.07457186011881449,0.09150470056718414,0.3015276261494697,0.009,,,,0.02,0.3136,,,
Marco Dinges,,,,,,701392,3,5,0.0233333778459143,0.2363333864150928,,0.2363333864150928,58.4,204.3,,138.1,0.6,0.306,0.786,0.6,0.0,,3,,,0.015,,,,,,,,,,,0.07027391555359701,0.09043078554222844,0.3015276261494697,0.009,,,,0.02,0.3104,,,
Jefferson Rojas,,,,,,800473,4,7,0.1469172430445453,0.1477890230831086,,0.1477890230831086,179.3,165.9,,119.6,0.714,0.295,0.789,0.571,0.0,,4,,,0.02,,,,,,,,,,,0.07779778105576714,0.094368473967066,0.29220301804832244,0.009,,,,0.02,0.3046,,,
Yordan Álvarez,DH,OF|DH,"OF, DH",True,2.0,670541,421,1703,0.0481546678989883,0.0310272643446437,0.1923308359924778,0.2233581003371215,82.7,115.3,139.4,135.4,0.43,0.288,0.817,0.169,0.073,0.553,421,0.192,0.553,0.678,DH|LF,75.48191198838495,0.18584071,0.23076923,0.27433628,117.8,158.0,129.8,0.0023,0.01152,0.0768813931760094,0.18007690144741523,0.3795454122135147,0.0106,0.45,0.1989,0.1233,0.0069,0.2938,0.616,0.616,2.156
Michael Chavis,,,,,,656308,1,2,0.2273841458733763,0.0135089765575862,,0.0135089765575862,258.0,107.7,,91.5,1.0,0.3,0.782,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07877119188316362,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2846,,,
Randy Martinez,,,,,,821690,2,4,0.1938697954842747,0.1063134648945868,,0.1063134648945868,225.2,147.9,,110.9,0.75,0.307,0.784,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07543408095213355,0.09007281386724321,0.26937380511103093,0.009,,,,0.02,0.2837,,,
Bryant Betancourt,,,,,,700164,2,4,0.1768340728025124,0.0663830474107243,,0.0663830474107243,208.6,130.6,,102.5,0.75,0.299,0.785,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07747007409194152,0.09293658726712507,0.26937380511103093,0.009,,,,0.02,0.2829,,,
Stanley Tucker,,,,,,805964,1,2,0.1789385473802223,0.1603936716955183,,0.1603936716955183,210.6,171.3,,122.2,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07818122861867363,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2829,,,
Shalin Polanco,,,,,,694186,1,2,0.1538064000005278,0.2203607177008692,,0.2203607177008692,186.1,197.3,,134.8,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07737589074491551,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2821,,,
Brendan Summerhill,,,,,,804911,2,4,0.1331216882062083,0.0974109036355523,,0.0974109036355523,165.8,144.0,,109.0,0.75,0.307,0.784,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07348154749494039,0.09007281386724321,0.26937380511103093,0.009,,,,0.02,0.2818,,,
Alec Briley,,,,,,701062,2,4,0.1405270400671666,0.0714734860166071,,0.0714734860166071,173.1,132.8,,103.6,0.75,0.299,0.785,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07630315594833281,0.09293658726712507,0.26937380511103093,0.009,,,,0.02,0.2817,,,
Andrew Salas,,,,,,829035,2,4,0.1129118728481389,0.2152554165338287,,0.2152554165338287,146.1,195.1,,133.7,0.5,0.306,0.783,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07315669643231487,0.09043078554222844,0.26937380511103093,0.009,,,,0.02,0.2811,,,
Dub Gleed,,,,,,801957,1,2,0.1173116839418009,0.1911671635555379,,0.1911671635555379,150.4,184.7,,128.7,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07620239841458223,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2809,,,
Larry Martinez,,,,,,800371,1,2,0.1126653675981206,0.2132571742975785,,0.2132571742975785,145.8,194.3,,133.3,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07605119211991745,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2808,,,
Damon Keith,,,,,,701618,1,2,0.1117691934853711,0.2169975424205489,,0.2169975424205489,144.9,195.9,,134.1,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07602160827965694,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2807,,,
James Wood,OF,OF|DH,"OF, DH",True,2.0,695578,472,2014,0.0460465908484319,-0.0153142770470763,0.2217736374200867,0.2064593603730104,80.7,95.2,145.2,131.9,0.378,0.246,0.686,0.123,0.114,0.586,472,0.222,0.586,0.702,DH|LF|RF,76.16606817544843,0.17040359,0.24358974,0.23318386,116.3,167.0,127.3,0.03198,0.00853,0.09036931715798106,0.24184195365944644,0.39433124267890934,0.0087,0.45,0.2032,0.1276,0.0291,0.2807,0.6115,0.6115,2.14
Gabriel Rodriguez,,,,,,821657,1,2,0.1063824789676574,0.2860013447949906,,0.2860013447949906,139.7,225.8,,148.5,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07585067942481849,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2806,,,
Juan Cabada,,,,,,829040,1,2,0.0795494209607966,0.0776674920084431,,0.0776674920084431,113.4,135.5,,104.9,1.0,0.3,0.782,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07401805488130954,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2798,,,
Duncan Pastore,,,,,,804603,1,2,0.0797606915135403,0.2532679726979702,,0.2532679726979702,113.6,211.6,,141.7,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07499274805726391,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2797,,,
Kasen Wells,,,,,,703673,3,6,0.0766888876404154,0.2109552906828213,,0.2109552906828213,110.6,193.3,,132.8,0.667,0.292,0.785,0.5,0.0,,3,,,0.015,,,,,,,,,,,0.0765076669051119,0.0954423889920217,0.26937380511103093,0.009,,,,0.02,0.2794,,,
Esmith Pineda,,,,,,703204,2,4,0.0592892406315532,0.2262750912232441,,0.2262750912232441,93.6,199.9,,136.0,0.5,0.294,0.782,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.0753034483740381,0.09472644564205124,0.26937380511103093,0.009,,,,0.02,0.279,,,
Josh Hood,,,,,,681377,1,2,0.0492835370007901,0.2058394155469058,,0.2058394155469058,83.8,191.0,,131.7,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07304507524607524,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2788,,,
Jack Winkler,,,,,,676466,1,2,0.0377162226196736,0.2448061272124004,,0.2448061272124004,72.5,207.9,,139.9,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07267363369613782,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2785,,,
Esmil Valencia,,,,,,806982,1,2,0.0292047079258121,0.2292953198307394,,0.2292953198307394,64.2,201.2,,136.6,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07240080494706874,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2782,,,
Wallace Clark,,,,,,800712,3,6,0.0167442626490142,0.1232658472708358,,0.1232658472708358,52.0,155.2,,114.5,0.667,0.308,0.787,0.5,0.0,,3,,,0.015,,,,,,,,,,,0.06941812891892467,0.08971484219225798,0.26937380511103093,0.009,,,,0.02,0.2781,,,
Israfell Bautista,,,,,,820984,2,4,0.0238568276281072,0.2660171920584892,,0.2660171920584892,58.9,217.1,,144.3,0.5,0.299,0.783,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.07254929532861126,0.09293658726712507,0.26937380511103093,0.009,,,,0.02,0.278,,,
Jonah Bride,,,,,,681146,1,2,0.0196908690658759,0.1775598642990061,,0.1775598642990061,54.9,178.8,,125.8,0.5,0.297,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07306322425360669,0.09365253061709554,0.26937380511103093,0.009,,,,0.02,0.2778,,,
Sam Brown,,,,,,694848,1,2,0.0115479760692576,0.2037739054791924,,0.2037739054791924,46.9,190.1,,131.3,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07183213779539463,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2776,,,
Jacob Jenkins-Cowart,,,,,,801881,1,2,0.0068305137958804,0.2218964388947175,,0.2218964388947175,42.3,198.0,,135.1,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07168093150072984,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2775,,,
Jay Harry,,,,,,803385,1,2,-0.0063584988339148,0.2075663441650483,,0.2075663441650483,29.4,191.8,,132.1,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07125689645699597,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2771,,,
Gio Urshela,,,,,,570482,2,4,-0.0166980998623809,0.2443292546889348,,0.2443292546889348,19.3,207.7,,139.8,0.5,0.305,0.782,0.5,0.0,,2,,,0.01,,,,,,,,,,,0.06931136837868955,0.09078875721721368,0.26937380511103093,0.009,,,,0.02,0.2769,,,
Ben Ross,,,,,,805346,1,2,-0.0206232347235227,0.3505084041551516,,0.3505084041551516,15.4,253.8,,162.0,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07079670338627704,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2766,,,
Nate Mondou,,,,,,670148,1,2,-0.026918148915787,0.2348676247117497,,0.2348676247117497,9.3,203.6,,137.8,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07059619069117808,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2764,,,
Carlos Mendoza,,,,,,685332,1,2,-0.0325694631672309,0.1897932683362756,,0.1897932683362756,3.8,184.1,,128.4,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07041540055625278,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2762,,,
Justin Riemer,,,,,,811312,1,2,-0.0451213034650027,0.2162906691922932,,0.2162906691922932,-8.5,195.6,,133.9,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.07001108807269259,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2758,,,
Modeifi Marte,,,,,,800029,1,2,-0.0857908349812937,0.301444006285789,,0.301444006285789,-48.3,232.5,,151.7,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.06870282491450592,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.2745,,,
Steward Berroa,OF,OF,OF,False,1.0,672642,7,23,0.0205969131315248,-0.0336448998966492,0.1400558881353208,0.1064109882386715,55.8,87.2,129.1,110.9,0.565,0.312,0.799,0.13,0.043,0.493,7,0.14,0.493,0.034,CF,,,,,,,115.0,0.0,0.0,0.06825221314771816,0.13729272134826856,0.3145165446299324,0.0088,0.40404999999999996,0.178,0.1044,0.0191,0.2734,0.5558,0.5558,1.945
Albert Fabian,,,,,,683546,1,2,-0.1314938346695314,0.1915947366049667,,0.1915947366049667,-93.0,184.9,,128.7,0.5,0.3,0.78,0.5,0.0,,1,,,0.005,,,,,,,,,,,0.06723349418156763,0.09257861559213984,0.26937380511103093,0.009,,,,0.02,0.273,,,
Freddy Zamora,,,,,,668965,4,9,0.1196315277117769,0.2515881196174134,,0.2515881196174134,152.6,210.9,,141.3,0.444,0.288,0.786,0.444,0.0,,4,,,0.02,,,,,,,,,,,0.07917907143624175,0.09687427569196264,0.2513676653295052,0.009,,,,0.02,0.2627,,,
Abimelec Ortiz,1B,1B,1B,False,1.0,694673,2,12,0.0551999956006819,0.0242434065943144,0.0631420311211546,0.087385437715469,89.6,112.3,113.9,106.9,0.417,0.294,0.788,0.167,0.0,0.428,2,0.063,0.428,0.01,DH,,,,,,,105.8,0.0,0.0,0.07517196463954698,0.09472644564205124,0.24836302590506326,0.0089,0.34879999999999994,0.1602,0.0856,0.0197,0.2574,0.5032,0.5032,1.761
GJ Hill,,,,,,677338,3,7,0.029052467973601,0.2271103741349884,,0.2271103741349884,64.0,200.3,,136.2,0.429,0.295,0.783,0.429,0.0,,3,,,0.015,,,,,,,,,,,0.07400776240906053,0.094368473967066,0.24654459217373942,0.009,,,,0.02,0.2552,,,
Dylan O'Rae,,,,,,802506,5,12,0.0530334288402512,0.181468796676353,,0.181468796676353,87.5,180.5,,126.6,0.5,0.296,0.79,0.417,0.0,,5,,,0.024,,,,,,,,,,,0.0744575230194526,0.09401050229208077,0.24268613364912678,0.009,,,,0.02,0.2521,,,
Leonel Espinoza,,,,,,696083,2,5,0.1691438870764927,0.0365389158216625,,0.0365389158216625,201.1,117.6,,96.3,0.8,0.298,0.787,0.4,0.0,,2,,,0.01,,,,,,,,,,,0.07754624841951394,0.0932945589421103,0.23721998407259215,0.009,,,,0.02,0.2505,,,
John Rave,OF,OF,OF,False,1.0,670231,24,96,0.0563657363789573,-0.0186900025902341,0.2221156499428021,0.203425647352568,90.7,93.7,145.2,131.2,0.479,0.282,0.766,0.135,0.135,0.629,24,0.222,0.629,0.107,RF,,,,,,,126.9,0.0,0.0,0.07908059862345125,0.2528899752896288,0.39711008758030786,0.0082,0.45,0.1988,0.1275,0.0172,0.2487,0.575,0.575,2.012
Jean Walters,,,,,,695078,2,5,0.0924181806471227,0.0123862659095607,,0.0123862659095607,126.0,107.2,,91.3,0.8,0.299,0.788,0.4,0.0,,2,,,0.01,,,,,,,,,,,0.07475493497469984,0.09293658726712507,0.23721998407259215,0.009,,,,0.02,0.248,,,
