rank,pitcher,player_name,gs_to,fp_per_start_to,prior_fp_per_start,is_on_il_at_split,xfp_rp2_per_start,k_pct_to_sh,bb_pct_to_sh,swstr_pct_to_sh,c_plus_swstr_to_sh,xwoba_per_pa_to_sh,zone_pct_to_sh,z_swing_pct_to_sh,o_swing_pct_to_sh,avg_velo_to,fp_per_start_to,gs_to,prior_fp_per_start,prior_gs_eff,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
1,669373,"Skubal, Tarik",6,16.48333333333333,18.361929335189497,0,15.43406554846593,0.2523294394304261,0.06084618269939659,0.1389953172409885,0.2982069496563669,0.30864740156515624,0.4854852211994741,0.6760853383072831,0.33341381306463713,92.567476635514,16.48333333333333,6,18.361929335189497,27.0,0,106.0,0,30
2,594798,"deGrom, Jacob",5,15.46,15.78886936307965,0,14.79673887714311,0.2901944894209789,0.06928470438763407,0.1482192948129676,0.3017822053598942,0.3121889888410868,0.5132017822266872,0.6901721653718658,0.30626762674526403,93.4049180327869,15.46,5,15.78886936307965,12.5,0,106.0,0,30
3,694973,"Skenes, Paul",5,20.1,17.495621600300954,0,14.670512844842314,0.25274356199583514,0.0713714607221848,0.11957115980357422,0.27922387387764447,0.2971857353458514,0.4819150507783481,0.6908551338572468,0.30262907351462337,92.98856502242153,20.1,5,17.495621600300954,21.0,0,106.0,0,30
4,607192,"Glasnow, Tyler",5,21.18,15.615184922633656,0,14.666146149670737,0.281546532417107,0.06891037586969564,0.12572887859754925,0.31216858037100476,0.2980622654566644,0.4808666513828924,0.6335408089677667,0.28955787024524543,90.45184426229508,21.18,5,15.615184922633656,19.75,0,106.0,0,30
5,656302,"Cease, Dylan",5,15.5,12.473168563831678,0,14.585296388222204,0.32317039314502943,0.0960285017872304,0.15874224555153002,0.31484403762606633,0.3088960332691417,0.4321109680616014,0.6600078862762262,0.3083942978333305,91.91010101010102,15.5,5,12.473168563831678,32.583333333333336,0,106.0,0,30
6,693645,"Schlittler, Cam",6,18.933333333333334,12.85699668369794,0,14.47018194182845,0.2782947840357159,0.05605283499079783,0.1526642939448158,0.2940532960504619,0.29931987887391487,0.505399042153908,0.7131223753443201,0.3505321179281963,94.98217821782178,18.933333333333334,6,12.85699668369794,5.833333333333333,0,106.0,0,30
7,694819,"Misiorowski, Jacob",6,16.299999999999997,10.870330017031273,0,14.460578987538717,0.3212262857934799,0.08463846580524997,0.1628071172087326,0.3290070291376874,0.30854954574782395,0.48253923550041444,0.6637836272168304,0.2945570323759344,96.26021699819168,16.299999999999997,6,10.870330017031273,5.833333333333333,0,106.0,0,30
8,650911,"Sánchez, Cristopher",6,11.649999999999997,14.678935134919374,0,13.872072722717249,0.26230422044506874,0.0711579226074667,0.1437500986266972,0.30937616888046615,0.3119628068251635,0.48601717644347237,0.6666451803024164,0.32187044568601203,89.83085106382978,11.649999999999997,6,14.678935134919374,28.166666666666668,0,106.0,0,30
9,592332,"Gausman, Kevin",6,16.416666666666664,13.770352752034936,0,13.674168502414181,0.257181928650242,0.06163639286432384,0.14240974122104377,0.29915784326834066,0.31047228201140675,0.4716672915107027,0.6913075566884371,0.3327239438674213,89.01679245283019,16.416666666666664,6,13.770352752034936,31.416666666666668,0,106.0,0,30
10,667755,"Soriano, José",6,22.366666666666664,10.392811463655606,0,13.554446307500733,0.27854210075833485,0.0805935774264895,0.13915049967102908,0.3183708494979595,0.30586366546742655,0.45177318132660554,0.6162737117400954,0.32636926839123204,93.05079365079364,22.366666666666664,6,10.392811463655606,19.583333333333332,0,106.0,0,30
11,808967,"Yamamoto, Yoshinobu",5,17.52,16.301759395668288,0,13.331955509725319,0.22535668994430222,0.06137887031471583,0.13545929236411522,0.2860982269294933,0.3174117056543714,0.4873057350918318,0.6835015408805585,0.2962993069751268,90.34318181818182,17.52,5,16.301759395668288,17.333333333333332,0,106.0,0,30
12,684007,"Imanaga, Shota",5,19.34,14.01109855301803,0,13.320320651036592,0.26681933235533895,0.06828780216622928,0.1425561070006144,0.2862990907941011,0.3037087046367624,0.45268152170381326,0.6708079257076074,0.3530248122697863,87.23202614379085,19.34,5,14.01109855301803,19.666666666666668,0,106.0,0,30
13,669302,"Gilbert, Logan",6,11.433333333333332,15.29909148401493,0,13.235164902201994,0.24275885172716505,0.06488314611107708,0.13552951201584276,0.3050600116620268,0.31814213340861996,0.501756163737084,0.6575798541486254,0.29245421362676255,88.00363636363636,11.433333333333332,6,15.29909148401493,29.416666666666668,0,106.0,0,30
14,660271,"Ohtani, Shohei",4,20.3,12.552602439426009,0,13.204324614345676,0.2499619824645082,0.07245804962676237,0.14080730226228155,0.30388790719390546,0.30046977421377313,0.4821039065075798,0.6657531124549013,0.31053025148048835,90.44579945799458,20.3,4,12.552602439426009,11.583333333333334,0,106.0,0,30
15,519242,"Sale, Chris",5,14.939999999999998,16.183184168246783,0,13.135841695988786,0.2405072495094612,0.0701193298323219,0.12021574826612715,0.3009447572947746,0.31199313612481705,0.5036092255495529,0.6454662830189246,0.3238330667430022,86.82556561085973,14.939999999999998,5,16.183184168246783,23.0,0,106.0,0,30
16,642547,"Peralta, Freddy",6,14.283333333333331,13.935244204323057,0,12.818759900744544,0.24638201511603028,0.08409064402010273,0.1337980083780097,0.2941939720240682,0.3163178156196275,0.4603378749051418,0.6666441820421304,0.30459408414898215,88.88199643493762,14.283333333333331,6,13.935244204323057,31.916666666666668,0,106.0,0,30
17,608331,"Fried, Max",5,18.88,14.379858154474437,0,12.753822408624684,0.21425537516872076,0.07255448515581434,0.11051292976085432,0.29397565373425993,0.2952709601252271,0.4960545923570779,0.6271598411914417,0.294871630004154,87.79125,18.88,5,14.379858154474437,26.166666666666668,0,106.0,0,30
18,693433,"Woo, Bryan",6,11.4,15.014729802280623,0,12.606385454543991,0.20139261212914844,0.06104182958910528,0.12158376144759432,0.273692222110757,0.3167894591650773,0.5348713364609267,0.6987648185932397,0.29095766546113444,92.78944099378884,11.4,6,15.014729802280623,24.333333333333332,0,106.0,0,30
19,666200,"Luzardo, Jesús",5,8.799999999999999,12.770792075331217,0,12.515155758172806,0.25126342569559756,0.07503074744782162,0.1383632803241258,0.30856906638455595,0.3218977925434927,0.45501044399239426,0.6367067239879683,0.3213582741102807,91.13547717842324,8.799999999999999,5,12.770792075331217,25.333333333333332,0,106.0,0,30
20,571510,"Boyd, Matthew",3,12.0,11.836013620184879,0,12.44461292611067,0.2975701679305582,0.07072570354960947,0.16000015635498416,0.3124789172710509,0.32055098733651427,0.46812836584901785,0.6881392589775578,0.3254877278562147,86.96979591836734,12.0,3,11.836013620184879,16.416666666666668,0,3.0,1,30
21,668909,"Williams, Gavin",6,15.749999999999998,11.524159519691588,0,12.440103950107527,0.28063132622287884,0.10251284936606325,0.13202321989996113,0.3101745779337835,0.3221903879904956,0.46838839582067043,0.6420068919196585,0.3010661164986771,90.58230088495576,15.749999999999998,6,11.524159519691588,21.916666666666668,0,106.0,0,30
22,690997,"McLean, Nolan",5,20.02,10.354950255469117,0,12.390490015467103,0.29072739760462135,0.07388735564159064,0.11439699768283573,0.31426849534724094,0.2956742789656982,0.5027080816733427,0.6180482238793689,0.261662937110722,91.12377919320596,20.02,5,10.354950255469117,0.0,0,106.0,0,30
23,657746,"Ryan, Joe",6,11.116666666666664,13.693337578674686,0,12.191167453501041,0.24006852059034817,0.06948347351725742,0.12166676811126945,0.2801202498960985,0.3103429432680534,0.4990771929767743,0.6800916566518959,0.30498590369260536,88.27574074074074,11.116666666666664,6,13.693337578674686,27.416666666666668,0,106.0,0,30
24,669923,"Kirby, George",6,14.783333333333331,13.027752902253175,0,12.122010877095962,0.19952395138677279,0.06806194737526855,0.11134761845563397,0.26867731668170536,0.3050430612692207,0.4937226847222694,0.6815386601766871,0.32571090090720994,92.31431192660553,14.783333333333331,6,13.027752902253175,28.333333333333332,0,106.0,0,30
25,677952,"Ashcraft, Braxton",5,15.739999999999998,10.354950255469117,0,12.105410435295127,0.25534323203898024,0.0768671643433977,0.13496610233124676,0.302450353622752,0.29765897583639284,0.4760899571697842,0.6517900254530766,0.31099394160517846,92.20298850574711,15.739999999999998,5,10.354950255469117,0.0,0,106.0,0,30
26,666142,"Ragans, Cole",5,10.72,14.830233979817717,0,12.08576180777963,0.26071957612500174,0.10833569581192914,0.13384234759983,0.2955483586675862,0.3336798583101357,0.4625614035026428,0.671415680866451,0.27417213882619257,89.63662551440329,10.72,5,14.830233979817717,19.083333333333332,0,106.0,0,30
27,656876,"Rasmussen, Drew",5,15.139999999999995,11.670467195483408,0,12.079879094331366,0.24698714975744243,0.06337316791870051,0.11028583601923767,0.30185858558960393,0.3078144509844198,0.4971952046713549,0.6333079257076073,0.2825959720795798,92.30875,15.139999999999995,5,11.670467195483408,12.916666666666666,0,106.0,0,30
28,605540,"Woodruff, Brandon",5,11.86,16.114028074258623,0,12.056485613747109,0.20695613526478673,0.06288115035738369,0.1163325003058257,0.28123353855690936,0.31186300755029295,0.5172527137170785,0.684484599228815,0.3024247773432349,89.08477157360406,11.86,5,16.114028074258623,7.75,0,106.0,0,30
29,695505,"Burns, Chase",5,15.06,10.354950255469117,0,11.885558648575568,0.25134718872513995,0.08535234520360051,0.1406208977239762,0.2986518352398418,0.3155366528852452,0.47943388892794525,0.6731617855331123,0.29407034451812947,94.73333333333332,15.06,5,10.354950255469117,0.0,0,106.0,0,30
30,543135,"Eovaldi, Nathan",6,7.799999999999998,14.755473043390017,0,11.835288275216122,0.21886562746198304,0.0693501861268509,0.14067806926569776,0.27881478197666193,0.3287989966259487,0.48253047218018313,0.7153167484138118,0.3186463899405737,87.94999999999999,7.799999999999998,6,14.755473043390017,25.083333333333332,0,106.0,0,30
