owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Andrew Alvarez,Wsh,2.6,11.58,95.0,Stuff+·vol,0.145,,,41.0,25.0
FA,Grayson Rodriguez,LAA,2.4,11.64,104.0,Stuff+·vol,0.145,,,41.0,26.0
FA,Janson Junk,Mia,2.9,10.44,100.0,Stuff+·vol,0.159,,,40.0,25.0
FA,Cal Quantrill,Tex,16.7,9.78,89.0,Stuff+·vol,0.168,,,40.0,25.0
FA,Shane Drohan,Mil,8.7,12.11,99.0,Stuff+·vol,0.134,,,40.0,25.0
FA,Robbie Ray,SD,73.2,10.44,94.0,Stuff+·vol,0.158,,,40.0,25.0
MINE,Max Fried,NYY,,13.12,106.0,Stuff+·vol,0.155,FIFTEEN_DAY_DL,2026-08-29,40.0,25.0
FA,Connor Prielipp,Min,1.7,12.15,103.0,Stuff+·vol,0.136,,,40.0,25.0
FA,Andrew Painter,Phi,8.7,11.55,103.0,Stuff+·vol,0.139,,,39.0,24.0
FA,Keider Montero,Det,16.6,10.04,94.0,Stuff+·vol,0.159,,,39.0,24.0
FA,Robert Gasser,Mil,3.5,12.06,105.0,Stuff+·vol,0.134,,,39.0,24.0
FA,Tyler Mahle,Atl,17.7,9.66,88.0,Stuff+·vol,0.168,,,39.0,25.0
FA,Bailey Ober,Min,15.6,9.21,92.0,Stuff+·vol,0.176,,,39.0,25.0
FA,Jacob Lopez,Oak,10.0,10.61,97.0,Stuff+·vol,0.152,,,39.0,24.0
FA,Randy Vasquez,SD,13.1,10.16,97.0,Stuff+·vol,0.155,,,38.0,24.0
FA,Nestor Cortes,Phi,0.1,10.14,,talent_prior·flat↓,,,,38.0,23.0
FA,Tyler Wells,TB,2.4,10.41,,talent_prior·flat↓,,,,38.0,24.0
FA,Grant Holmes,Atl,10.7,9.5,87.0,Stuff+·vol,0.162,,,37.0,23.0
FA,Ryan Gusto,Mia,0.4,10.66,96.0,Stuff+·vol,0.142,,,37.0,23.0
FA,Jake Bennett,Bos,26.0,10.44,92.0,Stuff+·vol,0.145,,,37.0,23.0
