pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla,signal,profile_flag,sample_tier
682254,Mason Montgomery,696,5.469,1.408,-0.039,0.509,0.419,0.481,0.338,0.581,97.4,P,RP,17.846153846153847,5.405,5.4498,1.1269474278079252,0.311508438100155,0.6648863452710413,0.3764378098411414,0.033,2.6647,,2.66,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.119429024177349,2.990089446595088,Top Target,"Bat-Miss Elite, Closer Value",Strong
677053,Andrew Nardi,395,5.483,1.324,-0.038,0.515,0.391,0.498,0.335,0.609,97.9,P,RP,15.192307692307692,5.368,5.448499999999999,1.1127029869082188,0.277814948405096,0.6904991915041783,0.3738579866134959,0.033,2.6637,,2.66,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.139231114841035,2.8188616563087505,Top Target,"Bat-Miss Elite, Closer Value",Okay
682982,Daniel Espino,101,5.561,1.155,-0.035,0.473,0.36,0.444,0.325,0.64,98.9,P,RP,20.2,5.504,5.543899999999999,1.148867855295835,0.3774414050297833,0.6885460001452122,0.3434812332085212,0.033,2.6629,,2.66,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Too Small,"Bat-Miss Elite, Closer Value",Small
668933,Graham Ashcraft,470,5.288,1.436,-0.045,0.491,0.411,0.457,0.305,0.589,88.9,P,RP,17.40740740740741,5.713,5.4155,1.1046814878221058,0.3620054497748457,0.6540930561221026,0.3524268685040503,0.033,2.6507,,2.65,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.082100141830986,2.921188631218936,Top Target,"Bat-Miss Elite, Closer Value",Strong
656848,Michael Petersen,696,5.418,1.41,-0.04,0.525,0.37,0.471,0.333,0.63,95.8,P,RP,17.4,5.628,5.481,1.1199725028395102,0.3288605432744681,0.7013631190372376,0.3648523023264372,0.033,2.627,,2.63,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
670280,David Bednar,681,5.396,1.335,-0.041,0.512,0.386,0.458,0.331,0.614,95.1,P,RP,17.92105263157895,5.591,5.4545,1.1135016729608926,0.356855286666491,0.6905939756653223,0.368729604832058,0.033,2.5956,,2.6,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.172304334063276,2.689813957948892,Top Target,"Bat-Miss Elite, Closer Value",Strong
670970,Adrián Morejón,797,5.381,1.387,-0.042,0.519,0.332,0.512,0.308,0.668,94.8,P,RP,17.711111111111112,5.391,5.384,1.04956526736931,0.255210019037198,0.7430218793293202,0.3621687589655922,0.033,2.594,,2.59,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.258006508015136,2.260047113475183,Top Target,"Bat-Miss Elite, Closer Value",Strong
800311,Didier Fuentes,744,5.421,1.366,-0.04,0.498,0.349,0.511,0.346,0.651,95.9,P,RP,22.545454545454547,5.496,5.4435,1.0897005919619906,0.2523741225490199,0.7426123071580237,0.3854499458664192,0.033,2.5908,,2.59,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.148346360608177,2.7043429493479323,Top Target,"Bat-Miss Elite, Closer Value",Strong
680704,Nick Sandlin,161,5.309,1.22,-0.044,0.403,0.38,0.466,0.306,0.62,91.4,P,RP,20.125,5.586,5.3921,1.0771331918541982,0.3460091159411947,0.6916624251612425,0.3584909539622856,0.033,2.5895,,2.59,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Small
681402,Gus Varland,573,5.431,1.437,-0.04,0.515,0.369,0.51,0.342,0.631,96.7,P,RP,16.852941176470587,5.346,5.4055,1.078997562389534,0.2574432089102016,0.7291468196774806,0.3899292152524033,0.033,2.5795,,2.58,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.259049443689898,2.2700538711749,Top Target,"Bat-Miss Elite, Closer Value",Strong
656641,Jacob Latz,711,5.405,1.38,-0.041,0.49,0.386,0.486,0.342,0.614,95.4,P,RP,19.216216216216218,5.45,5.4185,1.0941946534592186,0.3041052904436135,0.7089583101037977,0.3870905910438468,0.033,2.5739,,2.57,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.106874352947623,2.944910822209657,Top Target,"Bat-Miss Elite, Closer Value",Strong
690986,Kyle Harrison,1539,5.459,1.42,-0.039,0.506,0.344,0.512,0.354,0.656,97.2,P,SP,85.5,5.429,5.449999999999999,1.0907674310632984,0.2498589537237852,0.7525776214473312,0.391667128824811,0.033,2.572,14.15,,,,0,0,0.0,5.131848367108132,2.9238474614947148,Top Target,Bat-Miss Elite,Strong
