board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po,proj_ros_starts_vol,ros_starts,po_frac,xfp_ros_v2,xfp_po_v2,vol_src,audit_flag
84,Jonathan Cannon,ChW,0.0,6.35,talent_prior,348,,,jonathan cannon,4620398,2026-08-24,heuristic,37.8,22.9,,5.949999999999999,0.9714285714285714,37.8,36.7,flat,
85,Janson Junk,Mia,2.9,7.68,rp3_dd,295,,,janson junk,4881980,2026-08-24,heuristic,45.7,27.6,4.9,4.9,0.9714285714285714,37.6,36.5,vol,
86,Cristian Javier,Hou,2.6,9.12,rp3_dd,194,,,cristian javier,41261,2026-08-24,heuristic,54.3,32.8,4.1,4.1,0.9714285714285714,37.4,36.3,vol,
87,Rhett Lowder,Cin,2.8,8.1,rp3_dd,265,,,rhett lowder,4758873,2026-08-24,heuristic,48.2,29.2,4.6,4.6,0.9714285714285714,37.3,36.2,vol,
88,Josiah Gray,Wsh,0.1,8.02,talent_prior,273,SIXTY_DAY_DL,,josiah gray,41165,2026-09-01,explicit,36.8,22.9,,4.59,1.0,36.8,36.8,flat,
89,Yusei Kikuchi,LAA,7.2,9.92,rp3_dd,132,,,yusei kikuchi,41415,2026-08-24,heuristic,59.0,35.7,3.7,3.7,0.9714285714285714,36.7,35.7,vol,
90,Kenta Maeda,FA,0.0,6.13,talent_prior,354,,,kenta maeda,34892,2026-08-24,heuristic,36.5,22.1,,5.949999999999999,0.9714285714285714,36.5,35.5,flat,
91,George Klassen,LAA,13.9,9.85,rp3_dd,136,,,george klassen,5134517,2026-08-24,heuristic,58.6,35.5,3.7,3.7,0.9714285714285714,36.4,35.4,vol,
92,Davis Martin,ChW,33.2,9.37,rp3_dd,175,FIFTEEN_DAY_DL,,davis martin,42823,2026-08-30,explicit,46.2,28.8,4.6,3.8114285714285714,1.0,35.7,35.7,vol,
93,Randy Dobnak,KC,3.8,7.77,rp3_dd,291,,,randy dobnak,42214,2026-08-24,heuristic,46.2,28.0,4.6,4.6,0.9714285714285714,35.7,34.7,vol,
94,Brandon Sproat,Mil,1.7,10.2,rp3_dd,117,,,brandon sproat,4621041,2026-08-24,heuristic,60.7,36.7,3.4,3.4,0.9714285714285714,34.7,33.7,vol,DEMOTED: Optioned to AAA (Nashville) - not on active MLB roster
95,Eric Lauer,LAD,4.5,8.44,rp3_dd,237,,,eric lauer,39915,2026-08-24,heuristic,50.2,30.4,4.1,4.1,0.9714285714285714,34.6,33.6,vol,
96,Robert Stock,NYM,0.3,9.51,rp3_dd,163,,,robert stock,30577,2026-08-24,heuristic,56.6,34.2,3.6,3.6,0.9714285714285714,34.2,33.2,vol,
97,Spencer Arrighetti,Tor,11.7,8.99,rp3_dd,201,,,spencer arrighetti,4726080,2026-08-24,heuristic,53.5,32.4,3.8,3.8,0.9714285714285714,34.2,33.2,vol,
98,Tatsuya Imai,Hou,14.5,10.93,rp3_dd,84,,,tatsuya imai,5330833,2026-08-24,heuristic,65.0,39.3,3.1,3.1,0.9714285714285714,33.9,32.9,vol,
99,Chris Bassitt,Bal,2.9,8.04,rp3_dd,271,,,chris bassitt,33148,2026-08-24,heuristic,47.8,28.9,4.2,4.2,0.9714285714285714,33.8,32.8,vol,
100,Rich Hill,FA,0.0,5.62,talent_prior,358,,,rich hill,6321,2026-08-24,heuristic,33.4,20.2,,5.949999999999999,0.9714285714285714,33.4,32.4,flat,
101,Johan Oviedo,Bos,0.2,8.51,talent_prior,229,SIXTY_DAY_DL,,johan oviedo,41405,2026-09-05,explicit,33.3,20.7,,3.9099999999999997,1.0,33.3,33.3,flat,
102,Austin Gomber,Tex,0.0,5.57,talent_prior,359,,,austin gomber,34897,2026-08-24,heuristic,33.1,20.1,,5.949999999999999,0.9714285714285714,33.1,32.2,flat,
103,Michael Lorenzen,FA,0.4,7.25,rp3_dd,314,,,michael lorenzen,33252,2026-08-24,heuristic,43.1,26.1,4.5,4.5,0.9714285714285714,32.6,31.7,vol,
104,Tomoyuki Sugano,Col,4.0,6.19,rp3_dd,352,,,tomoyuki sugano,4142423,2026-08-24,heuristic,36.8,22.3,5.2,5.2,0.9714285714285714,32.2,31.3,vol,
105,Chad Patrick,Mil,4.7,10.71,rp3_dd,92,,,chad patrick,5131708,2026-08-24,heuristic,63.7,38.6,3.0,3.0,0.9714285714285714,32.1,31.2,vol,ROLE: Fully converted to bullpen - no start since 5/27
106,Max Scherzer,Tor,2.6,8.22,rp3_dd,258,,,max scherzer,28976,2026-08-24,heuristic,48.9,29.6,3.9,3.9,0.9714285714285714,32.1,31.2,vol,
107,Yu Darvish,SD,0.1,8.95,talent_prior,202,OUT,,yu darvish,32055,2026-09-07,heuristic,32.0,19.9,,3.57,1.0,32.0,32.0,flat,
108,Alex Cobb,FA,0.0,8.94,talent_prior,203,OUT,,alex cobb,31086,2026-09-07,heuristic,31.9,19.9,,3.57,1.0,31.9,31.9,flat,
109,Jackson Jobe,Det,9.6,8.38,rp3_dd,243,,,jackson jobe,4872647,2026-08-24,heuristic,49.9,30.2,3.8,3.8,0.9714285714285714,31.8,30.9,vol,
110,Luis Ortiz,Cle,0.0,8.83,talent_prior,214,OUT,,luis ortiz,5101355,2026-09-07,heuristic,31.5,19.6,,3.57,1.0,31.5,31.5,flat,
111,Andre Pallante,StL,15.0,9.19,rp3_dd,186,FIFTEEN_DAY_DL,,andre pallante,4109034,2026-09-02,explicit,40.6,25.3,4.6,3.417142857142857,1.0,31.4,31.4,vol,
112,Cade Povich,Bal,0.5,8.0,rp3_dd,277,,,cade povich,5085743,2026-08-24,heuristic,47.6,28.8,3.9,3.9,0.9714285714285714,31.2,30.3,vol,
113,Mitch Bratt,Ari,1.7,7.18,rp3_dd,317,,,mitch bratt,5123768,2026-08-24,heuristic,42.7,25.8,4.3,4.3,0.9714285714285714,30.9,30.0,vol,
114,Jameson Taillon,Tor,2.4,9.52,rp3_dd,162,FIFTEEN_DAY_DL,,jameson taillon,31258,2026-08-31,explicit,45.3,28.2,4.0,3.2,1.0,30.5,30.5,vol,
115,Colin Rea,ChC,2.9,8.46,rp3_dd,234,,,colin rea,33950,2026-08-24,heuristic,50.3,30.5,3.6,3.6,0.9714285714285714,30.5,29.6,vol,
116,Adrian Houser,SF,1.5,8.9,rp3_dd,207,,,adrian houser,32157,2026-08-24,heuristic,53.0,32.0,3.4,3.4,0.9714285714285714,30.3,29.4,vol,
117,Ronel Blanco,Hou,0.5,9.78,rp3_dd,140,,,ronel blanco,41829,2026-08-24,heuristic,58.2,35.2,3.1,3.1,0.9714285714285714,30.3,29.4,vol,
118,Aaron Civale,ChC,1.5,9.03,rp3_dd,199,,,aaron civale,40934,2026-08-24,heuristic,53.7,32.5,3.3,3.3,0.9714285714285714,29.8,28.9,vol,
119,Justin Verlander,Det,1.4,8.68,talent_prior,222,SIXTY_DAY_DL,,justin verlander,6341,2026-09-08,explicit,29.5,18.4,,3.3999999999999995,1.0,29.5,29.5,flat,
120,Jackson Kent,Wsh,0.4,8.35,rp3_dd,249,,,jackson kent,5007807,2026-08-24,heuristic,49.7,30.1,3.5,3.5,0.9714285714285714,29.2,28.4,vol,
121,Kyle Freeland,Col,0.8,9.06,rp3_dd,198,FIFTEEN_DAY_DL,,kyle freeland,33839,2026-09-05,explicit,35.4,22.1,4.9,3.22,1.0,29.2,29.2,vol,
122,Griffin Canning,SD,0.3,9.65,rp3_dd,152,,,griffin canning,41065,2026-08-24,heuristic,57.4,34.7,3.0,3.0,0.9714285714285714,29.0,28.2,vol,
123,Javier Assad,ChC,2.0,8.02,rp3_dd,275,,,javier assad,5002950,2026-08-24,heuristic,47.7,28.9,3.6,3.6,0.9714285714285714,28.9,28.1,vol,
124,Joe Boyle,TB,0.4,9.55,rp3_dd,161,,,joe boyle,4298087,2026-08-24,heuristic,56.8,34.4,3.0,3.0,0.9714285714285714,28.6,27.8,vol,
125,Carlos Carrasco,Atl,0.0,4.79,talent_prior,363,,,carlos carrasco,28968,2026-08-24,heuristic,28.5,17.2,,5.949999999999999,0.9714285714285714,28.5,27.7,flat,
126,JP Sears,SD,0.4,8.45,rp3_dd,236,,,jp sears,39818,2026-08-24,heuristic,50.3,30.4,3.3,3.3,0.9714285714285714,27.9,27.1,vol,
127,Jack Leiter,Tex,10.9,10.45,rp3_dd,101,SIXTY_DAY_DL,,jack leiter,4622181,2026-08-30,explicit,51.5,32.1,3.2,2.6514285714285717,1.0,27.7,27.7,vol,
128,Jeffrey Springs,Oak,7.9,7.48,rp3_dd,304,,,jeffrey springs,35397,2026-08-24,heuristic,44.5,26.9,3.7,3.7,0.9714285714285714,27.7,26.9,vol,
129,Quinn Mathews,StL,1.3,8.93,rp3_dd,205,,,quinn mathews,4837405,2026-08-24,heuristic,53.1,32.1,3.1,3.1,0.9714285714285714,27.7,26.9,vol,
130,Erick Fedde,ChW,1.1,7.65,rp3_dd,298,,,erick fedde,33793,2026-08-24,heuristic,45.5,27.5,3.6,3.6,0.9714285714285714,27.5,26.7,vol,
131,Kodai Senga,NYM,10.3,10.46,rp3_dd,100,,,kodai senga,4142421,2026-08-24,heuristic,62.2,37.7,2.6,2.6,0.9714285714285714,27.2,26.4,vol,"ROLE: Moved to bullpen - last 5 apps all relief, gs_last21=0"
132,Edward Cabrera,ChC,18.9,10.08,rp3_dd,123,FIFTEEN_DAY_DL,,edward cabrera,40944,2026-09-01,explicit,46.3,28.8,3.5,2.7,1.0,27.2,27.2,vol,
133,Luis Gil,NYY,0.9,8.17,rp3_dd,262,,,luis gil,40626,2026-08-24,heuristic,48.6,29.4,3.3,3.3,0.9714285714285714,27.0,26.2,vol,
134,Carson Whisenhunt,SF,0.7,7.79,rp3_dd,285,,,carson whisenhunt,4626232,2026-08-24,heuristic,46.4,28.0,3.4,3.4,0.9714285714285714,26.5,25.7,vol,
135,Frankie Montas,FA,0.0,7.36,talent_prior,306,OUT,,frankie montas,33249,2026-09-07,heuristic,26.3,16.4,,3.57,1.0,26.3,26.3,flat,
136,Ryne Nelson,Ari,3.4,9.68,rp3_dd,150,SIXTY_DAY_DL,,ryne nelson,4916269,2026-09-01,explicit,44.4,27.7,3.5,2.7,1.0,26.1,26.1,vol,
137,Noah Schultz,ChW,2.1,8.57,rp3_dd,227,,,noah schultz,5080754,2026-08-24,heuristic,51.0,30.9,3.0,3.0,0.9714285714285714,25.7,25.0,vol,
138,Kai-Wei Teng,Hou,0.6,10.49,rp3_dd,97,,,kai wei teng,42242,2026-08-24,heuristic,62.4,37.8,2.4,2.4,0.9714285714285714,25.2,24.5,vol,
139,Michael Soroka,Ari,41.3,9.51,rp3_dd,164,FIFTEEN_DAY_DL,,michael soroka,34984,2026-09-08,explicit,32.3,20.1,4.6,2.628571428571428,1.0,25.0,25.0,vol,
140,Tony Gonsolin,KC,0.0,7.32,talent_prior,309,FIFTEEN_DAY_DL,,tony gonsolin,38958,2026-09-08,heuristic,24.9,15.5,,3.3999999999999995,1.0,24.9,24.9,flat,
141,Kendry Rojas,Min,0.1,10.38,rp3_dd,105,,,kendry rojas,5296012,2026-08-24,heuristic,61.8,37.4,2.4,2.4,0.9714285714285714,24.9,24.2,vol,"ROLE: gs_last21=0, 33% starts on year - role uncertain"
142,Tanner Gordon,Col,0.1,8.31,rp3_dd,252,,,tanner gordon,4415658,2026-08-24,heuristic,49.4,29.9,3.0,3.0,0.9714285714285714,24.9,24.2,vol,
143,Slade Cecconi,Cle,1.4,9.36,rp3_dd,177,FIFTEEN_DAY_DL,,slade cecconi,41462,2026-09-01,explicit,43.0,26.8,3.4,2.6228571428571428,1.0,24.5,24.5,vol,
144,Dakota Hudson,LAA,0.0,4.07,talent_prior,366,,,dakota hudson,38680,2026-08-24,heuristic,24.2,14.7,,5.949999999999999,0.9714285714285714,24.2,23.5,flat,
145,Brayan Bello,Bos,5.5,9.19,rp3_dd,185,,,brayan bello,4720856,2026-08-24,heuristic,54.7,33.1,2.6,2.6,0.9714285714285714,23.9,23.2,vol,
146,Andrew Morris,Min,1.1,10.41,rp3_dd,104,,,andrew morris,5007765,2026-08-24,heuristic,61.9,37.5,2.3,2.3,0.9714285714285714,23.9,23.2,vol,"ROLE: gs_last21=0, only 4% starts on year (2/50 G) - not a real SP"
147,Zack Littell,Ari,1.4,6.89,rp3_dd,330,,,zack littell,36052,2026-08-24,heuristic,41.0,24.8,3.4,3.4,0.9714285714285714,23.4,22.7,vol,
148,Reynaldo Lopez,Atl,4.7,9.7,rp3_dd,149,FIFTEEN_DAY_DL,,reynaldo lopez,33860,2026-08-28,explicit,51.1,31.8,2.7,2.391428571428572,1.0,23.2,23.2,vol,
149,Jack Flaherty,Det,30.0,11.02,rp3_dd,82,FIFTEEN_DAY_DL,,jack flaherty,33837,2026-09-08,explicit,37.5,23.3,3.6,2.057142857142857,1.0,22.7,22.7,vol,
150,Jason Alexander,Hou,0.0,7.84,rp3_dd,283,,,jason alexander,41849,2026-08-24,heuristic,46.6,28.2,2.8,2.8,0.9714285714285714,22.0,21.4,vol,
151,Lance McCullers Jr.,FA,1.7,7.7,rp3_dd,294,,,lance mccullers,32764,2026-08-24,heuristic,45.8,27.7,2.8,2.8,0.9714285714285714,21.6,21.0,vol,
152,Shane Smith,ChW,1.6,9.19,rp3_dd,187,,,shane smith,5201814,2026-08-24,heuristic,54.7,33.1,2.3,2.3,0.9714285714285714,21.1,20.5,vol,
153,JR Ritchie,Atl,1.4,8.07,rp3_dd,267,,,jr ritchie,5080757,2026-08-24,heuristic,48.0,29.1,2.6,2.6,0.9714285714285714,21.0,20.4,vol,
154,Hunter Dobbins,StL,1.1,8.38,rp3_dd,242,FIFTEEN_DAY_DL,,hunter dobbins,4415836,2026-09-06,explicit,31.3,19.5,3.9,2.4514285714285715,1.0,20.5,20.5,vol,
155,Mason Barnett,Oak,0.1,7.26,rp3_dd,313,,,mason barnett,4620704,2026-08-24,heuristic,43.2,26.1,2.8,2.8,0.9714285714285714,20.3,19.7,vol,
156,Chris Paddack,Tex,0.1,7.36,rp3_dd,307,,,chris paddack,35999,2026-08-24,heuristic,43.8,26.5,2.7,2.7,0.9714285714285714,19.9,19.3,vol,
157,Zac Gallen,Ari,33.1,8.02,rp3_dd,274,SIXTY_DAY_DL,,zac gallen,39910,2026-09-01,explicit,36.8,22.9,3.2,2.468571428571429,1.0,19.8,19.8,vol,
158,Miles Mikolas,FA,0.3,6.19,rp3_dd,353,,,miles mikolas,32116,2026-08-24,heuristic,36.8,22.3,3.2,3.2,0.9714285714285714,19.8,19.2,vol,
159,Mike Burrows,Hou,1.6,8.48,rp3_dd,233,FIFTEEN_DAY_DL,,mike burrows,4918155,2026-08-30,explicit,41.8,26.0,2.8,2.32,1.0,19.7,19.7,vol,
160,Jose Cabrera,Ari,0.1,8.0,rp3_dd,276,,,jose cabrera,5270084,2026-08-24,heuristic,47.6,28.8,2.4,2.4,0.9714285714285714,19.2,18.7,vol,
161,German Marquez,FA,0.2,6.11,rp3_dd,355,,,german marquez,34874,2026-08-24,heuristic,36.4,22.0,3.1,3.1,0.9714285714285714,18.9,18.4,vol,
162,Jesse Scholtens,TB,0.2,6.64,rp3_dd,336,,,jesse scholtens,41452,2026-08-24,heuristic,39.5,23.9,2.8,2.8,0.9714285714285714,18.6,18.1,vol,
163,Kohl Drake,Ari,0.2,6.6,rp3_dd,339,,,kohl drake,5264737,2026-08-24,heuristic,39.3,23.8,2.7,2.7,0.9714285714285714,17.8,17.3,vol,
164,Trey Gibson,Bal,0.1,8.06,rp3_dd,269,,,trey gibson,4867802,2026-08-24,heuristic,48.0,29.0,2.2,2.2,0.9714285714285714,17.7,17.2,vol,
165,Coleman Crow,Mil,0.1,7.28,rp3_dd,311,,,coleman crow,5127100,2026-08-24,heuristic,43.3,26.2,2.4,2.4,0.9714285714285714,17.5,17.0,vol,
166,Alan Rangel,Phi,0.1,8.35,rp3_dd,250,,,alan rangel,4917631,2026-08-24,heuristic,49.7,30.1,2.1,2.1,0.9714285714285714,17.5,17.0,vol,
167,Spencer Miles,Tor,0.9,9.18,rp3_dd,188,,,spencer miles,4833671,2026-08-24,heuristic,54.6,33.0,1.9,1.9,0.9714285714285714,17.4,16.9,vol,"ROLE: gs_last21=0, 10% starts on year - not a real SP"
