board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po,proj_ros_starts_vol,ros_starts,po_frac,xfp_ros_v2,xfp_po_v2,vol_src,audit_flag
199,Brandon Woodruff,Mil,41.3,12.93,rp3_dd,30,SIXTY_DAY_DL,,brandon woodruff,37515,2026-09-30,explicit,0.0,0.0,3.4,0.0,0.0,0.0,0.0,vol,
200,Cole Ragans,KC,45.3,11.81,rp3_dd,54,SIXTY_DAY_DL,,cole ragans,41054,2027-06-01,explicit,0.0,0.0,3.3,0.0,0.0,0.0,0.0,vol,
201,Ryan Pepiot,TB,30.4,9.85,talent_prior,135,SIXTY_DAY_DL,,ryan pepiot,4208281,2027-02-01,explicit,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
202,Hunter Greene,Cin,25.3,12.5,rp3_dd,40,SIXTY_DAY_DL,,hunter greene,39635,2028-02-01,explicit,0.0,0.0,2.9,0.0,0.0,0.0,0.0,vol,
203,Cade Horton,ChC,6.9,9.98,rp3_dd,125,SIXTY_DAY_DL,,cade horton,4692526,2027-08-01,explicit,0.0,0.0,3.1,0.0,0.0,0.0,0.0,vol,
204,Stephen Kolek,KC,1.9,8.84,rp3_dd,212,SIXTY_DAY_DL,,stephen kolek,5190073,2028-02-01,explicit,0.0,0.0,2.7,0.0,0.0,0.0,0.0,vol,
205,Trevor McDonald,SF,0.9,8.79,rp3_dd,216,SIXTY_DAY_DL,,trevor mcdonald,5185136,2027-09-01,explicit,0.0,0.0,2.7,0.0,0.0,0.0,0.0,vol,
206,Jose Berrios,Tor,0.9,9.58,talent_prior,159,SIXTY_DAY_DL,,jose berrios,32811,2027-08-01,explicit,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
207,Reese Olson,Det,0.3,9.72,talent_prior,147,SIXTY_DAY_DL,,reese olson,4734319,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
208,Zach Eflin,Bal,0.3,9.56,talent_prior,160,SIXTY_DAY_DL,,zach eflin,32804,2027-07-01,explicit,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
209,Clarke Schmidt,NYY,0.5,9.63,talent_prior,154,SIXTY_DAY_DL,,clarke schmidt,41085,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
210,Jack Kochanowicz,LAA,0.6,6.98,rp3_dd,325,SIXTY_DAY_DL,,jack kochanowicz,4917819,2027-09-01,explicit,0.0,0.0,3.1,0.0,0.0,0.0,0.0,vol,
211,Luis Severino,Oak,2.3,10.21,rp3_dd,114,SIXTY_DAY_DL,,luis severino,33263,2027-02-01,explicit,0.0,0.0,3.5,0.0,0.0,0.0,0.0,vol,
212,Quinn Priester,Mil,1.0,9.46,talent_prior,169,SIXTY_DAY_DL,,quinn priester,42449,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
213,DJ Herz,Wsh,0.1,9.59,talent_prior,157,SIXTY_DAY_DL,,dj herz,4917686,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
214,Kutter Crawford,Bos,0.1,9.62,talent_prior,155,SIXTY_DAY_DL,,kutter crawford,41277,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
215,Tylor Megill,NYM,0.1,7.74,talent_prior,292,SIXTY_DAY_DL,,tylor megill,3332018,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
216,Mitchell Parker,Wsh,0.1,6.49,talent_prior,346,SIXTY_DAY_DL,,mitchell parker,4683356,2027-09-01,explicit,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
217,David Festa,Min,0.1,8.42,talent_prior,240,SIXTY_DAY_DL,,david festa,5124114,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
218,Tanner Houck,Bos,0.1,9.73,talent_prior,144,SIXTY_DAY_DL,,tanner houck,41009,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
219,Alec Marsh,KC,0.0,7.78,talent_prior,286,SIXTY_DAY_DL,,alec marsh,4424276,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
220,Bowden Francis,Tor,0.0,8.19,talent_prior,260,SIXTY_DAY_DL,,bowden francis,4734325,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
221,Logan Evans,Sea,0.0,7.09,talent_prior,320,SIXTY_DAY_DL,,logan evans,5202474,2026-10-23,heuristic,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
222,Ken Waldichuk,Wsh,0.0,5.91,talent_prior,357,SIXTY_DAY_DL,,ken waldichuk,4189711,2027-06-01,explicit,0.0,0.0,,0.0,0.0,0.0,0.0,flat,
