player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
"Hader, Josh",623352,1042,Tier A,5.805,100.0,0.491,0.398,0.432,0.328,5.807,36,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Bautista, Félix",642585,1021,Tier A,5.795,99.9,0.488,0.431,0.452,0.313,5.574,22,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"deGrom, Jacob",594798,451,Tier B,5.759,99.7,0.511,0.423,0.431,0.315,5.317,50,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Estrada, Jeremiah",669093,237,Tier C,5.625,99.6,0.508,0.365,0.511,0.338,5.167,26,flat,PLV elite (top 10%)
"Scott, Tanner",656945,1267,Tier A,5.625,99.4,0.516,0.415,0.499,0.335,5.931,39,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Sewald, Paul",623149,1201,Tier A,5.619,99.3,0.507,0.373,0.524,0.343,5.777,164,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Vesia, Alex",681911,921,Tier B,5.582,99.2,0.526,0.383,0.491,0.336,5.974,32,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Strider, Spencer",675911,3289,Tier A,5.567,99.0,0.51,0.399,0.492,0.336,5.764,190,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Kimbrel, Craig",518886,1328,Tier A,5.558,98.9,0.485,0.388,0.513,0.347,5.443,131,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Williams, Devin",642207,979,Tier B,5.544,98.8,0.482,0.446,0.417,0.32,5.131,31,flat,PLV elite (top 10%); elite whiff rate
"Acton, Garrett",670183,124,Tier C,5.543,98.6,0.467,0.33,0.487,0.338,5.431,21,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Kerkering, Orion",689147,164,Tier C,5.523,98.5,0.456,0.358,0.535,0.334,5.379,104,hot,PLV elite (top 10%); rolling also strong; recent form improving
