batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Gavin Sheets,657757,559,Tier A,109.3,81.3,109.9,108.1,0.448,0.309,0.388,0.034,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Elly De La Cruz,682829,709,Tier A,107.2,85.6,103.6,108.0,0.454,0.266,0.402,0.033,Power+ strong (top 25%); xwOBA above model expectation
Jakob Marsee,805300,233,Tier C,111.1,97.4,106.8,107.9,0.433,0.194,0.399,0.033,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Michael Harris,671739,640,Tier A,112.3,90.0,112.6,107.9,0.57,0.401,0.384,0.033,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Trevor Story,596115,669,Tier A,108.6,103.2,99.0,107.9,0.544,0.365,0.407,0.033,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Gunnar Henderson,683002,643,Tier A,109.3,93.9,105.1,107.7,0.475,0.281,0.395,0.032,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Eli White,642201,274,Tier B,108.0,110.4,94.9,107.7,0.529,0.286,0.405,0.032,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ian Happ,664023,686,Tier A,106.0,101.2,95.7,107.3,0.435,0.229,0.415,0.03,Power+ strong (top 25%)
Kyle Teel,691019,299,Tier B,104.8,101.4,93.8,107.1,0.445,0.264,0.398,0.028,Power+ strong (top 25%)
Gabriel Moreno,672515,315,Tier B,108.6,90.7,106.5,107.0,0.44,0.286,0.385,0.028,Power+ strong (top 25%); Process+ also strong
