player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
"Hader, Josh",623352,1235,Tier A,5.955,100.0,0.485,0.415,0.458,0.326,5.872,50,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Montgomery, Mason",682254,158,Tier C,5.871,99.9,0.52,0.422,0.468,0.331,5.872,30,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Kopech, Michael",656629,1314,Tier A,5.799,99.7,0.513,0.416,0.463,0.33,5.877,173,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Scott, Tanner",656945,1265,Tier A,5.694,99.6,0.518,0.405,0.495,0.339,6.294,62,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Miller, Mason",695243,1037,Tier A,5.68,99.4,0.502,0.401,0.473,0.33,6.08,36,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"deGrom, Jacob",594798,172,Tier C,5.636,99.3,0.527,0.407,0.52,0.33,5.706,53,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Nardi, Andrew",677053,988,Tier B,5.626,99.2,0.5,0.373,0.454,0.337,5.333,32,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Ort, Kaleb",672391,366,Tier C,5.6,99.0,0.49,0.377,0.504,0.337,5.83,27,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Estrada, Jeremiah",669093,1098,Tier A,5.577,98.9,0.525,0.394,0.503,0.328,5.672,82,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Bigge, Hunter",685801,311,Tier C,5.545,98.8,0.496,0.385,0.474,0.331,5.774,41,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Vesia, Alex",681911,1227,Tier A,5.539,98.6,0.512,0.392,0.455,0.326,5.79,93,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Sewald, Paul",623149,661,Tier B,5.513,98.5,0.526,0.373,0.525,0.344,5.448,34,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Puk, A.J.",640462,1173,Tier A,5.506,98.3,0.503,0.373,0.494,0.337,5.496,30,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Leiter, Jack",683004,669,Tier B,5.489,98.2,0.468,0.407,0.472,0.335,5.156,48,flat,PLV elite (top 10%); elite whiff rate
"Nittoli, Vinny",657697,209,Tier C,5.466,98.1,0.479,0.39,0.482,0.326,5.568,36,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Núñez, Dedniel",673380,521,Tier B,5.459,97.9,0.538,0.428,0.529,0.333,5.624,28,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Kimbrel, Craig",518886,963,Tier B,5.459,97.8,0.466,0.4,0.469,0.347,4.631,34,flat,PLV elite (top 10%); elite whiff rate
"García, Yimi",554340,661,Tier B,5.458,97.7,0.492,0.347,0.483,0.326,5.063,30,flat,PLV elite (top 10%)
"Jax, Griffin",643377,1085,Tier A,5.454,97.5,0.54,0.405,0.474,0.319,5.504,33,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Varland, Gus",681402,455,Tier B,5.451,97.4,0.478,0.37,0.537,0.34,5.516,20,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Chapman, Aroldis",547973,1148,Tier A,5.451,97.2,0.488,0.401,0.492,0.338,5.787,45,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
"Kikuchi, Yusei",579328,3006,Tier A,5.45,97.1,0.489,0.375,0.503,0.35,5.089,98,flat,PLV elite (top 10%)
"Megill, Trevor",656730,696,Tier B,5.445,97.0,0.516,0.37,0.498,0.336,6.101,29,hot,PLV elite (top 10%); rolling also strong; recent form improving
"Miller, Tyson",668338,945,Tier B,5.442,96.8,0.507,0.392,0.488,0.325,5.587,28,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
