pitcher,name_api,xfp_ros,playoff_ros,signal
686993,Justin Sterner,127.4,38.2,drop
689520,Cody Laweryson,126.7,38.0,drop
666171,Ryan Zeferjahn,126.2,37.9,drop
621381,Matt Strahm,126.1,37.8,drop
676879,Aaron Ashby,125.3,37.6,hold
640448,Kyle Finnegan,124.9,37.5,hold
687396,Brent Headrick,125.0,37.5,hold
687911,Bryan King,124.6,37.4,drop
656222,Jalen Beeks,124.6,37.4,drop
455119,Chris Martin,124.2,37.3,drop
676775,Keaton Winn,122.8,36.8,drop
622608,Antonio Senzatela,122.1,36.6,hold
688642,Zach Agnos,121.9,36.6,drop
669199,Lake Bachar,121.7,36.5,drop
664991,Grant Wolfram,121.2,36.4,drop
663765,Jake Woodford,121.2,36.4,drop
668873,Caleb Kilian,121.1,36.3,drop
690925,Clayton Beeter,120.7,36.2,drop
678606,Jose A. Ferrer,120.2,36.1,drop
689147,Orion Kerkering,119.8,35.9,drop
686560,Gavin Collyer,119.7,35.9,drop
687330,Kevin Kelly,119.5,35.8,hold
669330,Tyler Wells,118.9,35.7,drop
660825,Eduard Bazardo,118.2,35.5,drop
621237,José Alvarado,118.2,35.5,drop
656686,Corbin Martin,118.1,35.4,drop
669684,Chris Murphy,117.6,35.3,drop
656794,Sean Newcomb,117.7,35.3,drop
676263,Jack Dreyer,117.2,35.2,drop
702303,Riley Martin,116.6,35.0,drop
679775,Kyle Backhus,116.7,35.0,drop
518886,Craig Kimbrel,116.5,34.9,drop
680730,Mitchell Parker,116.2,34.9,drop
679358,Eric Orze,116.5,34.9,drop
667297,Tommy Nance,115.7,34.7,drop
668964,Tobias Myers,115.5,34.6,drop
699134,Bradgley Rodriguez,115.1,34.5,drop
660761,José Suarez,114.5,34.4,drop
592773,Ryne Stanek,114.8,34.4,drop
675848,Juan Mejia,113.6,34.1,drop
656848,Michael Petersen,113.3,34.0,drop
677053,Andrew Nardi,113.4,34.0,drop
805123,AJ Blubaugh,112.1,33.6,drop
623454,Drew Anderson,111.6,33.5,drop
641835,Tim Mayza,111.8,33.5,drop
676395,Robert Garcia,111.2,33.4,drop
695418,Brad Lord,111.4,33.4,drop
694361,Will Klein,110.9,33.3,drop
689296,Anthony Nunez,110.6,33.2,drop
657612,Tim Hill,110.2,33.1,drop
668941,JoJo Romero,109.8,32.9,drop
664199,Taylor Clarke,109.2,32.8,drop
680742,Jonathan Bowlan,109.0,32.7,drop
672582,Angel Zerpa,109.0,32.7,drop
641401,Connor Brogdon,108.8,32.6,drop
700669,Gordon Graceffo,108.8,32.6,drop
693855,Ian Seymour,108.8,32.6,drop
666277,George Soriano,108.2,32.5,drop
663542,Bryan Hudson,108.4,32.5,drop
669711,Greg Weissert,107.9,32.4,drop
681895,Evan Sisk,107.4,32.2,drop
693686,Spencer Miles,107.5,32.2,drop
647315,Zach Pop,106.9,32.1,drop
681867,Cooper Criswell,107.0,32.1,drop
694335,Matt Svanson,107.0,32.1,drop
666974,Yennier Cano,106.5,32.0,drop
678906,Kai-Wei Teng,106.4,31.9,drop
642528,Jonathan Loáisiga,106.1,31.8,drop
623211,Huascar Brazobán,106.0,31.8,drop
663687,Hogan Harris,106.0,31.8,drop
670036,Matt Festa,106.1,31.8,drop
657756,Connor Seabold,105.7,31.7,drop
656271,Brock Burke,105.4,31.6,drop
656234,Jake Bird,104.8,31.4,drop
607481,Aaron Bummer,104.8,31.4,drop
665622,Luis Medina,104.7,31.4,drop
606996,Kyle Hart,103.9,31.2,drop
572143,Burch Smith,103.6,31.1,drop
687606,Paxton Schultz,103.4,31.0,drop
676428,Brant Hurter,103.0,30.9,drop
688158,David Morgan,102.0,30.6,drop
607455,Anthony Banda,102.0,30.6,drop
664875,Justin Lawrence,100.6,30.2,drop
667463,John King,100.3,30.1,drop
677955,Jaden Hill,99.9,30.0,drop
573009,Joe Mantiply,100.1,30.0,drop
676534,Calvin Faucher,99.6,29.9,drop
674370,Osvaldo Bido,99.7,29.9,drop
685801,Hunter Bigge,99.2,29.8,drop
676755,Isaac Mattson,99.0,29.7,drop
696147,Sam Bachman,99.1,29.7,drop
656638,Alex Lange,98.8,29.6,drop
657097,Jacob Webb,98.7,29.6,drop
663558,Jovani Morán,98.2,29.5,drop
621383,Tanner Banks,98.2,29.5,drop
548384,Brooks Raley,98.1,29.4,drop
642232,Ryan Yarbrough,97.9,29.4,drop
683618,Edgardo Henriquez,97.9,29.4,drop
663992,Richard Lovelady,97.5,29.2,drop
666374,Matt Brash,97.2,29.2,drop
621112,Paul Blackburn,96.9,29.1,drop
680755,Braydon Fisher,96.6,29.0,drop
605130,Scott Barlow,96.6,29.0,drop
670245,Ryan Watson,96.3,28.9,drop
608718,Brent Suter,95.9,28.8,drop
572955,Pierce Johnson,95.8,28.7,drop
669212,Eli Morgan,95.2,28.6,drop
663767,Chase Shugart,95.4,28.6,drop
623437,Justin Topa,94.8,28.4,drop
683175,Connor Phillips,94.4,28.3,drop
676508,Ben Casparius,94.2,28.3,drop
593974,Wandy Peralta,94.1,28.2,drop
673929,Jordan Leasure,94.0,28.2,drop
519141,Drew Pomeranz,94.0,28.2,drop
669371,Cole Henry,93.6,28.1,drop
680802,Ryan Weiss,93.6,28.1,drop
657514,Brennan Bernardino,93.8,28.1,drop
664208,Phil Maton,93.3,28.0,drop
544150,Albert Suárez,93.0,27.9,drop
595345,Steven Okert,91.9,27.6,drop
543056,Danny Coulombe,91.8,27.5,drop
676760,Ron Marinaccio,91.2,27.4,drop
642121,Cole Sulser,91.5,27.4,drop
518585,Fernando Cruz,91.4,27.4,drop
571948,Hoby Milner,91.1,27.3,drop
702193,Andrew Morris,91.0,27.3,drop
663855,Jordan Hicks,91.0,27.3,drop
672335,Cionel Pérez,90.6,27.2,drop
595014,Blake Treinen,90.1,27.0,drop
606303,Joel Payamps,89.1,26.7,drop
683742,Jose Franco,89.0,26.7,drop
688883,Peyton Pallette,88.3,26.5,drop
608371,Lucas Sims,88.4,26.5,drop
594580,Sam Moll,87.1,26.1,drop
677961,Cole Wilcox,86.6,26.0,drop
621366,Ryan Borucki,86.5,26.0,drop
701719,Tyler Samaniego,86.5,26.0,drop
640455,Sean Manaea,86.2,25.9,drop
608650,Dietrich Enns,85.9,25.8,drop
670167,John Schreiber,85.9,25.8,drop
665660,Elvis Alvarado,85.5,25.6,drop
674444,Steven Cruz,84.9,25.5,drop
663893,Brendon Little,85.0,25.5,drop
677161,Zack Kelly,84.7,25.4,drop
670059,Colin Holderman,82.7,24.8,drop
641312,Shaun Anderson,81.2,24.4,drop
672782,Yoendrys Gómez,81.1,24.3,drop
643377,Griffin Jax,80.6,24.2,drop
472610,Luis García,80.6,24.2,drop
663947,Tyler Holton,79.8,23.9,drop
681217,Chase Silseth,79.1,23.7,drop
646241,Enmanuel De Jesus,78.0,23.4,drop
668984,Casey Legumina,77.9,23.4,drop
682120,Tim Herrin,77.5,23.2,drop
664141,JT Brubaker,76.8,23.0,drop
694851,Andrew Hoffmann,76.4,22.9,drop
573124,Taylor Rogers,76.1,22.8,drop
681892,Kody Funderburk,75.6,22.7,drop
669438,Mason Englert,74.8,22.4,drop
669084,DL Hall,74.3,22.3,drop
657044,Ryan Thompson,73.3,22.0,drop
657424,Matt Gage,71.6,21.5,drop
682995,Hunter Barco,68.5,20.6,drop
686610,Ken Waldichuk,67.4,20.2,drop
683232,Nick Mears,66.3,19.9,drop
685005,Christian Roa,64.7,19.4,drop
677865,Justin Bruihl,64.2,19.3,drop
680704,Nick Sandlin,63.5,19.0,drop
701552,Andre Granillo,58.9,17.7,drop
688297,Chris Roycroft,55.0,16.5,drop
664192,Joey Lucchesi,53.9,16.2,drop
693312,Kyle Nicolas,48.9,14.7,drop
