batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,discipline_plus,k_avoidance_plus,power_plus,swing_pct,chase_pct,xwoba_on_contact,rolling_decision_30d,tag,season_stage
Michael Conforto,624424,45,Watch,OF,OF,OF,108.4,113.2,100.7,120.6,0.431,0.256,0.493,0.0692,Discipline+ strong (top 25%); selective swinger; Process+ strong,early
Matt Wallner,670242,121,Signal,OF,OF,OF,89.0,112.6,84.8,109.6,0.519,0.287,0.414,0.07684,Discipline+ strong (top 25%),early
Starling Marte,516782,40,Watch,OF,OF,OF,84.8,112.5,96.6,100.2,0.538,0.333,0.376,0.091,Discipline+ strong (top 25%),early
Adam Frazier,624428,71,Watch,2B,2B,2B,61.7,112.4,85.5,83.5,0.503,0.259,0.278,0.08107,Discipline+ strong (top 25%),early
Ramón Urías,602104,75,Watch,3B,3B,3B,74.8,112.4,102.0,88.4,0.474,0.263,0.297,0.07396,Discipline+ strong (top 25%),early
Freddie Freeman,518692,148,Signal,1B,1B,1B,101.1,112.3,107.5,110.6,0.529,0.308,0.409,0.07367,Discipline+ strong (top 25%),early
Sal Stewart,701398,162,Signal,1B,1B,1B,107.8,112.1,103.8,118.6,0.496,0.289,0.446,0.07956,Discipline+ strong (top 25%),early
Jake Mccarthy,664983,87,Signal,OF,OF,OF,83.7,111.6,110.2,93.0,0.527,0.364,0.324,0.09135,Discipline+ strong (top 25%),early
Andruw Monasterio,655316,63,Watch,SS,SS,SS,86.3,111.5,98.1,100.9,0.496,0.326,0.375,0.08207,Discipline+ strong (top 25%),early
Kevin McGonigle,805808,160,Signal,SS,3B|SS,"3B, SS",100.8,111.4,108.3,110.0,0.426,0.267,0.414,0.08892,Discipline+ strong (top 25%); selective swinger,early
Fernando Tatís,665487,140,Signal,OF,OF,OF,99.5,111.4,98.3,113.3,0.478,0.271,0.427,0.0839,Discipline+ strong (top 25%),early
Jo Adell,666176,156,Signal,OF,OF,OF,89.2,111.1,97.7,103.9,0.563,0.36,0.38,0.08358,Discipline+ strong (top 25%),early
Daylen Lile,695734,160,Signal,OF,OF,OF,96.3,111.1,105.9,106.8,0.562,0.348,0.376,0.07913,Discipline+ strong (top 25%),early
Lawrence Butler,671732,119,Signal,OF,OF,OF,85.2,110.9,90.6,103.3,0.471,0.297,0.371,0.07527,Discipline+ strong (top 25%),early
TJ Rumfield,681198,153,Signal,1B,1B,1B,92.8,110.8,111.0,101.2,0.522,0.309,0.372,0.08558,Discipline+ strong (top 25%),early
Kazuma Okamoto,672960,142,Signal,3B,3B,3B,103.6,110.8,92.2,119.9,0.448,0.278,0.479,0.08366,Discipline+ strong (top 25%); selective swinger,early
Ezequiel Tovar,678662,147,Signal,SS,SS,SS,86.0,110.6,93.7,102.7,0.615,0.414,0.356,0.08399,Discipline+ strong (top 25%),early
Nick Loftin,679845,46,Watch,3B,3B,3B,79.1,110.3,116.1,85.9,0.408,0.274,0.303,0.08117,Discipline+ strong (top 25%); selective swinger,early
Rob Refsnyder,608701,48,Watch,OF,OF,OF,75.7,110.3,96.0,91.9,0.419,0.241,0.355,0.08555,Discipline+ strong (top 25%); selective swinger,early
Brent Rooker,667670,84,Signal,OF,OF|DH,"OF, DH",85.6,110.2,96.3,101.1,0.516,0.35,0.392,0.08684,Discipline+ strong (top 25%),early
William Contreras,661388,150,Signal,C,C,C,94.7,110.2,120.2,98.8,0.46,0.275,0.362,0.078,Discipline+ strong (top 25%),early
Thomas Saggese,695336,62,Watch,OF,OF,OF,68.7,110.1,87.0,89.5,0.528,0.295,0.284,0.08201,Discipline+ strong (top 25%),early
Tyler Stephenson,663886,104,Signal,C,C,C,89.7,109.8,90.2,107.7,0.425,0.212,0.426,0.07277,Discipline+ strong (top 25%); selective swinger; low chase rate,early
Ryan Vilade,668723,50,Watch,OF,OF,OF,73.5,109.7,96.6,89.6,0.502,0.324,0.281,0.07526,Discipline+ strong (top 25%),early
Zach Neto,687263,168,Signal,SS,SS,SS,81.7,109.4,83.2,103.4,0.488,0.284,0.386,0.07625,Discipline+ strong (top 25%),early
Dominic Smith,642086,80,Signal,1B,1B|DH,"1B, DH",111.2,109.2,118.4,115.1,0.543,0.326,0.439,0.06992,Discipline+ strong (top 25%); Process+ strong,early
Kyle Higashioka,543309,57,Watch,C,C,C,82.0,109.2,98.5,96.7,0.429,0.294,0.344,0.08212,Discipline+ strong (top 25%); selective swinger,early
Austin Hedges,595978,47,Watch,C,C,C,80.0,109.0,103.0,92.7,0.47,0.273,0.343,0.08604,Discipline+ strong (top 25%),early
