batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,rolling_decision_30d,tag,season_stage
Ryan Ritter,690022,212,Tier C,SS,2B|SS,"2B, SS",88.5,113.6,90.8,90.7,0.536,0.331,0.248,0.05257,Decision+ strong (top 25%),mature
Alexander Canario,672744,241,Tier C,OF,OF,OF,105.9,113.5,84.8,109.7,0.534,0.302,0.3,0.03882,Decision+ strong (top 25%),mature
Daylen Lile,695734,351,Tier B,OF,OF|DH,"OF, DH",112.6,112.9,108.1,105.6,0.522,0.267,0.349,0.10367,Decision+ strong (top 25%); Process+ strong,mature
Freddie Freeman,518692,710,Tier A,1B,1B,1B,113.6,112.8,99.6,110.4,0.518,0.288,0.356,0.0761,Decision+ strong (top 25%); Process+ strong,mature
Logan O'Hoppe,681351,462,Tier A,C,C,C,109.2,112.5,92.7,109.4,0.522,0.311,0.301,0.07883,Decision+ strong (top 25%); Process+ strong,mature
Luis Robert,673357,441,Tier A,OF,OF,OF,111.1,112.1,97.5,109.1,0.534,0.31,0.325,0.06916,Decision+ strong (top 25%); Process+ strong,mature
Wilyer Abreu,677800,418,Tier A,OF,OF,OF,111.6,111.9,96.9,109.9,0.519,0.265,0.333,0.06156,Decision+ strong (top 25%); Process+ strong,mature
Heriberto Hernandez,681715,296,Tier B,OF,OF|DH,"OF, DH",105.6,111.8,93.7,105.8,0.452,0.249,0.331,0.07595,Decision+ strong (top 25%),mature
Spencer Steer,668715,577,Tier A,1B,1B|DH,"1B, DH",92.2,111.7,94.4,92.9,0.48,0.244,0.295,0.06741,Decision+ strong (top 25%),mature
Nick Castellanos,592206,613,Tier A,OF,OF,OF,105.2,111.7,98.9,103.0,0.589,0.364,0.3,0.10418,Decision+ strong (top 25%),mature
Jo Adell,666176,582,Tier A,OF,OF,OF,123.8,111.5,97.8,121.1,0.526,0.332,0.367,0.07003,Decision+ strong (top 25%); Process+ strong,mature
Daulton Varsho,662139,359,Tier B,OF,OF,OF,111.1,111.5,95.8,110.1,0.549,0.305,0.32,0.07543,Decision+ strong (top 25%); Process+ strong,mature
Jake Mangum,663968,426,Tier A,OF,OF,OF,96.6,111.5,110.7,89.6,0.62,0.391,0.277,0.05069,Decision+ strong (top 25%),mature
Dylan Carlson,666185,245,Tier C,OF,OF,OF,91.4,111.4,98.7,90.2,0.451,0.231,0.286,0.08744,Decision+ strong (top 25%); low chase rate,mature
Will Wagner,695238,159,Tier C,3B,3B,3B,96.4,111.3,99.5,94.6,0.489,0.284,0.321,0.0467,Decision+ strong (top 25%),mature
Austin Riley,663586,447,Tier A,3B,3B,3B,114.3,111.3,91.2,115.2,0.51,0.282,0.331,0.0388,Decision+ strong (top 25%); Process+ strong,mature
Spencer Torkelson,679529,691,Tier A,1B,1B|DH,"1B, DH",104.4,111.1,92.7,105.2,0.448,0.229,0.332,0.08418,Decision+ strong (top 25%); selective swinger; low chase rate,mature
Christian Koss,683766,192,Tier C,2B,2B,2B,106.6,111.0,103.1,102.6,0.552,0.33,0.309,0.07851,Decision+ strong (top 25%),mature
Max Muncy,571970,451,Tier A,3B,3B,3B,109.7,110.9,92.4,110.4,0.417,0.22,0.375,0.07003,Decision+ strong (top 25%); selective swinger; low chase rate; Process+ strong,mature
Julio Rodríguez,677594,771,Tier A,OF,OF,OF,119.4,110.9,102.8,114.8,0.547,0.349,0.351,0.06791,Decision+ strong (top 25%); Process+ strong,mature
Fernando Tatís,665487,712,Tier A,OF,OF,OF,113.8,110.9,105.5,108.3,0.458,0.249,0.368,0.06963,Decision+ strong (top 25%); Process+ strong,mature
Ty France,664034,504,Tier A,1B,1B,1B,104.9,110.8,104.7,100.3,0.521,0.316,0.326,0.0659,Decision+ strong (top 25%),mature
Tyler O'Neill,641933,209,Tier C,OF,OF|DH,"OF, DH",114.2,110.6,96.2,113.0,0.474,0.296,0.361,0.05794,Decision+ strong (top 25%); Process+ strong,mature
Brady House,691781,274,Tier B,3B,3B,3B,105.7,110.6,96.2,104.9,0.572,0.358,0.284,0.07066,Decision+ strong (top 25%),mature
William Contreras,661388,694,Tier A,C,C|DH,"C, DH",101.5,110.5,102.3,98.3,0.468,0.258,0.334,0.091,Decision+ strong (top 25%),mature
Tyler Fitzgerald,666149,249,Tier C,2B,2B,2B,85.6,110.5,92.3,87.8,0.526,0.323,0.243,0.05074,Decision+ strong (top 25%),mature
Eli White,642201,274,Tier B,OF,OF,OF,108.0,110.4,94.9,107.7,0.529,0.286,0.311,0.06612,Decision+ strong (top 25%); Process+ strong,mature
Edgar Quero,700337,404,Tier A,C,C|DH,"C, DH",90.8,110.4,104.2,87.3,0.464,0.208,0.29,0.06265,Decision+ strong (top 25%); low chase rate,mature
Victor Scott,687363,468,Tier A,OF,OF,OF,91.7,110.3,98.1,91.0,0.491,0.262,0.288,0.09904,Decision+ strong (top 25%),mature
Trea Turner,607208,672,Tier A,SS,SS,SS,102.5,109.8,108.7,96.5,0.512,0.299,0.322,0.05793,Decision+ strong (top 25%),mature
Ramón Urías,602104,389,Tier B,3B,2B|3B,"2B, 3B",96.1,109.8,100.2,94.2,0.492,0.272,0.289,0.06286,Decision+ strong (top 25%),mature
Tyler Heineman,623168,180,Tier C,C,C,C,85.0,109.7,107.4,80.6,0.54,0.34,0.27,0.02278,Decision+ strong (top 25%),mature
Andy Pages,681624,680,Tier A,OF,OF,OF,102.9,109.6,102.6,99.6,0.536,0.342,0.304,0.06324,Decision+ strong (top 25%),mature
Matt Wallner,670242,408,Tier A,OF,OF|DH,"OF, DH",105.0,109.6,88.1,108.2,0.508,0.299,0.327,0.1097,Decision+ strong (top 25%),mature
Ceddanne Rafaela,678882,601,Tier A,OF,2B|OF,"2B, OF",103.5,109.5,104.3,99.5,0.589,0.41,0.304,0.07107,Decision+ strong (top 25%),mature
Rafael Devers,646240,724,Tier A,DH,1B|DH,"1B, DH",118.2,109.5,88.7,120.4,0.473,0.245,0.369,0.07585,Decision+ strong (top 25%); Process+ strong,mature
Byron Buxton,621439,548,Tier A,OF,OF,OF,118.7,109.5,95.4,117.7,0.52,0.297,0.35,0.0836,Decision+ strong (top 25%); Process+ strong,mature
Thairo Estrada,642731,166,Tier C,2B,2B,2B,93.1,109.5,109.4,87.3,0.536,0.328,0.264,0.06174,Decision+ strong (top 25%),mature
Tim Tawa,694374,225,Tier C,2B,1B|2B|OF,"1B, 2B, OF",97.1,109.5,92.6,98.7,0.484,0.297,0.29,0.06701,Decision+ strong (top 25%),mature
Dylan Moore,664238,251,Tier B,2B,2B|OF,"2B, OF",91.9,109.3,84.1,97.8,0.489,0.255,0.263,0.07652,Decision+ strong (top 25%),mature
Enrique Hernández,571771,322,Tier B,1B,1B|3B,"1B, 3B",94.5,109.3,90.7,97.2,0.512,0.313,0.271,0.06482,Decision+ strong (top 25%),mature
David Fry,681807,157,Tier C,1B,DH,DH,73.0,109.3,82.5,80.6,0.526,0.296,0.203,0.04408,Decision+ strong (top 25%),mature
Michael Busch,683737,613,Tier A,1B,1B,1B,119.8,109.2,98.3,117.6,0.468,0.233,0.381,0.07946,Decision+ strong (top 25%); low chase rate; Process+ strong,mature
Riley Greene,682985,702,Tier A,OF,OF|DH,"OF, DH",118.0,109.1,88.0,120.6,0.528,0.313,0.333,0.06686,Decision+ strong (top 25%); Process+ strong,mature
Shea Langeliers,669127,526,Tier A,C,C|DH,"C, DH",109.9,109.1,108.5,103.6,0.524,0.299,0.329,0.06467,Decision+ strong (top 25%); Process+ strong,mature
