batter,year,age,age_residual_27,career_year
430404,2015,35,8,1
430580,2015,34,7,1
430580,2016,35,8,2
430599,2015,35,8,1
430599,2017,37,10,2
430603,2015,35,8,1
430603,2016,36,9,2
430605,2015,34,7,1
430605,2016,35,8,2
430605,2017,36,9,3
430611,2015,33,6,1
430613,2015,33,6,1
430637,2015,33,6,1
430637,2016,34,7,2
430641,2016,35,8,1
430652,2015,33,6,1
430661,2015,33,6,1
430661,2016,34,7,2
430661,2017,35,8,3
430681,2015,36,9,1
430832,2015,35,8,1
430832,2016,36,9,2
430832,2017,37,10,3
430832,2018,38,11,4
430897,2015,35,8,1
430910,2015,33,6,1
430910,2016,34,7,2
430911,2015,34,7,1
430912,2015,31,4,1
430912,2016,32,5,2
430912,2017,33,6,3
430935,2015,32,5,1
430935,2016,33,6,2
430935,2017,34,7,3
430935,2018,35,8,4
430935,2019,36,9,5
430945,2015,30,3,1
430945,2016,31,4,2
430945,2017,32,5,3
430945,2018,33,6,4
430945,2019,34,7,5
430947,2015,31,4,1
430947,2016,32,5,2
430947,2017,33,6,3
430948,2015,32,5,1
431094,2015,33,6,1
431094,2016,34,7,2
431094,2017,35,8,3
431145,2015,32,5,1
431145,2016,33,6,2
431145,2017,34,7,3
431145,2018,35,8,4
431145,2019,36,9,5
431148,2015,31,4,1
431148,2016,32,5,2
431148,2021,37,10,3
431151,2015,33,6,1
431151,2016,34,7,2
431151,2018,36,9,3
431171,2015,33,6,1
431171,2016,34,7,2
432934,2015,36,9,1
432934,2016,37,10,2
433217,2015,31,4,1
433217,2016,32,5,2
433217,2017,33,6,3
433584,2015,35,8,1
433584,2016,36,9,2
433587,2015,29,2,1
433587,2016,30,3,2
433587,2018,32,5,3
433587,2019,33,6,4
433589,2015,31,4,1
433589,2016,32,5,2
433589,2019,35,8,3
434158,2015,34,7,1
434158,2016,35,8,2
434158,2017,36,9,3
434158,2018,37,10,4
434158,2019,38,11,5
434378,2016,33,6,1
434378,2017,34,7,2
434378,2018,35,8,3
434378,2019,36,9,4
434442,2016,33,6,1
434538,2015,32,5,1
434538,2016,33,6,2
434538,2018,35,8,3
434538,2019,36,9,4
434540,2015,34,7,1
434563,2015,36,9,1
434563,2016,37,10,2
434563,2017,38,11,3
434567,2015,32,5,1
434567,2016,33,6,2
434567,2017,34,7,3
434604,2015,33,6,1
434604,2016,34,7,2
434604,2017,35,8,3
434622,2015,31,4,1
434622,2016,32,5,2
434622,2017,33,6,3
434628,2015,33,6,1
434628,2016,34,7,2
434628,2017,35,8,3
434628,2018,36,9,4
434636,2015,34,7,1
434636,2016,35,8,2
434643,2015,36,9,1
434658,2015,35,8,1
434658,2016,36,9,2
434658,2017,37,10,3
434658,2018,38,11,4
434658,2019,39,12,5
434670,2015,32,5,1
434670,2016,33,6,2
434670,2017,34,7,3
434670,2018,35,8,4
434670,2019,36,9,5
434671,2015,31,4,1
434671,2016,32,5,2
434671,2017,33,6,3
434671,2018,34,7,4
434671,2019,35,8,5
434672,2017,36,9,1
434778,2015,32,5,1
434778,2016,33,6,2
434778,2017,34,7,3
434778,2018,35,8,4
434778,2019,36,9,5
435043,2018,35,8,1
435044,2015,34,7,1
435062,2015,32,5,1
435062,2016,33,6,2
435062,2017,34,7,3
435062,2018,35,8,4
435062,2019,36,9,5
435063,2015,34,7,1
435063,2016,35,8,2
435063,2017,36,9,3
435064,2015,32,5,1
435064,2016,33,6,2
435064,2018,35,8,3
435064,2019,36,9,4
435078,2015,31,4,1
435079,2015,33,6,1
435079,2016,34,7,2
435079,2017,35,8,3
435079,2018,36,9,4
435079,2019,37,10,5
435180,2016,32,5,1
435221,2015,32,5,1
435221,2016,33,6,2
435221,2017,34,7,3
435221,2018,35,8,4
435263,2015,31,4,1
435263,2016,32,5,2
435263,2017,33,6,3
435263,2018,34,7,4
435263,2019,35,8,5
435401,2015,35,8,1
435522,2015,30,3,1
435522,2016,31,4,2
435522,2017,32,5,3
435522,2018,33,6,4
435522,2019,34,7,5
435559,2015,32,5,1
435559,2016,33,6,2
435559,2017,34,7,3
435559,2018,35,8,4
435559,2019,36,9,5
435559,2021,38,11,6
435559,2022,39,12,7
435622,2015,30,3,1
435622,2016,31,4,2
435622,2017,32,5,3
435622,2018,33,6,4
435622,2019,34,7,5
435623,2015,33,6,1
443558,2015,35,8,1
443558,2016,36,9,2
443558,2017,37,10,3
443558,2018,38,11,4
443558,2019,39,12,5
443558,2021,41,14,6
443558,2022,42,15,7
443558,2023,43,16,8
444379,2015,32,5,1
444379,2016,33,6,2
444379,2017,34,7,3
444432,2015,29,2,1
444432,2016,30,3,2
444432,2017,31,4,3
444432,2018,32,5,4
444432,2019,33,6,5
444446,2015,29,2,1
444468,2016,28,1,1
444468,2017,29,2,2
444482,2015,28,1,1
444482,2016,29,2,2
444482,2017,30,3,3
444482,2018,31,4,4
444482,2019,32,5,5
444482,2021,34,7,6
444482,2022,35,8,7
444482,2023,36,9,8
444482,2024,37,10,9
444489,2016,29,2,1
444489,2017,30,3,2
444489,2018,31,4,3
444489,2019,32,5,4
444489,2021,34,7,5
444489,2022,35,8,6
444489,2023,36,9,7
444836,2015,30,3,1
444843,2015,33,6,1
444843,2016,34,7,2
444843,2017,35,8,3
444857,2015,32,5,1
444857,2016,33,6,2
444857,2017,34,7,3
444876,2015,29,2,1
444876,2016,30,3,2
444876,2017,31,4,3
444876,2018,32,5,4
444876,2021,35,8,5
444876,2022,36,9,6
445055,2015,30,3,1
445055,2016,31,4,2
445055,2017,32,5,3
445055,2018,33,6,4
445055,2019,34,7,5
445055,2021,36,9,6
445060,2015,33,6,1
445060,2016,34,7,2
445060,2017,35,8,3
445095,2015,32,5,1
445197,2015,30,3,1
445213,2015,31,4,1
445213,2018,34,7,2
445276,2017,30,3,1
445276,2019,32,5,2
445276,2021,34,7,3
445590,2015,36,9,1
445926,2015,32,5,1
445926,2017,34,7,2
445926,2018,35,8,3
445926,2019,36,9,4
445926,2021,38,11,5
445988,2015,32,5,1
445988,2016,33,6,2
445988,2017,34,7,3
445988,2018,35,8,4
445988,2019,36,9,5
446192,2015,31,4,1
446192,2016,32,5,2
446192,2018,34,7,3
446225,2015,30,3,1
446263,2015,29,2,1
446263,2016,30,3,2
446263,2017,31,4,3
446263,2018,32,5,4
446263,2019,33,6,5
446308,2015,29,2,1
446308,2016,30,3,2
446308,2017,31,4,3
446308,2018,32,5,4
446308,2019,33,6,5
446321,2015,29,2,1
446321,2016,30,3,2
446321,2019,33,6,3
446321,2021,35,8,4
446334,2015,30,3,1
446334,2016,31,4,2
446334,2017,32,5,3
446334,2018,33,6,4
446334,2019,34,7,5
446334,2021,36,9,6
446334,2022,37,10,7
446334,2023,38,11,8
446359,2015,30,3,1
446359,2016,31,4,2
446359,2017,32,5,3
446359,2018,33,6,4
446359,2019,34,7,5
446372,2015,29,2,1
446372,2016,30,3,2
446372,2017,31,4,3
446372,2018,32,5,4
446372,2019,33,6,5
446372,2021,35,8,6
446381,2015,30,3,1
446381,2016,31,4,2
446381,2017,32,5,3
446386,2015,29,2,1
446386,2016,30,3,2
446386,2017,31,4,3
446386,2018,32,5,4
446399,2017,31,4,1
446481,2015,30,3,1
446481,2016,31,4,2
446481,2017,32,5,3
446481,2018,33,6,4
446481,2019,34,7,5
446653,2015,31,4,1
446653,2016,32,5,2
446653,2017,33,6,3
446653,2018,34,7,4
446653,2021,37,10,5
446868,2019,35,8,1
448170,2015,32,5,1
448179,2016,36,9,1
448179,2017,37,10,2
448179,2018,38,11,3
448179,2019,39,12,4
448179,2021,41,14,5
448281,2019,33,6,1
448306,2015,34,7,1
448306,2016,35,8,2
448306,2018,37,10,3
448602,2015,32,5,1
448602,2016,33,6,2
448602,2017,34,7,3
448602,2018,35,8,4
448602,2019,36,9,5
448605,2015,33,6,1
448605,2016,34,7,2
448605,2017,35,8,3
448609,2017,34,7,1
448614,2015,33,6,1
448674,2015,35,8,1
448801,2015,29,2,1
448801,2016,30,3,2
448801,2017,31,4,3
448801,2018,32,5,4
448801,2019,33,6,5
448802,2015,29,2,1
448802,2016,30,3,2
448802,2017,31,4,3
448802,2018,32,5,4
448855,2016,31,4,1
448855,2017,32,5,2
448855,2018,33,6,3
448855,2019,34,7,4
448855,2021,36,9,5
449107,2015,34,7,1
449107,2016,35,8,2
449107,2017,36,9,3
449168,2016,30,3,1
449170,2015,29,2,1
449173,2016,31,4,1
449181,2015,30,3,1
449181,2016,31,4,2
449181,2017,32,5,3
449181,2018,33,6,4
449786,2015,31,4,1
450172,2015,32,5,1
450172,2016,33,6,2
450172,2017,34,7,3
450203,2015,32,5,1
450203,2016,33,6,2
450203,2017,34,7,3
450203,2018,35,8,4
450203,2019,36,9,5
450203,2021,38,11,6
450306,2017,34,7,1
450306,2018,35,8,2
450306,2019,36,9,3
450308,2015,33,6,1
450308,2016,34,7,2
450308,2017,35,8,3
450314,2015,34,7,1
450314,2016,35,8,2
450314,2017,36,9,3
450314,2018,37,10,4
450314,2019,38,11,5
450317,2015,29,2,1
450351,2015,35,8,1
450641,2015,31,4,1
450641,2017,33,6,2
450665,2015,30,3,1
450665,2018,33,6,2
450729,2015,31,4,1
450729,2016,32,5,2
450729,2017,33,6,3
451089,2015,27,0,1
451089,2017,29,2,2
451109,2015,31,4,1
451192,2017,32,5,1
451192,2018,33,6,2
451192,2019,34,7,3
451532,2015,31,4,1
451594,2015,29,2,1
451594,2016,30,3,2
451594,2017,31,4,3
451594,2018,32,5,4
