pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
641835,Tim Mayza,14,0.7458,59.3,219,190.0,77.4,0.6405,0.154,False
641941,Emilio Pagán,13,0.475,10.6,49,48.0,100.0,0.7833,0.4646,False
642100,Gabe Speier,15,0.5595,19.5,39,37.0,100.0,0.8575,0.3774,False
642121,Cole Sulser,12,0.5894,36.1,52,43.0,100.0,0.7,0.3488,False
642207,Devin Williams,12,0.4103,3.4,10,10.0,100.0,0.9441,0.7598,False
642232,Ryan Yarbrough,7,0.5194,23.5,31,31.0,100.0,0.6981,0.2858,False
642397,Gregory Soto,17,1.1784,99.7,367,330.0,45.5,0.6467,-0.0236,False
642528,Jonathan Loáisiga,16,0.5318,28.7,48,19.0,94.7,0.5275,0.152,False
642701,Dennis Santana,15,0.6455,50.0,130,117.0,86.3,0.6017,0.2718,False
643377,Griffin Jax,11,0.0259,1.5,4,4.0,100.0,0.9469,0.9486,False
643410,Mark Leiter Jr.,16,0.3439,19.2,46,24.0,100.0,0.7584,0.6182,False
643511,Tyler Rogers,16,0.9367,85.7,347,311.0,53.7,0.7167,0.0095,False
646241,Enmanuel De Jesus,7,-0.07857142857142871,,0,,,,,True
647315,Zach Pop,6,0.6625,65.2,103,61.0,68.9,0.4588,0.1834,False
650556,Bryan Abreu,12,-0.0515,0.3,1,1.0,100.0,0.9411,1.0516,False
656222,Jalen Beeks,15,0.8727,90.4,206,163.0,49.1,0.5635,-0.0052,False
656234,Jake Bird,11,0.3258,40.4,72,61.0,100.0,0.4477,0.3341,False
656271,Brock Burke,16,0.6,37.7,72,62.0,88.7,0.5854,0.3383,False
656464,Kevin Ginkel,15,0.7667,57.3,145,109.0,87.2,0.7284,0.3261,False
656546,Jeff Hoffman,16,0.5444,29.8,78,66.0,98.5,0.6677,0.401,False
656638,Alex Lange,12,0.425,20.0,37,34.0,100.0,0.6693,0.4315,False
656641,Jacob Latz,13,0.978,100.0,62,42.0,57.1,0.5845,0.0765,False
656686,Corbin Martin,6,0.6333333333333333,68.42105263157895,13,,,,,False
656730,Trevor Megill,13,0.6405,38.5,70,64.0,100.0,0.7711,0.4116,False
656794,Sean Newcomb,14,0.5906,53.8,78,74.0,87.8,0.5918,0.2489,False
656848,Michael Petersen,11,0.8567567567567569,100.0,21,,,,,False
656945,Tanner Scott,16,1.0302,80.1,343,305.0,60.7,0.6987,0.064,False
657044,Ryan Thompson,18,0.5615,33.9,80,55.0,94.5,0.6415,0.1566,False
657097,Jacob Webb,14,0.3778,14.5,34,33.0,100.0,0.6842,0.3994,False
657424,Matt Gage,16,0.7341463414634146,56.25,18,,,,,False
657514,Brennan Bernardino,13,0.9235,86.2,125,82.0,43.9,0.5698,-0.1111,False
657612,Tim Hill,14,0.9462,96.4,423,384.0,50.5,0.5393,0.0124,False
657756,Connor Seabold,8,0.22499999999999992,57.14285714285714,8,,,,,False
660761,José Suarez,7,0.26216216216216204,21.052631578947366,8,,,,,False
660825,Eduard Bazardo,16,0.8778,40.2,43,43.0,100.0,0.9191,0.2319,False
660853,Enyel De Los Santos,13,0.6952,64.7,180,151.0,64.9,0.5651,0.1055,False
661395,Jhoan Duran,7,1.05,60.0,144,110.0,65.5,0.8758,0.096,False
662253,Andrés Muñoz,14,0.775,24.0,60,52.0,100.0,0.9767,0.3275,False
663158,Robert Suarez,15,1.007,73.8,141,114.0,57.0,0.8597,0.024,False
663485,Cole Sands,12,0.5571,27.9,39,17.0,100.0,0.5422,0.3087,False
663542,Bryan Hudson,15,0.7905,27.5,14,1.0,100.0,0.8652,0.0986,False
663558,Jovani Morán,10,0.8018,47.2,34,12.0,66.7,0.6999,0.0555,False
663574,Tony Santillan,15,0.8143,54.3,76,53.0,84.9,0.7667,0.3779,False
663687,Hogan Harris,19,0.43928571428571417,16.0,8,,,,,False
663738,Daniel Lynch IV,13,1.0756,85.7,48,18.0,38.9,0.6764,-0.0368,False
663765,Jake Woodford,10,0.6217,77.9,60,41.0,48.8,0.4333,-0.0154,False
663767,Chase Shugart,10,0.8419,81.2,26,1.0,100.0,0.6733,0.0483,False
663855,Jordan Hicks,15,0.2351,7.1,16,1.0,100.0,0.7967,0.6328,False
663893,Brendon Little,5,-2.0818181818181816,0.0,0,,,,,True
663947,Tyler Holton,13,0.17894736842105252,0.0,0,,,,,True
663969,Tyler Phillips,11,0.8419,75.0,33,23.0,100.0,0.8598,0.3233,False
663992,Richard Lovelady,13,0.4721,38.7,41,28.0,100.0,0.5917,0.4758,False
664126,Pete Fairbanks,9,0.7667,42.6,113,90.0,100.0,0.9146,0.347,False
664141,JT Brubaker,10,0.6952380952380951,33.33333333333333,3,,,,,False
