pitcher,player_name,date,pitches,plv,plv_raw,swing_rate,whiff_rate,called_strike_rate,rolling_k_ip,rolling_bb_ip,rolling_h_ip,rolling_er_ip
434378,"Verlander, Justin",2024-04-19,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-20,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-21,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-22,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-23,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-24,78,5.109,-0.05167,0.4761,0.2718,0.4771,0.7692,0.0,0.7692,0.4591
434378,"Verlander, Justin",2024-04-25,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-04-26,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-04-27,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-04-28,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-04-29,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-04-30,173,4.993,-0.05585,0.4819,0.2785,0.4715,0.9538,0.3468,0.6069,0.3811
434378,"Verlander, Justin",2024-05-01,270,4.959,-0.05711,0.4771,0.2707,0.4809,0.7222,0.3889,0.7222,0.4819
434378,"Verlander, Justin",2024-05-02,270,4.959,-0.05711,0.4771,0.2707,0.4809,0.7222,0.3889,0.7222,0.4819
434378,"Verlander, Justin",2024-05-03,270,4.959,-0.05711,0.4771,0.2707,0.4809,0.7222,0.3889,0.7222,0.4819
434378,"Verlander, Justin",2024-05-04,270,4.959,-0.05711,0.4771,0.2707,0.4809,0.7222,0.3889,0.7222,0.4819
