pitcher,seasons_used,h1_gs,h2_gs,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,rank,xfp_rp3_per_start_sched,gs_to,category
608566,5,89,61,9.512,11.333,1.82,19.1,"Márquez, Germán",179.0,5.87,6.0,BACK-LOADED
647336,4,41,19,10.459,12.421,1.963,18.8,"Soroka, Michael",94.0,9.76,6.0,BACK-LOADED
592717,4,47,13,5.691,6.762,1.07,18.8,,,,,BACK-LOADED
621111,6,78,60,12.071,14.318,2.248,18.6,"Buehler, Walker",165.0,7.56,6.0,BACK-LOADED
621121,4,40,23,12.677,14.97,2.292,18.1,"McCullers Jr., Lance",145.0,8.13,6.0,BACK-LOADED
681190,2,30,16,7.117,8.4,1.283,18.0,"Vásquez, Randy",87.0,9.78,6.0,BACK-LOADED
682847,3,26,19,8.996,10.595,1.599,17.8,,,,,BACK-LOADED
642232,6,31,25,7.939,9.248,1.309,16.5,,,,,BACK-LOADED
663903,5,77,67,9.468,11.013,1.546,16.3,"Singer, Brady",143.0,8.15,7.0,BACK-LOADED
467100,2,33,30,7.633,8.863,1.23,16.1,,,,,BACK-LOADED
594835,5,74,56,9.339,10.827,1.488,15.9,,,,,BACK-LOADED
670950,2,28,20,9.039,10.475,1.436,15.9,,,,,BACK-LOADED
666200,5,60,52,11.415,13.194,1.779,15.6,"Luzardo, Jesús",11.0,14.65,7.0,BACK-LOADED
500779,7,88,84,9.385,10.751,1.366,14.6,"Quintana, Jose",166.0,7.17,5.0,BACK-LOADED
656427,7,89,74,12.429,14.23,1.801,14.5,"Flaherty, Jack",110.0,9.22,7.0,BACK-LOADED
458681,6,91,75,10.957,12.467,1.51,13.8,,,,,BACK-LOADED
650644,6,60,62,9.937,11.292,1.355,13.6,"Civale, Aaron",125.0,8.76,7.0,BACK-LOADED
676440,3,48,39,11.812,13.341,1.529,12.9,"Bibee, Tanner",57.0,11.03,7.0,BACK-LOADED
656849,5,60,46,9.225,10.404,1.179,12.8,"Peterson, David",109.0,9.22,5.0,BACK-LOADED
625643,4,51,48,10.171,11.444,1.273,12.5,"López, Reynaldo",89.0,9.89,5.0,BACK-LOADED
622491,7,119,97,12.486,13.973,1.487,11.9,"Castillo, Luis",71.0,10.17,7.0,BACK-LOADED
669432,4,55,36,10.475,11.711,1.237,11.8,"Rogers, Trevor",63.0,10.55,6.0,BACK-LOADED
668678,6,73,88,12.53,14.005,1.474,11.8,"Gallen, Zac",117.0,8.74,7.0,BACK-LOADED
682243,3,39,35,11.197,12.5,1.303,11.6,,,,,BACK-LOADED
671106,3,46,25,8.107,9.028,0.921,11.4,,,,,BACK-LOADED
641927,5,61,50,10.97,12.158,1.188,10.8,"Ober, Bailey",99.0,9.62,7.0,BACK-LOADED
527054,3,44,28,10.441,11.554,1.113,10.7,,,,,BACK-LOADED
474463,3,30,38,7.733,8.561,0.827,10.7,,,,,BACK-LOADED
622072,6,65,39,9.249,10.203,0.953,10.3,,,,,BACK-LOADED
605488,3,27,35,10.4,11.343,0.943,9.1,"Springs, Jeffrey",81.0,10.05,7.0,BACK-LOADED
669456,6,71,51,14.782,16.073,1.291,8.7,,,,,BACK-LOADED
