rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
122,"Bennett, Jake",10.025786143965902,data_driven_full,12,11.774999999999999,4,5.514450713050818,7.7,19.8,11.774999999999999,16.650000000000002,2026-08-02,-4.8750000000000036
123,"Abel, Mick",10.016348697262664,marcel_il,3,14.700000000000001,3,15.852760012060992,-2.8,28.1,9.275,14.700000000000001,2026-04-14,0.0
124,"Boyd, Matthew",9.965188327321016,data_driven_full,13,15.25,4,6.02245796996542,7.0,21.1,15.25,12.95,2026-08-03,2.3000000000000007
125,"Senga, Kodai",9.957727185916273,data_driven_full,8,0.825,4,5.802513823048306,-4.9,7.2,2.8,1.9375,2026-08-06,-1.1125
127,"Gasser, Robert",9.953413069554502,data_driven_full,12,8.925,4,12.713870378448885,-10.1,16.5,8.925,12.775,2026-08-01,-3.8499999999999996
128,"Kershaw, Clayton",9.95,marcel_il,0,,0,,,,,,,
129,"Horton, Cade",9.896677957253962,marcel_il,2,9.1,2,9.616652224137047,2.3,15.9,9.1,9.1,2026-04-03,0.0
130,"Manaea, Sean",9.855242467938297,data_driven_full,10,9.700000000000001,4,3.746998799039039,4.4,12.8,9.700000000000001,8.625,2026-08-04,1.075000000000001
131,"Pepiot, Ryan",9.85,marcel_il,0,,0,,,,,,,
132,"Hughes, Gabriel",9.846388114581826,data_driven_thin,5,9.8,4,4.125530268947253,4.5,13.5,9.8,10.8,2026-08-04,-1.0
133,"Singer, Brady",9.841213548444737,data_driven_full,22,13.8,4,5.801723881744115,7.3,21.1,13.8,14.037500000000001,2026-08-04,-0.2375000000000007
135,"Roupp, Landen",9.830991853972884,data_driven_full,22,9.350000000000001,4,11.805789540164888,-2.9,20.1,9.350000000000001,10.025,2026-08-02,-0.6749999999999989
138,"Liberatore, Matthew",9.745664850412274,data_driven_full,22,12.575000000000001,4,11.962824359935519,1.1,24.8,12.575000000000001,7.675000000000001,2026-08-02,4.9
139,"Houck, Tanner",9.73,marcel_il,0,,0,,,,,,,
140,"Olson, Reese",9.72,marcel_il,0,,0,,,,,,,
141,"Sandlin, David",9.712040005253115,data_driven_thin,4,9.266666666666667,3,17.44285909285899,-10.8,20.8,8.2,9.266666666666667,2026-06-26,0.0
145,"Montero, Keider",9.64827664087414,data_driven_full,18,13.45,4,11.5569603846917,-3.7,20.6,11.925,13.8875,2026-08-02,-0.4375
147,"Kremer, Dean",9.642540893408372,data_driven_full,8,3.175,4,9.205931059195843,-9.8,11.5,3.175,8.4125,2026-08-05,-5.2375
148,"Schmidt, Clarke",9.64,marcel_il,0,,0,,,,,,,
149,"Crawford, Kutter",9.62,marcel_il,0,,0,,,,,,,
150,"López, Reynaldo",9.619630783638335,marcel_il,11,9.25,4,9.143850392476901,-1.7,18.7,9.25,7.025,2026-07-26,2.2249999999999996
151,"Warren, Will",9.615873843451624,data_driven_full,22,9.5,4,12.304741633478805,-5.1,25.0,7.425000000000001,7.525,2026-08-05,1.9749999999999996
152,"Herz, DJ",9.6,marcel_il,0,,0,,,,,,,
153,"Nelson, Ryne",9.592253357279713,marcel_il,14,6.0,4,11.547294055318762,-9.8,15.1,6.0,12.075,2026-06-15,-6.074999999999999
155,"Berríos, José",9.58,marcel_il,0,,0,,,,,,,
156,"Pallante, Andre",9.565345669323555,data_driven_full,22,15.05,4,9.03935838431025,7.6,28.1,15.05,11.025,2026-08-05,4.025
157,"Ginn, J.T.",9.56017570703266,marcel_il,20,9.8,4,11.77030161040914,-4.7,23.9,9.8,10.275,2026-08-04,-0.47499999999999964
158,"Eflin, Zach",9.56,marcel_il,0,11.1,1,,11.1,11.1,11.1,11.1,2026-03-31,0.0
159,"Pfaadt, Brandon",9.480741822717505,data_driven_full,10,14.125,4,6.3231716725073985,7.8,20.1,14.125,13.625,2026-08-03,0.5
161,"Priester, Quinn",9.46,marcel_il,0,,0,,,,,,,
162,"Canning, Griffin",9.447531985464176,data_driven_full,11,3.3249999999999997,4,5.153882032022076,-2.5,9.4,4.025,7.475,2026-08-05,-4.15
163,"Hart, Kyle",9.425450427087975,data_driven_thin,4,6.9,4,3.5242020373412193,3.6,10.9,8.775,6.9,2026-08-05,0.0
164,"Matthews, Zebby",9.408798997794138,data_driven_full,14,3.5,4,12.424974849069113,-14.1,13.5,3.5,8.8,2026-07-31,-5.300000000000001
165,"Urías, Julio",9.4,marcel_il,0,,0,,,,,,,
166,"Abbott, Andrew",9.392062811725872,data_driven_full,24,11.775,4,6.696454285664915,3.5,19.8,11.775,10.15,2026-08-06,1.625
168,"Taillon, Jameson",9.328521474929993,data_driven_full,16,0.5,4,4.880573736764972,-5.8,5.3,0.5,2.5374999999999996,2026-08-05,-2.0374999999999996
169,"Dollander, Chase",9.27575817286647,marcel_il,5,8.7,3,16.110865898517062,-8.7,23.1,5.925000000000002,8.7,2026-05-14,0.0
171,"Dunning, Dane",9.25,marcel_il,0,,0,,,,,,,
172,Eduardo Rivera,9.249078230622574,data_driven_thin,2,0.6666666666666661,3,10.981954895797621,-9.8,12.1,3.75,0.6666666666666661,2026-07-22,0.0
173,"Sandoval, Patrick",9.244601054512884,data_driven_thin,5,8.475,4,3.803835783346419,3.5,11.5,8.475,9.040000000000001,2026-08-04,-0.5650000000000013
174,"Rocker, Kumar",9.240034627354143,data_driven_full,19,11.525,4,11.117366294826008,-0.3,22.8,11.525,9.2,2026-08-02,2.325000000000001
175,"Freeland, Kyle",9.191314818595648,data_driven_full,20,13.225000000000001,4,11.490974719317766,2.6,28.7,13.225000000000001,10.8625,2026-08-02,2.3625000000000007
176,"Clevinger, Mike",9.18,marcel_il,0,,0,,,,,,,
177,"Miley, Wade",9.17,marcel_il,0,,0,,,,,,,
178,"Bello, Brayan",9.152516602243155,data_driven_full,9,-8.225,4,6.3379150094227885,-17.0,-1.9,10.825,-2.7874999999999996,2026-08-06,-5.4375
180,"Bergert, Ryan",9.09,marcel_il,0,,0,,,,,,,
181,"Smith, Shane",9.06693640082194,data_driven_thin,3,-1.1666666666666672,3,13.254936187448559,-13.1,13.1,-1.1666666666666672,-1.1666666666666672,2026-04-07,0.0
183,"Cecconi, Slade",9.010919275346264,data_driven_full,21,1.275,4,2.9624033036258473,-1.9,4.4,-0.4249999999999998,7.4875,2026-08-06,-6.2125
184,"Kay, Anthony",9.010680700721952,data_driven_full,21,10.799999999999999,4,3.868677637987775,7.2,15.9,10.799999999999999,10.3625,2026-08-02,0.4374999999999982
185,"Boyle, Joe",8.978519926093956,data_driven_thin,3,10.899999999999999,3,9.19945650568554,0.3,16.8,10.899999999999999,10.899999999999999,2026-04-08,0.0
186,"Darvish, Yu",8.96,marcel_il,0,,0,,,,,,,
187,"Rea, Colin",8.951199972930247,data_driven_full,19,13.225000000000001,4,5.065158766843674,6.5,18.8,13.225000000000001,11.512500000000001,2026-08-02,1.7125000000000004
188,"Cobb, Alex",8.95,marcel_il,0,,0,,,,,,,
189,"Leahy, Kyle",8.949209827203328,data_driven_full,21,15.325,4,3.6563871056914454,10.9,18.8,15.325,15.5,2026-07-31,-0.1750000000000007
190,"Alvarez, Andrew",8.893037032172133,data_driven_full,8,6.050000000000001,4,6.321128591214284,1.3,14.9,5.525,8.025,2026-08-03,-1.9749999999999996
191,"Lopez, Jacob",8.865653656558917,data_driven_full,15,13.975,4,2.617091260668352,10.3,16.5,13.975,6.825000000000001,2026-08-05,7.149999999999999
192,"Ortiz, Luis",8.84,marcel_il,0,,0,,,,,,,
193,"Phillips, Tyler",8.822123849725099,data_driven_full,12,6.15,4,6.2766764028956175,-2.7,11.5,6.15,7.2625,2026-08-01,-1.1124999999999998
194,"France, J.P.",8.82,marcel_il,0,,0,,,,0.6666666666666665,,2026-04-17,
195,"Painter, Andrew",8.792603118914698,data_driven_full,14,3.0,4,12.094075684675811,-10.4,15.8,4.025,6.15,2026-08-05,-3.1500000000000004
196,"Rangel, Alan",8.78403463223583,data_driven_thin,3,3.4666666666666663,3,7.015221545563143,-3.8,10.2,3.3999999999999995,3.4666666666666663,2026-07-19,0.0
197,"Irvin, Jake",8.764258292969263,data_driven_full,13,11.200000000000001,4,8.417046196063477,2.5,22.5,11.200000000000001,8.55,2026-08-05,2.6500000000000004
198,"Kolek, Stephen",8.758767915591473,marcel_il,10,0.6999999999999997,4,19.44856464283847,-23.5,22.2,0.6999999999999997,9.124999999999998,2026-07-02,-8.424999999999999
201,"Dobbins, Hunter",8.732334634122209,data_driven_thin,5,11.375,4,5.429165067792039,6.3,17.8,11.45,10.16,2026-08-04,1.2149999999999999
203,"Gibson, Kyle",8.71,marcel_il,0,,0,,,,,,,
204,"Civale, Aaron",8.705421321120632,data_driven_full,15,1.0000000000000002,4,8.295782060782456,-11.1,7.2,5.525,2.2125,2026-08-06,-1.2124999999999997
205,"McDonald, Trevor",8.69904850420118,marcel_il,14,6.45,4,20.173993159511085,-20.3,23.8,6.45,4.9875,2026-07-20,1.4625000000000004
206,"Verlander, Justin",8.68,marcel_il,0,-4.9,1,,-4.9,-4.9,-4.9,-4.9,2026-03-30,0.0
207,"Peterson, David",8.673822249588106,data_driven_full,15,16.025,4,7.163507055439628,7.5,22.0,16.025,8.95,2026-08-06,7.074999999999999
208,"Ober, Bailey",8.665961282180872,data_driven_full,17,8.1,4,7.08143111713068,-1.8,13.6,8.1,5.9125,2026-08-06,2.1875
210,"Javier, Cristian",8.641351955459148,data_driven_thin,5,0.025000000000000355,4,7.255974549753236,-8.9,8.8,8.625,-1.0999999999999996,2026-08-03,1.125
212,"Povich, Cade",8.628526211398103,data_driven_thin,4,8.975,4,12.051106449893581,-1.8,20.0,8.975,8.975,2026-08-04,0.0
213,"Schultz, Noah",8.608119857507496,data_driven_full,13,3.275,4,8.625688378326682,-6.9,13.5,6.775,3.8125,2026-08-01,-0.5375000000000001
214,"Buehler, Walker",8.590895869192128,data_driven_full,23,7.949999999999999,4,6.510760324263211,-0.7,14.6,7.949999999999999,3.3374999999999995,2026-08-06,4.6125
217,"Young, Brandon",8.525591951599802,data_driven_full,19,13.5,4,8.382521498133283,4.3,22.1,13.5,11.7,2026-08-06,1.8000000000000007
218,"Keller, Mitch",8.518396620003836,marcel_il,22,3.15,4,13.939033921569552,-15.4,16.5,3.15,6.324999999999999,2026-08-02,-3.1749999999999994
219,"Oviedo, Johan",8.51,marcel_il,0,,0,,,,-0.9,,2026-03-30,
220,"Sears, JP",8.504535537867266,data_driven_thin,6,9.1,4,8.954700813911465,-0.9,18.5,5.2250000000000005,7.583333333333335,2026-08-02,1.5166666666666648
