rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
329,"Williams, Trevor",6.61,marcel_il,0,,0,,,,5.2,,2026-08-06,
328,"Kopech, Michael",6.61,marcel_il,0,,0,,,,,,,
330,"Gordon, Colton",6.59,marcel_il,0,0.1,1,,0.1,0.1,-1.8000000000000003,0.1,2026-04-24,0.0
335,"McKenzie, Triston",6.49,marcel_il,0,,0,,,,,,,
336,"Williamson, Brandon",6.424992254677656,marcel_il,6,0.9999999999999997,4,5.952590472502987,-3.7,9.6,0.9999999999999997,4.0666666666666655,2026-04-29,-3.066666666666666
337,"Cannon, Jonathan",6.36,marcel_il,0,,0,,,,-5.0,,2026-04-12,
338,"Mikolas, Miles",6.273035885857086,data_driven_full,12,-0.675,4,5.3897278842875425,-7.5,4.8,0.1499999999999999,3.525,2026-08-06,-4.2
340,"Woods Richardson, Simeon",6.233561204306972,data_driven_full,10,-4.8999999999999995,4,5.1788029504896205,-12.1,-0.7,5.45,-3.0125,2026-06-25,-1.8874999999999993
341,"Sullivan, Sean",6.164905871239967,marcel_il,5,-2.8,4,6.845436436049932,-11.8,3.5,-2.8,-0.4600000000000001,2026-07-04,-2.34
342,"Maeda, Kenta",6.13,marcel_il,0,,0,,,,,,,
343,"Márquez, Germán",6.053694808616001,data_driven_full,10,6.074999999999999,4,5.948879446304713,0.9,14.5,3.6000000000000005,6.475,2026-08-04,-0.40000000000000036
345,"Sugano, Tomoyuki",5.895849168847596,data_driven_full,20,11.75,4,4.288356328478313,6.5,17.0,11.75,7.9125,2026-08-05,3.8375000000000004
346,"Walker, Taijuan",5.880667033499054,data_driven_thin,4,0.15000000000000013,4,9.781104232140663,-7.8,12.5,1.3499999999999999,0.15000000000000013,2026-04-22,0.0
347,"Hill, Rich",5.63,marcel_il,0,,0,,,,,,,
348,"Gomber, Austin",5.57,marcel_il,0,,0,,,,,,,
350,"Flexen, Chris",5.01,marcel_il,0,,0,,,,,,,
353,"Wentz, Joey",4.64,marcel_il,0,,0,,,,,,,
355,"Hudson, Dakota",4.07,marcel_il,0,,0,,,,,,,
360,"Blalock, Bradley",0.5,marcel_il,0,,0,,,,,,,
