pid,name,own,team,rp3,adj,delta,note,stuff,pl,dq,inj
691587,Eury Perez,MINE,Mia,13.341541144630575,15.262500000000001,1.9209588553694257,ABS 06-24 n=11,14.8,22,data_driven_full,
607192,Tyler Glasnow,MINE,LAD,14.200828251169543,14.200828251169543,0.0,,13.6,19,data_driven_full,
656876,Drew Rasmussen,MINE,TB,13.71799897647351,13.71799897647351,0.0,,13.8,6,data_driven_full,
682052,Jacob Lopez,FA,Oak,9.5881092669345,13.409999999999998,3.821890733065498,ABS 07-10 n=8,10.6,38,data_driven_full,
641816,Tyler Mahle,FA,Atl,11.118831241392398,13.298125,2.179293758607603,ABS 06-24 n=11,9.7,57,data_driven_full,
608331,Max Fried,MINE,NYY,13.012031122839758,13.012031122839758,0.0,,13.1,,data_driven_full,FIFTEEN_DAY_DL
672282,Reid Detmers,MINE,LAA,12.957711187141776,12.957711187141776,0.0,,13.0,28,data_driven_full,
684007,Shota Imanaga,MINE,ChC,12.862656773060884,12.862656773060884,0.0,[SEA unvalidated],11.1,42,data_driven_full,
800048,Parker Messick,MINE,Cle,12.79518785307936,12.79518785307936,0.0,,12.0,18,data_driven_full,
682243,Bryce Miller,FA,Sea,12.543076919869623,12.543076919869623,0.0,[SEA unvalidated],13.2,80,data_driven_full,
701656,Logan Henderson,MINE,Mil,12.474678780131566,12.474678780131566,0.0,,13.2,15,data_driven_full,
605400,Aaron Nola,FA,Phi,12.143795217284817,12.143795217284817,0.0,,12.6,88,data_driven_full,
667755,Jose Soriano,MINE,Tor,12.129480529423711,12.129480529423711,0.0,[SEA unvalidated],11.9,75,data_driven_full,
693855,Ian Seymour,FA,TB,12.083556740163903,12.083556740163903,0.0,,12.1,41,data_driven_full,
700712,Walbert Urena,FA,LAA,11.940611203609173,11.940611203609173,0.0,,12.0,40,data_driven_full,
676282,Joey Cantillo,FA,Cle,11.78822279087892,11.78822279087892,0.0,,11.8,54,data_driven_full,
808963,Roki Sasaki,FA,LAD,11.574390432701025,11.574390432701025,0.0,,13.7,74,data_driven_full,
643377,Griffin Jax,FA,TB,11.489524417083024,11.489524417083024,0.0,,11.5,61,data_driven_full,FIFTEEN_DAY_DL
680694,Kyle Bradish,FA,Bal,11.448207653658178,11.448207653658178,0.0,,11.7,51,data_driven_full,
607074,Carlos Rodon,FA,NYY,11.39791928892439,11.39791928892439,0.0,,13.2,34,data_driven_full,
622491,Luis Castillo,FA,ChW,11.259422772813966,11.259422772813966,0.0,[SEA unvalidated],10.9,,data_driven_full,
702070,Noah Cameron,MINE,KC,11.146783550079483,11.146783550079483,0.0,[SEA unvalidated],11.2,50,data_driven_full,
675660,Shane Drohan,FA,Mil,11.061974295658308,11.061974295658308,0.0,,12.1,84,data_driven_full,
681035,Christian Scott,FA,NYM,11.013962500624949,11.013962500624949,0.0,,13.4,59,data_driven_full,
623454,Drew Anderson,FA,Det,10.871163212473885,10.871163212473885,0.0,,13.7,,data_driven_thin,
696149,Bubba Chandler,FA,Pit,10.718216292995075,10.718216292995075,0.0,,11.6,81,data_driven_full,
676106,Emerson Hancock,FA,Sea,10.639653256967373,10.639653256967373,0.0,,12.0,49,data_driven_full,
665152,Dean Kremer,FA,Min,10.490615346901704,10.490615346901704,0.0,,10.4,94,data_driven_full,
640455,Sean Manaea,FA,NYM,10.489354891824158,10.489354891824158,0.0,[SEA unvalidated],12.8,60,data_driven_full,
669160,Dustin May,FA,Mil,10.458264733871257,10.458264733871257,0.0,[SEA unvalidated],11.8,39,data_driven_full,
669330,Tyler Wells,FA,TB,10.41,10.41,0.0,,10.4,,marcel_il,
687570,Connor Prielipp,FA,Min,10.25598611982988,10.25598611982988,0.0,,12.2,77,data_driven_full,
671096,Andrew Abbott,FA,Cin,10.207674783334651,10.207674783334651,0.0,,10.1,,data_driven_full,
678022,Jack Perkins,FA,Oak,10.175397914074832,10.175397914074832,0.0,,10.2,,data_driven_full,
681517,Kyle Leahy,FA,StL,9.983891375965964,9.983891375965964,0.0,,10.0,,data_driven_full,
694738,Landen Roupp,FA,SF,9.965533535671629,9.965533535671629,0.0,,11.4,79,data_driven_full,
656794,Sean Newcomb,FA,ChW,9.95036794681672,9.95036794681672,0.0,,10.0,,data_driven_thin,
663903,Brady Singer,FA,Cin,9.93077112464823,9.93077112464823,0.0,,9.9,,data_driven_full,
669372,J.T. Ginn,FA,Oak,9.878079339114612,9.878079339114612,0.0,,10.7,,data_driven_full,
669461,Matthew Liberatore,FA,StL,9.777463986920662,9.777463986920662,0.0,,11.2,,data_driven_full,
663969,Tyler Phillips,FA,Mia,9.751656305323184,9.751656305323184,0.0,,9.8,,data_driven_full,
680736,Justin Wrobleski,FA,LAD,9.741009391345592,9.741009391345592,0.0,,9.7,,data_driven_full,FIFTEEN_DAY_DL
672456,Keider Montero,FA,Det,9.73091648880362,9.73091648880362,0.0,,10.0,95,data_driven_full,
701542,Will Warren,FA,NYY,9.719589742322515,9.719589742322515,0.0,[SEA unvalidated],12.0,70,data_driven_full,
680570,Grayson Rodriguez,FA,LAA,9.700570498818774,9.700570498818774,0.0,,11.6,,data_driven_full,
592662,Robbie Ray,FA,SD,9.65945620268339,9.65945620268339,0.0,,10.4,47,data_driven_full,
688107,Robert Gasser,FA,Mil,9.506310000555075,9.506310000555075,0.0,,12.1,,data_driven_full,
571510,Matthew Boyd,FA,ChC,9.44069108912471,9.44069108912471,0.0,,10.6,72,data_driven_full,
805673,Zebby Matthews,FA,Min,9.433355025771489,9.433355025771489,0.0,[SEA unvalidated],10.4,89,data_driven_full,
