pid,name,own,team,rp3,adj,delta,note,stuff,pl,dq,inj
641743,Anthony Kay,FA,ChW,9.403932852381525,9.403932852381525,0.0,,11.9,87,data_driven_full,
689818,David Sandlin,FA,ChW,9.346525668416936,9.346525668416936,0.0,,9.3,,data_driven_thin,
663738,Daniel Lynch IV,FA,KC,9.16166150601762,9.16166150601762,0.0,,9.2,,data_driven_thin,
677958,Kumar Rocker,FA,Tex,9.060858426514685,9.060858426514685,0.0,,10.3,99,data_driven_full,
621111,Walker Buehler,FA,SD,8.942210120242656,8.942210120242656,0.0,[SEA unvalidated],10.5,,data_driven_full,
663776,Patrick Sandoval,FA,Bos,8.846768673479481,8.846768673479481,0.0,,11.7,,data_driven_full,
571927,Steven Matz,FA,TB,8.769348741756561,8.769348741756561,0.0,,8.8,,data_driven_full,
695418,Brad Lord,FA,Wsh,8.668734794792414,8.668734794792414,0.0,,8.7,,data_driven_thin,
641927,Bailey Ober,FA,Min,8.617930155529034,8.617930155529034,0.0,,9.2,,data_driven_full,
669438,Mason Englert,FA,TB,8.39106919937823,8.39106919937823,0.0,,8.4,,data_driven_thin,
687064,Brandon Young,FA,Bal,8.37299351439842,8.37299351439842,0.0,,10.9,,data_driven_full,
679883,Luinder Avila,FA,KC,8.369762049303702,8.369762049303702,0.0,,8.4,,data_driven_full,SIXTY_DAY_DL
806185,Hayden Birdsong,FA,SF,8.29,8.29,0.0,,8.3,,marcel_il,SIXTY_DAY_DL
696270,Ryan Johnson,FA,LAA,8.111841131075954,8.111841131075954,0.0,,8.1,,data_driven_full,
676083,Janson Junk,FA,Mia,7.692925413746339,7.692925413746339,0.0,,10.4,,data_driven_full,
669387,Carmen Mlodzinski,FA,Pit,7.66575063932228,7.66575063932228,0.0,,7.7,,data_driven_full,
676272,Bobby Miller,FA,LAD,7.18,7.18,0.0,,12.5,,marcel_il,SIXTY_DAY_DL
702474,Mike Paredes,FA,Min,6.812321638730323,6.812321638730323,0.0,,6.8,,data_driven_thin,SIXTY_DAY_DL
663474,Triston McKenzie,FA,SD,6.48,6.48,0.0,,6.5,,marcel_il,
663623,Jake Irvin,FA,Wsh,9.155779941622002,6.01,-3.1457799416220027,ABS 07-30 n=5,11.0,,data_driven_full,
666214,Joey Wentz,FA,Atl,4.63,4.63,0.0,,4.6,,marcel_il,SIXTY_DAY_DL
