player_name,pitcher,pitches,confidence,plv,plv_pctile,swing_pct,whiff_pct,cs_pct,xwoba_model,rolling_plv_30d,rolling_pitches_30d,rolling_trend_pitcher,tag
Aroldis Chapman,547973,972,Tier B,5.782,100.0,0.549,0.4,0.503,0.336,5.744,40,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Josh Hader,623352,876,Tier B,5.757,99.9,0.492,0.423,0.458,0.332,5.982,36,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Trevor Megill,656730,841,Tier B,5.751,99.7,0.536,0.389,0.512,0.332,5.575,67,hot,PLV elite (top 10%); rolling also strong; recent form improving
Jeremiah Estrada,669093,1290,Tier A,5.683,99.6,0.528,0.416,0.477,0.325,5.007,30,flat,PLV elite (top 10%); elite whiff rate
Randy Rodríguez,678495,826,Tier B,5.678,99.5,0.487,0.385,0.512,0.338,5.528,38,hot,PLV elite (top 10%); rolling also strong; recent form improving
Jacob Misiorowski,694819,1348,Tier A,5.66,99.3,0.544,0.397,0.52,0.335,5.686,184,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Mason Montgomery,682254,876,Tier B,5.659,99.2,0.517,0.412,0.489,0.33,5.771,32,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
A. J. Puk,640462,180,Tier C,5.64,99.0,0.552,0.377,0.548,0.355,5.81,21,hot,PLV elite (top 10%); rolling also strong; recent form improving
Reid Detmers,672282,1082,Tier A,5.637,98.9,0.502,0.339,0.512,0.337,5.148,35,flat,PLV elite (top 10%)
Tanner Scott,656945,914,Tier B,5.635,98.8,0.538,0.401,0.507,0.342,5.679,39,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Paul Sewald,623149,330,Tier C,5.617,98.6,0.527,0.368,0.534,0.35,5.092,22,flat,PLV elite (top 10%)
Wander Suero,593833,142,Tier C,5.602,98.5,0.479,0.354,0.444,0.324,5.504,31,hot,PLV elite (top 10%); rolling also strong; recent form improving
Chase Burns,695505,777,Tier B,5.593,98.4,0.529,0.39,0.491,0.328,5.559,46,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Mason Miller,695243,1027,Tier A,5.581,98.2,0.486,0.419,0.448,0.325,5.811,40,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Devin Williams,642207,1212,Tier A,5.581,98.1,0.503,0.41,0.442,0.326,5.712,49,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Félix Bautista,642585,626,Tier B,5.56,97.9,0.472,0.394,0.445,0.314,4.907,34,flat,PLV elite (top 10%); elite whiff rate
Freddy Peralta,642547,3362,Tier A,5.541,97.8,0.474,0.411,0.454,0.331,5.4,276,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Ronny Henriquez,678692,1158,Tier A,5.515,97.7,0.481,0.45,0.461,0.323,5.499,23,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Louis Varland,686973,1343,Tier A,5.512,97.5,0.511,0.404,0.517,0.334,5.625,250,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Bryan Abreu,650556,1205,Tier A,5.511,97.4,0.462,0.421,0.441,0.329,4.876,20,flat,PLV elite (top 10%); elite whiff rate
Jacob Degrom,594798,2684,Tier A,5.495,97.3,0.51,0.405,0.492,0.329,5.498,74,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Shelby Miller,571946,712,Tier B,5.494,97.1,0.498,0.365,0.493,0.344,5.523,40,hot,PLV elite (top 10%); rolling also strong; recent form improving
Cade Smith,671922,1257,Tier A,5.48,97.0,0.538,0.371,0.494,0.342,5.471,58,hot,PLV elite (top 10%); rolling also strong; recent form improving
Hunter Greene,668881,1897,Tier A,5.475,96.8,0.551,0.381,0.522,0.332,5.146,65,flat,PLV elite (top 10%)
Erik Sabrowski,681870,534,Tier B,5.471,96.7,0.472,0.352,0.478,0.335,5.163,31,flat,PLV elite (top 10%)
Yimi García,554340,379,Tier C,5.456,96.6,0.492,0.361,0.523,0.336,5.578,34,hot,PLV elite (top 10%); rolling also strong; recent form improving
Mason Fluharty,689254,1009,Tier A,5.453,96.4,0.453,0.399,0.449,0.316,5.497,138,hot,PLV elite (top 10%); elite whiff rate; rolling also strong; recent form improving
Payton Tolle,801139,311,Tier C,5.44,96.3,0.504,0.33,0.54,0.355,5.898,67,hot,PLV elite (top 10%); rolling also strong; recent form improving
