metric,min_tbf,z_gate,trigger,n,fire_pct,mae_base,mae_adj,gain
fp,60,3.0,search,2202,0.9082652134423251,3.35542642677085,3.3540459890867758,0.00138043768407396
k_pct,80,1.5,absence,2202,0.49954586739327883,3.35542642677085,3.354078000695134,0.0013484260757154554
k_pct,100,1.5,absence,2202,0.49954586739327883,3.35542642677085,3.354078000695134,0.0013484260757154554
k_minus_bb,150,3.5,search,2202,5.358764759309718,3.35542642677085,3.354208044371602,0.001218382399247647
k_minus_bb,40,2.0,absence,2202,2.9064486830154403,3.35542642677085,3.354353614409409,0.0010728123614408716
k_pct,150,1.5,absence,2202,0.09082652134423251,3.35542642677085,3.354560709943523,0.0008657168273268927
fp,100,3.0,search,2202,0.8628519527702089,3.35542642677085,3.354594073243511,0.0008323535273387615
fp,80,3.0,search,2202,0.8628519527702089,3.35542642677085,3.354666321612762,0.0007601051580876299
k_minus_bb,100,3.0,absence,2202,0.09082652134423251,3.35542642677085,3.3548676061456324,0.0005588206252173077
k_minus_bb,40,3.0,absence,2202,0.7266121707538601,3.35542642677085,3.3550748723966852,0.0003515543741644918
k_minus_bb,100,3.5,absence,2202,0.045413260672116255,3.35542642677085,3.355247823217646,0.00017860355320366286
k_pct,40,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,40,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,40,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,60,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,60,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,60,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,80,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,80,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,80,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,100,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,100,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,100,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,150,2.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,150,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,150,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_pct,150,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_minus_bb,150,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
k_minus_bb,150,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,40,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,40,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,60,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,60,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,60,3.5,search,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,80,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,80,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,80,3.5,search,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,100,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,100,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,100,3.5,search,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,150,2.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,150,3.0,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,150,3.5,absence,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,150,3.5,search,2202,0.0,3.35542642677085,3.35542642677085,0.0
fp,150,1.5,absence,2202,0.3178928247048138,3.35542642677085,3.355736984443413,-0.000310557672563037
k_minus_bb,150,2.5,absence,2202,0.09082652134423251,3.35542642677085,3.355797478271571,-0.00037105150072168705
k_minus_bb,80,3.0,absence,2202,0.1362397820163488,3.35542642677085,3.356136181430727,-0.0007097546598772804
fp,150,2.0,absence,2202,0.09082652134423251,3.35542642677085,3.3561396335423317,-0.0007132067714819203
k_minus_bb,80,3.5,absence,2202,0.09082652134423251,3.35542642677085,3.3565163985027406,-0.0010899717318909252
k_minus_bb,60,3.5,absence,2202,0.45413260672116257,3.35542642677085,3.356525241560117,-0.0010988147892669975
k_minus_bb,60,3.0,absence,2202,0.5903723887375113,3.35542642677085,3.35653999191613,-0.0011135651452803344
k_pct,80,2.0,absence,2202,0.09082652134423251,3.35542642677085,3.3565590737795774,-0.0011326470087279035
k_pct,100,2.0,absence,2202,0.09082652134423251,3.35542642677085,3.3565590737795774,-0.0011326470087279035
k_pct,100,3.5,search,2202,0.6811989100817438,3.35542642677085,3.3566720690323173,-0.0012456422614674897
k_pct,150,3.0,search,2202,1.4986376021798364,3.35542642677085,3.356689039055065,-0.0012626122842155814
k_pct,60,2.0,absence,2202,0.18165304268846502,3.35542642677085,3.356954041207604,-0.0015276144367544723
fp,60,2.0,absence,2202,0.7720254314259763,3.35542642677085,3.3570056159149173,-0.0015791891440677566
k_pct,40,1.5,absence,2202,1.3623978201634876,3.35542642677085,3.357752509535447,-0.00232608276459703
k_minus_bb,40,3.5,absence,2202,0.49954586739327883,3.35542642677085,3.3578433073877196,-0.002416880616869842
fp,40,3.5,search,2202,0.045413260672116255,3.35542642677085,3.3586644721765886,-0.0032380454057388086
fp,40,3.0,search,2202,1.1807447774750226,3.35542642677085,3.359119455843608,-0.003693029072758267
fp,40,2.0,absence,2202,0.9082652134423251,3.35542642677085,3.3612382862764325,-0.005811859505582777
k_pct,60,3.5,search,2202,1.044504995458674,3.35542642677085,3.3615362798123236,-0.006109853041473878
k_pct,40,2.0,absence,2202,0.5449591280653951,3.35542642677085,3.3615536107092203,-0.006127183938370465
k_pct,80,3.5,search,2202,0.8628519527702089,3.35542642677085,3.362387764225276,-0.006961337454426101
k_pct,150,2.5,search,2202,5.040871934604905,3.35542642677085,3.3644011972913486,-0.00897477052049874
k_pct,100,3.0,search,2202,2.1798365122615806,3.35542642677085,3.3661558452928557,-0.010729418522005934
k_pct,40,3.5,search,2202,1.1353315168029066,3.35542642677085,3.3662140176814788,-0.01078759091062906
fp,150,2.5,search,2202,2.679382379654859,3.35542642677085,3.3668122766013044,-0.011385849830454972
k_pct,60,3.0,search,2202,3.4968210717529518,3.35542642677085,3.373848397339468,-0.018421970568618613
k_pct,80,3.0,search,2202,2.9518619436875566,3.35542642677085,3.3764177341452086,-0.020991307374359062
k_minus_bb,150,3.0,search,2202,9.35513169845595,3.35542642677085,3.377784219924074,-0.022357793153224535
k_pct,150,2.0,search,2202,12.397820163487738,3.35542642677085,3.381320492954147,-0.025894066183297468
k_pct,60,2.5,search,2202,11.1716621253406,3.35542642677085,3.3822371486449136,-0.026810721874064008
k_pct,150,1.5,search,2202,24.613987284287013,3.35542642677085,3.383000901944617,-0.02757447517376735
k_pct,40,3.0,search,2202,5.040871934604905,3.35542642677085,3.3840162960048255,-0.028589869233976016
k_pct,100,2.5,search,2202,8.083560399636694,3.35542642677085,3.3858665751023187,-0.03044014833146885
k_pct,80,2.5,search,2202,9.854677565849228,3.35542642677085,3.3866675558338835,-0.031241129063033644
k_pct,40,2.5,search,2202,14.30517711171662,3.35542642677085,3.3876206870036,-0.03219426023275028
k_pct,100,1.5,search,2202,41.0535876475931,3.35542642677085,3.393628693611023,-0.03820226684017336
fp,100,2.5,search,2202,4.4959128065395095,3.35542642677085,3.39406060745968,-0.038634180688830164
k_pct,80,2.0,search,2202,24.432334241598546,3.35542642677085,3.3944494145469317,-0.039022987776081985
k_pct,60,2.0,search,2202,28.564940962761128,3.35542642677085,3.395217378561491,-0.0397909517906414
k_minus_bb,100,3.5,search,2202,9.2188919164396,3.35542642677085,3.395830067378623,-0.04040364060777332
k_pct,100,2.0,search,2202,20.799273387829246,3.35542642677085,3.3960514810907494,-0.04062505431989992
k_minus_bb,150,2.5,search,2202,16.98455949137148,3.35542642677085,3.3988300950526185,-0.04340366828176896
k_pct,80,1.5,search,2202,47.229791099000906,3.35542642677085,3.4002572985861024,-0.04483087181525272
k_minus_bb,80,3.5,search,2202,11.444141689373296,3.35542642677085,3.4017318537510564,-0.0463054269802066
fp,80,2.5,search,2202,5.0862851952770205,3.35542642677085,3.40239465672745,-0.04696822995660003
k_minus_bb,150,1.5,search,2202,40.735694822888284,3.35542642677085,3.404234045303963,-0.04880761853311327
k_minus_bb,100,1.5,search,2202,69.57311534968211,3.35542642677085,3.4065085373857054,-0.051082110614855764
k_minus_bb,80,1.5,search,2202,76.70299727520435,3.35542642677085,3.409437681547625,-0.05401125477677534
k_pct,40,2.0,search,2202,33.10626702997275,3.35542642677085,3.413060584670789,-0.05763415789993934
fp,150,2.0,search,2202,8.991825613079019,3.35542642677085,3.414833180864903,-0.059406754094053264
fp,60,2.5,search,2202,6.0399636693914625,3.35542642677085,3.416364117896611,-0.06093769112576113
k_minus_bb,150,2.0,search,2202,28.655767484105358,3.35542642677085,3.4164174478390774,-0.06099102106822767
k_minus_bb,60,3.5,search,2202,14.623069936421436,3.35542642677085,3.420340895847968,-0.06491446907711865
fp,40,2.5,search,2202,6.948228882833788,3.35542642677085,3.4263408245531375,-0.07091439778228764
k_pct,60,1.5,search,2202,54.904632152588555,3.35542642677085,3.4275301147441235,-0.07210368797327386
k_minus_bb,100,3.0,search,2202,17.983651226158038,3.35542642677085,3.429840343705863,-0.0744139169350134
k_minus_bb,60,1.5,search,2202,83.15168029064486,3.35542642677085,3.4314088746656783,-0.07598244789482889
k_minus_bb,100,2.0,search,2202,49.90917347865577,3.35542642677085,3.4314719322318705,-0.07604550546102101
k_minus_bb,60,2.0,search,2202,64.21435059037239,3.35542642677085,3.434970998016346,-0.07954457124549631
k_minus_bb,80,2.5,search,2202,38.101725703905544,3.35542642677085,3.4354354312533952,-0.08000900448254565
k_minus_bb,100,2.5,search,2202,31.88010899182561,3.35542642677085,3.4361238923610578,-0.08069746559020795
k_minus_bb,80,2.0,search,2202,57.17529518619437,3.35542642677085,3.4376251331029777,-0.08219870633212822
k_pct,40,1.5,search,2202,61.39872842870118,3.35542642677085,3.4387079250183583,-0.08328149824750881
k_minus_bb,40,3.5,search,2202,17.892824704813805,3.35542642677085,3.4437137684596113,-0.08828734168876158
k_minus_bb,80,3.0,search,2202,22.70663033605813,3.35542642677085,3.444150556337056,-0.08872412956620639
k_minus_bb,60,3.0,search,2202,28.01998183469573,3.35542642677085,3.4538771285596,-0.09845070178875057
k_minus_bb,40,1.5,search,2202,87.82924613987284,3.35542642677085,3.4540458767074282,-0.09861944993657856
k_minus_bb,60,2.5,search,2202,44.55040871934605,3.35542642677085,3.455102509606111,-0.09967608283526133
k_minus_bb,40,2.0,search,2202,71.52588555858311,3.35542642677085,3.4585827958169206,-0.10315636904607113
k_minus_bb,40,3.0,search,2202,33.333333333333336,3.35542642677085,3.4657333614361434,-0.11030693466529364
fp,100,2.0,search,2202,16.4850136239782,3.35542642677085,3.4699496562184975,-0.11452322944764783
k_minus_bb,40,2.5,search,2202,51.544050862851954,3.35542642677085,3.4762520204699516,-0.12082559369910202
fp,150,1.5,search,2202,22.070844686648503,3.35542642677085,3.488659664873741,-0.13323323810289128
fp,80,2.0,search,2202,19.57311534968211,3.35542642677085,3.502463618484748,-0.14703719171389823
fp,60,2.0,search,2202,23.387829246139873,3.35542642677085,3.54329923906052,-0.18787281228967048
fp,40,2.0,search,2202,28.928247048138058,3.35542642677085,3.553545932272848,-0.19811950550199842
fp,100,1.5,search,2202,40.009082652134424,3.35542642677085,3.591239848207081,-0.23581342143623113
fp,80,1.5,search,2202,47.59309718437784,3.35542642677085,3.61012418924964,-0.25469776247879017
fp,60,1.5,search,2202,55.22252497729337,3.35542642677085,3.6151029449358303,-0.2596765181649808
fp,40,1.5,search,2202,63.26067211625795,3.35542642677085,3.643944957019047,-0.2885185302481971
