metric,min_tbf,z_gate,trigger,n,fire_pct,mae_base,mae_adj,gain
k_minus_bb,100,1.5,absence,2202,1.771117166212534,3.35542642677085,3.3442669584839884,0.011159468286861407
k_minus_bb,80,2.0,absence,2202,1.1807447774750226,3.35542642677085,3.344983168401635,0.010443258369214725
k_minus_bb,100,2.0,absence,2202,0.9990917347865577,3.35542642677085,3.344995245303188,0.010431181467661905
k_minus_bb,80,1.5,absence,2202,2.1798365122615806,3.35542642677085,3.345027117205084,0.010399309565766004
fp,60,1.5,absence,2202,1.8165304268846503,3.35542642677085,3.348592809853493,0.0068336169173563496
fp,80,1.5,absence,2202,1.2261580381471389,3.35542642677085,3.3487994411297497,0.006626985641100051
k_minus_bb,40,1.5,absence,2202,4.405086285195277,3.35542642677085,3.348940991374118,0.006485435396731607
fp,150,3.0,search,2202,0.6811989100817438,3.35542642677085,3.3494040059187897,0.006022420852060101
fp,100,2.0,absence,2202,0.36330608537693004,3.35542642677085,3.3498220600152004,0.005604366755649229
k_minus_bb,60,1.5,absence,2202,3.4968210717529518,3.35542642677085,3.350148220259075,0.005278206511774939
fp,100,1.5,absence,2202,0.9082652134423251,3.35542642677085,3.350332353636514,0.005094073134335516
k_pct,150,3.5,search,2202,0.2724795640326976,3.35542642677085,3.3503771784689067,0.005049248301942982
k_minus_bb,100,2.5,absence,2202,0.4087193460490463,3.35542642677085,3.350697938257973,0.00472848851287694
fp,80,2.5,absence,2202,0.1362397820163488,3.35542642677085,3.350799391152517,0.0046270356183326505
fp,100,2.5,absence,2202,0.1362397820163488,3.35542642677085,3.350799391152517,0.0046270356183326505
k_minus_bb,60,2.0,absence,2202,2.361489554950045,3.35542642677085,3.350820184276043,0.004606242494806796
k_minus_bb,80,2.5,absence,2202,0.5449591280653951,3.35542642677085,3.3508378581637306,0.004588568607119275
fp,40,1.5,absence,2202,2.361489554950045,3.35542642677085,3.3514562415031235,0.003970185267726026
k_minus_bb,150,1.5,absence,2202,0.5903723887375113,3.35542642677085,3.351463278507241,0.003963148263608477
fp,80,2.0,absence,2202,0.49954586739327883,3.35542642677085,3.351714557408351,0.003711869362498747
k_minus_bb,150,2.0,absence,2202,0.3178928247048138,3.35542642677085,3.3522573089899974,0.003169117780852305
k_minus_bb,40,2.5,absence,2202,1.4986376021798364,3.35542642677085,3.3525780314575813,0.0028483953132685353
k_minus_bb,60,2.5,absence,2202,1.3169845594913714,3.35542642677085,3.3530568476950817,0.0023695790757679775
k_pct,60,1.5,absence,2202,0.8628519527702089,3.35542642677085,3.3535850538785317,0.001841372892318118
fp,40,2.5,absence,2202,0.22706630336058128,3.35542642677085,3.3538021496917563,0.0016242770790931957
fp,60,2.5,absence,2202,0.22706630336058128,3.35542642677085,3.3538021496917563,0.0016242770790931957
