mlbam,player_name,role,own,our_total,our_vol,our_rate,cons_mean,cons_std,n_sys,systems,cons_vol,cons_rate,diff,z,vol_ratio,rate_ratio,vol_share,decomp,flag,fg_team,team_games_remaining
656849,"Peterson, David",SP,FA,68.444,8.683,7.882,120.467,9.034,4,ATC+FG-DC+ZiPS+Steamer,10.088,11.954,-52.023,-1.734,0.861,0.659,0.26,RATE,,CHC,64.8
680570,"Rodriguez, Grayson",SP,FA,28.822,3.674,7.845,101.606,21.177,4,ATC+FG-DC+ZiPS+Steamer,9.3,10.86,-72.783,-2.82,0.395,0.722,0.74,VOLUME,MARCEL,LAA,64.8
695684,"Rodríguez, Elmer",SP,FA,36.516,4.666,7.827,38.106,22.535,4,ATC+FG-DC+ZiPS+Steamer,2.845,20.483,-1.59,0.904,1.64,0.382,0.34,n/a,,NYY,64.8
680802,"Weiss, Ryan",SP,FA,23.508,3.007,7.819,83.5,,1,ZiPS,7.0,11.929,-59.992,-2.151,0.43,0.655,0.67,VOLUME,,HOU,64.8
665871,"Assad, Javier",SP,FA,60.026,7.679,7.817,57.211,10.961,4,ATC+FG-DC+ZiPS+Steamer,3.268,21.888,2.815,1.135,2.35,0.357,0.45,n/a,,CHC,64.8
656756,"Montgomery, Jordan",SP,FA,,,7.79,44.374,1.514,3,ATC+FG-DC+Steamer,3.15,14.123,,,,,,n/a,MARCEL,TEX,64.8
703615,"Cabrera, Jose",SP,FA,57.127,7.342,7.781,23.602,17.206,4,ATC+FG-DC+ZiPS+Steamer,3.518,7.105,33.525,2.741,2.087,1.095,0.89,VOLUME,,ARI,64.8
684320,"Rodríguez, Yariel",SP,FA,,,7.78,44.2,,1,ZiPS,2.0,22.1,,,,,,n/a,MARCEL,TOR,64.8
685299,"Gordon, Tanner",SP,FA,47.157,6.072,7.767,84.04,14.153,4,ATC+FG-DC+ZiPS+Steamer,9.512,8.786,-36.883,-0.942,0.638,0.884,0.78,VOLUME,,COL,64.8
663992,"Lovelady, Richard",SP,FA,24.826,3.221,7.709,31.0,,1,ZiPS,1.0,31.0,-6.174,0.664,3.221,0.249,0.46,MIXED,MARCEL,WSN,64.8
681867,"Criswell, Cooper",SP,FA,,,7.69,61.2,,1,ZiPS,5.0,12.24,,,,,,n/a,MARCEL,SEA,64.8
608718,"Suter, Brent",SP,FA,25.293,3.298,7.668,50.4,,1,ZiPS,1.0,50.4,-25.107,-0.326,3.298,0.152,0.39,MIXED,,LAA,64.8
661563,"Gil, Luis",SP,FA,36.801,4.821,7.633,37.42,10.984,4,ATC+FG-DC+ZiPS+Steamer,2.595,23.622,-0.618,0.955,1.858,0.323,0.35,n/a,MARCEL,NYY,64.8
666129,"Garrett, Braxton",SP,FA,17.535,2.3,7.623,52.116,1.92,4,ATC+FG-DC+ZiPS+Steamer,4.52,11.871,-34.581,-0.822,0.509,0.642,0.6,MIXED,,MIA,64.8
615698,"Quantrill, Cal",SP,FA,63.268,8.32,7.604,55.273,7.379,4,ATC+FG-DC+ZiPS+Steamer,4.19,15.39,7.995,1.406,1.986,0.494,0.49,MIXED,,TEX,64.8
621121,"McCullers Jr., Lance",SP,FA,37.665,4.977,7.568,66.69,12.237,4,ATC+FG-DC+ZiPS+Steamer,6.008,11.099,-29.025,-0.531,0.828,0.682,0.33,RATE,MARCEL,HOU,64.8
668964,"Myers, Tobias",SP,FA,27.2,3.596,7.563,64.312,6.947,4,ATC+FG-DC+ZiPS+Steamer,3.93,18.489,-37.112,-0.954,0.915,0.409,0.09,RATE,,NYM,64.8
700249,"Povich, Cade",SP,FA,41.897,5.54,7.562,42.194,23.767,4,ATC+FG-DC+ZiPS+Steamer,2.84,23.109,-0.297,0.972,1.951,0.327,0.37,n/a,,BAL,64.8
641778,"Lauer, Eric",SP,FA,55.091,7.296,7.55,45.913,12.664,4,ATC+FG-DC+ZiPS+Steamer,4.18,12.353,9.178,1.468,1.746,0.611,0.53,MIXED,,LAD,64.8
669724,Brenan Hanifee,SP,FA,29.159,3.862,7.55,41.2,,1,ZiPS,2.0,20.6,-12.041,0.357,1.931,0.367,0.4,MIXED,,DET,64.8
607200,"Fedde, Erick",SP,FA,61.222,8.119,7.54,63.756,5.133,4,ATC+FG-DC+ZiPS+Steamer,8.35,7.634,-2.534,0.855,0.972,0.988,0.69,VOLUME,,CHW,64.8
681810,Austin Warren,SP,FA,15.362,2.041,7.526,39.9,,1,ZiPS,1.0,39.9,-24.538,-0.296,2.041,0.189,0.3,RATE,MARCEL,NYM,64.8
700241,"McGreevy, Michael",SP,FA,78.33,10.446,7.499,125.591,1.493,4,ATC+FG-DC+ZiPS+Steamer,12.225,10.285,-47.26,-1.485,0.854,0.729,0.33,RATE,,STL,64.8
