batter,bb_pct_AVG,bb_pct_STRONG,bb_pct_WEAK,iso_AVG,iso_STRONG,iso_WEAK,k_pct_AVG,k_pct_STRONG,k_pct_WEAK,pa_AVG,pa_STRONG,pa_WEAK,bb_protect_lift,iso_protect_lift,player_name
669374,5.99,7.34,8.12,0.277,0.183,0.208,35.48,31.92,37.01,451.0,354.0,616.0,-0.78,-0.025,
669394,4.48,4.95,6.03,0.217,0.23,0.209,24.72,29.12,27.46,1072.0,546.0,1278.0,-1.08,0.021,Jake Burger
669397,6.9,6.34,5.81,0.066,0.056,0.05,20.54,20.0,19.31,594.0,805.0,637.0,0.53,0.006,
669450,,13.66,7.07,,0.162,0.112,,27.32,31.82,,183.0,198.0,6.59,0.05,
669477,7.54,6.37,4.33,0.219,0.142,0.147,26.82,27.34,20.35,358.0,267.0,462.0,2.04,-0.005,Casey Schmitt
669701,9.74,8.02,7.65,0.12,0.113,0.122,20.7,18.46,21.21,1058.0,948.0,693.0,0.37,-0.009,Josh Smith
669707,8.99,11.94,9.87,0.139,0.093,0.1,25.7,22.58,24.48,467.0,310.0,821.0,2.07,-0.007,
669720,6.2,5.49,6.55,0.177,0.181,0.183,21.18,22.89,22.42,1775.0,1092.0,1436.0,-1.06,-0.002,
669742,4.1,,3.67,0.224,,0.276,28.69,,28.44,122.0,,109.0,,,
669743,10.39,11.41,12.97,0.129,0.113,0.095,15.19,21.16,18.41,645.0,482.0,478.0,-1.56,0.018,
669911,9.64,9.07,9.97,0.25,0.164,0.175,37.31,39.66,31.62,394.0,353.0,873.0,-0.9,-0.011,
670032,6.92,8.05,6.08,0.063,0.061,0.061,13.18,14.16,14.83,1518.0,1130.0,971.0,1.97,0.0,
670042,8.9,8.8,6.21,0.18,0.192,0.201,30.49,29.35,30.92,528.0,443.0,870.0,2.59,-0.009,Luke Raley
670097,13.22,8.28,12.53,0.088,0.106,0.156,25.99,33.1,30.98,227.0,145.0,439.0,-4.25,-0.05,
670156,11.54,7.25,6.42,0.059,0.04,0.052,16.67,18.12,19.79,234.0,138.0,187.0,0.83,-0.012,
670223,8.2,,5.92,0.12,,0.181,29.51,,34.91,122.0,,169.0,,,
670224,4.32,,7.95,0.163,,0.146,23.74,,40.4,139.0,,151.0,,,
670231,,,11.98,,,0.132,,,25.15,,,167.0,,,
670242,11.23,8.87,10.9,0.275,0.261,0.263,31.42,34.48,32.46,837.0,406.0,422.0,-2.03,-0.002,Matt Wallner
670351,,,9.04,,,0.189,,,25.99,,,177.0,,,
