rank,name,proj,tag,gs,l8_st,nst,l8_all,last
158,"Eflin, Zach",9.56,marcel_il,0,11.1,1,11.1,2026-03-31
159,"Pfaadt, Brandon",9.480741822717505,data_driven_full,10,13.625,8,11.5625,2026-08-03
161,"Priester, Quinn",9.46,marcel_il,0,,0,,
162,"Canning, Griffin",9.447531985464176,data_driven_full,11,7.475,8,4.7,2026-08-05
163,"Hart, Kyle",9.425450427087975,data_driven_thin,4,6.9,4,4.7625,2026-08-05
164,"Matthews, Zebby",9.408798997794138,data_driven_full,14,8.8,8,8.8,2026-07-31
165,"Urías, Julio",9.4,marcel_il,0,,0,,
166,"Abbott, Andrew",9.392062811725872,data_driven_full,24,10.15,8,10.15,2026-08-06
168,"Taillon, Jameson",9.328521474929993,data_driven_full,16,2.5374999999999996,8,2.5374999999999996,2026-08-05
169,"Dollander, Chase",9.27575817286647,marcel_il,5,8.7,3,9.712500000000002,2026-05-14
171,"Dunning, Dane",9.25,marcel_il,0,,0,,
172,Eduardo Rivera,9.249078230622574,data_driven_thin,2,0.6666666666666661,3,3.75,2026-07-22
173,"Sandoval, Patrick",9.244601054512884,data_driven_thin,5,9.040000000000001,5,9.040000000000001,2026-08-04
174,"Rocker, Kumar",9.240034627354143,data_driven_full,19,9.2,8,10.3375,2026-08-02
175,"Freeland, Kyle",9.191314818595648,data_driven_full,20,10.8625,8,10.8625,2026-08-02
176,"Clevinger, Mike",9.18,marcel_il,0,,0,,
177,"Miley, Wade",9.17,marcel_il,0,,0,,
178,"Bello, Brayan",9.152516602243155,data_driven_full,9,-2.7874999999999996,8,11.0875,2026-08-06
180,"Bergert, Ryan",9.09,marcel_il,0,,0,,
181,"Smith, Shane",9.06693640082194,data_driven_thin,3,-1.1666666666666672,3,-1.1666666666666672,2026-04-07
183,"Cecconi, Slade",9.010919275346264,data_driven_full,21,7.4875,8,3.5625000000000004,2026-08-06
184,"Kay, Anthony",9.010680700721952,data_driven_full,21,10.3625,8,10.3625,2026-08-02
185,"Boyle, Joe",8.978519926093956,data_driven_thin,3,10.899999999999999,3,10.899999999999999,2026-04-08
186,"Darvish, Yu",8.96,marcel_il,0,,0,,
187,"Rea, Colin",8.951199972930247,data_driven_full,19,11.512500000000001,8,11.512500000000001,2026-08-02
188,"Cobb, Alex",8.95,marcel_il,0,,0,,
189,"Leahy, Kyle",8.949209827203328,data_driven_full,21,15.5,8,15.5,2026-07-31
190,"Alvarez, Andrew",8.893037032172133,data_driven_full,8,8.025,8,7.5874999999999995,2026-08-03
191,"Lopez, Jacob",8.865653656558917,data_driven_full,15,6.825000000000001,8,7.5375000000000005,2026-08-05
192,"Ortiz, Luis",8.84,marcel_il,0,,0,,
193,"Phillips, Tyler",8.822123849725099,data_driven_full,12,7.2625,8,7.2625,2026-08-01
194,"France, J.P.",8.82,marcel_il,0,,0,0.6666666666666665,2026-04-17
195,"Painter, Andrew",8.792603118914698,data_driven_full,14,6.15,8,4.525,2026-08-05
196,"Rangel, Alan",8.78403463223583,data_driven_thin,3,3.4666666666666663,3,6.0,2026-07-19
197,"Irvin, Jake",8.764258292969263,data_driven_full,13,8.55,8,8.55,2026-08-05
198,"Kolek, Stephen",8.758767915591473,marcel_il,10,9.124999999999998,8,9.124999999999998,2026-07-02
201,"Dobbins, Hunter",8.732334634122209,data_driven_thin,5,10.16,5,10.5,2026-08-04
203,"Gibson, Kyle",8.71,marcel_il,0,,0,,
204,"Civale, Aaron",8.705421321120632,data_driven_full,15,2.2125,8,3.3000000000000003,2026-08-06
205,"McDonald, Trevor",8.69904850420118,marcel_il,14,4.9875,8,4.9875,2026-07-20
206,"Verlander, Justin",8.68,marcel_il,0,-4.9,1,-4.9,2026-03-30
207,"Peterson, David",8.673822249588106,data_driven_full,15,8.95,8,8.95,2026-08-06
208,"Ober, Bailey",8.665961282180872,data_driven_full,17,5.9125,8,5.9125,2026-08-06
210,"Javier, Cristian",8.641351955459148,data_driven_thin,5,-1.0999999999999996,5,3.85,2026-08-03
212,"Povich, Cade",8.628526211398103,data_driven_thin,4,8.975,4,9.12,2026-08-04
213,"Schultz, Noah",8.608119857507496,data_driven_full,13,3.8125,8,5.0875,2026-08-01
214,"Buehler, Walker",8.590895869192128,data_driven_full,23,3.3374999999999995,8,3.3374999999999995,2026-08-06
217,"Young, Brandon",8.525591951599802,data_driven_full,19,11.7,8,11.7,2026-08-06
218,"Keller, Mitch",8.518396620003836,marcel_il,22,6.324999999999999,8,6.324999999999999,2026-08-02
219,"Oviedo, Johan",8.51,marcel_il,0,,0,-0.9,2026-03-30
220,"Sears, JP",8.504535537867266,data_driven_thin,6,7.583333333333335,6,6.6,2026-08-02
221,"Avila, Luinder",8.486241533610446,marcel_il,12,7.675,8,7.675,2026-08-01
222,"Houser, Adrian",8.479699312205643,data_driven_full,14,7.3375,8,8.1,2026-08-04
223,"Whisenhunt, Carson",8.468964718324887,data_driven_thin,5,3.34,5,3.34,2026-08-05
225,"Pérez, Martín",8.451041423972,data_driven_full,18,9.1875,8,9.1875,2026-08-06
227,"Teng, Kai-Wei",8.438931622688285,data_driven_full,10,7.05,8,3.0500000000000003,2026-07-24
228,"Festa, David",8.43,marcel_il,0,,0,,
229,"Gusto, Ryan",8.428718897821657,data_driven_full,9,6.8875,8,6.762500000000001,2026-08-04
231,"Junk, Janson",8.41424786715373,data_driven_full,16,4.775,8,4.775,2026-08-06
232,"Rodriguez, Grayson",8.4089221136908,data_driven_full,11,3.625,8,3.625,2026-08-04
233,"Burrows, Mike",8.39354846570855,marcel_il,17,4.75,8,4.6875,2026-07-06
234,"Wesneski, Hayden",8.35337446130633,data_driven_thin,2,10.25,2,10.25,2026-08-04
236,"Kelly, Merrill",8.336311717452562,data_driven_full,20,9.675,8,9.675,2026-08-02
238,"Feltner, Ryan",8.328699038944457,data_driven_full,16,5.012500000000001,8,5.012500000000001,2026-08-01
240,"Lively, Ben",8.31,marcel_il,0,,0,,
241,"Assad, Javier",8.309398202001665,data_driven_full,10,12.95,8,7.925000000000001,2026-08-04
242,"Birdsong, Hayden",8.3,marcel_il,0,,0,,
243,"Englert, Mason",8.253478141233403,data_driven_thin,3,6.433333333333334,3,7.887499999999999,2026-07-17
245,"Lowder, Rhett",8.247173513277975,data_driven_full,17,6.525,8,4.6625,2026-08-05
246,"Gordon, Tanner",8.218415485431647,data_driven_thin,6,3.78,5,5.749999999999999,2026-08-03
247,"Francis, Bowden",8.19,marcel_il,0,,0,,
249,"Scherzer, Max",8.143446495413423,data_driven_full,8,2.4000000000000004,8,2.4000000000000004,2026-08-02
252,"Arrighetti, Spencer",8.071431854418394,marcel_il,17,4.012500000000001,8,4.012500000000001,2026-07-24
253,"Ritchie, JR",8.040452840226953,data_driven_full,9,6.7375,8,5.15,2026-08-02
254,"Gray, Josiah",8.03,marcel_il,0,,0,,
255,"Matz, Steven",8.025113555448467,data_driven_full,10,5.6875,8,1.8124999999999998,2026-08-04
256,"Gibson, Trey",8.009912072414027,data_driven_thin,7,2.6142857142857143,7,2.6125000000000003,2026-06-30
258,"Weiss, Ryan",7.990466610472756,data_driven_thin,3,3.05,2,2.0625,2026-05-04
260,"Lynn, Lance",7.98,marcel_il,0,,0,,
261,"Cabrera, Jose",7.952858542064012,data_driven_thin,4,4.825,4,4.825,2026-07-08
262,"Springs, Jeffrey",7.940528736896407,data_driven_full,22,0.11249999999999993,8,0.11249999999999993,2026-07-31
264,"Gray, Jon",7.93,marcel_il,0,,0,,
267,"Lorenzen, Michael",7.851305627424552,data_driven_full,23,1.7625000000000002,8,1.7625000000000002,2026-08-03
268,"Waldrep, Hurston",7.832978633237965,marcel_il,2,-2.2,2,-0.2666666666666669,2026-07-07
269,"Gil, Luis",7.821500641255524,marcel_il,4,4.449999999999999,4,4.449999999999999,2026-04-26
270,"Rodríguez, Elmer",7.813760387729848,data_driven_thin,4,3.7750000000000004,4,3.7750000000000004,2026-06-21
271,"Garrett, Braxton",7.810411937189198,data_driven_thin,2,-4.85,2,-4.85,2026-05-19
272,"Anderson, Tyler",7.79,marcel_il,0,,0,,
273,"Marsh, Alec",7.79,marcel_il,0,,0,,
274,"Montgomery, Jordan",7.78,marcel_il,0,,0,,
276,"Heaney, Andrew",7.78,marcel_il,0,,0,,
277,"Fedde, Erick",7.774534781399874,data_driven_full,14,6.975,8,6.9125,2026-08-06
278,"Vásquez, Randy",7.770174606371955,data_driven_full,18,3.05,8,1.6250000000000004,2026-08-04
279,"Megill, Tylor",7.74,marcel_il,0,,0,,
280,"Alexander, Jason",7.718707244010469,data_driven_thin,2,7.800000000000001,2,1.6250000000000002,2026-05-26
283,"Lauer, Eric",7.6567068862362095,data_driven_full,15,8.5125,8,10.0625,2026-08-05
285,George Klassen,7.596628200624413,data_driven_thin,2,-3.8000000000000003,2,-3.8000000000000003,2026-04-11
287,"McGreevy, Michael",7.569243502961221,data_driven_full,22,8.45,8,8.45,2026-08-03
289,"Morton, Charlie",7.53,marcel_il,0,,0,,
291,"Johnson, Ryan",7.502972114007366,data_driven_full,10,7.4,8,7.4,2026-08-06
292,"Quantrill, Cal",7.487857415409175,data_driven_thin,7,9.814285714285715,7,8.825000000000001,2026-08-03
293,"Dobnak, Randy",7.435156231097334,data_driven_thin,4,13.350000000000001,4,12.050000000000002,2026-08-04
294,"McCullers Jr., Lance",7.395780372651262,marcel_il,8,6.35,8,3.8625000000000003,2026-07-25
295,"Estes, Joey",7.38,marcel_il,0,4.3,1,4.3,2026-06-13
296,"Montas, Frankie",7.36,marcel_il,0,,0,,
297,"Stroman, Marcus",7.34,marcel_il,0,,0,,
298,"Littell, Zack",7.337628893925149,data_driven_full,15,5.8125,8,9.3,2026-08-04
299,"Bratt, Mitch",7.333076933792418,data_driven_thin,6,7.550000000000001,6,7.550000000000001,2026-08-05
