board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,xfp_ros,xfp_po
1,Brandon Woodruff,Mil,41.3,12.93,rp3_dd,30,SIXTY_DAY_DL,,76.9,46.5
2,Spencer Schwellenbach,Atl,9.2,12.75,talent_prior,34,SIXTY_DAY_DL,,75.9,45.9
3,Nick Pivetta,SD,49.8,12.6,rp3_dd,37,SIXTY_DAY_DL,,75.0,45.4
4,Bryce Miller,Sea,39.5,12.54,rp3_dd,38,,,74.6,45.1
5,Hunter Greene,Cin,25.3,12.5,rp3_dd,40,SIXTY_DAY_DL,,74.4,45.0
6,Emmet Sheehan,LAD,39.1,12.39,rp3_dd,43,,,73.7,44.6
7,Walbert Urena,LAA,21.2,12.19,rp3_dd,47,,,72.5,43.9
8,Corbin Burnes,Ari,6.0,12.06,talent_prior,50,SIXTY_DAY_DL,,71.8,43.4
9,Aaron Nola,Phi,43.0,11.98,rp3_dd,52,,,71.3,43.1
10,Cole Ragans,KC,45.3,11.81,rp3_dd,54,SIXTY_DAY_DL,,70.3,42.5
11,Roki Sasaki,LAD,31.1,11.56,rp3_dd,62,,,68.8,41.6
12,Pablo Lopez,Min,2.9,11.46,talent_prior,66,SIXTY_DAY_DL,,68.2,41.3
13,Kyle Bradish,Bal,65.5,11.44,rp3_dd,67,,,68.1,41.2
14,Carlos Rodon,NYY,60.1,11.39,rp3_dd,69,,,67.8,41.0
15,Spencer Strider,Atl,41.4,11.37,rp3_dd,70,SIXTY_DAY_DL,,67.7,40.9
16,Justin Steele,ChC,2.6,11.34,talent_prior,71,SIXTY_DAY_DL,,67.5,40.8
17,Luis Castillo,ChW,47.0,11.25,rp3_dd,78,,,66.9,40.5
18,Tyler Mahle,Atl,17.7,11.11,rp3_dd,80,,,66.1,40.0
19,Shane Drohan,Mil,8.7,11.05,rp3_dd,81,,,65.7,39.8
20,Jack Flaherty,Det,30.0,11.02,rp3_dd,82,FIFTEEN_DAY_DL,,65.6,39.7
21,Christian Scott,NYM,10.8,11.0,rp3_dd,83,,,65.4,39.6
22,Tatsuya Imai,Hou,14.5,10.93,rp3_dd,84,,,65.0,39.3
23,Emerson Hancock,Sea,65.0,10.85,rp3_dd,87,,,64.6,39.1
24,Drew Anderson,Det,0.9,10.86,rp3_dd,86,,,64.6,39.1
25,Joe Musgrove,SD,9.3,10.8,talent_prior,88,SIXTY_DAY_DL,,64.3,38.9
26,Ryan Weathers,NYY,32.9,10.72,rp3_dd,91,FIFTEEN_DAY_DL,,63.8,38.6
27,Chad Patrick,Mil,4.7,10.71,rp3_dd,92,,,63.7,38.6
28,Bubba Chandler,Pit,20.9,10.7,rp3_dd,93,,,63.7,38.5
29,Jake Bennett,Bos,26.0,10.68,rp3_dd,94,,,63.5,38.4
30,Michael Wacha,KC,61.0,10.59,rp3_dd,95,,,63.0,38.1
31,Kris Bubic,LAD,21.9,10.57,rp3_dd,96,SIXTY_DAY_DL,,62.9,38.1
32,Dean Kremer,Min,3.5,10.48,rp3_dd,98,,,62.4,37.7
33,Kai-Wei Teng,Hou,0.6,10.49,rp3_dd,97,,,62.4,37.8
34,Sean Manaea,NYM,9.8,10.47,rp3_dd,99,,,62.3,37.7
35,Dustin May,Mil,15.8,10.45,rp3_dd,102,,,62.2,37.6
36,Jack Leiter,Tex,10.9,10.45,rp3_dd,101,SIXTY_DAY_DL,,62.2,37.6
37,Kodai Senga,NYM,10.3,10.46,rp3_dd,100,,,62.2,37.7
38,Tyler Wells,TB,2.4,10.41,talent_prior,103,,,61.9,37.5
39,Andrew Morris,Min,1.1,10.41,rp3_dd,104,,,61.9,37.5
40,Kendry Rojas,Min,0.1,10.38,rp3_dd,105,,,61.8,37.4
41,Gavin Stone,LAD,0.2,10.35,talent_prior,109,SIXTY_DAY_DL,,61.6,37.3
42,Connor Prielipp,Min,1.7,10.24,rp3_dd,113,,,60.9,36.9
43,Luis Severino,Oak,2.3,10.21,rp3_dd,114,SIXTY_DAY_DL,,60.7,36.8
44,Brandon Sproat,Mil,1.7,10.2,rp3_dd,117,,,60.7,36.7
45,Andrew Abbott,Cin,40.8,10.2,rp3_dd,116,,,60.7,36.7
46,Nestor Cortes,Phi,0.1,10.14,talent_prior,120,,,60.3,36.5
47,Edward Cabrera,ChC,18.9,10.08,rp3_dd,123,FIFTEEN_DAY_DL,,60.0,36.3
48,Mick Abel,Min,1.4,10.07,rp3_dd,124,SIXTY_DAY_DL,,59.9,36.3
49,Cade Horton,ChC,6.9,9.98,rp3_dd,125,SIXTY_DAY_DL,,59.4,35.9
50,Landen Roupp,SF,20.6,9.96,rp3_dd,127,,,59.3,35.9
51,Grant Holmes,Atl,10.7,9.93,rp3_dd,131,,,59.1,35.7
52,Clayton Kershaw,FA,0.1,9.94,talent_prior,128,,,59.1,35.8
53,Brady Singer,Cin,8.4,9.91,rp3_dd,133,,,59.0,35.7
54,Yusei Kikuchi,LAA,7.2,9.92,rp3_dd,132,,,59.0,35.7
55,Will Warren,NYY,36.1,9.86,rp3_dd,134,,,58.7,35.5
56,Ryan Pepiot,TB,30.4,9.85,talent_prior,135,SIXTY_DAY_DL,,58.6,35.5
57,George Klassen,LAA,13.9,9.85,rp3_dd,136,,,58.6,35.5
58,J.T. Ginn,Oak,16.4,9.83,rp3_dd,138,,,58.5,35.4
59,Matthew Liberatore,StL,4.3,9.8,rp3_dd,139,,,58.3,35.3
60,Ronel Blanco,Hou,0.5,9.78,rp3_dd,140,,,58.2,35.2
61,Connelly Early,Wsh,16.6,9.74,rp3_dd,143,SIXTY_DAY_DL,,58.0,35.1
62,Tanner Houck,Bos,0.1,9.73,talent_prior,144,SIXTY_DAY_DL,,57.9,35.0
