board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,xfp_ros,xfp_po
63,Grayson Rodriguez,LAA,2.4,9.72,rp3_dd,148,,,57.8,35.0
64,Keider Montero,Det,16.6,9.72,rp3_dd,145,,,57.8,35.0
65,Reese Olson,Det,0.3,9.72,talent_prior,147,SIXTY_DAY_DL,,57.8,35.0
66,Reynaldo Lopez,Atl,4.7,9.7,rp3_dd,149,FIFTEEN_DAY_DL,,57.7,34.9
67,Ryne Nelson,Ari,3.4,9.68,rp3_dd,150,SIXTY_DAY_DL,,57.6,34.8
68,Robbie Ray,SD,73.2,9.68,rp3_dd,151,,,57.6,34.8
69,Griffin Canning,SD,0.3,9.65,rp3_dd,152,,,57.4,34.7
70,Clarke Schmidt,NYY,0.5,9.63,talent_prior,154,SIXTY_DAY_DL,,57.3,34.7
71,Kutter Crawford,Bos,0.1,9.62,talent_prior,155,SIXTY_DAY_DL,,57.2,34.6
72,Blade Tidwell,SF,0.8,9.6,rp3_dd,156,,,57.1,34.6
73,DJ Herz,Wsh,0.1,9.59,talent_prior,157,SIXTY_DAY_DL,,57.1,34.5
74,Jacob Lopez,Oak,10.0,9.58,rp3_dd,158,,,57.0,34.5
75,Jose Berrios,Tor,0.9,9.58,talent_prior,159,SIXTY_DAY_DL,,57.0,34.5
76,Zach Eflin,Bal,0.3,9.56,talent_prior,160,SIXTY_DAY_DL,,56.9,34.4
77,Joe Boyle,TB,0.4,9.55,rp3_dd,161,,,56.8,34.4
78,Robert Stock,NYM,0.3,9.51,rp3_dd,163,,,56.6,34.2
79,Jameson Taillon,Tor,2.4,9.52,rp3_dd,162,FIFTEEN_DAY_DL,,56.6,34.3
80,Michael Soroka,Ari,41.3,9.51,rp3_dd,164,FIFTEEN_DAY_DL,,56.6,34.2
81,Robert Gasser,Mil,3.5,9.49,rp3_dd,165,,,56.5,34.2
82,Matthew Boyd,ChC,52.7,9.48,rp3_dd,167,,,56.4,34.1
83,Quinn Priester,Mil,1.0,9.46,talent_prior,169,SIXTY_DAY_DL,,56.3,34.1
84,Cody Bradford,Tex,2.3,9.44,rp3_dd,170,,,56.2,34.0
85,David Peterson,ChC,5.9,9.42,rp3_dd,172,,,56.0,33.9
86,Julio Urias,FA,0.0,9.4,talent_prior,174,,,55.9,33.8
87,Anthony Kay,ChW,6.9,9.37,rp3_dd,176,,,55.8,33.7
88,Davis Martin,ChW,33.2,9.37,rp3_dd,175,FIFTEEN_DAY_DL,,55.8,33.7
89,Slade Cecconi,Cle,1.4,9.36,rp3_dd,177,FIFTEEN_DAY_DL,,55.7,33.7
90,Chase Dollander,Col,2.4,9.36,rp3_dd,178,SIXTY_DAY_DL,,55.7,33.7
91,Ty Madden,Det,0.4,9.35,rp3_dd,179,,,55.6,33.7
92,Ryan Gusto,Mia,0.4,9.25,rp3_dd,183,,,55.0,33.3
93,Andrew Painter,Phi,8.7,9.25,rp3_dd,182,,,55.0,33.3
94,Andre Pallante,StL,15.0,9.19,rp3_dd,186,FIFTEEN_DAY_DL,,54.7,33.1
95,Shane Smith,ChW,1.6,9.19,rp3_dd,187,,,54.7,33.1
96,Brayan Bello,Bos,5.5,9.19,rp3_dd,185,,,54.7,33.1
97,Spencer Miles,Tor,0.9,9.18,rp3_dd,188,,,54.6,33.0
98,Wade Miley,FA,0.0,9.16,talent_prior,192,,,54.5,33.0
99,Jake Irvin,Wsh,0.7,9.14,rp3_dd,193,,,54.4,32.9
100,Cristian Javier,Hou,2.6,9.12,rp3_dd,194,,,54.3,32.8
101,Eduardo Rivera,Bos,0.0,9.1,rp3_dd,195,,,54.1,32.8
102,Ryan Bergert,KC,0.0,9.08,talent_prior,196,,,54.0,32.7
103,Kyle Freeland,Col,0.8,9.06,rp3_dd,198,FIFTEEN_DAY_DL,,53.9,32.6
104,Andrew Alvarez,Wsh,2.6,9.06,rp3_dd,197,,,53.9,32.6
105,Aaron Civale,ChC,1.5,9.03,rp3_dd,199,,,53.7,32.5
106,Spencer Arrighetti,Tor,11.7,8.99,rp3_dd,201,,,53.5,32.4
107,Yu Darvish,SD,0.1,8.95,talent_prior,202,OUT,,53.3,32.2
108,Alex Cobb,FA,0.0,8.94,talent_prior,203,OUT,,53.2,32.2
109,Quinn Mathews,StL,1.3,8.93,rp3_dd,205,,,53.1,32.1
110,Walker Buehler,SD,10.5,8.93,rp3_dd,204,,,53.1,32.1
111,Zebby Matthews,Min,8.4,8.93,rp3_dd,206,,,53.1,32.1
112,Adrian Houser,SF,1.5,8.9,rp3_dd,207,,,53.0,32.0
113,Patrick Sandoval,Bos,2.1,8.85,rp3_dd,211,,,52.7,31.9
114,Mitch Keller,Pit,13.3,8.86,rp3_dd,209,SIXTY_DAY_DL,,52.7,31.9
115,Hayden Wesneski,Hou,4.8,8.84,rp3_dd,213,,,52.6,31.8
116,Stephen Kolek,KC,1.9,8.84,rp3_dd,212,SIXTY_DAY_DL,,52.6,31.8
117,Luis Ortiz,Cle,0.0,8.83,talent_prior,214,OUT,,52.5,31.8
118,J.P. France,Hou,0.0,8.81,talent_prior,215,,,52.4,31.7
119,Trevor McDonald,SF,0.9,8.79,rp3_dd,216,SIXTY_DAY_DL,,52.3,31.6
120,Kumar Rocker,Tex,5.5,8.76,rp3_dd,217,,,52.1,31.5
121,Kyle Gibson,FA,0.0,8.71,talent_prior,219,,,51.8,31.4
122,Justin Verlander,Det,1.4,8.68,talent_prior,222,SIXTY_DAY_DL,,51.6,31.2
123,Bailey Ober,Min,15.6,8.61,rp3_dd,226,,,51.2,31.0
124,Gabriel Hughes,Col,0.3,8.61,rp3_dd,225,,,51.2,31.0
125,Noah Schultz,ChW,2.1,8.57,rp3_dd,227,,,51.0,30.9
126,Cal Quantrill,Tex,16.7,8.53,rp3_dd,228,,,50.8,30.7
127,Johan Oviedo,Bos,0.2,8.51,talent_prior,229,SIXTY_DAY_DL,,50.6,30.6
128,Mike Burrows,Hou,1.6,8.48,rp3_dd,233,FIFTEEN_DAY_DL,,50.5,30.5
129,Colin Rea,ChC,2.9,8.46,rp3_dd,234,,,50.3,30.5
130,JP Sears,SD,0.4,8.45,rp3_dd,236,,,50.3,30.4
131,Eric Lauer,LAD,4.5,8.44,rp3_dd,237,,,50.2,30.4
132,David Festa,Min,0.1,8.42,talent_prior,240,SIXTY_DAY_DL,,50.1,30.3
133,Jackson Jobe,Det,9.6,8.38,rp3_dd,243,,,49.9,30.2
134,Hunter Dobbins,StL,1.1,8.38,rp3_dd,242,FIFTEEN_DAY_DL,,49.9,30.2
135,Merrill Kelly,Ari,20.5,8.36,rp3_dd,247,,,49.7,30.1
136,Brandon Young,Bal,15.5,8.36,rp3_dd,246,,,49.7,30.1
137,Jackson Kent,Wsh,0.4,8.35,rp3_dd,249,,,49.7,30.1
138,Alan Rangel,Phi,0.1,8.35,rp3_dd,250,,,49.7,30.1
139,Tanner Gordon,Col,0.1,8.31,rp3_dd,252,,,49.4,29.9
140,Ben Lively,Cle,0.0,8.3,talent_prior,253,,,49.4,29.9
141,Randy Vasquez,SD,13.1,8.24,rp3_dd,256,,,49.0,29.7
142,Max Scherzer,Tor,2.6,8.22,rp3_dd,258,,,48.9,29.6
143,Ryan Feltner,Col,0.6,8.22,rp3_dd,257,,,48.9,29.6
144,AJ Smith-Shawver,Atl,2.1,8.2,rp3_dd,259,,,48.8,29.5
145,Bowden Francis,Tor,0.0,8.19,talent_prior,260,SIXTY_DAY_DL,,48.7,29.5
146,Luis Gil,NYY,0.9,8.17,rp3_dd,262,,,48.6,29.4
147,Martin Perez,Atl,9.2,8.11,rp3_dd,264,,,48.3,29.2
148,Rhett Lowder,Cin,2.8,8.1,rp3_dd,265,,,48.2,29.2
149,JR Ritchie,Atl,1.4,8.07,rp3_dd,267,,,48.0,29.1
150,Trey Gibson,Bal,0.1,8.06,rp3_dd,269,,,48.0,29.0
151,Chris Bassitt,Bal,2.9,8.04,rp3_dd,271,,,47.8,28.9
152,Javier Assad,ChC,2.0,8.02,rp3_dd,275,,,47.7,28.9
153,Zac Gallen,Ari,33.1,8.02,rp3_dd,274,SIXTY_DAY_DL,,47.7,28.9
154,Josiah Gray,Wsh,0.1,8.02,talent_prior,273,SIXTY_DAY_DL,,47.7,28.9
155,Jose Cabrera,Ari,0.1,8.0,rp3_dd,276,,,47.6,28.8
156,Cade Povich,Bal,0.5,8.0,rp3_dd,277,,,47.6,28.8
157,Lance Lynn,FA,0.0,7.98,talent_prior,278,,,47.5,28.7
158,Hurston Waldrep,Atl,0.6,7.91,rp3_dd,280,,,47.1,28.5
159,Braxton Garrett,ChC,0.5,7.89,rp3_dd,281,,,46.9,28.4
160,Elmer Rodriguez,NYY,0.5,7.86,rp3_dd,282,,,46.8,28.3
161,Jason Alexander,Hou,0.0,7.84,rp3_dd,283,,,46.6,28.2
162,Tyler Anderson,LAA,0.1,7.79,talent_prior,284,,,46.4,28.0
163,Carson Whisenhunt,SF,0.7,7.79,rp3_dd,285,,,46.4,28.0
164,Alec Marsh,KC,0.0,7.78,talent_prior,286,SIXTY_DAY_DL,,46.3,28.0
165,Jordan Montgomery,Tex,0.1,7.78,talent_prior,288,,,46.3,28.0
166,Andrew Heaney,FA,0.0,7.78,talent_prior,287,,,46.3,28.0
167,Matt Wilkinson,SF,0.3,7.78,rp3_dd,289,,,46.3,28.0
168,Randy Dobnak,KC,3.8,7.77,rp3_dd,291,,,46.2,28.0
169,Tylor Megill,NYM,0.1,7.74,talent_prior,292,SIXTY_DAY_DL,,46.1,27.9
170,Lance McCullers Jr.,FA,1.7,7.7,rp3_dd,294,,,45.8,27.7
171,Janson Junk,Mia,2.9,7.68,rp3_dd,295,,,45.7,27.6
172,Cooper Criswell,Sea,0.1,7.68,talent_prior,296,SIXTY_DAY_DL,,45.7,27.6
173,Erick Fedde,ChW,1.1,7.65,rp3_dd,298,,,45.5,27.5
174,Michael McGreevy,StL,17.9,7.6,rp3_dd,299,,,45.2,27.4
175,Charlie Morton,FA,0.1,7.53,talent_prior,301,,,44.8,27.1
176,Jose Suarez,Oak,0.1,7.52,rp3_dd,303,FIFTEEN_DAY_DL,,44.7,27.1
177,Jeffrey Springs,Oak,7.9,7.48,rp3_dd,304,,,44.5,26.9
178,Joey Estes,Oak,0.0,7.37,talent_prior,305,,,43.9,26.5
179,Chris Paddack,Tex,0.1,7.36,rp3_dd,307,,,43.8,26.5
180,Frankie Montas,FA,0.0,7.36,talent_prior,306,OUT,,43.8,26.5
181,Tony Gonsolin,KC,0.0,7.32,talent_prior,309,FIFTEEN_DAY_DL,,43.6,26.4
182,Marcus Stroman,FA,0.1,7.33,talent_prior,308,,,43.6,26.4
183,Coleman Crow,Mil,0.1,7.28,rp3_dd,311,,,43.3,26.2
184,Mason Barnett,Oak,0.1,7.26,rp3_dd,313,,,43.2,26.1
185,Michael Lorenzen,FA,0.4,7.25,rp3_dd,314,,,43.1,26.1
186,Mitch Bratt,Ari,1.7,7.18,rp3_dd,317,,,42.7,25.8
187,Chase Petty,Cin,0.1,7.11,rp3_dd,319,,,42.3,25.6
188,Logan Evans,Sea,0.0,7.09,talent_prior,320,SIXTY_DAY_DL,,42.2,25.5
189,Cole Irvin,LAD,0.0,7.08,talent_prior,321,,,42.1,25.5
190,Matt Waldron,Wsh,0.1,7.08,rp3_dd,322,,,42.1,25.5
191,Lucas Giolito,SD,0.9,7.02,rp3_dd,323,SIXTY_DAY_DL,,41.8,25.3
192,Jose Quintana,Col,0.2,6.99,rp3_dd,324,SIXTY_DAY_DL,,41.6,25.2
193,Jack Kochanowicz,LAA,0.6,6.98,rp3_dd,325,SIXTY_DAY_DL,,41.5,25.1
194,Sam Aldegheri,LAA,0.1,6.96,rp3_dd,326,,,41.4,25.1
195,Logan Allen,Cle,0.2,6.92,talent_prior,327,,,41.2,24.9
196,Patrick Corbin,Tor,0.4,6.9,rp3_dd,329,SIXTY_DAY_DL,,41.1,24.8
197,Kyle Hendricks,FA,0.0,6.9,talent_prior,328,,,41.1,24.8
198,Zack Littell,Ari,1.4,6.89,rp3_dd,330,,,41.0,24.8
199,Bailey Falter,Atl,0.0,6.82,rp3_dd,331,,,40.6,24.6
200,Jesse Scholtens,TB,0.2,6.64,rp3_dd,336,,,39.5,23.9
201,Trevor Williams,Wsh,0.1,6.6,talent_prior,338,,,39.3,23.8
202,Kohl Drake,Ari,0.2,6.6,rp3_dd,339,,,39.3,23.8
203,Luis Morales,Oak,0.1,6.58,rp3_dd,341,,,39.2,23.7
204,Colton Gordon,Hou,0.0,6.58,talent_prior,340,,,39.2,23.7
205,Carson Palmquist,Wsh,0.0,6.56,rp3_dd,344,,,39.0,23.6
206,Brandon Williamson,Cin,0.1,6.51,rp3_dd,345,SIXTY_DAY_DL,,38.7,23.4
207,Mitchell Parker,Wsh,0.1,6.49,talent_prior,346,SIXTY_DAY_DL,,38.6,23.4
208,Jonathan Cannon,ChW,0.0,6.35,talent_prior,348,,,37.8,22.9
209,Simeon Woods Richardson,Tor,0.3,6.32,rp3_dd,349,,,37.6,22.8
210,Sean Sullivan,Col,0.0,6.21,rp3_dd,351,,,36.9,22.4
211,Miles Mikolas,FA,0.3,6.19,rp3_dd,353,,,36.8,22.3
212,Tomoyuki Sugano,Col,4.0,6.19,rp3_dd,352,,,36.8,22.3
213,Kenta Maeda,FA,0.0,6.13,talent_prior,354,,,36.5,22.1
214,German Marquez,FA,0.2,6.11,rp3_dd,355,,,36.4,22.0
215,Taijuan Walker,LAA,0.1,5.96,rp3_dd,356,,,35.5,21.5
216,Ken Waldichuk,Wsh,0.0,5.91,talent_prior,357,SIXTY_DAY_DL,,35.2,21.3
217,Rich Hill,FA,0.0,5.62,talent_prior,358,,,33.4,20.2
218,Austin Gomber,Tex,0.0,5.57,talent_prior,359,,,33.1,20.1
219,Carlos Carrasco,Atl,0.0,4.79,talent_prior,363,,,28.5,17.2
220,Dakota Hudson,LAA,0.0,4.07,talent_prior,366,,,24.2,14.7
221,Antonio Senzatela,Mil,2.6,2.32,talent_prior,369,,,13.8,8.4
222,Bradley Blalock,Mia,0.0,0.5,talent_prior,371,,,3.0,1.8
