batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Ildemaro Vargas,545121,312,1079,0.0522995526860258,0.064600121280231,-0.0838188197942469,0.0330808541720099,86.8,129.8,85.0,95.6,0.462,0.3,0.872,0.237,0.054,0.287,312,-0.084,0.234,0.113,0.994,0.036,0.029,0.205,,
Elías Díaz,553869,365,1388,0.0808649884328865,-0.0068486162675282,-0.0410299870211801,0.0329863851441782,114.7,98.8,93.4,95.6,0.539,0.336,0.761,0.193,0.143,0.321,365,-0.041,0.234,0.902,0.4,0.249,0.179,0.055,,
Nick Martini,605361,164,624,0.0670531451342675,-0.0017423737597633,-0.0323958797982502,0.0329148915762539,101.2,101.0,95.1,95.5,0.497,0.276,0.8,0.178,0.104,0.327,164,-0.032,0.228,0.501,0.479,0.301,0.228,0.0,,
Daz Cameron,663662,189,726,0.0750633469461263,-0.0208335322809713,-0.021791688456084,0.0324381262090709,109.0,92.8,97.2,95.4,0.486,0.262,0.734,0.168,0.129,0.359,189,-0.022,0.224,0.749,0.195,0.403,0.473,-0.249,,
Nolan Jones,666134,308,1357,0.0462159407321583,-0.0204116827815514,0.006416228102149,0.0322204860527559,80.8,93.0,102.7,95.4,0.399,0.256,0.717,0.13,0.094,0.365,308,0.006,0.224,0.039,0.206,0.617,0.523,-0.299,,
Santiago Espinal,669289,399,1527,0.0742659038197161,0.023454908447281,-0.0662760934841775,0.0314447187828196,108.3,112.0,88.4,95.2,0.487,0.255,0.858,0.207,0.062,0.315,399,-0.066,0.215,0.737,0.824,0.099,0.142,0.073,,
Edouard Julien,666397,314,1298,0.0597261997748499,-0.0270531847366183,-0.0014229295781895,0.031250085460042,94.0,90.1,101.2,95.2,0.4,0.148,0.728,0.131,0.114,0.38,314,-0.001,0.215,0.243,0.116,0.556,0.645,-0.43,,
Justyn-Henry Malloy,669234,264,1109,0.0779502014925283,-0.0478668848596003,0.0012188994387208,0.0313022160716488,111.9,81.1,101.7,95.2,0.44,0.209,0.712,0.129,0.143,0.38,264,0.001,0.215,0.841,0.024,0.584,0.645,-0.43,,
Michael Taylor,572191,311,1235,0.0681456643274622,-0.0387544308847077,0.0019881534765666,0.0313793869193211,102.3,85.0,101.9,95.2,0.496,0.312,0.699,0.143,0.183,0.381,311,0.002,0.215,0.545,0.053,0.592,0.654,-0.439,,
José Caballero,676609,497,1953,0.0655718318991881,-0.0056141764949074,-0.0287340725476611,0.0312235828566195,99.8,99.4,95.8,95.2,0.502,0.319,0.753,0.164,0.137,0.334,497,-0.029,0.215,0.456,0.423,0.339,0.297,-0.082,,
Jonah Heim,641680,494,1790,0.0729723560993555,0.0132821960467366,-0.0558359648907435,0.0304185872553485,107.0,107.6,90.5,95.0,0.543,0.298,0.807,0.209,0.097,0.316,494,-0.056,0.208,0.697,0.714,0.148,0.153,0.055,,
Jacob Young,696285,525,1958,0.0535050725448793,0.0213998287002304,-0.0457635267545988,0.0291413744905109,87.9,111.1,92.5,94.8,0.449,0.291,0.816,0.193,0.077,0.326,525,-0.046,0.205,0.126,0.805,0.213,0.218,-0.013,,
Jeff Mcneil,643446,500,1839,0.0867217738187618,0.0102677205488173,-0.0676232101267412,0.0293662842408378,120.4,106.3,88.1,94.8,0.552,0.289,0.862,0.207,0.09,0.301,500,-0.068,0.205,0.959,0.665,0.088,0.074,0.131,,
Cedric Mullins,656775,509,1972,0.0789458090460006,-0.0064847313138116,-0.0436769691543992,0.0287841085777897,112.8,99.0,92.9,94.7,0.517,0.284,0.806,0.182,0.089,0.324,509,-0.044,0.201,0.861,0.408,0.229,0.203,-0.002,,
Tyler Wade,642180,159,597,0.0535221940560659,0.0331030453318039,-0.0585065601007614,0.0281186792871084,88.0,116.2,89.9,94.5,0.441,0.241,0.795,0.193,0.08,0.312,159,-0.059,0.199,0.128,0.908,0.136,0.126,0.073,,
Kyle Isbel,664728,444,1647,0.047027798724184,0.0267135578085725,-0.0461360066076673,0.0276053499250892,81.6,113.4,92.4,94.4,0.46,0.293,0.813,0.192,0.077,0.323,444,-0.046,0.196,0.05,0.855,0.205,0.194,0.002,,
Tommy Edman,669242,219,806,0.0613736424202607,0.0329896107325483,-0.0673531942020706,0.0270100589507384,95.6,116.1,88.2,94.3,0.473,0.291,0.839,0.203,0.1,0.317,219,-0.067,0.192,0.291,0.902,0.092,0.166,0.026,,
Harold Ramírez,623912,257,924,0.0480953918677871,0.0257487541927356,-0.0468401616656952,0.0270039843948275,82.7,113.0,92.2,94.3,0.556,0.429,0.751,0.211,0.162,0.309,257,-0.047,0.192,0.063,0.843,0.192,0.115,0.077,,
Joey Meneses,608841,318,1153,0.0662298337022197,0.0137748438221571,-0.0536891872668064,0.0263154902575704,100.4,107.8,90.9,94.2,0.508,0.31,0.789,0.196,0.108,0.317,318,-0.054,0.185,0.475,0.724,0.155,0.166,0.019,,
Reese Mcguire,624512,163,627,0.0414256151422429,0.0177720865641043,-0.0327755887403357,0.0264221129660114,76.1,109.5,95.0,94.2,0.453,0.356,0.799,0.169,0.104,0.332,163,-0.033,0.185,0.017,0.765,0.293,0.277,-0.092,,
Trent Grisham,663757,224,930,0.053328588032289,-0.0065208955419289,-0.0203101219894718,0.0264975705008882,87.8,99.0,97.5,94.2,0.365,0.196,0.769,0.143,0.081,0.372,224,-0.02,0.185,0.122,0.408,0.414,0.573,-0.388,,
Xavier Edwards,669364,302,1184,0.0766683407441659,0.0107915648428829,-0.0609836703397806,0.0264762352472681,110.6,106.5,89.5,94.2,0.475,0.249,0.833,0.183,0.072,0.316,302,-0.061,0.185,0.8,0.669,0.126,0.153,0.032,,
Jackson Holliday,702616,212,848,0.0668269973564498,-0.0214403883140899,-0.0196735722772622,0.0257130367650976,101.0,92.5,97.6,94.0,0.461,0.299,0.713,0.147,0.136,0.352,212,-0.02,0.179,0.489,0.188,0.419,0.407,-0.228,,
Eddie Rosario,592696,324,1195,0.0580800618143729,0.0060306810345102,-0.0390322306600734,0.0250785121888097,92.4,104.4,93.8,93.9,0.529,0.387,0.751,0.19,0.136,0.324,324,-0.039,0.174,0.183,0.613,0.259,0.203,-0.029,,
Jonah Bride,681146,276,1173,0.0477155456515903,0.0238267520012833,-0.046356136148056,0.0251861615048177,82.3,112.1,92.3,93.9,0.381,0.24,0.832,0.159,0.059,0.328,276,-0.046,0.174,0.058,0.829,0.197,0.242,-0.068,,
Kyle Farmer,571657,246,896,0.056391774347644,0.018931476124554,-0.0503916291405064,0.0249316213316916,90.8,110.0,91.5,93.9,0.488,0.348,0.811,0.193,0.096,0.327,246,-0.05,0.174,0.162,0.771,0.173,0.228,-0.054,,
Kevin Pillar,607680,319,1212,0.0645138323615034,0.0031833987112682,-0.0430316118856889,0.0246656191870827,98.7,103.2,93.0,93.8,0.525,0.367,0.764,0.183,0.115,0.316,319,-0.043,0.169,0.403,0.573,0.232,0.153,0.016,,
Josh Rojas,668942,482,1926,0.0687468405385947,-0.0027234123180049,-0.0423182091938213,0.0237052190267684,102.9,100.6,93.1,93.6,0.455,0.217,0.788,0.166,0.103,0.338,482,-0.042,0.167,0.574,0.461,0.236,0.31,-0.143,,
Joey Ortiz,687401,524,2167,0.0393630086972476,0.0214010890276255,-0.0380151896070521,0.0227489081178209,74.1,111.1,94.0,93.4,0.399,0.25,0.827,0.163,0.06,0.324,524,-0.038,0.165,0.012,0.805,0.263,0.203,-0.038,,
Dj Stewart,621466,209,834,0.074991658919629,-0.0226186663589673,-0.0299882796857351,0.0223847128749265,109.0,92.0,95.6,93.3,0.411,0.23,0.7,0.143,0.115,0.362,209,-0.03,0.162,0.749,0.167,0.327,0.496,-0.334,,
Max Schuemann,680474,463,1846,0.0650766814671146,-0.0066109151021538,-0.0366531669555917,0.0218125994093691,99.3,98.9,94.2,93.2,0.424,0.211,0.768,0.155,0.111,0.352,463,-0.037,0.159,0.431,0.403,0.27,0.407,-0.248,,
Davis Schneider,676914,465,2017,0.0703561835903214,-0.0398249012770284,-0.0086291130257891,0.0219021692875038,104.4,84.5,99.8,93.2,0.425,0.201,0.706,0.131,0.121,0.377,465,-0.009,0.159,0.62,0.047,0.512,0.619,-0.46,,
Sal Frelick,686217,534,2082,0.0467267904861098,0.0433778049263111,-0.0695310543361501,0.0205735410762709,81.3,120.6,87.8,93.0,0.416,0.274,0.864,0.196,0.049,0.298,534,-0.07,0.155,0.045,0.961,0.08,0.058,0.097,,
Freddy Fermin,666023,369,1430,0.0837750180253271,0.0069360501541733,-0.0703375235689256,0.0203735446105748,117.6,104.8,87.6,92.9,0.51,0.305,0.78,0.194,0.106,0.313,369,-0.07,0.153,0.937,0.623,0.074,0.132,0.021,,
Tyler Freeman,671289,391,1395,0.0590487350182728,0.0333156282820276,-0.0726508655460152,0.0197134977542852,93.4,116.2,87.2,92.8,0.47,0.299,0.844,0.208,0.067,0.3,391,-0.073,0.149,0.223,0.908,0.062,0.068,0.081,,
Johan Rojas,679032,388,1428,0.0460566202261807,0.0375966657997823,-0.064086864366355,0.019566421659608,80.7,118.1,88.8,92.8,0.48,0.371,0.773,0.207,0.098,0.297,388,-0.064,0.149,0.036,0.93,0.109,0.051,0.098,,
Ezequiel Duran,677649,288,1033,0.0682269052848021,0.0076614056057017,-0.0564399310741249,0.0194483798163789,102.3,105.1,90.3,92.7,0.566,0.379,0.745,0.201,0.13,0.303,288,-0.056,0.145,0.545,0.632,0.142,0.079,0.066,,
Anthony Rendon,543685,252,1023,0.0640542645087025,0.0262274175144131,-0.0717669854079719,0.0185146966151437,98.3,113.2,87.3,92.5,0.404,0.191,0.846,0.183,0.045,0.296,252,-0.072,0.143,0.385,0.849,0.068,0.045,0.098,,
Matt Thaiss,642136,190,770,0.0769804073622446,-0.0386104521442689,-0.0220896474134718,0.0162803078045038,110.9,85.1,97.1,92.1,0.447,0.207,0.692,0.131,0.166,0.355,190,-0.022,0.14,0.81,0.056,0.397,0.446,-0.306,,
Brett Wisely,689172,270,978,0.051926412789136,0.0159936801214308,-0.0518640954877387,0.016055997422828,86.4,108.7,91.3,92.0,0.497,0.323,0.749,0.193,0.101,0.321,270,-0.052,0.138,0.107,0.746,0.168,0.179,-0.041,,
Elehuris Montero,660707,259,969,0.0669073122830863,-0.0019909460766027,-0.0500911804240509,0.0148251857824325,101.1,100.9,91.6,91.8,0.539,0.4,0.669,0.183,0.157,0.322,259,-0.05,0.136,0.494,0.472,0.178,0.188,-0.052,,
Bo Naylor,666310,419,1738,0.0643000885566817,-0.0260829940250845,-0.0237441670279841,0.0144729275036131,98.5,90.5,96.8,91.7,0.477,0.254,0.77,0.148,0.124,0.343,419,-0.024,0.133,0.39,0.133,0.378,0.343,-0.21,,
Wilmer Flores,527038,247,980,0.0538991910712393,0.0386015283457289,-0.0782976151383581,0.01420310427861,88.3,118.5,86.0,91.6,0.438,0.27,0.839,0.194,0.051,0.296,247,-0.078,0.131,0.133,0.937,0.046,0.045,0.086,,
Austin Slater,596103,218,906,0.0719514030959948,-0.0377045550926502,-0.0208397390678236,0.0134071089355209,106.0,85.5,97.4,91.5,0.429,0.236,0.721,0.136,0.121,0.364,218,-0.021,0.127,0.665,0.061,0.41,0.512,-0.385,,
Whit Merrifield,593160,356,1403,0.0756066863066998,0.0094931478833118,-0.0716778704464421,0.0134219637435694,109.6,105.9,87.3,91.5,0.46,0.3,0.825,0.185,0.083,0.3,356,-0.072,0.127,0.769,0.655,0.068,0.068,0.059,,
Spencer Torkelson,679529,432,1820,0.0760786172354178,-0.0316078337695466,-0.0313735394139479,0.0130972440519231,110.0,88.1,95.3,91.4,0.456,0.238,0.775,0.144,0.114,0.352,432,-0.031,0.123,0.778,0.079,0.314,0.407,-0.284,,
Nick Ahmed,605113,230,852,0.068263644494349,-0.0039354253322842,-0.0515683220744722,0.0127598970875925,102.4,100.1,91.3,91.3,0.546,0.32,0.755,0.196,0.127,0.316,230,-0.052,0.121,0.553,0.444,0.168,0.153,-0.032,,
Daniel Schneemann,682177,239,975,0.0859240402727676,-0.0411160326089366,-0.0326876597496042,0.0121203479142267,119.7,84.0,95.0,91.2,0.488,0.25,0.751,0.142,0.133,0.354,239,-0.033,0.117,0.949,0.044,0.293,0.429,-0.312,,
Evan Carter,694497,169,680,0.0375750386994898,0.0203172124555929,-0.0459021944674602,0.0119900566876226,72.4,110.6,92.4,91.2,0.384,0.189,0.752,0.156,0.084,0.333,169,-0.046,0.117,0.008,0.78,0.205,0.289,-0.172,,
Jason Heyward,518792,260,1045,0.0630647654233383,-0.0051362409644364,-0.0462183854754371,0.0117101389834648,97.3,99.6,92.4,91.1,0.497,0.301,0.784,0.17,0.114,0.324,260,-0.046,0.114,0.349,0.426,0.205,0.203,-0.089,,
Isaac Paredes,670623,652,2885,0.0782532651078262,-0.0056894089274728,-0.0625551804779539,0.0100086757023994,112.2,99.3,89.1,90.8,0.449,0.258,0.838,0.156,0.073,0.304,652,-0.063,0.11,0.845,0.418,0.114,0.088,0.022,,
Adam Frazier,624428,297,1219,0.0710074432083239,-0.0038360734914018,-0.056845471853125,0.010325897863797,105.1,100.1,90.3,90.8,0.471,0.278,0.856,0.171,0.086,0.315,297,-0.057,0.11,0.644,0.444,0.142,0.142,-0.032,,
Nick Fortes,663743,348,1192,0.0612862662760042,0.0522489866728045,-0.1053126630960132,0.0082225898527955,95.6,124.5,80.7,90.4,0.493,0.265,0.838,0.243,0.057,0.259,348,-0.105,0.107,0.291,0.973,0.012,0.005,0.102,,
Nick Loftin,679845,171,626,0.0696279118382106,0.0532100943923413,-0.1149108179767418,0.0079271882538101,103.7,124.9,78.8,90.3,0.428,0.239,0.816,0.203,0.061,0.276,171,-0.115,0.103,0.591,0.976,0.007,0.012,0.091,,
Corey Julks,667452,198,800,0.0586302674417828,-0.0038681014656592,-0.0470870793907741,0.0076750865853494,93.0,100.1,92.2,90.3,0.458,0.301,0.764,0.162,0.11,0.328,198,-0.047,0.103,0.201,0.444,0.192,0.242,-0.139,,
Andy Ibáñez,628451,271,1014,0.077967898723313,-0.0133755902667357,-0.0579019831633091,0.0066903252932681,111.9,96.0,90.1,90.1,0.532,0.323,0.79,0.18,0.14,0.325,271,-0.058,0.099,0.841,0.286,0.138,0.213,-0.114,,
Tim Anderson,641313,253,987,0.07021831645866,-0.0219929757321561,-0.0421486502022658,0.006076690524238,104.3,92.3,93.2,89.9,0.554,0.376,0.761,0.172,0.164,0.313,253,-0.042,0.096,0.616,0.178,0.242,0.132,-0.036,,
Geraldo Perdomo,672695,398,1615,0.0609800794454749,0.0378760475586028,-0.0931079710686152,0.0057481559354625,95.3,118.2,83.1,89.9,0.406,0.198,0.847,0.183,0.042,0.291,398,-0.093,0.096,0.281,0.932,0.019,0.031,0.065,,
Dominic Fletcher,666150,242,910,0.045654376489767,0.0123032467507252,-0.0529363558475467,0.0050212673929455,80.3,107.1,91.0,89.7,0.473,0.304,0.801,0.186,0.09,0.303,242,-0.053,0.09,0.031,0.702,0.159,0.079,0.011,,
Victor Scott,687363,160,581,0.0679763394123211,0.0001370340590848,-0.0630596204122315,0.0050537530591744,102.1,101.9,89.0,89.7,0.506,0.275,0.781,0.186,0.122,0.317,160,-0.063,0.09,0.54,0.515,0.111,0.166,-0.076,,
Orlando Arcia,606115,613,2373,0.0759275962924401,0.0007857030974693,-0.0718827883762256,0.0048305110136838,109.9,102.1,87.3,89.7,0.493,0.275,0.768,0.185,0.117,0.304,613,-0.072,0.09,0.775,0.527,0.068,0.088,0.002,,
Austin Barnes,605131,158,601,0.087634959101201,-0.0057507936728999,-0.0772429727361973,0.0046411926921037,121.3,99.3,86.2,89.6,0.473,0.19,0.804,0.18,0.092,0.311,158,-0.077,0.084,0.971,0.418,0.048,0.123,-0.039,,
Dylan Moore,664238,447,1826,0.0760850010280538,-0.0284317541279489,-0.0433319412689748,0.00432130563113,110.0,89.5,92.9,89.6,0.424,0.212,0.749,0.14,0.093,0.34,447,-0.043,0.084,0.778,0.108,0.229,0.32,-0.236,,
Trey Lipscomb,702358,218,795,0.0707312049950299,0.0090551003371541,-0.0766452298569218,0.0031410754752621,104.8,105.7,86.4,89.3,0.509,0.303,0.777,0.199,0.117,0.292,218,-0.077,0.08,0.634,0.649,0.053,0.035,0.045,,
Brandon Drury,592273,373,1443,0.0645158572721289,0.0025129786335458,-0.0650266965195499,0.0020021393861249,98.7,102.9,88.7,89.1,0.464,0.32,0.764,0.177,0.105,0.295,373,-0.065,0.077,0.403,0.553,0.107,0.041,0.036,,
Kris Bryant,592178,170,672,0.0726056879523664,-0.0456934773238314,-0.0266975799901411,0.0002146306383938,106.6,82.0,96.2,88.7,0.473,0.26,0.752,0.137,0.159,0.354,170,-0.027,0.075,0.685,0.027,0.346,0.429,-0.354,,
Daulton Varsho,662139,533,2125,0.0682819907239742,-0.0166017281441589,-0.0533076697344213,-0.0016274071546061,102.4,94.6,91.0,88.3,0.474,0.288,0.777,0.16,0.112,0.31,533,-0.053,0.073,0.553,0.243,0.159,0.12,-0.047,,
Blake Perkins,663368,439,1761,0.0524597926012331,0.0003183516315338,-0.0560172092579054,-0.0032390650251384,86.9,101.9,90.4,88.0,0.424,0.212,0.765,0.162,0.102,0.324,439,-0.056,0.07,0.116,0.515,0.145,0.203,-0.133,,
Tj Friedl,670770,342,1286,0.0634122772947137,0.022356452942914,-0.0894809516141298,-0.0037122213765019,97.6,111.5,83.8,87.9,0.434,0.241,0.827,0.195,0.072,0.293,342,-0.089,0.068,0.357,0.814,0.027,0.039,0.029,,
Danny Jansen,643376,323,1367,0.0742566979317306,0.0020538448699109,-0.0809202603280583,-0.0046097175264167,108.2,102.7,85.5,87.7,0.407,0.231,0.791,0.16,0.078,0.297,323,-0.081,0.064,0.73,0.546,0.044,0.051,0.013,,
Jose Trevino,624431,248,934,0.0374344467640652,0.0609305004644557,-0.1029047467901575,-0.0045397995616365,72.2,128.2,81.2,87.7,0.407,0.362,0.808,0.195,0.069,0.276,248,-0.103,0.064,0.005,0.99,0.015,0.012,0.052,,
Nicky Lopez,670032,449,1637,0.0640339402117741,0.0212574525101768,-0.0909067433400944,-0.0056153506181434,98.2,111.0,83.6,87.5,0.484,0.273,0.84,0.206,0.086,0.276,449,-0.091,0.061,0.381,0.798,0.024,0.012,0.049,,
Mark Canha,592192,484,2031,0.0606079295640216,-3.254389966811035e-06,-0.0664856582560222,-0.0058809830819673,94.9,101.8,88.4,87.4,0.415,0.23,0.807,0.156,0.082,0.304,484,-0.066,0.058,0.27,0.508,0.099,0.088,-0.03,,
Mitch Garver,641598,437,1840,0.0554033724041981,-0.0194510872294626,-0.0426612868215675,-0.006709001646832,89.8,93.4,93.1,87.3,0.386,0.201,0.754,0.13,0.109,0.34,437,-0.043,0.056,0.145,0.213,0.236,0.32,-0.264,,
Vidal Bruján,660644,285,1088,0.0769741861870492,-0.0012301759573116,-0.0832604957811269,-0.0075164855513892,110.9,101.3,85.1,87.1,0.52,0.316,0.793,0.185,0.114,0.286,285,-0.083,0.053,0.81,0.493,0.039,0.027,0.026,,
Brayan Rocchio,677587,489,1863,0.0649999935314807,-0.000670697672395,-0.0724458125853705,-0.0081165167262848,99.2,101.5,87.2,87.0,0.484,0.33,0.769,0.179,0.099,0.298,489,-0.072,0.05,0.426,0.499,0.062,0.058,-0.008,,
Garrett Hampson,641658,236,901,0.0637114954252732,-0.0012933272742494,-0.070173276835183,-0.0077551086841592,97.9,101.2,87.6,87.0,0.473,0.262,0.773,0.179,0.101,0.313,236,-0.07,0.05,0.374,0.488,0.074,0.132,-0.082,,
Angel Martínez,682657,170,680,0.0465947265941658,0.0133222226693545,-0.0689106575098289,-0.0089937082463085,81.2,107.6,87.9,86.8,0.485,0.314,0.815,0.179,0.085,0.306,170,-0.069,0.046,0.041,0.714,0.082,0.104,-0.058,,
Blaze Alexander,677942,192,745,0.0848965629819424,-0.0244569577384129,-0.0701307463983428,-0.0096911411548133,118.7,91.2,87.7,86.6,0.51,0.257,0.78,0.164,0.129,0.307,192,-0.07,0.042,0.944,0.153,0.077,0.109,-0.067,,
Kevin Kiermaier,595281,301,1108,0.0807264422457093,-0.0316097075124465,-0.0589856553126546,-0.0098689205793918,114.6,88.1,89.8,86.6,0.547,0.29,0.713,0.172,0.183,0.316,301,-0.059,0.042,0.898,0.079,0.133,0.153,-0.111,,
Luis Guillorme,641645,189,813,0.0636336241706152,-0.006201254010709,-0.0684302503467451,-0.0109978801868389,97.9,99.1,88.0,86.4,0.422,0.223,0.869,0.16,0.063,0.292,189,-0.068,0.039,0.374,0.412,0.085,0.035,0.004,,
Cristian Pache,665506,198,817,0.0823759242063855,-0.0504551189021806,-0.0450785404584708,-0.0131577351542658,116.2,79.9,92.6,85.9,0.482,0.27,0.688,0.135,0.154,0.342,198,-0.045,0.036,0.92,0.015,0.219,0.337,-0.301,,
Michael Siani,672279,346,1331,0.0590895479990581,-0.0121283980815188,-0.0611183502500509,-0.0141572003325117,93.4,96.5,89.4,85.7,0.485,0.268,0.774,0.17,0.127,0.304,346,-0.061,0.034,0.223,0.3,0.122,0.088,-0.054,,
Robbie Grossman,543257,245,1031,0.0493770111271554,0.0012176595026643,-0.0659168769673215,-0.0153222063375017,83.9,102.3,88.5,85.5,0.363,0.171,0.797,0.147,0.073,0.326,245,-0.066,0.031,0.07,0.534,0.104,0.218,-0.187,,
Ben Rortvedt,666163,341,1410,0.0500010234747328,-0.0030955264388478,-0.0624603927726605,-0.0155548957367755,84.5,100.5,89.2,85.4,0.433,0.257,0.734,0.148,0.109,0.306,341,-0.062,0.029,0.087,0.456,0.117,0.104,-0.075,,
Connor Joe,656582,432,1716,0.0686202422676316,-0.0018986309948601,-0.09100154864811,-0.0242799373753385,102.7,101.0,83.5,83.6,0.433,0.207,0.793,0.166,0.101,0.297,432,-0.091,0.027,0.567,0.479,0.022,0.051,-0.024,,
Dylan Carlson,666185,279,1158,0.0754657343508534,-0.0299250992088643,-0.0744714644776398,-0.0289308293356507,109.4,88.8,86.8,82.6,0.483,0.247,0.757,0.148,0.139,0.305,279,-0.074,0.024,0.76,0.097,0.056,0.098,-0.074,,
Miguel Vargas,678246,237,1009,0.0791373840188744,-0.0190868338001157,-0.096169039466397,-0.0361184892476383,113.0,93.5,82.5,81.1,0.446,0.226,0.797,0.151,0.083,0.285,237,-0.096,0.022,0.864,0.215,0.017,0.023,-0.001,,
Travis Jankowski,608671,210,827,0.0615169079568941,0.0083717242455039,-0.108635276254307,-0.0387466440519089,95.8,105.4,80.1,80.6,0.449,0.174,0.86,0.18,0.087,0.266,210,-0.109,0.019,0.303,0.644,0.01,0.007,0.012,,
Garrett Stubbs,596117,196,790,0.0694653166710298,-0.0205482302543644,-0.0892069963981719,-0.0402899099815064,103.6,92.9,83.9,80.2,0.494,0.296,0.777,0.154,0.113,0.279,196,-0.089,0.017,0.586,0.2,0.029,0.019,-0.002,,
Alex Jackson,656577,168,664,0.062460221775727,-0.0257650125972841,-0.0819699337803917,-0.0452747246019487,96.7,90.6,85.3,79.2,0.527,0.364,0.579,0.143,0.188,0.285,168,-0.082,0.015,0.334,0.138,0.041,0.023,-0.008,,
Cavan Biggio,624415,248,1062,0.0472482974019944,-0.0241078025684913,-0.0767504662147927,-0.0536099713812896,81.8,91.4,86.3,77.4,0.379,0.173,0.772,0.121,0.082,0.3,248,-0.077,0.012,0.053,0.156,0.051,0.068,-0.056,,
Taylor Walls,670764,253,1028,0.0712719663493644,-0.011766567364674,-0.1160011721347737,-0.0564957731500832,105.3,96.7,78.6,76.8,0.451,0.194,0.766,0.15,0.103,0.278,253,-0.116,0.01,0.65,0.308,0.005,0.017,-0.007,,
Luke Maile,571912,154,636,0.0701793080102009,-0.043573359577243,-0.0880568986357177,-0.0614509502027598,104.3,82.9,84.1,75.8,0.451,0.267,0.749,0.132,0.118,0.304,154,-0.088,0.006,0.616,0.034,0.033,0.088,-0.082,,
Martín Maldonado,455117,150,565,0.0619160164301509,-0.0350226657551417,-0.0881438683700149,-0.0612505176950057,96.2,86.6,84.1,75.8,0.487,0.291,0.7,0.154,0.165,0.305,150,-0.088,0.006,0.317,0.07,0.033,0.098,-0.092,,
Austin Hedges,595978,168,630,0.091052694706029,-0.0448613668648077,-0.1826413552335054,-0.1364500273922842,124.7,82.4,65.5,60.1,0.538,0.311,0.73,0.157,0.171,0.211,168,-0.183,0.002,0.988,0.031,0.002,0.002,0.0,,
