batter_name,batter,pa,pitches,decision_raw,contact_raw,power_raw,process_raw,decision_plus,contact_plus,power_plus,process_plus,swing_pct,chase_pct,contact_pct,in_play_pct,whiff_pct,xwoba_actual,pa_pitches,xwoba_vs_expected,pp_rank,dec_rank,con_rank,pow_rank,xwoba_rank,rank_gap,batscore,batscore_rank
Dominic Smith,642086,310,1223,0.0622328695837827,-0.0061172037660294,-0.008741372469082,0.0473742933486713,96.5,99.2,99.7,98.6,0.455,0.306,0.779,0.164,0.103,0.364,310,-0.009,0.384,0.324,0.414,0.507,0.512,-0.128,,
Francisco Álvarez,682626,411,1570,0.0630362468116308,-0.0021226404370285,-0.0133462598300904,0.0475673465445118,97.3,100.9,98.8,98.6,0.473,0.275,0.71,0.169,0.132,0.355,411,-0.013,0.384,0.349,0.472,0.472,0.446,-0.062,,
Mike Yastrzemski,573262,475,1960,0.0634322754205235,-0.0139802989555423,-0.0020736204917092,0.0473783559732718,97.7,95.7,101.1,98.6,0.441,0.221,0.782,0.157,0.105,0.373,475,-0.002,0.384,0.362,0.275,0.552,0.582,-0.198,,
Patrick Wisdom,621550,172,699,0.08058613042035,-0.0427388072742997,0.0083053374728987,0.046152660618949,114.4,83.3,103.1,98.3,0.489,0.268,0.66,0.142,0.142,0.398,172,0.008,0.374,0.896,0.041,0.645,0.725,-0.351,,
Joey Gallo,608336,269,1107,0.0742931706082244,-0.053840684389086,0.0256729081232329,0.0461253943423712,108.3,78.5,106.5,98.3,0.455,0.232,0.616,0.114,0.166,0.409,269,0.026,0.374,0.737,0.01,0.731,0.781,-0.407,,
Adam Duvall,594807,330,1252,0.054642153605725,-0.0116837893211874,0.0031107575120998,0.0460691217966374,89.1,96.7,102.1,98.3,0.49,0.337,0.731,0.164,0.126,0.369,330,0.003,0.374,0.14,0.308,0.599,0.55,-0.176,,
Andrés Giménez,665926,679,2565,0.0768207973110293,0.004133554530821,-0.0351100354256511,0.0458443164161992,110.8,103.6,94.6,98.3,0.566,0.388,0.76,0.204,0.122,0.326,679,-0.035,0.374,0.806,0.591,0.278,0.218,0.156,,
Jacob Stallings,607732,283,1082,0.0677574710096018,-0.0121514047683465,-0.0102690553135487,0.0453370109277065,101.9,96.5,99.4,98.1,0.454,0.243,0.783,0.167,0.119,0.364,283,-0.01,0.366,0.534,0.3,0.494,0.512,-0.146,,
Brooks Lee,686797,187,627,0.0494632158187063,0.0557586208828269,-0.0602480126334605,0.0449738240680727,84.0,126.0,89.6,98.1,0.523,0.312,0.802,0.239,0.099,0.309,187,-0.06,0.366,0.074,0.978,0.128,0.115,0.251,,
Leo Jimenez,677870,213,856,0.0615924596252353,-0.0284979107829222,0.0122495923780201,0.0453441412203333,95.9,89.5,103.9,98.1,0.463,0.283,0.741,0.146,0.12,0.376,213,0.012,0.366,0.308,0.108,0.662,0.61,-0.244,,
Ryan Jeffers,680777,477,1866,0.0586133706989858,0.0116572617848125,-0.0256578647146068,0.0446127677691915,92.9,106.9,96.4,98.0,0.483,0.289,0.743,0.179,0.105,0.336,477,-0.026,0.36,0.192,0.689,0.354,0.303,0.057,,
Spencer Steer,668715,659,2618,0.069625033207792,-0.0017675726557719,-0.0232398924757637,0.0446175680762563,103.7,101.0,96.9,98.0,0.446,0.243,0.788,0.168,0.094,0.355,659,-0.023,0.36,0.591,0.479,0.387,0.446,-0.086,,
Zack Gelof,680869,552,2072,0.0787585744424421,-0.0398355244158324,0.0052845212332839,0.0442075712598936,112.6,84.5,102.5,97.9,0.513,0.285,0.673,0.154,0.177,0.382,552,0.005,0.356,0.856,0.047,0.609,0.663,-0.307,,
Bryson Stott,681082,602,2440,0.0497435562400187,0.0185455561722567,-0.0244089093474531,0.0438802030648223,84.3,109.8,96.7,97.8,0.441,0.285,0.85,0.182,0.066,0.328,602,-0.024,0.352,0.082,0.768,0.366,0.242,0.11,,
Nick Gordon,624503,291,1068,0.0800227711290973,-0.0102970122547181,-0.0261481425691981,0.0435776163051809,113.9,97.3,96.3,97.8,0.599,0.395,0.744,0.193,0.178,0.333,291,-0.026,0.352,0.883,0.334,0.35,0.289,0.063,,
