pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
547973,Aroldis Chapman,972,5.782,1.391,-0.027,0.549,0.4,0.503,0.336,0.6,100.0,P,False
623352,Josh Hader,876,5.757,1.458,-0.028,0.492,0.423,0.458,0.332,0.577,99.9,P,False
656730,Trevor Megill,841,5.751,1.406,-0.028,0.536,0.389,0.512,0.332,0.611,99.7,P,False
669093,Jeremiah Estrada,1290,5.683,1.37,-0.031,0.528,0.416,0.477,0.325,0.584,99.6,P,False
678495,Randy Rodríguez,826,5.678,1.349,-0.031,0.487,0.385,0.512,0.338,0.615,99.5,P,False
694819,Jacob Misiorowski,1348,5.66,1.431,-0.032,0.544,0.397,0.52,0.335,0.603,99.3,P,False
682254,Mason Montgomery,876,5.659,1.452,-0.032,0.517,0.412,0.489,0.33,0.588,99.2,P,False
640462,A. J. Puk,180,5.64,1.484,-0.032,0.552,0.377,0.548,0.355,0.623,99.0,P,True
672282,Reid Detmers,1082,5.637,1.332,-0.032,0.502,0.339,0.512,0.337,0.661,98.9,P,False
656945,Tanner Scott,914,5.635,1.382,-0.033,0.538,0.401,0.507,0.342,0.599,98.8,P,False
623149,Paul Sewald,330,5.617,1.213,-0.033,0.527,0.368,0.534,0.35,0.632,98.6,P,False
593833,Wander Suero,142,5.602,1.238,-0.034,0.479,0.354,0.444,0.324,0.646,98.5,P,True
695505,Chase Burns,777,5.593,1.318,-0.034,0.529,0.39,0.491,0.328,0.61,98.4,P,False
695243,Mason Miller,1027,5.581,1.532,-0.035,0.486,0.419,0.448,0.325,0.581,98.2,P,False
642207,Devin Williams,1212,5.581,1.289,-0.035,0.503,0.41,0.442,0.326,0.59,98.1,P,False
642585,Félix Bautista,626,5.56,1.388,-0.035,0.472,0.394,0.445,0.314,0.606,97.9,P,False
642547,Freddy Peralta,3362,5.541,1.387,-0.036,0.474,0.411,0.454,0.331,0.589,97.8,P,False
678692,Ronny Henriquez,1158,5.515,1.358,-0.037,0.481,0.45,0.461,0.323,0.55,97.7,P,False
686973,Louis Varland,1343,5.512,1.521,-0.037,0.511,0.404,0.517,0.334,0.596,97.5,P,False
650556,Bryan Abreu,1205,5.511,1.37,-0.037,0.462,0.421,0.441,0.329,0.579,97.4,P,False
594798,Jacob Degrom,2684,5.495,1.319,-0.038,0.51,0.405,0.492,0.329,0.595,97.3,P,False
571946,Shelby Miller,712,5.494,1.225,-0.038,0.498,0.365,0.493,0.344,0.635,97.1,P,False
671922,Cade Smith,1257,5.48,1.315,-0.038,0.538,0.371,0.494,0.342,0.629,97.0,P,False
668881,Hunter Greene,1897,5.475,1.358,-0.038,0.551,0.381,0.522,0.332,0.619,96.8,P,False
681870,Erik Sabrowski,534,5.471,1.46,-0.039,0.472,0.352,0.478,0.335,0.648,96.7,P,False
554340,Yimi García,379,5.456,1.308,-0.039,0.492,0.361,0.523,0.336,0.639,96.6,P,False
689254,Mason Fluharty,1009,5.453,1.251,-0.039,0.453,0.399,0.449,0.316,0.601,96.4,P,False
801139,Payton Tolle,311,5.44,1.445,-0.04,0.504,0.33,0.54,0.355,0.67,96.3,P,False
681911,Alex Vesia,1109,5.436,1.336,-0.04,0.525,0.361,0.503,0.331,0.639,96.2,P,False
687209,Zach Maxwell,165,5.428,1.395,-0.04,0.467,0.399,0.509,0.331,0.601,96.0,P,True
681799,Ethan Roberts,144,5.42,1.326,-0.04,0.442,0.364,0.482,0.326,0.636,95.9,P,True
694361,Will Klein,391,5.42,1.376,-0.04,0.482,0.361,0.461,0.325,0.639,95.7,P,False
696149,Bubba Chandler,461,5.414,1.281,-0.041,0.505,0.345,0.481,0.329,0.655,95.6,P,False
621345,A. J. Minter,215,5.413,1.341,-0.041,0.465,0.4,0.459,0.329,0.6,95.5,P,False
621237,José Alvarado,477,5.412,1.43,-0.041,0.453,0.362,0.478,0.317,0.638,95.3,P,False
691799,Grant Taylor,609,5.411,1.413,-0.041,0.498,0.36,0.53,0.333,0.64,95.2,P,False
687863,Porter Hodge,609,5.409,1.377,-0.041,0.456,0.392,0.477,0.33,0.608,95.1,P,False
683175,Connor Phillips,400,5.408,1.403,-0.041,0.433,0.401,0.459,0.327,0.599,94.9,P,False
656302,Dylan Cease,3187,5.398,1.358,-0.041,0.491,0.401,0.449,0.32,0.599,94.8,P,False
673929,Jordan Leasure,1144,5.398,1.397,-0.041,0.477,0.411,0.462,0.328,0.589,94.6,P,False
800311,Didier Fuentes,293,5.396,1.394,-0.041,0.486,0.392,0.478,0.343,0.608,94.5,P,False
656848,Michael Petersen,327,5.385,1.303,-0.042,0.544,0.383,0.469,0.334,0.617,94.4,P,False
554430,Zack Wheeler,2465,5.38,1.314,-0.042,0.515,0.35,0.471,0.328,0.65,94.2,P,False
592155,Cam Booser,597,5.374,1.384,-0.042,0.484,0.348,0.492,0.338,0.652,94.1,P,False
805123,Aj Blubaugh,507,5.373,1.286,-0.042,0.465,0.366,0.477,0.336,0.634,94.0,P,False
666374,Matt Brash,980,5.362,1.465,-0.042,0.428,0.417,0.427,0.304,0.583,93.8,P,False
521230,Liam Hendriks,238,5.361,1.23,-0.043,0.446,0.423,0.408,0.321,0.577,93.7,P,False
691587,Eury Pérez,1673,5.354,1.361,-0.043,0.49,0.365,0.494,0.336,0.635,93.5,P,False
820862,José Fermin,656,5.354,1.374,-0.043,0.501,0.374,0.482,0.333,0.626,93.4,P,False
640451,Hunter Harvey,202,5.353,1.438,-0.043,0.517,0.385,0.453,0.333,0.615,93.3,P,False
672391,Kaleb Ort,788,5.347,1.409,-0.043,0.469,0.384,0.46,0.334,0.616,93.1,P,False
