run_date,test,metric,window,n,partial_r,ci_lo,ci_hi,p,bh,fdr_pass
2026-07-18,T1_persistence,chase_pct,7,3201,0.20285947544115174,0.1655207227180872,0.2398266601304132,0.0016666666666666668,0.005000000000000001,True
2026-07-18,T1_persistence,chase_pct,14,3203,0.2559024215437095,0.22168544230859635,0.2924502772525837,0.0016666666666666668,0.010000000000000002,True
2026-07-18,T1_persistence,chase_pct,21,2961,0.2811496005983637,0.24308959517326806,0.32435272056845604,0.0016666666666666668,0.015,True
2026-07-18,T1_persistence,chase_pct,30,2518,0.31260547240700487,0.26736197199351613,0.3492662094421765,0.0016666666666666668,0.020000000000000004,True
2026-07-18,T1_persistence,chase_pct,45,2056,0.36273065629422646,0.32147510331871926,0.40299347882207465,0.0016666666666666668,0.025,True
2026-07-18,T1_persistence,z_swing_pct,7,3201,0.218637246295383,0.1823928406724942,0.2532106430609491,0.0016666666666666668,0.03,True
2026-07-18,T1_persistence,z_swing_pct,14,3203,0.28801655993165476,0.2548579793831836,0.32298892992517503,0.0016666666666666668,0.034999999999999996,True
2026-07-18,T1_persistence,z_swing_pct,21,2961,0.3270976490931411,0.28700272878349964,0.3629398104086013,0.0016666666666666668,0.04000000000000001,True
2026-07-18,T1_persistence,z_swing_pct,30,2518,0.36878991394349026,0.3236577249908003,0.40939769489642003,0.0016666666666666668,0.045000000000000005,True
2026-07-18,T1_persistence,z_swing_pct,45,2056,0.4203804155221051,0.37606869530709014,0.4642787652744553,0.0016666666666666668,0.05,True
2026-07-18,T1_persistence,decision_gap,7,3201,0.1466677016012626,0.11207040332577796,0.17899618719698251,0.0016666666666666668,0.05500000000000001,True
2026-07-18,T1_persistence,decision_gap,14,3203,0.18052604064475208,0.14627299819811926,0.21134727229054187,0.0016666666666666668,0.06,True
2026-07-18,T1_persistence,decision_gap,21,2961,0.2167351328617746,0.1801001721274361,0.25526187179912274,0.0016666666666666668,0.065,True
2026-07-18,T1_persistence,decision_gap,30,2518,0.2505412922593863,0.21089718443565672,0.29071265676506547,0.0016666666666666668,0.06999999999999999,True
2026-07-18,T1_persistence,decision_gap,45,2056,0.30496607709193746,0.25495511933014653,0.3454240395718103,0.0016666666666666668,0.07500000000000001,True
2026-07-18,T1_persistence,swing_pct,7,3201,0.23652932334664767,0.20033655596681518,0.27194346474205994,0.0016666666666666668,0.08000000000000002,True
2026-07-18,T1_persistence,swing_pct,14,3203,0.3028323717695246,0.26894439384265073,0.33592567756421843,0.0016666666666666668,0.085,True
2026-07-18,T1_persistence,swing_pct,21,2961,0.3324026502146673,0.2972398449478627,0.3638261460914262,0.0016666666666666668,0.09000000000000001,True
2026-07-18,T1_persistence,swing_pct,30,2518,0.3473304111881428,0.3068979069363052,0.3825739347699823,0.0016666666666666668,0.095,True
2026-07-18,T1_persistence,swing_pct,45,2056,0.3997879141937443,0.3530965143389948,0.44432331318634016,0.0016666666666666668,0.1,True
2026-07-18,T2_fp_relevance,z_swing_pct,7,598,0.052844875495326744,-0.02510533675688591,0.13448307080056893,0.17333333333333334,0.005000000000000001,False
2026-07-18,T2_fp_relevance,decision_gap,7,598,0.04660471270671174,-0.030554808100622336,0.1272213816502064,0.26,0.010000000000000002,False
2026-07-18,T2_fp_relevance,z_swing_pct,21,511,-0.03941125946067789,-0.12567840687449525,0.048537230914081776,0.36333333333333334,0.015,False
2026-07-18,T2_fp_relevance,swing_pct,45,233,0.052020629435121375,-0.07641108525335989,0.182643267540394,0.41333333333333333,0.020000000000000004,False
2026-07-18,T2_fp_relevance,chase_pct,45,233,0.04715107359558058,-0.0912929326607054,0.17061970082571182,0.44333333333333336,0.025,False
2026-07-18,T2_fp_relevance,decision_gap,21,511,-0.03309106163120083,-0.12733267668171955,0.06013334387000562,0.51,0.03,False
2026-07-18,T2_fp_relevance,chase_pct,14,594,-0.018051433350199403,-0.1000552383058984,0.0640120706042402,0.61,0.034999999999999996,False
2026-07-18,T2_fp_relevance,z_swing_pct,45,233,0.04566734897327476,-0.08633979960776478,0.17713693738750322,0.62,0.04000000000000001,False
2026-07-18,T2_fp_relevance,swing_pct,7,598,0.020049336235555784,-0.0658423202684824,0.10027709396309492,0.6333333333333333,0.045000000000000005,False
2026-07-18,T2_fp_relevance,z_swing_pct,14,594,-0.015294563008286044,-0.09601243417839934,0.07473860585525939,0.7266666666666667,0.05,False
2026-07-18,T2_fp_relevance,chase_pct,21,511,-0.012135328384567287,-0.09864755416859454,0.07655184620672512,0.7633333333333333,0.05500000000000001,False
2026-07-18,T2_fp_relevance,swing_pct,30,378,0.017293565393598227,-0.0921829820047898,0.13083801358241878,0.7666666666666667,0.06,False
2026-07-18,T2_fp_relevance,chase_pct,30,378,0.014757840826437246,-0.08482935156599065,0.10903168722549347,0.84,0.065,False
2026-07-18,T2_fp_relevance,swing_pct,21,511,-0.010915967218618277,-0.09838348039335428,0.0835010022716136,0.8766666666666667,0.06999999999999999,False
2026-07-18,T2_fp_relevance,decision_gap,14,594,0.0018322348074473064,-0.07337181985991562,0.08310220284783411,0.8833333333333333,0.07500000000000001,False
2026-07-18,T2_fp_relevance,z_swing_pct,30,378,-0.005325238473556015,-0.09807486678462282,0.09940014299214112,0.9033333333333333,0.08000000000000002,False
2026-07-18,T2_fp_relevance,decision_gap,45,233,0.010794117865922525,-0.12577688566357523,0.13374079800381414,0.9166666666666666,0.085,False
2026-07-18,T2_fp_relevance,chase_pct,7,598,-0.0036260821383051955,-0.08057604217058717,0.07512844695030117,0.9366666666666666,0.09000000000000001,False
2026-07-18,T2_fp_relevance,swing_pct,14,594,-0.0014258552777677866,-0.08532276959529234,0.07996033499161838,0.9466666666666667,0.095,False
2026-07-18,T2_fp_relevance,decision_gap,30,378,-0.002074860515496511,-0.10286778437360335,0.10082536415595954,0.96,0.1,False
