batter,xfp_rh1_per_pa,iso_to,k_pct_to,hr_per_pa_to,hard_hit_pct_to,contact_pct_to,whiff_pct_to,swstr_pct_to,bb_pct_to,chase_pct_to,in_play_pct_to,sb_per_pa_to,xwoba_per_pa_to,barrel_pct_to,pa_to,split_day,player_name,team,rank
670541,0.7717590713359468,0.3980582524271844,0.088,0.088,0.4891304347826087,0.8131313131313131,0.1868686868686868,0.0756646216768916,0.152,0.2473498233215547,0.1881390593047034,0.0,0.5604750000000001,0.1956521739130435,125,30,Yordan Alvarez,HOU,1
666126,0.6952149044493586,0.2982456140350877,0.0634920634920634,0.0634920634920634,0.5094339622641509,0.8512396694214877,0.1487603305785124,0.0700389105058365,0.0952380952380952,0.2403100775193798,0.2062256809338521,0.0,0.4553548387096774,0.1509433962264151,63,30,Carlos Cortes,ATH,2
700250,0.6851656862302916,0.4216867469879518,0.2745098039215686,0.088235294117647,0.6363636363636364,0.7365269461077845,0.2634730538922156,0.0979955456570155,0.1764705882352941,0.2024291497975708,0.1224944320712694,0.0,0.464204081632653,0.2363636363636363,102,30,Ben Rice,NYY,3
545361,0.6586515207905103,0.2947368421052631,0.208,0.064,0.463768115942029,0.7857142857142857,0.2142857142857142,0.0762250453720508,0.224,0.1699346405228758,0.1252268602540834,0.0,0.4786249999999999,0.2318840579710145,125,30,Mike Trout,LAA,4
701398,0.6537557657162054,0.3137254901960784,0.1764705882352941,0.0756302521008403,0.4814814814814814,0.7575757575757576,0.2424242424242424,0.1169102296450939,0.1428571428571428,0.2806324110671936,0.1691022964509394,0.0,0.4342543859649123,0.2222222222222222,119,30,Sal Stewart,CIN,5
671739,0.6416304515858666,0.2417582417582417,0.15625,0.0625,0.5657894736842105,0.75,0.25,0.1379310344827586,0.0520833333333333,0.4086021505376344,0.2183908045977011,0.0,0.469557894736842,0.1973684210526315,96,30,Michael Harris II,ATL,6
608070,0.6412059543508664,0.2352941176470588,0.1311475409836065,0.0491803278688524,0.4534883720930232,0.8305084745762712,0.1694915254237288,0.0756143667296786,0.1639344262295081,0.2901023890784983,0.162570888468809,0.0,0.4175416666666666,0.1162790697674418,122,30,José Ramírez,CLE,7
695578,0.6330781053149903,0.3333333333333333,0.3065693430656934,0.072992700729927,0.6515151515151515,0.6555023923444976,0.3444976076555024,0.1206030150753768,0.1970802919708029,0.1993957703927492,0.1105527638190954,0.0,0.4633787878787878,0.303030303030303,137,30,James Wood,WSH,8
689414,0.6315873143981731,0.2068965517241379,0.0638297872340425,0.0531914893617021,0.3950617283950617,0.9333333333333332,0.0666666666666666,0.0290697674418604,0.0531914893617021,0.2203389830508474,0.2354651162790697,0.0,0.3614731182795698,0.0617283950617283,94,30,Liam Hicks,MIA,9
668939,0.626896590281775,0.3191489361702128,0.1346153846153846,0.0576923076923076,0.475,0.872093023255814,0.127906976744186,0.0547263681592039,0.0961538461538461,0.2608695652173913,0.1990049751243781,0.0,0.3269038461538461,0.075,52,30,Adley Rutschman,BAL,10
545121,0.6263232986732025,0.2933333333333333,0.1168831168831168,0.0649350649350649,0.3787878787878788,0.8333333333333334,0.1666666666666666,0.0826446280991735,0.0259740259740259,0.4140625,0.2727272727272727,0.0,0.4097922077922078,0.0757575757575757,77,30,Ildemaro Vargas,AZ,11
