Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Alex Cobb,502171,2414,5.095190555095278,2.991993889751321,8.161797571428572,3.341772480046559,8.161797571428572,8.161797571428572,2.972637770283169,8.161797571428572,2.6371743329843214
Austin Gomber,596295,2059,5.112797474502186,3.0114996497326207,3.723227152147662,8.161797571428572,2.185170090228776,2.1816294792062583,3.365124760664804,8.161797571428572,8.161797571428572
Connor Overton,656818,464,4.948943965517241,3.0161233789184947,3.407014833041958,3.4289742238918106,2.5647757982954547,2.237993018808777,3.380749193181818,8.161797571428572,8.161797571428572
Michael Rucker,621074,894,5.090514541387025,3.0177592134146343,3.3346647749022527,8.161797571428572,2.8539604689733413,2.848314583465316,2.719472855974066,2.446177357962697,8.161797571428572
Brett Martin,656685,750,5.005066666666667,3.02020542,3.2836821428571428,3.7936914257812497,2.086774411764706,8.161797571428572,2.680067299270073,8.161797571428572,8.161797571428572
JP Sears,676664,1078,5.0273562152133575,3.020680157142857,2.913257278651685,3.4221474,3.366878520422535,2.627950672131148,8.161797571428572,8.161797571428572,8.161797571428572
Louis Varland,686973,411,5.069659367396594,3.022374115384615,2.97999080652089,8.161797571428572,3.8111761269230766,3.869991017307692,8.161797571428572,1.248941563701923,8.161797571428572
Josh Fleming,676596,660,5.229348484848485,3.0261128205194803,8.161797571428572,2.864695522437673,8.161797571428572,3.7207372244897967,2.238317328,3.330537633236152,8.161797571428572
Domingo Germán,593334,1081,5.003061979648474,3.030498414746544,2.9541864322877958,4.38908111040158,8.161797571428572,2.226760945679056,3.1279114921727595,8.161797571428572,8.161797571428572
Erasmo Ramírez,541640,1222,4.938977086743044,3.034651447876448,3.3713401861270134,3.2004441651580446,8.161797571428572,4.210110833976834,3.709207291647048,2.671596974589207,8.161797571428572
Merrill Kelly,518876,3065,5.0162969004893965,3.0347743085157144,3.406840933737016,3.4576723604911352,8.161797571428572,2.319940903511612,2.88578679696882,3.006925164187573,8.161797571428572
