Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
Griffin Jax,643377,1067,5.470337394564199,1.738677042253521,2.179603772285889,2.7564879768019885,9.38504586915888,0.9825958141480461,2.2393492377749644,1.2350654788732396,9.38504586915888,9.38504586915888
Emmanuel Clase,661403,966,5.233706004140787,2.1136948541068996,9.38504586915888,9.38504586915888,1.713985520245643,9.38504586915888,9.38504586915888,9.38504586915888,2.220039539262647,9.38504586915888
Kris Bubic,663460,451,5.3447450110864745,2.122922866596818,1.9588377907310082,9.38504586915888,1.9666979505494508,9.38504586915888,2.9151780850202433,9.38504586915888,9.38504586915888,9.38504586915888
Tyler Rogers,643511,993,5.29197381671702,2.1527774362766854,9.38504586915888,2.249415865267434,1.9798597978859365,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
Josh Hader,623352,1154,5.37313691507799,2.168765550076891,9.38504586915888,1.8445779143783563,3.0136795756161976,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
Dedniel Núñez,673380,503,5.309701789264413,2.191085668219255,1.4083195417050693,9.38504586915888,2.9523640971428566,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
Tanner Scott,656945,1161,5.3459086993970715,2.22392225,2.4199484062499996,9.38504586915888,1.938793295454545,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
Tyson Miller,668338,913,5.291927710843373,2.225379129632901,2.503041295589203,3.3099220733137837,1.4635517009294694,1.8619011091244237,9.38504586915888,2.689585567741936,9.38504586915888,9.38504586915888
Kevin Kelly,687330,1031,5.243821532492726,2.2959458197390337,3.7494966447908116,2.024131866765711,9.38504586915888,2.464065100936799,9.38504586915888,9.38504586915888,3.342935207547169,9.38504586915888
Yennier Cano,666974,1007,5.33850049652433,2.3268177,5.343022248648649,2.2240299317919074,3.001353122519084,9.38504586915888,0.8235006530487806,9.38504586915888,9.38504586915888,9.38504586915888
Andrew Nardi,677053,898,5.396391982182628,2.3309951254091863,2.7198108010982303,9.38504586915888,1.7164875919925942,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
Keegan Akin,669211,1240,5.300790322580646,2.340457016949152,1.8453043374200164,9.38504586915888,2.7523468220338976,9.38504586915888,3.638497016190235,9.38504586915888,9.38504586915888,9.38504586915888
Yimi García,554340,619,5.289531502423264,2.341413923076923,1.4315355625211792,2.826960395927602,3.058104879120879,1.8278615166475318,5.584120056062581,2.095544880832282,9.38504586915888,9.38504586915888
Joe Ryan,657746,2106,5.290047483380816,2.3422876,1.6455711949069538,2.7581713714285714,2.060966002649007,2.249956662352941,9.38504586915888,9.38504586915888,9.38504586915888,3.9081384000000003
Matt Strahm,621381,980,5.2779897959183675,2.350133569148936,1.6774078771668741,2.7350451242374643,2.887292827460106,9.38504586915888,9.38504586915888,9.38504586915888,4.054400475055026,9.38504586915888
Evan Phillips,623465,897,5.31752508361204,2.370655995799005,1.9122721880891815,3.8749718704100777,9.38504586915888,2.1674594690431523,9.38504586915888,9.38504586915888,3.02075179126489,9.38504586915888
Raisel Iglesias,628452,927,5.143354908306365,2.3729290096153846,2.453994530911817,3.259780185914485,1.729536156463955,9.38504586915888,2.1442966647267205,9.38504586915888,9.38504586915888,9.38504586915888
Kyle Leahy,681517,695,5.206877697841726,2.3787096164383565,2.630215954790073,9.38504586915888,1.8632507859298817,1.5360586462530221,3.3421481169734593,3.243768609900374,9.38504586915888,9.38504586915888
Bryan Woo,693433,1716,5.1933682983682985,2.3851153928571436,2.2400644637755103,2.1432029358230604,2.1357995045207954,2.845011714285714,3.508849928571429,9.38504586915888,9.38504586915888,9.38504586915888
Ryan Helsley,664854,931,5.175263157894737,2.4133119648241204,2.3451805390783704,9.38504586915888,2.3765673491457284,9.38504586915888,9.38504586915888,3.1952890363022006,9.38504586915888,9.38504586915888
Hunter Gaddis,683769,1074,5.198379888268156,2.4151179375,2.7027802580617197,9.38504586915888,1.6802308926904268,9.38504586915888,3.724555045982142,9.38504586915888,9.38504586915888,9.38504586915888
Dylan Lee,669276,859,5.199615832363214,2.4316868212290506,2.352624451631873,9.38504586915888,2.338451799631523,9.38504586915888,3.0696987009024497,9.38504586915888,9.38504586915888,9.38504586915888
Paul Sewald,623149,624,5.252660256410256,2.457016560116354,2.666215775193278,9.38504586915888,9.38504586915888,2.1419575012655665,9.38504586915888,9.38504586915888,9.38504586915888,9.38504586915888
