Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
Trevor Megill,656730,752,5.501156914893618,1.65352729787234,1.7349874736842104,9.5786542,9.5786542,9.5786542,9.5786542,1.5280345945945946,9.5786542,9.5786542
Tyler Rogers,643511,976,5.297622950819672,1.7663043879310345,9.5786542,1.8489948670492813,1.5248747561279603,9.5786542,9.5786542,9.5786542,9.5786542,9.5786542
Reid Detmers,672282,1081,5.445300647548567,1.9096726345975947,1.71347753109251,1.3401684274155163,1.6282039042876175,9.5786542,9.5786542,2.819279247993781,9.5786542,9.5786542
Steven Okert,595345,1042,5.283570057581573,2.102452593134848,2.8344991154217127,9.5786542,1.5799062268971849,9.5786542,9.5786542,9.5786542,9.5786542,9.5786542
Randy Rodríguez,678495,802,5.33638403990025,2.115721421052632,2.1947500769914656,9.5786542,2.017708227653632,9.5786542,9.5786542,9.5786542,9.5786542,9.5786542
Griffin Jax,643377,1086,5.35683241252302,2.1251297756152687,2.4025574755244765,2.8165945586972088,9.5786542,1.5235893136936594,2.505351628725782,9.5786542,3.2988729297520663,9.5786542
Tanner Scott,656945,910,5.336857142857143,2.125666701792944,1.80511803125,9.5786542,2.483488473561812,9.5786542,9.5786542,9.5786542,9.5786542,9.5786542
Aroldis Chapman,547973,910,5.290648351648352,2.1369138260869565,2.019568026950566,2.16637927787344,2.3755403053644044,9.5786542,9.5786542,9.5786542,9.5786542,2.144041051076404
Cristopher Sánchez,650911,2896,5.2339848066298345,2.15839996039604,9.5786542,2.282908585496388,2.3305720504724063,9.5786542,1.9287967619099855,9.5786542,9.5786542,9.5786542
Louis Varland,686973,1066,5.2783020637898685,2.1639096743119266,1.930068009347412,2.5796156310206424,2.461111157411878,9.5786542,3.826574821651376,2.111821260467683,9.5786542,9.5786542
Adrian Morejon,670970,994,5.183762575452716,2.2208449418593004,4.396728923952706,2.144689533143327,1.9030779659529848,9.5786542,2.8945527760181,9.5786542,2.5969960087912085,9.5786542
Janson Junk,676083,1622,5.250203452527743,2.224077709090909,2.5196085012051777,9.5786542,1.727044484796905,1.475841803814935,3.3726197235504656,2.617637226889952,9.5786542,9.5786542
Tyler Mahle,641816,1381,5.271868211440984,2.2965598730769234,2.567560301872469,9.5786542,2.2486992038742284,9.5786542,9.5786542,9.5786542,1.5489872166883962,2.1751838379995987
