Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Jacob deGrom,594798,1137,5.386719437115216,1.846459932947115,1.842712879809906,11.857106575,1.5063725229696472,3.071690706521739,11.857106575,11.857106575,11.857106575
Liam Hendriks,521230,1048,5.469980916030535,1.94987623943662,1.329843274325565,11.857106575,3.2039997814473047,11.857106575,3.592898408895478,11.857106575,11.857106575
Tyler Wells,669330,851,5.4165217391304346,2.123333496814893,1.7783679789473688,11.857106575,2.451817725419933,2.1233767197062425,4.796488366917293,11.857106575,11.857106575
Richard Bleier,542947,674,5.2109940652819,2.1499691033203723,11.857106575,1.8350569229138327,3.3098696160243404,11.857106575,11.857106575,2.385004585443038,11.857106575
Michael Kopech,656629,1087,5.450266789328428,2.160015706730769,1.969589183157348,11.857106575,2.3117507877989945,4.85709488221154,2.500261393981019,11.857106575,11.857106575
Collin McHugh,543521,944,5.343919491525424,2.25912515625,4.202187602803738,11.857106575,1.830427465705765,11.857106575,2.692246586538461,2.2476514529220784,11.857106575
Julio Urías,628711,2770,5.340913357400721,2.319186760891573,2.2680840706101306,11.857106575,11.857106575,3.419843690422293,1.8315099187262596,11.857106575,11.857106575
John Means,607644,2328,5.363745704467354,2.378147543181819,3.0563558625701965,11.857106575,2.856994184659091,0.7439932111492282,2.8737739328744363,11.857106575,11.857106575
Gerrit Cole,543037,2888,5.382420360110803,2.3853772389705883,1.5378843830036444,2.214698596638656,3.16792671800905,3.6458547323529418,2.678434295955882,11.857106575,11.857106575
Ryan Thompson,657044,477,5.273186582809224,2.4067974550499445,2.689435907332796,1.889420326530612,2.7154079971383145,11.857106575,11.857106575,3.436378319693095,11.857106575
Emmanuel Clase,661403,1022,5.304256360078278,2.4234785311004785,7.164867918660287,11.857106575,1.708907463195919,11.857106575,11.857106575,2.5832061757722,11.857106575
Andrew Kittredge,552640,978,5.234161554192229,2.425521422285632,2.201201219358894,3.179210188333789,1.757154492318215,11.857106575,11.857106575,11.857106575,11.857106575
Ryan Yarbrough,642232,2488,5.351663987138264,2.4760495741935484,11.857106575,2.7289678161290327,11.857106575,3.230518614215731,1.823826482329432,2.1598868180027044,11.857106575
Phil Bickford,641360,764,5.294057591623036,2.4985715573366423,2.435528960064936,11.857106575,2.6179704158057846,11.857106575,11.857106575,11.857106575,11.857106575
Ryan Pressly,519151,942,5.259670912951169,2.520509484375,2.9455593130802384,11.857106575,1.980458913204748,11.857106575,2.615918506578948,11.857106575,11.857106575
Taylor Rogers,573124,597,5.25319932998325,2.524137665060841,11.857106575,2.6924324359429,2.3804076588727474,11.857106575,11.857106575,11.857106575,11.857106575
Chad Green,643338,1290,5.306976744186047,2.5322120798202543,1.96925774860322,11.857106575,11.857106575,11.857106575,3.601192776176194,11.857106575,11.857106575
Jake McGee,459429,835,5.226179640718564,2.5373992122905027,2.36678584197925,11.857106575,4.170104376281733,11.857106575,11.857106575,11.857106575,11.857106575
Josh Hader,623352,949,5.32277133825079,2.543940460227273,1.9612561644,11.857106575,3.357795463219987,4.978580365194282,11.857106575,11.857106575,11.857106575
Raisel Iglesias,628452,1059,5.289565627950897,2.5505321142857142,2.6985349617293237,2.804467573469388,2.4195646360648557,2.410632072628136,11.857106575,11.857106575,11.857106575
Yimi García,554340,943,5.342969247083775,2.568229075144509,2.584740302248916,3.369277677745665,1.89277235683465,5.495621941040461,2.3969445955833995,11.857106575,11.857106575
Jonathan Loáisiga,642528,1044,5.236982758620689,2.588352580188679,2.1600722859980133,2.633955050213025,11.857106575,3.518593126655961,1.8583964630079068,11.857106575,11.857106575
Walker Buehler,621111,3152,5.256741751269035,2.598296417335473,2.3983814454224883,3.613211131833917,1.9443386046538236,3.6243295131240103,3.726911455858749,2.016766643244038,11.857106575
Paul Sewald,623149,1101,5.353742052679382,2.611328595831344,2.2414190664411344,11.857106575,3.130655729887903,11.857106575,11.857106575,11.857106575,11.857106575
Blake Treinen,595014,1094,5.24101462522852,2.615154503976445,4.64972127044931,2.1622882613952643,2.4008441393011366,11.857106575,11.857106575,2.785170804356933,11.857106575
José Urquidy,664353,1631,5.279693439607603,2.625266186915888,2.422840360689253,11.857106575,2.599483029953713,2.9607005800056645,3.368429710125898,11.857106575,11.857106575
