rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta
1,670541,Yordan Alvarez,HOU,OF,158,86.0,0.7224165864832832,-0.0135,0.74883925808506,2.62,0.10833760502031821,0.6757655434988554,0.8219129726712646,466.0,349.0,0.48727107056748364,0.2616,add,95.8,616,52.9,0.4254,0.0156
2,592450,Aaron Judge,NYY,OF,145,85.0,0.8615519372128695,0.0183,0.724592581029892,2.54,0.10833760502031821,0.6515188664436874,0.7976662956160966,428.0,310.1,0.48727107056748364,0.2373,add,65.7,730,64.0,0.3728,0.0447
3,608070,José Ramírez,CLE,3B,153,84.0,0.7799643594551983,0.0106,0.6719612435547293,2.35,0.10833760502031821,0.5988875289685247,0.7450349581409339,452.0,303.7,0.5080282772550816,0.1639,add,29.7,439,90.2,0.435,0.1128
4,621566,Matt Olson,ATL,1B,158,87.0,0.6155560220025533,0.0061,0.6494235121316134,2.27,0.10833760502031821,0.5763497975454088,0.722497226717818,466.0,302.6,0.5657062772493434,0.0837,add,85.7,1014,55.8,0.3134,0.0142
5,660271,Shohei Ohtani,LAD,TWP,153,80.0,0.8306761795322842,-0.0129,0.6429853045180209,2.25,0.10833760502031821,0.5699115899318163,0.7160590191042255,452.0,290.6,0.6429853045180209,0.0,hold,29.0,285,88.1,0.3284,0.0983
6,694208,Moisés Ballesteros,CHC,C,92,54.0,0.6343053418909212,-0.0005,0.6428535410213583,2.25,0.10833760502031821,0.5697798264351537,0.7159272556075629,272.0,174.9,0.5294573433923947,0.1134,add,,0,,,
7,665742,Juan Soto,NYM,OF,82,48.0,0.7753260106358768,0.0156,0.6393511154728937,2.24,0.10833760502031821,0.5662774008866891,0.7124248300590983,242.0,154.7,0.48727107056748364,0.1521,add,45.5,490,85.8,0.4378,0.1083
8,700250,Ben Rice,NYY,1B,131,76.0,0.5739225767317601,-0.0033,0.6370385947003379,2.23,0.10833760502031821,0.5639648801141333,0.7101123092865425,387.0,246.5,0.5657062772493434,0.0713,hold,100.0,152,87.5,0.3573,0.09
9,666126,Carlos Cortes,ATH,OF,84,59.0,0.5700458002909183,0.0092,0.631320297825358,2.21,0.10833760502031821,0.5582465832391534,0.7043940124115626,248.0,156.6,0.48727107056748364,0.144,add,100.0,13,100.0,0.5122,0.0396
10,669127,Shea Langeliers,ATH,C,146,85.0,0.5379035357290696,0.0152,0.6253559394064206,2.19,0.10833760502031821,0.552282224820216,0.6984296539926252,431.0,269.5,0.5294573433923947,0.0959,add,92.7,369,63.1,0.2512,0.0399
11,641355,Cody Bellinger,NYY,OF,138,78.0,0.6727859412748304,0.0096,0.6206116523875508,2.17,0.10833760502031821,0.5475379378013462,0.6936853669737554,407.0,252.6,0.48727107056748364,0.1333,add,77.3,866,56.7,0.3085,0.0183
12,650490,Yandy Díaz,TB,1B,135,67.0,0.6083374427061953,0.0009,0.6172501851473853,2.16,0.10833760502031821,0.5441764705611807,0.6903238997335899,398.0,245.7,0.5657062772493434,0.0515,hold,85.9,746,64.2,0.3507,0.0323
13,691406,Junior Caminero,TB,3B,143,76.0,0.6403503070218519,0.0093,0.6152154678326482,2.15,0.10833760502031821,0.5421417532464436,0.6882891824188528,422.0,259.6,0.5080282772550816,0.1072,add,64.5,111,92.8,0.405,0.1036
14,518692,Freddie Freeman,LAD,1B,141,74.0,0.6844488116247129,-0.0125,0.6140607372827004,2.15,0.10833760502031821,0.5409870226964958,0.687134451868905,416.0,255.4,0.5657062772493434,0.0484,hold,28.4,430,86.0,0.4089,0.125
15,686948,Drake Baldwin,ATL,C,161,88.0,0.6568649511120116,-0.0015,0.6136419070181512,2.15,0.10833760502031821,0.5405681924319466,0.6867156216043558,475.0,291.5,0.5294573433923947,0.0842,add,66.3,59,89.8,0.4109,0.0948
16,671739,Michael Harris II,ATL,OF,114,61.0,0.5099959003350587,0.0106,0.6133487644997282,2.15,0.10833760502031821,0.5402750499135236,0.6864224790859328,336.0,206.1,0.48727107056748364,0.1261,add,85.0,415,59.8,0.3035,0.0403
17,571970,Max Muncy,LAD,3B,127,71.0,0.6456853004033417,0.0071,0.6093768561612665,2.13,0.10833760502031821,0.5363031415750619,0.6824505707474711,375.0,228.5,0.5080282772550816,0.1013,add,81.6,797,62.9,0.3054,0.0432
18,661388,William Contreras,MIL,C,138,79.0,0.5807158443536078,-0.0029,0.5961685221621487,2.09,0.10833760502031821,0.5230948075759441,0.6692422367483533,407.0,242.6,0.5294573433923947,0.0667,hold,81.8,464,61.0,0.3105,0.0287
