pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_std,avg_velo,swing_rate,whiff_rate,e_xwoba_ip,plv_pctile
623352,"Hader, Josh",SI,Fastball,879,6.1535,1.3584,96.0835,0.4998,0.3642,0.3272,100.0
672391,"Ort, Kaleb",FF,Fastball,203,6.0616,1.0784,97.5227,0.5046,0.3568,0.352,100.0
682254,"Montgomery, Mason",FF,Fastball,115,6.0555,1.3226,97.2791,0.5133,0.3717,0.3439,99.9
686580,"Slaten, Justin",CU,Breaking,70,6.0237,1.1855,84.29,0.4037,0.5696,0.2992,99.9
547973,"Chapman, Aroldis",FS,Offspeed,141,5.9987,1.6069,91.3277,0.5059,0.6041,0.2991,99.8
656629,"Kopech, Michael",FF,Fastball,1026,5.9574,1.3376,98.6921,0.5227,0.39,0.3417,99.8
682243,"Miller, Bryce",KC,Breaking,123,5.9449,1.48,84.9732,0.4923,0.5741,0.2965,99.8
669093,"Estrada, Jeremiah",FF,Fastball,611,5.9265,1.302,97.2349,0.5363,0.3572,0.3365,99.7
695243,"Miller, Mason",FF,Fastball,655,5.8732,1.362,100.864,0.5212,0.3624,0.3484,99.7
605513,"Turnbull, Spencer",CU,Breaking,91,5.8666,0.9774,78.6901,0.3775,0.5435,0.2992,99.6
547973,"Chapman, Aroldis",SI,Fastball,319,5.8351,1.4878,99.7658,0.587,0.3889,0.3394,99.6
668338,"Miller, Tyson",ST,Breaking,413,5.8243,0.8591,80.2436,0.4977,0.4752,0.2888,99.5
643377,"Jax, Griffin",ST,Breaking,409,5.8207,1.3456,88.8002,0.5074,0.5168,0.295,99.5
664849,"Young, Danny",ST,Breaking,397,5.8206,1.1585,80.7033,0.347,0.5651,0.2824,99.5
656730,"Megill, Trevor",KC,Breaking,205,5.8201,1.467,87.4395,0.4294,0.5869,0.2877,99.4
676979,"Crochet, Garrett",ST,Breaking,233,5.8159,1.3512,84.2253,0.4771,0.4506,0.3021,99.4
687911,"King, Bryan",ST,Breaking,148,5.8108,0.9656,81.8128,0.4676,0.5089,0.2991,99.3
554340,"García, Yimi",FF,Fastball,247,5.7843,1.4157,96.4328,0.5669,0.3656,0.3609,99.3
608648,"Duffey, Tyler",KC,Breaking,57,5.7842,1.2622,80.7105,0.4005,0.5081,0.3021,99.3
657044,"Thompson, Ryan",FF,Fastball,103,5.7777,1.2156,92.4786,0.5287,0.3465,0.3148,99.2
554340,"García, Yimi",ST,Breaking,88,5.7743,0.889,86.1261,0.4978,0.4939,0.2925,99.2
673380,"Núñez, Dedniel",FF,Fastball,248,5.7743,1.0173,96.3234,0.5586,0.3585,0.3712,99.1
543243,"Gray, Sonny",ST,Breaking,501,5.7704,1.6517,84.7615,0.5195,0.5787,0.2839,99.1
640462,"Puk, A.J.",SL,Breaking,254,5.7591,1.6138,85.4913,0.5366,0.5094,0.3204,99.1
666974,"Cano, Yennier",CH,Offspeed,252,5.7531,1.2831,91.0571,0.5807,0.4823,0.2716,99.0
686752,"Pepiot, Ryan",CU,Breaking,71,5.752,0.901,80.6225,0.2425,0.4983,0.283,99.0
677960,"Weathers, Ryan",ST,Breaking,321,5.7435,1.0923,82.5922,0.3748,0.5068,0.308,98.9
656529,"Hentges, Sam",CU,Breaking,112,5.7395,1.3961,80.6446,0.4997,0.4431,0.3443,98.9
607536,"Freeland, Kyle",KC,Breaking,336,5.7382,1.7351,83.4753,0.4993,0.5381,0.3092,98.9
608334,"Fulmer, Carson",CU,Breaking,89,5.7366,0.9638,82.3966,0.3664,0.4959,0.3163,98.8
677053,"Nardi, Andrew",SL,Breaking,386,5.7356,1.1011,82.6997,0.4964,0.4504,0.3122,98.8
657376,"Schmidt, Clarke",KC,Breaking,299,5.7349,1.5952,83.7164,0.4428,0.4458,0.2952,98.7
548384,"Raley, Brooks",ST,Breaking,67,5.7348,0.9536,80.5448,0.5515,0.308,0.3006,98.7
681517,"Leahy, Kyle",ST,Breaking,104,5.7345,1.4635,85.3288,0.5362,0.4963,0.2875,98.6
542888,"Armstrong, Shawn",ST,Breaking,66,5.7337,0.9152,85.1197,0.4933,0.487,0.2955,98.6
656945,"Scott, Tanner",FF,Fastball,750,5.7245,1.2462,97.074,0.5064,0.3527,0.3499,98.6
678692,"Henriquez, Ronny",FF,Fastball,90,5.7231,0.9817,95.6644,0.5105,0.3627,0.3587,98.5
