pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_rate,whiff_rate,contact_rate,cs_rate,e_xwoba_ip,plv_pctile
623352,"Hader, Josh",1235,5.9555,1.3831,-0.021,0.4855,0.415,0.585,0.4581,0.3257,100.0
682254,"Montgomery, Mason",158,5.8705,1.4889,-0.024,0.52,0.4217,0.5783,0.4681,0.3307,99.9
656629,"Kopech, Michael",1314,5.7985,1.4185,-0.0266,0.5131,0.4161,0.5839,0.4633,0.3303,99.7
656945,"Scott, Tanner",1265,5.6943,1.4084,-0.0304,0.5176,0.4053,0.5947,0.4949,0.3389,99.6
695243,"Miller, Mason",1037,5.6795,1.4479,-0.031,0.5019,0.4008,0.5992,0.4734,0.3298,99.4
594798,"deGrom, Jacob",172,5.6358,1.2084,-0.0325,0.5271,0.4067,0.5933,0.5196,0.3301,99.3
677053,"Nardi, Andrew",988,5.6262,1.1901,-0.0329,0.4997,0.3734,0.6266,0.4537,0.3366,99.2
672391,"Ort, Kaleb",366,5.6001,1.3696,-0.0338,0.4905,0.3766,0.6234,0.5041,0.3366,99.0
669093,"Estrada, Jeremiah",1098,5.5775,1.3874,-0.0347,0.5248,0.3939,0.6061,0.5034,0.3276,98.9
685801,"Bigge, Hunter",311,5.5452,1.2341,-0.0358,0.4961,0.3852,0.6148,0.4738,0.3306,98.8
681911,"Vesia, Alex",1227,5.5394,1.2404,-0.036,0.5116,0.3917,0.6083,0.4548,0.3264,98.6
623149,"Sewald, Paul",661,5.5131,1.209,-0.037,0.5261,0.3735,0.6265,0.5254,0.3442,98.5
640462,"Puk, A.J.",1173,5.5064,1.424,-0.0372,0.5032,0.3726,0.6274,0.4941,0.3367,98.3
683004,"Leiter, Jack",669,5.4892,1.3063,-0.0379,0.4679,0.4073,0.5927,0.4716,0.3354,98.2
657697,"Nittoli, Vinny",209,5.4662,1.1527,-0.0387,0.4789,0.3897,0.6103,0.4824,0.3263,98.1
673380,"Núñez, Dedniel",521,5.4591,1.441,-0.039,0.5381,0.4276,0.5724,0.529,0.3331,97.9
518886,"Kimbrel, Craig",963,5.4589,1.4243,-0.039,0.4664,0.3999,0.6001,0.4689,0.3466,97.8
554340,"García, Yimi",661,5.4584,1.366,-0.039,0.492,0.3465,0.6535,0.4827,0.3261,97.7
643377,"Jax, Griffin",1085,5.4539,1.3782,-0.0391,0.5401,0.4053,0.5947,0.4744,0.319,97.5
681402,"Varland, Gus",455,5.4514,1.4309,-0.0392,0.4777,0.3699,0.6301,0.537,0.3399,97.4
547973,"Chapman, Aroldis",1148,5.4507,1.4684,-0.0393,0.4876,0.4005,0.5995,0.4924,0.3379,97.2
579328,"Kikuchi, Yusei",3006,5.4502,1.3983,-0.0393,0.4888,0.3749,0.6251,0.5026,0.3496,97.1
656730,"Megill, Trevor",696,5.4453,1.3456,-0.0395,0.5159,0.3697,0.6303,0.4979,0.3358,97.0
668338,"Miller, Tyson",945,5.4422,1.2579,-0.0396,0.5068,0.3915,0.6085,0.4879,0.3252,96.8
621242,"Díaz, Edwin",1114,5.4418,1.3821,-0.0396,0.4726,0.4246,0.5754,0.4523,0.3247,96.7
663158,"Suarez, Robert",1040,5.4384,1.2495,-0.0397,0.519,0.3257,0.6743,0.5011,0.3371,96.6
642207,"Williams, Devin",435,5.4273,1.45,-0.0401,0.4953,0.4063,0.5937,0.4475,0.3294,96.4
669211,"Akin, Keegan",1254,5.4256,1.2663,-0.0402,0.4994,0.3552,0.6448,0.5131,0.3402,96.3
656876,"Rasmussen, Drew",459,5.4193,1.4492,-0.0404,0.4883,0.3295,0.6705,0.5004,0.3277,96.1
656302,"Cease, Dylan",3383,5.4098,1.3643,-0.0407,0.4833,0.4094,0.5906,0.454,0.3197,96.0
605483,"Snell, Blake",1773,5.4096,1.3682,-0.0408,0.476,0.4114,0.5886,0.4187,0.326,95.9
664849,"Young, Danny",764,5.407,1.4186,-0.0408,0.3794,0.4185,0.5815,0.4358,0.2938,95.7
663574,"Santillan, Tony",503,5.4061,1.2777,-0.0409,0.51,0.3474,0.6526,0.5237,0.3476,95.6
621381,"Strahm, Matt",1065,5.4061,1.3138,-0.0409,0.5093,0.2865,0.7135,0.5334,0.3526,95.4
683003,"Jones, Jared",1995,5.4055,1.3529,-0.0409,0.505,0.3718,0.6282,0.5029,0.3366,95.3
605447,"Romano, Jordan",215,5.3955,1.4556,-0.0413,0.4879,0.3983,0.6017,0.5006,0.3352,95.2
670280,"Bednar, David",1053,5.3833,1.3647,-0.0417,0.4845,0.3555,0.6445,0.4806,0.3323,95.0
548384,"Raley, Brooks",154,5.3792,1.2149,-0.0419,0.4852,0.3337,0.6663,0.4605,0.3084,94.9
592662,"Ray, Robbie",568,5.3768,1.4509,-0.0419,0.4936,0.4031,0.5969,0.419,0.3338,94.8
814005,"Bloss, Jake",238,5.3756,1.1112,-0.042,0.4738,0.3852,0.6148,0.451,0.3317,94.6
592426,"Jackson, Luke",952,5.3746,1.4488,-0.042,0.4773,0.3875,0.6125,0.4523,0.3293,94.5
640451,"Harvey, Hunter",918,5.3735,1.3085,-0.0421,0.522,0.354,0.646,0.5059,0.3374,94.3
623465,"Phillips, Evan",1031,5.3689,1.3369,-0.0422,0.4853,0.3591,0.6409,0.5082,0.3308,94.2
650556,"Abreu, Bryan",1341,5.368,1.392,-0.0423,0.4736,0.3924,0.6076,0.4849,0.3343,94.1
689958,"Walters, Andrew",197,5.3664,1.5124,-0.0423,0.4373,0.3998,0.6002,0.4325,0.3351,93.9
689147,"Kerkering, Orion",1149,5.3578,1.3679,-0.0426,0.4821,0.3337,0.6663,0.5188,0.3226,93.8
664854,"Helsley, Ryan",963,5.3519,1.5019,-0.0428,0.5176,0.3986,0.6014,0.5113,0.3336,93.7
662253,"Muñoz, Andrés",963,5.3503,1.4431,-0.0429,0.4469,0.4237,0.5763,0.4128,0.3092,93.5
607074,"Rodón, Carlos",3569,5.3497,1.457,-0.0429,0.486,0.3783,0.6217,0.4602,0.3417,93.4
643338,"Green, Chad",896,5.3493,1.2903,-0.0429,0.5089,0.3597,0.6403,0.4813,0.3332,93.2
613534,"Adams, Austin",824,5.3408,1.415,-0.0433,0.436,0.4015,0.5985,0.473,0.3208,93.1
678226,"Hernández, Daysbel",372,5.3359,1.4649,-0.0434,0.4873,0.4336,0.5664,0.4437,0.3209,93.0
661403,"Clase, Emmanuel",1106,5.3307,1.3202,-0.0436,0.5543,0.3412,0.6588,0.5108,0.3002,92.8
601713,"Pivetta, Nick",2465,5.3302,1.3086,-0.0436,0.5035,0.3259,0.6741,0.5078,0.3316,92.7
642547,"Peralta, Freddy",3147,5.3226,1.3293,-0.0439,0.4585,0.39,0.61,0.4424,0.3322,92.6
608371,"Sims, Lucas",885,5.3226,1.319,-0.0439,0.4619,0.3781,0.6219,0.465,0.3201,92.4
592155,"Booser, Cam",713,5.3211,1.3326,-0.044,0.4953,0.3674,0.6326,0.482,0.3371,92.3
596133,"Weaver, Luke",1660,5.32,1.2867,-0.044,0.4699,0.3724,0.6276,0.4377,0.3267,92.1
661563,"Gil, Luis",2929,5.3162,1.3501,-0.0441,0.4786,0.3856,0.6144,0.4642,0.329,92.0
502085,"Robertson, David",1230,5.3161,1.4717,-0.0441,0.4606,0.3681,0.6319,0.4971,0.3304,91.9
686752,"Pepiot, Ryan",2364,5.3153,1.3662,-0.0442,0.4983,0.3447,0.6553,0.4748,0.3326,91.7
543037,"Cole, Gerrit",1986,5.3136,1.4114,-0.0442,0.4933,0.3334,0.6666,0.4938,0.3359,91.6
573204,"Thielbar, Caleb",887,5.3134,1.2649,-0.0442,0.501,0.3328,0.6672,0.5047,0.3287,91.4
673513,"Matsui, Yuki",1076,5.3115,1.3395,-0.0443,0.4465,0.3926,0.6074,0.4449,0.3226,91.3
683232,"Mears, Nick",1108,5.3113,1.399,-0.0443,0.4997,0.3452,0.6548,0.5109,0.3312,91.2
664776,"Cousins, Jake",760,5.309,1.4984,-0.0444,0.4102,0.4261,0.5739,0.4219,0.3026,91.0
680732,"Burke, Sean",309,5.3067,1.459,-0.0445,0.465,0.3615,0.6385,0.4628,0.3352,90.9
675911,"Strider, Spencer",178,5.3047,1.5333,-0.0446,0.4914,0.3787,0.6213,0.4965,0.3295,90.8
656546,"Hoffman, Jeff",1085,5.2966,1.4337,-0.0449,0.4879,0.3729,0.6271,0.4814,0.3261,90.6
650671,"Quijada, José",379,5.296,1.4373,-0.0449,0.46,0.3774,0.6226,0.3876,0.3339,90.5
681870,"Sabrowski, Erik",307,5.2956,1.3079,-0.0449,0.4727,0.3569,0.6431,0.5125,0.3416,90.3
665620,"García, Deivi",295,5.2951,1.3834,-0.0449,0.3877,0.3895,0.6105,0.4208,0.3316,90.2
663878,"Pearson, Nate",1136,5.294,1.4432,-0.0449,0.4921,0.3722,0.6278,0.5059,0.3338,90.1
663462,"Campbell, Isaiah",156,5.2921,1.2395,-0.045,0.4557,0.3932,0.6068,0.467,0.3232,89.9
668943,"Miller, Ryan",219,5.2916,1.3857,-0.045,0.4795,0.3462,0.6538,0.5356,0.3386,89.8
